# _root_ ROMA ­ " Se il ministro dell' Interno si è deciso a lanciare l' allarme , dopo pochi mesi dal suo insediamento al Viminale , vuol dire che il problema dei pentiti è serio .
#goldHeads=0,1,4,27,6,11,6,7,11,11,4,11,12,15,13,15,13,19,17,19,22,20,22,23,24,27,0,27,30,33,30,31,28,33,34,
#predictedHeads=0,1,4,33,6,11,6,7,11,11,4,11,12,15,13,15,27,19,17,13,22,20,22,23,24,27,0,27,30,33,30,31,28,33,34,
(14,28),-0.943732 # DEPENDENCYPART_ARC
(14,29),-2.07461 # DEPENDENCYPART_ARC
(14,30),-1.2091 # DEPENDENCYPART_ARC
(14,31),-1.66505 # DEPENDENCYPART_ARC
(14,32),-1.55417 # DEPENDENCYPART_ARC
(14,33),-1.84417 # DEPENDENCYPART_ARC
(14,34),-2.33623 # DEPENDENCYPART_ARC
(14,35),-1.72794 # DEPENDENCYPART_ARC
(15,1),-3.01505 # DEPENDENCYPART_ARC
(15,2),-2.47164 # DEPENDENCYPART_ARC
(15,3),-1.77423 # DEPENDENCYPART_ARC
(15,4),-1.02311 # DEPENDENCYPART_ARC
(15,5),-1.55001 # DEPENDENCYPART_ARC
(15,6),-2.36559 # DEPENDENCYPART_ARC
(15,7),-0.792515 # DEPENDENCYPART_ARC
(15,8),-1.68375 # DEPENDENCYPART_ARC
(15,9),-0.624867 # DEPENDENCYPART_ARC
(15,10),-1.61797 # DEPENDENCYPART_ARC
(15,11),-0.916017 # DEPENDENCYPART_ARC
(15,12),0.170295 # DEPENDENCYPART_ARC
(15,13),-0.192889 # DEPENDENCYPART_ARC
(15,14),3.31437 # DEPENDENCYPART_ARC
(15,16),2.0658 # DEPENDENCYPART_ARC
(15,17),0.385359 # DEPENDENCYPART_ARC
(15,18),0.450244 # DEPENDENCYPART_ARC
(15,19),0.37257 # DEPENDENCYPART_ARC
(15,20),0.129782 # DEPENDENCYPART_ARC
(15,21),-0.0158918 # DEPENDENCYPART_ARC
(15,22),0.136722 # DEPENDENCYPART_ARC
(15,23),-0.0880879 # DEPENDENCYPART_ARC
(15,24),0.233127 # DEPENDENCYPART_ARC
(15,25),0.387463 # DEPENDENCYPART_ARC
(15,26),-0.534599 # DEPENDENCYPART_ARC
(15,27),-1.65229 # DEPENDENCYPART_ARC
(15,28),-1.40592 # DEPENDENCYPART_ARC
(15,29),-1.21844 # DEPENDENCYPART_ARC
(15,30),-1.15491 # DEPENDENCYPART_ARC
(15,31),-1.38418 # DEPENDENCYPART_ARC
(15,32),-1.29762 # DEPENDENCYPART_ARC
(15,33),-1.73726 # DEPENDENCYPART_ARC
(15,34),-1.53139 # DEPENDENCYPART_ARC
(15,35),-3.7197 # DEPENDENCYPART_ARC
(16,1),-2.95375 # DEPENDENCYPART_ARC
(16,2),-2.60809 # DEPENDENCYPART_ARC
(16,3),-2.58708 # DEPENDENCYPART_ARC
(16,4),-2.30006 # DEPENDENCYPART_ARC
(16,5),-2.28537 # DEPENDENCYPART_ARC
(16,6),-2.769 # DEPENDENCYPART_ARC
(16,7),-2.1526 # DEPENDENCYPART_ARC
(16,8),-2.70283 # DEPENDENCYPART_ARC
(16,9),-2.27239 # DEPENDENCYPART_ARC
(16,10),-2.82537 # DEPENDENCYPART_ARC
(16,11),-2.76931 # DEPENDENCYPART_ARC
(16,12),-1.71682 # DEPENDENCYPART_ARC
(16,13),-2.24143 # DEPENDENCYPART_ARC
(16,14),-0.781211 # DEPENDENCYPART_ARC
(16,15),-0.881978 # DEPENDENCYPART_ARC
(16,17),-1.3115 # DEPENDENCYPART_ARC
(16,18),-1.51971 # DEPENDENCYPART_ARC
(16,19),-1.90976 # DEPENDENCYPART_ARC
(16,20),-2.20644 # DEPENDENCYPART_ARC
(16,21),-2.2089 # DEPENDENCYPART_ARC
(16,22),-2.28815 # DEPENDENCYPART_ARC
(16,23),-2.43855 # DEPENDENCYPART_ARC
(16,24),-2.37534 # DEPENDENCYPART_ARC
(16,25),-1.08131 # DEPENDENCYPART_ARC
(16,26),-2.13143 # DEPENDENCYPART_ARC
(16,27),-2.42454 # DEPENDENCYPART_ARC
(16,28),-2.41805 # DEPENDENCYPART_ARC
(16,29),-2.63352 # DEPENDENCYPART_ARC
(16,30),-2.74093 # DEPENDENCYPART_ARC
(16,31),-2.96612 # DEPENDENCYPART_ARC
(16,32),-2.75759 # DEPENDENCYPART_ARC
(16,33),-2.61955 # DEPENDENCYPART_ARC
(16,34),-3.07186 # DEPENDENCYPART_ARC
(16,35),-2.2016 # DEPENDENCYPART_ARC
(17,1),-1.91598 # DEPENDENCYPART_ARC
(17,2),-1.81981 # DEPENDENCYPART_ARC
(17,3),-1.61765 # DEPENDENCYPART_ARC
(17,4),-1.23459 # DEPENDENCYPART_ARC
(17,5),-1.542 # DEPENDENCYPART_ARC
(17,6),-1.91258 # DEPENDENCYPART_ARC
(17,7),-1.33291 # DEPENDENCYPART_ARC
(17,8),-1.69449 # DEPENDENCYPART_ARC
(17,9),-1.54473 # DEPENDENCYPART_ARC
(17,10),-1.9679 # DEPENDENCYPART_ARC
(17,11),-1.98801 # DEPENDENCYPART_ARC
(17,12),-0.852906 # DEPENDENCYPART_ARC
(17,13),-1.68402 # DEPENDENCYPART_ARC
(17,14),-0.617627 # DEPENDENCYPART_ARC
(17,15),-0.618725 # DEPENDENCYPART_ARC
(17,16),0.264392 # DEPENDENCYPART_ARC
(17,18),1.712 # DEPENDENCYPART_ARC
(17,19),3.07717 # DEPENDENCYPART_ARC
(17,20),-0.151594 # DEPENDENCYPART_ARC
(17,21),0.176276 # DEPENDENCYPART_ARC
(17,22),0.802115 # DEPENDENCYPART_ARC
(17,23),-0.343427 # DEPENDENCYPART_ARC
(17,24),-0.217758 # DEPENDENCYPART_ARC
(17,25),0.0383918 # DEPENDENCYPART_ARC
(17,26),-0.449897 # DEPENDENCYPART_ARC
(17,27),-0.633945 # DEPENDENCYPART_ARC
(17,28),-1.46131 # DEPENDENCYPART_ARC
(17,29),-1.15028 # DEPENDENCYPART_ARC
(17,30),-3.27523 # DEPENDENCYPART_ARC
(17,31),-1.74882 # DEPENDENCYPART_ARC
(17,32),-3.96017 # DEPENDENCYPART_ARC
(17,33),-2.24296 # DEPENDENCYPART_ARC
(17,34),-1.04832 # DEPENDENCYPART_ARC
(17,35),-1.61589 # DEPENDENCYPART_ARC
(18,1),-2.86907 # DEPENDENCYPART_ARC
(18,2),-2.11065 # DEPENDENCYPART_ARC
(18,3),-2.03584 # DEPENDENCYPART_ARC
(18,4),-1.82876 # DEPENDENCYPART_ARC
(18,5),-1.86474 # DEPENDENCYPART_ARC
(18,6),-2.74547 # DEPENDENCYPART_ARC
(18,7),-2.12191 # DEPENDENCYPART_ARC
(18,8),-2.70645 # DEPENDENCYPART_ARC
(18,9),-1.99952 # DEPENDENCYPART_ARC
(18,10),-3.19402 # DEPENDENCYPART_ARC
(18,11),-2.99045 # DEPENDENCYPART_ARC
(18,12),-1.54875 # DEPENDENCYPART_ARC
(18,13),-2.25228 # DEPENDENCYPART_ARC
(18,14),-1.26086 # DEPENDENCYPART_ARC
(18,15),-1.83475 # DEPENDENCYPART_ARC
(18,16),-0.749712 # DEPENDENCYPART_ARC
(18,17),0.200652 # DEPENDENCYPART_ARC
(18,19),0.894596 # DEPENDENCYPART_ARC
(18,20),-0.0224946 # DEPENDENCYPART_ARC
(18,21),-0.624067 # DEPENDENCYPART_ARC
(18,22),-0.343322 # DEPENDENCYPART_ARC
(18,23),-0.233096 # DEPENDENCYPART_ARC
(18,24),-0.183854 # DEPENDENCYPART_ARC
(18,25),-0.459434 # DEPENDENCYPART_ARC
(18,26),-0.662117 # DEPENDENCYPART_ARC
(18,27),-0.82142 # DEPENDENCYPART_ARC
(18,28),-0.702647 # DEPENDENCYPART_ARC
(18,29),-1.26225 # DEPENDENCYPART_ARC
(18,30),-1.09746 # DEPENDENCYPART_ARC
(18,31),-0.96795 # DEPENDENCYPART_ARC
(18,32),-1.01564 # DEPENDENCYPART_ARC
(18,33),-1.44499 # DEPENDENCYPART_ARC
(18,34),-1.41646 # DEPENDENCYPART_ARC
(18,35),-1.10943 # DEPENDENCYPART_ARC
(19,1),-2.6658 # DEPENDENCYPART_ARC
(19,2),-2.46575 # DEPENDENCYPART_ARC
(19,3),-1.83868 # DEPENDENCYPART_ARC
(19,4),-0.793051 # DEPENDENCYPART_ARC
(19,5),-2.67092 # DEPENDENCYPART_ARC
(19,6),-2.47532 # DEPENDENCYPART_ARC
(19,7),-1.13326 # DEPENDENCYPART_ARC
(19,8),-2.11311 # DEPENDENCYPART_ARC
(19,9),-1.40564 # DEPENDENCYPART_ARC
(19,10),-2.81447 # DEPENDENCYPART_ARC
(19,11),-1.76792 # DEPENDENCYPART_ARC
(19,12),-0.764458 # DEPENDENCYPART_ARC
(19,13),-1.90343 # DEPENDENCYPART_ARC
(19,14),-0.227481 # DEPENDENCYPART_ARC
(19,15),-1.43129 # DEPENDENCYPART_ARC
(19,16),-1.22939 # DEPENDENCYPART_ARC
(19,17),1.0442 # DEPENDENCYPART_ARC
(19,18),3.94065 # DEPENDENCYPART_ARC
(19,20),1.2501 # DEPENDENCYPART_ARC
(19,21),0.0514423 # DEPENDENCYPART_ARC
(19,22),0.207998 # DEPENDENCYPART_ARC
(19,23),0.226405 # DEPENDENCYPART_ARC
(19,24),-0.0944221 # DEPENDENCYPART_ARC
(19,25),0.0460612 # DEPENDENCYPART_ARC
(19,26),-0.717849 # DEPENDENCYPART_ARC
(19,27),-1.2019 # DEPENDENCYPART_ARC
(19,28),-1.30686 # DEPENDENCYPART_ARC
(19,29),-1.18566 # DEPENDENCYPART_ARC
(19,30),-1.43789 # DEPENDENCYPART_ARC
(19,31),-0.942976 # DEPENDENCYPART_ARC
(19,32),-0.738713 # DEPENDENCYPART_ARC
(19,33),-2.40939 # DEPENDENCYPART_ARC
(19,34),-2.3756 # DEPENDENCYPART_ARC
(19,35),-3.03363 # DEPENDENCYPART_ARC
(20,1),-3.05028 # DEPENDENCYPART_ARC
(20,2),-2.08739 # DEPENDENCYPART_ARC
(20,3),-2.01941 # DEPENDENCYPART_ARC
(20,4),-1.78501 # DEPENDENCYPART_ARC
(20,5),-1.8516 # DEPENDENCYPART_ARC
(20,6),-2.93722 # DEPENDENCYPART_ARC
(20,7),-1.94528 # DEPENDENCYPART_ARC
(20,8),-2.69932 # DEPENDENCYPART_ARC
(20,9),-2.18022 # DEPENDENCYPART_ARC
(20,10),-2.79184 # DEPENDENCYPART_ARC
(20,11),-3.0739 # DEPENDENCYPART_ARC
(20,12),-1.51449 # DEPENDENCYPART_ARC
(20,13),-2.40206 # DEPENDENCYPART_ARC
(20,14),-1.49557 # DEPENDENCYPART_ARC
(20,15),-2.20256 # DEPENDENCYPART_ARC
(20,16),-1.47124 # DEPENDENCYPART_ARC
(20,17),-0.568277 # DEPENDENCYPART_ARC
(20,18),-0.140383 # DEPENDENCYPART_ARC
(20,19),-0.55017 # DEPENDENCYPART_ARC
(20,21),1.75838 # DEPENDENCYPART_ARC
(20,22),2.96543 # DEPENDENCYPART_ARC
(20,23),0.978904 # DEPENDENCYPART_ARC
(20,24),1.01163 # DEPENDENCYPART_ARC
(20,25),0.517565 # DEPENDENCYPART_ARC
(20,26),-0.537303 # DEPENDENCYPART_ARC
(20,27),-0.263968 # DEPENDENCYPART_ARC
(20,28),-0.514141 # DEPENDENCYPART_ARC
(20,29),-0.996374 # DEPENDENCYPART_ARC
(20,30),-2.63208 # DEPENDENCYPART_ARC
(20,31),-0.626496 # DEPENDENCYPART_ARC
(20,32),-3.27803 # DEPENDENCYPART_ARC
(20,33),-2.65345 # DEPENDENCYPART_ARC
(20,34),-0.841306 # DEPENDENCYPART_ARC
(20,35),-1.1633 # DEPENDENCYPART_ARC
(21,1),-3.68459 # DEPENDENCYPART_ARC
(21,2),-2.92009 # DEPENDENCYPART_ARC
(21,3),-2.55067 # DEPENDENCYPART_ARC
(21,4),-2.91377 # DEPENDENCYPART_ARC
(21,5),-2.67797 # DEPENDENCYPART_ARC
(21,6),-3.56977 # DEPENDENCYPART_ARC
(21,7),-2.95716 # DEPENDENCYPART_ARC
(21,8),-3.34336 # DEPENDENCYPART_ARC
(21,9),-1.66483 # DEPENDENCYPART_ARC
(21,10),-3.00293 # DEPENDENCYPART_ARC
(21,11),-3.94631 # DEPENDENCYPART_ARC
(21,12),-2.16363 # DEPENDENCYPART_ARC
(21,13),-2.84675 # DEPENDENCYPART_ARC
(21,14),-1.95157 # DEPENDENCYPART_ARC
(21,15),-2.90301 # DEPENDENCYPART_ARC
(21,16),-2.36345 # DEPENDENCYPART_ARC
(21,17),-1.38783 # DEPENDENCYPART_ARC
(21,18),-1.47156 # DEPENDENCYPART_ARC
(21,19),-1.8757 # DEPENDENCYPART_ARC
(21,20),-0.162341 # DEPENDENCYPART_ARC
(21,22),0.944196 # DEPENDENCYPART_ARC
(21,23),-0.161133 # DEPENDENCYPART_ARC
(21,24),-0.063548 # DEPENDENCYPART_ARC
(21,25),-0.809816 # DEPENDENCYPART_ARC
(21,26),-1.83233 # DEPENDENCYPART_ARC
(21,27),-2.25357 # DEPENDENCYPART_ARC
(21,28),-1.23217 # DEPENDENCYPART_ARC
(21,29),-1.75272 # DEPENDENCYPART_ARC
(21,30),-1.56447 # DEPENDENCYPART_ARC
(21,31),-1.697 # DEPENDENCYPART_ARC
(21,32),-1.46386 # DEPENDENCYPART_ARC
(21,33),-2.87616 # DEPENDENCYPART_ARC
(21,34),-1.60455 # DEPENDENCYPART_ARC
(21,35),-2.04169 # DEPENDENCYPART_ARC
(22,1),-3.1136 # DEPENDENCYPART_ARC
(22,2),-2.5472 # DEPENDENCYPART_ARC
(22,3),-1.91057 # DEPENDENCYPART_ARC
(22,4),-0.660434 # DEPENDENCYPART_ARC
(22,5),-2.38163 # DEPENDENCYPART_ARC
(22,6),-2.76077 # DEPENDENCYPART_ARC
(22,7),-1.42673 # DEPENDENCYPART_ARC
(22,8),-2.3175 # DEPENDENCYPART_ARC
(22,9),-0.789477 # DEPENDENCYPART_ARC
(22,10),-1.98987 # DEPENDENCYPART_ARC
(22,11),-1.43884 # DEPENDENCYPART_ARC
(22,12),-1.14178 # DEPENDENCYPART_ARC
(22,13),-1.84311 # DEPENDENCYPART_ARC
(22,14),-0.263221 # DEPENDENCYPART_ARC
(22,15),-2.07515 # DEPENDENCYPART_ARC
(22,16),-2.03257 # DEPENDENCYPART_ARC
(22,17),-0.0754927 # DEPENDENCYPART_ARC
(22,18),1.0124 # DEPENDENCYPART_ARC
(22,19),-0.334077 # DEPENDENCYPART_ARC
(22,20),0.741225 # DEPENDENCYPART_ARC
(22,21),3.85453 # DEPENDENCYPART_ARC
(22,23),1.68467 # DEPENDENCYPART_ARC
(22,24),1.08723 # DEPENDENCYPART_ARC
(22,25),0.377437 # DEPENDENCYPART_ARC
(22,26),-0.042055 # DEPENDENCYPART_ARC
(22,27),-1.14522 # DEPENDENCYPART_ARC
(22,28),-0.563152 # DEPENDENCYPART_ARC
(22,29),-1.04581 # DEPENDENCYPART_ARC
(22,30),-0.553367 # DEPENDENCYPART_ARC
(22,31),-0.499752 # DEPENDENCYPART_ARC
(22,32),-0.785153 # DEPENDENCYPART_ARC
(22,33),-1.99052 # DEPENDENCYPART_ARC
(22,34),-1.34667 # DEPENDENCYPART_ARC
(22,35),-2.22027 # DEPENDENCYPART_ARC
(23,1),-2.9818 # DEPENDENCYPART_ARC
(23,2),-1.99798 # DEPENDENCYPART_ARC
(23,3),-1.82861 # DEPENDENCYPART_ARC
(23,4),-1.38705 # DEPENDENCYPART_ARC
(23,5),-1.52841 # DEPENDENCYPART_ARC
(23,6),-2.67726 # DEPENDENCYPART_ARC
(23,7),-1.81062 # DEPENDENCYPART_ARC
(23,8),-2.56492 # DEPENDENCYPART_ARC
(23,9),-1.95279 # DEPENDENCYPART_ARC
(23,10),-2.48365 # DEPENDENCYPART_ARC
(23,11),-2.8396 # DEPENDENCYPART_ARC
(23,12),-1.44746 # DEPENDENCYPART_ARC
(23,13),-2.25109 # DEPENDENCYPART_ARC
(23,14),-1.30468 # DEPENDENCYPART_ARC
(23,15),-2.19492 # DEPENDENCYPART_ARC
(23,16),-1.56859 # DEPENDENCYPART_ARC
(23,17),-0.934957 # DEPENDENCYPART_ARC
(23,18),-0.573041 # DEPENDENCYPART_ARC
(23,19),-1.82598 # DEPENDENCYPART_ARC
(23,20),-0.5979 # DEPENDENCYPART_ARC
(23,21),-0.795826 # DEPENDENCYPART_ARC
(23,22),-0.557262 # DEPENDENCYPART_ARC
(23,24),4.13317 # DEPENDENCYPART_ARC
(23,25),0.276039 # DEPENDENCYPART_ARC
(23,26),-0.711103 # DEPENDENCYPART_ARC
(23,27),-0.605848 # DEPENDENCYPART_ARC
(23,28),-1.27478 # DEPENDENCYPART_ARC
(23,29),-1.62642 # DEPENDENCYPART_ARC
(23,30),-2.45717 # DEPENDENCYPART_ARC
(23,31),-1.21473 # DEPENDENCYPART_ARC
(23,32),-2.63412 # DEPENDENCYPART_ARC
(23,33),-3.08877 # DEPENDENCYPART_ARC
(23,34),-1.81148 # DEPENDENCYPART_ARC
(23,35),-1.57314 # DEPENDENCYPART_ARC
(24,1),-3.1099 # DEPENDENCYPART_ARC
(24,2),-3.71753 # DEPENDENCYPART_ARC
(24,3),-3.18607 # DEPENDENCYPART_ARC
(24,4),-1.88681 # DEPENDENCYPART_ARC
(24,5),-4.52938 # DEPENDENCYPART_ARC
(24,6),-4.74724 # DEPENDENCYPART_ARC
(24,7),-2.95837 # DEPENDENCYPART_ARC
(24,8),-4.18377 # DEPENDENCYPART_ARC
(24,9),-1.9662 # DEPENDENCYPART_ARC
(24,10),-3.69001 # DEPENDENCYPART_ARC
(24,11),-2.42418 # DEPENDENCYPART_ARC
(24,12),-2.36693 # DEPENDENCYPART_ARC
(24,13),-2.99468 # DEPENDENCYPART_ARC
(24,14),-1.84238 # DEPENDENCYPART_ARC
(24,15),-4.33127 # DEPENDENCYPART_ARC
(24,16),-3.20667 # DEPENDENCYPART_ARC
(24,17),-1.68307 # DEPENDENCYPART_ARC
(24,18),-1.07304 # DEPENDENCYPART_ARC
(24,19),-2.64593 # DEPENDENCYPART_ARC
(24,20),-1.3361 # DEPENDENCYPART_ARC
(24,21),-0.754731 # DEPENDENCYPART_ARC
(24,22),-2.18562 # DEPENDENCYPART_ARC
(24,23),0.516035 # DEPENDENCYPART_ARC
(24,25),2.13306 # DEPENDENCYPART_ARC
(24,26),-0.336614 # DEPENDENCYPART_ARC
(24,27),-0.961256 # DEPENDENCYPART_ARC
(24,28),-0.765767 # DEPENDENCYPART_ARC
(24,29),-1.0336 # DEPENDENCYPART_ARC
(24,30),-0.951862 # DEPENDENCYPART_ARC
(24,31),-0.914 # DEPENDENCYPART_ARC
(24,32),-0.919918 # DEPENDENCYPART_ARC
(24,33),-2.08102 # DEPENDENCYPART_ARC
(24,34),-1.61966 # DEPENDENCYPART_ARC
(24,35),-2.0881 # DEPENDENCYPART_ARC
(25,1),-2.77462 # DEPENDENCYPART_ARC
(25,2),-2.40156 # DEPENDENCYPART_ARC
(25,3),-2.53435 # DEPENDENCYPART_ARC
(25,4),-2.27855 # DEPENDENCYPART_ARC
(25,5),-2.09332 # DEPENDENCYPART_ARC
(25,6),-2.59331 # DEPENDENCYPART_ARC
(25,7),-2.10842 # DEPENDENCYPART_ARC
(25,8),-2.62142 # DEPENDENCYPART_ARC
(25,9),-2.30858 # DEPENDENCYPART_ARC
(25,10),-2.84419 # DEPENDENCYPART_ARC
(25,11),-2.88037 # DEPENDENCYPART_ARC
(25,12),-1.92309 # DEPENDENCYPART_ARC
(25,13),-2.67445 # DEPENDENCYPART_ARC
(25,14),-1.8531 # DEPENDENCYPART_ARC
(25,15),-2.43679 # DEPENDENCYPART_ARC
(25,16),-1.97643 # DEPENDENCYPART_ARC
(25,17),-1.73172 # DEPENDENCYPART_ARC
(25,18),-1.78993 # DEPENDENCYPART_ARC
(25,19),-2.20106 # DEPENDENCYPART_ARC
(25,20),-1.48266 # DEPENDENCYPART_ARC
(25,21),-1.9176 # DEPENDENCYPART_ARC
(25,22),-1.62187 # DEPENDENCYPART_ARC
(25,23),-0.871367 # DEPENDENCYPART_ARC
(25,24),-0.590719 # DEPENDENCYPART_ARC
(25,26),-0.727822 # DEPENDENCYPART_ARC
(25,27),-1.64834 # DEPENDENCYPART_ARC
(25,28),-2.05263 # DEPENDENCYPART_ARC
(25,29),-2.26558 # DEPENDENCYPART_ARC
(25,30),-2.4098 # DEPENDENCYPART_ARC
(25,31),-2.50909 # DEPENDENCYPART_ARC
(25,32),-2.54488 # DEPENDENCYPART_ARC
(25,33),-2.32449 # DEPENDENCYPART_ARC
(25,34),-2.85595 # DEPENDENCYPART_ARC
(25,35),-1.55836 # DEPENDENCYPART_ARC
(26,1),-2.38315 # DEPENDENCYPART_ARC
(26,2),-3.58177 # DEPENDENCYPART_ARC
(26,3),-2.89711 # DEPENDENCYPART_ARC
(26,4),-0.232341 # DEPENDENCYPART_ARC
(26,5),-2.90664 # DEPENDENCYPART_ARC
(26,6),-0.975499 # DEPENDENCYPART_ARC
(26,7),-2.533 # DEPENDENCYPART_ARC
(26,8),-1.54918 # DEPENDENCYPART_ARC
(26,9),-2.06977 # DEPENDENCYPART_ARC
(26,10),-2.26812 # DEPENDENCYPART_ARC
(26,11),-2.24271 # DEPENDENCYPART_ARC
(26,12),-1.59963 # DEPENDENCYPART_ARC
(26,13),-1.16163 # DEPENDENCYPART_ARC
(26,14),-2.01627 # DEPENDENCYPART_ARC
(26,15),-1.15588 # DEPENDENCYPART_ARC
(26,16),-2.77339 # DEPENDENCYPART_ARC
(26,17),-0.0462254 # DEPENDENCYPART_ARC
(26,18),-1.38767 # DEPENDENCYPART_ARC
(26,19),-1.25241 # DEPENDENCYPART_ARC
(26,20),-1.5078 # DEPENDENCYPART_ARC
(26,21),-1.32301 # DEPENDENCYPART_ARC
(26,22),-0.658768 # DEPENDENCYPART_ARC
(26,23),-0.866759 # DEPENDENCYPART_ARC
(26,24),-0.288469 # DEPENDENCYPART_ARC
(26,25),-0.143581 # DEPENDENCYPART_ARC
(26,27),2.23355 # DEPENDENCYPART_ARC
(26,28),0.665263 # DEPENDENCYPART_ARC
(26,29),-2.02778 # DEPENDENCYPART_ARC
(26,30),-0.174861 # DEPENDENCYPART_ARC
(26,31),-0.850107 # DEPENDENCYPART_ARC
(26,32),-1.49327 # DEPENDENCYPART_ARC
(26,33),0.419087 # DEPENDENCYPART_ARC
(26,34),-1.33068 # DEPENDENCYPART_ARC
(26,35),-1.21412 # DEPENDENCYPART_ARC
(27,1),-1.1115 # DEPENDENCYPART_ARC
(27,2),-2.58639 # DEPENDENCYPART_ARC
(27,3),-1.97364 # DEPENDENCYPART_ARC
(27,4),0.701439 # DEPENDENCYPART_ARC
(27,5),-0.855299 # DEPENDENCYPART_ARC
(27,6),0.0810875 # DEPENDENCYPART_ARC
(27,7),-0.970523 # DEPENDENCYPART_ARC
(27,8),-0.632899 # DEPENDENCYPART_ARC
(27,9),-1.36604 # DEPENDENCYPART_ARC
(27,10),-0.960644 # DEPENDENCYPART_ARC
(27,11),-1.52293 # DEPENDENCYPART_ARC
(27,12),0.0349376 # DEPENDENCYPART_ARC
(27,13),-0.779639 # DEPENDENCYPART_ARC
(27,14),0.245677 # DEPENDENCYPART_ARC
(27,15),0.429376 # DEPENDENCYPART_ARC
(27,16),-1.97907 # DEPENDENCYPART_ARC
(27,17),1.54797 # DEPENDENCYPART_ARC
(27,18),-0.127403 # DEPENDENCYPART_ARC
(27,19),1.21816 # DEPENDENCYPART_ARC
(27,20),0.0773016 # DEPENDENCYPART_ARC
(27,21),0.278164 # DEPENDENCYPART_ARC
(27,22),0.853141 # DEPENDENCYPART_ARC
(27,23),0.514103 # DEPENDENCYPART_ARC
(27,24),1.19007 # DEPENDENCYPART_ARC
(27,25),-0.502238 # DEPENDENCYPART_ARC
(27,26),3.19428 # DEPENDENCYPART_ARC
(27,28),2.19319 # DEPENDENCYPART_ARC
(27,29),0.0240918 # DEPENDENCYPART_ARC
(27,30),1.26465 # DEPENDENCYPART_ARC
(27,31),0.393681 # DEPENDENCYPART_ARC
(27,32),-0.000414428 # DEPENDENCYPART_ARC
(27,33),0.860644 # DEPENDENCYPART_ARC
(27,34),-0.68063 # DEPENDENCYPART_ARC
(27,35),-0.537546 # DEPENDENCYPART_ARC
(28,1),-3.35622 # DEPENDENCYPART_ARC
(28,2),-2.29185 # DEPENDENCYPART_ARC
(28,3),-2.19618 # DEPENDENCYPART_ARC
(28,4),-2.00934 # DEPENDENCYPART_ARC
(28,5),-2.32119 # DEPENDENCYPART_ARC
(28,6),-3.26912 # DEPENDENCYPART_ARC
(28,7),-2.53291 # DEPENDENCYPART_ARC
(28,8),-3.02602 # DEPENDENCYPART_ARC
(28,9),-1.7861 # DEPENDENCYPART_ARC
(28,10),-3.0915 # DEPENDENCYPART_ARC
(28,11),-3.04842 # DEPENDENCYPART_ARC
(28,12),-2.42036 # DEPENDENCYPART_ARC
(28,13),-2.98995 # DEPENDENCYPART_ARC
(28,14),-2.19559 # DEPENDENCYPART_ARC
(28,15),-2.81427 # DEPENDENCYPART_ARC
(28,16),-2.17388 # DEPENDENCYPART_ARC
(28,17),-2.26637 # DEPENDENCYPART_ARC
(28,18),-2.0647 # DEPENDENCYPART_ARC
(28,19),-2.62075 # DEPENDENCYPART_ARC
(28,20),-2.02542 # DEPENDENCYPART_ARC
(28,21),-2.31223 # DEPENDENCYPART_ARC
(28,22),-2.40633 # DEPENDENCYPART_ARC
(28,23),-1.73934 # DEPENDENCYPART_ARC
(28,24),-2.07182 # DEPENDENCYPART_ARC
(28,25),-1.42832 # DEPENDENCYPART_ARC
(28,26),-1.60254 # DEPENDENCYPART_ARC
(28,27),-0.739623 # DEPENDENCYPART_ARC
(28,29),0.539167 # DEPENDENCYPART_ARC
(28,30),0.440217 # DEPENDENCYPART_ARC
(28,31),-0.198274 # DEPENDENCYPART_ARC
(28,32),-0.160147 # DEPENDENCYPART_ARC
(28,33),3.07527 # DEPENDENCYPART_ARC
(28,34),-0.471754 # DEPENDENCYPART_ARC
(28,35),-0.131576 # DEPENDENCYPART_ARC
(29,1),-4.04541 # DEPENDENCYPART_ARC
(29,2),-3.21716 # DEPENDENCYPART_ARC
(29,3),-2.75933 # DEPENDENCYPART_ARC
(29,4),-3.68047 # DEPENDENCYPART_ARC
(29,5),-3.02595 # DEPENDENCYPART_ARC
(29,6),-3.87739 # DEPENDENCYPART_ARC
(29,7),-4.18056 # DEPENDENCYPART_ARC
(29,8),-3.83232 # DEPENDENCYPART_ARC
(29,9),-3.28033 # DEPENDENCYPART_ARC
(29,10),-4.28177 # DEPENDENCYPART_ARC
(29,11),-4.53453 # DEPENDENCYPART_ARC
(29,12),-3.68477 # DEPENDENCYPART_ARC
(29,13),-3.9496 # DEPENDENCYPART_ARC
(29,14),-2.92114 # DEPENDENCYPART_ARC
(29,15),-3.7256 # DEPENDENCYPART_ARC
(29,16),-3.04151 # DEPENDENCYPART_ARC
(29,17),-3.39885 # DEPENDENCYPART_ARC
(29,18),-3.14937 # DEPENDENCYPART_ARC
(29,19),-3.61541 # DEPENDENCYPART_ARC
(29,20),-3.44095 # DEPENDENCYPART_ARC
(29,21),-3.1618 # DEPENDENCYPART_ARC
(29,22),-3.40258 # DEPENDENCYPART_ARC
(29,23),-3.23583 # DEPENDENCYPART_ARC
(29,24),-3.43868 # DEPENDENCYPART_ARC
(29,25),-2.68026 # DEPENDENCYPART_ARC
(29,26),-3.47155 # DEPENDENCYPART_ARC
(29,27),-2.42827 # DEPENDENCYPART_ARC
