# _root_ I due hanno la stessa passione di tanti ragazzi della loro età : la discoteca , la musica a tutto volume , le serate di divertimento che proseguono fino_all' alba .
#goldHeads=2,3,0,6,6,3,6,9,7,9,12,10,12,15,6,15,18,15,18,21,19,15,24,15,24,25,28,24,28,29,30,
#predictedHeads=2,3,0,6,6,3,6,9,7,9,12,10,12,15,10,15,18,15,18,21,19,21,24,19,24,25,28,24,28,29,30,
(16,27),-2.40372 # DEPENDENCYPART_ARC
(16,28),-2.18038 # DEPENDENCYPART_ARC
(16,29),-2.64019 # DEPENDENCYPART_ARC
(16,30),-2.57011 # DEPENDENCYPART_ARC
(16,31),-1.72292 # DEPENDENCYPART_ARC
(17,1),-2.64631 # DEPENDENCYPART_ARC
(17,2),-2.37371 # DEPENDENCYPART_ARC
(17,3),-3.47903 # DEPENDENCYPART_ARC
(17,4),-1.92512 # DEPENDENCYPART_ARC
(17,5),-2.18585 # DEPENDENCYPART_ARC
(17,6),-2.64355 # DEPENDENCYPART_ARC
(17,7),-2.28517 # DEPENDENCYPART_ARC
(17,8),-2.36317 # DEPENDENCYPART_ARC
(17,9),-2.91034 # DEPENDENCYPART_ARC
(17,10),-2.31602 # DEPENDENCYPART_ARC
(17,11),-2.22065 # DEPENDENCYPART_ARC
(17,12),-2.4028 # DEPENDENCYPART_ARC
(17,13),-1.24313 # DEPENDENCYPART_ARC
(17,14),-1.12603 # DEPENDENCYPART_ARC
(17,15),-1.59478 # DEPENDENCYPART_ARC
(17,16),0.231322 # DEPENDENCYPART_ARC
(17,18),1.02293 # DEPENDENCYPART_ARC
(17,19),-0.131449 # DEPENDENCYPART_ARC
(17,20),-0.87594 # DEPENDENCYPART_ARC
(17,21),-0.782178 # DEPENDENCYPART_ARC
(17,22),-0.579914 # DEPENDENCYPART_ARC
(17,23),-1.1358 # DEPENDENCYPART_ARC
(17,24),-0.713081 # DEPENDENCYPART_ARC
(17,25),-0.689882 # DEPENDENCYPART_ARC
(17,26),-1.21742 # DEPENDENCYPART_ARC
(17,27),-1.57804 # DEPENDENCYPART_ARC
(17,28),-1.02731 # DEPENDENCYPART_ARC
(17,29),-1.57113 # DEPENDENCYPART_ARC
(17,30),-1.03414 # DEPENDENCYPART_ARC
(17,31),-1.07202 # DEPENDENCYPART_ARC
(18,1),-3.20898 # DEPENDENCYPART_ARC
(18,2),-2.19245 # DEPENDENCYPART_ARC
(18,3),-2.76522 # DEPENDENCYPART_ARC
(18,4),-2.13194 # DEPENDENCYPART_ARC
(18,5),-0.298555 # DEPENDENCYPART_ARC
(18,6),-2.8591 # DEPENDENCYPART_ARC
(18,7),-1.61887 # DEPENDENCYPART_ARC
(18,8),-0.672734 # DEPENDENCYPART_ARC
(18,9),-2.59409 # DEPENDENCYPART_ARC
(18,10),-0.960797 # DEPENDENCYPART_ARC
(18,11),-0.274685 # DEPENDENCYPART_ARC
(18,12),-2.32581 # DEPENDENCYPART_ARC
(18,13),-2.05497 # DEPENDENCYPART_ARC
(18,14),0.54293 # DEPENDENCYPART_ARC
(18,15),-1.70584 # DEPENDENCYPART_ARC
(18,16),-1.10549 # DEPENDENCYPART_ARC
(18,17),3.33915 # DEPENDENCYPART_ARC
(18,19),1.28448 # DEPENDENCYPART_ARC
(18,20),0.446943 # DEPENDENCYPART_ARC
(18,21),0.546455 # DEPENDENCYPART_ARC
(18,22),0.495061 # DEPENDENCYPART_ARC
(18,23),-0.464673 # DEPENDENCYPART_ARC
(18,24),0.234645 # DEPENDENCYPART_ARC
(18,25),0.325281 # DEPENDENCYPART_ARC
(18,26),-0.0201647 # DEPENDENCYPART_ARC
(18,27),-1.75758 # DEPENDENCYPART_ARC
(18,28),0.391474 # DEPENDENCYPART_ARC
(18,29),-1.15237 # DEPENDENCYPART_ARC
(18,30),-0.77494 # DEPENDENCYPART_ARC
(18,31),-2.46872 # DEPENDENCYPART_ARC
(19,1),-1.60184 # DEPENDENCYPART_ARC
(19,2),-1.73187 # DEPENDENCYPART_ARC
(19,3),-2.12075 # DEPENDENCYPART_ARC
(19,4),-1.54071 # DEPENDENCYPART_ARC
(19,5),-1.93962 # DEPENDENCYPART_ARC
(19,6),-1.85428 # DEPENDENCYPART_ARC
(19,7),-1.13957 # DEPENDENCYPART_ARC
(19,8),-1.31735 # DEPENDENCYPART_ARC
(19,9),-1.66364 # DEPENDENCYPART_ARC
(19,10),-1.06243 # DEPENDENCYPART_ARC
(19,11),-1.72574 # DEPENDENCYPART_ARC
(19,12),-1.58021 # DEPENDENCYPART_ARC
(19,13),-1.28099 # DEPENDENCYPART_ARC
(19,14),-1.00731 # DEPENDENCYPART_ARC
(19,15),-1.2768 # DEPENDENCYPART_ARC
(19,16),-0.870953 # DEPENDENCYPART_ARC
(19,17),-0.101546 # DEPENDENCYPART_ARC
(19,18),0.0946678 # DEPENDENCYPART_ARC
(19,20),1.65872 # DEPENDENCYPART_ARC
(19,21),3.78527 # DEPENDENCYPART_ARC
(19,22),0.243476 # DEPENDENCYPART_ARC
(19,23),-0.308407 # DEPENDENCYPART_ARC
(19,24),0.436479 # DEPENDENCYPART_ARC
(19,25),-0.783398 # DEPENDENCYPART_ARC
(19,26),-0.45622 # DEPENDENCYPART_ARC
(19,27),-0.825621 # DEPENDENCYPART_ARC
(19,28),-0.921259 # DEPENDENCYPART_ARC
(19,29),-0.75262 # DEPENDENCYPART_ARC
(19,30),-3.18117 # DEPENDENCYPART_ARC
(19,31),-1.29375 # DEPENDENCYPART_ARC
(20,1),-2.12254 # DEPENDENCYPART_ARC
(20,2),-2.46956 # DEPENDENCYPART_ARC
(20,3),-3.45404 # DEPENDENCYPART_ARC
(20,4),-2.30093 # DEPENDENCYPART_ARC
(20,5),-2.65535 # DEPENDENCYPART_ARC
(20,6),-3.30707 # DEPENDENCYPART_ARC
(20,7),-2.18307 # DEPENDENCYPART_ARC
(20,8),-2.09706 # DEPENDENCYPART_ARC
(20,9),-2.98036 # DEPENDENCYPART_ARC
(20,10),-2.43121 # DEPENDENCYPART_ARC
(20,11),-2.37617 # DEPENDENCYPART_ARC
(20,12),-3.17699 # DEPENDENCYPART_ARC
(20,13),-2.16857 # DEPENDENCYPART_ARC
(20,14),-2.00039 # DEPENDENCYPART_ARC
(20,15),-2.82576 # DEPENDENCYPART_ARC
(20,16),-1.96168 # DEPENDENCYPART_ARC
(20,17),-1.37853 # DEPENDENCYPART_ARC
(20,18),-2.15639 # DEPENDENCYPART_ARC
(20,19),-0.304472 # DEPENDENCYPART_ARC
(20,21),0.918725 # DEPENDENCYPART_ARC
(20,22),-0.221463 # DEPENDENCYPART_ARC
(20,23),-1.24681 # DEPENDENCYPART_ARC
(20,24),-1.20035 # DEPENDENCYPART_ARC
(20,25),-0.447784 # DEPENDENCYPART_ARC
(20,26),-0.725861 # DEPENDENCYPART_ARC
(20,27),-1.03215 # DEPENDENCYPART_ARC
(20,28),-1.0671 # DEPENDENCYPART_ARC
(20,29),-0.565986 # DEPENDENCYPART_ARC
(20,30),-1.12127 # DEPENDENCYPART_ARC
(20,31),-0.952316 # DEPENDENCYPART_ARC
(21,1),-2.56617 # DEPENDENCYPART_ARC
(21,2),-2.0143 # DEPENDENCYPART_ARC
(21,3),-2.47408 # DEPENDENCYPART_ARC
(21,4),-2.47608 # DEPENDENCYPART_ARC
(21,5),-0.861829 # DEPENDENCYPART_ARC
(21,6),-2.99238 # DEPENDENCYPART_ARC
(21,7),-1.71324 # DEPENDENCYPART_ARC
(21,8),-0.0468755 # DEPENDENCYPART_ARC
(21,9),-1.782 # DEPENDENCYPART_ARC
(21,10),-1.08149 # DEPENDENCYPART_ARC
(21,11),-0.233083 # DEPENDENCYPART_ARC
(21,12),-2.55774 # DEPENDENCYPART_ARC
(21,13),-2.02219 # DEPENDENCYPART_ARC
(21,14),-0.77346 # DEPENDENCYPART_ARC
(21,15),-2.69688 # DEPENDENCYPART_ARC
(21,16),-1.79056 # DEPENDENCYPART_ARC
(21,17),0.493062 # DEPENDENCYPART_ARC
(21,18),-1.39855 # DEPENDENCYPART_ARC
(21,19),0.589369 # DEPENDENCYPART_ARC
(21,20),3.52067 # DEPENDENCYPART_ARC
(21,22),1.87324 # DEPENDENCYPART_ARC
(21,23),-0.585598 # DEPENDENCYPART_ARC
(21,24),-0.0508277 # DEPENDENCYPART_ARC
(21,25),0.659411 # DEPENDENCYPART_ARC
(21,26),0.137105 # DEPENDENCYPART_ARC
(21,27),-1.48757 # DEPENDENCYPART_ARC
(21,28),0.203235 # DEPENDENCYPART_ARC
(21,29),-0.80215 # DEPENDENCYPART_ARC
(21,30),-0.738631 # DEPENDENCYPART_ARC
(21,31),-1.13527 # DEPENDENCYPART_ARC
(22,1),-2.31121 # DEPENDENCYPART_ARC
(22,2),-2.39922 # DEPENDENCYPART_ARC
(22,3),-2.87343 # DEPENDENCYPART_ARC
(22,4),-2.0873 # DEPENDENCYPART_ARC
(22,5),-2.55665 # DEPENDENCYPART_ARC
(22,6),-2.66838 # DEPENDENCYPART_ARC
(22,7),-2.11453 # DEPENDENCYPART_ARC
(22,8),-2.23526 # DEPENDENCYPART_ARC
(22,9),-2.54126 # DEPENDENCYPART_ARC
(22,10),-2.00614 # DEPENDENCYPART_ARC
(22,11),-2.53967 # DEPENDENCYPART_ARC
(22,12),-2.58071 # DEPENDENCYPART_ARC
(22,13),-2.17391 # DEPENDENCYPART_ARC
(22,14),-1.9579 # DEPENDENCYPART_ARC
(22,15),-2.44546 # DEPENDENCYPART_ARC
(22,16),-2.0473 # DEPENDENCYPART_ARC
(22,17),-1.67216 # DEPENDENCYPART_ARC
(22,18),-2.12917 # DEPENDENCYPART_ARC
(22,19),-1.18307 # DEPENDENCYPART_ARC
(22,20),-1.01266 # DEPENDENCYPART_ARC
(22,21),-0.746561 # DEPENDENCYPART_ARC
(22,23),-0.708164 # DEPENDENCYPART_ARC
(22,24),-1.29034 # DEPENDENCYPART_ARC
(22,25),-1.75003 # DEPENDENCYPART_ARC
(22,26),-1.82726 # DEPENDENCYPART_ARC
(22,27),-2.03327 # DEPENDENCYPART_ARC
(22,28),-1.74992 # DEPENDENCYPART_ARC
(22,29),-2.28015 # DEPENDENCYPART_ARC
(22,30),-2.32808 # DEPENDENCYPART_ARC
(22,31),-1.25104 # DEPENDENCYPART_ARC
(23,1),-2.33584 # DEPENDENCYPART_ARC
(23,2),-2.35534 # DEPENDENCYPART_ARC
(23,3),-3.3275 # DEPENDENCYPART_ARC
(23,4),-2.28549 # DEPENDENCYPART_ARC
(23,5),-2.58444 # DEPENDENCYPART_ARC
(23,6),-2.87625 # DEPENDENCYPART_ARC
(23,7),-2.41557 # DEPENDENCYPART_ARC
(23,8),-2.15002 # DEPENDENCYPART_ARC
(23,9),-2.75333 # DEPENDENCYPART_ARC
(23,10),-2.56269 # DEPENDENCYPART_ARC
(23,11),-2.16728 # DEPENDENCYPART_ARC
(23,12),-2.77082 # DEPENDENCYPART_ARC
(23,13),-1.56595 # DEPENDENCYPART_ARC
(23,14),-2.17486 # DEPENDENCYPART_ARC
(23,15),-2.69331 # DEPENDENCYPART_ARC
(23,16),-1.5441 # DEPENDENCYPART_ARC
(23,17),-2.04826 # DEPENDENCYPART_ARC
(23,18),-2.44102 # DEPENDENCYPART_ARC
(23,19),-1.55188 # DEPENDENCYPART_ARC
(23,20),-1.50017 # DEPENDENCYPART_ARC
(23,21),-1.93379 # DEPENDENCYPART_ARC
(23,22),0.333655 # DEPENDENCYPART_ARC
(23,24),0.954094 # DEPENDENCYPART_ARC
(23,25),-0.185151 # DEPENDENCYPART_ARC
(23,26),-1.09729 # DEPENDENCYPART_ARC
(23,27),-1.18866 # DEPENDENCYPART_ARC
(23,28),-0.573078 # DEPENDENCYPART_ARC
(23,29),-1.18422 # DEPENDENCYPART_ARC
(23,30),-1.42656 # DEPENDENCYPART_ARC
(23,31),-0.972774 # DEPENDENCYPART_ARC
(24,1),-3.48941 # DEPENDENCYPART_ARC
(24,2),-2.56838 # DEPENDENCYPART_ARC
(24,3),-3.1026 # DEPENDENCYPART_ARC
(24,4),-3.79528 # DEPENDENCYPART_ARC
(24,5),-1.47796 # DEPENDENCYPART_ARC
(24,6),-2.86035 # DEPENDENCYPART_ARC
(24,7),-1.85162 # DEPENDENCYPART_ARC
(24,8),0.117844 # DEPENDENCYPART_ARC
(24,9),-1.83495 # DEPENDENCYPART_ARC
(24,10),-1.60093 # DEPENDENCYPART_ARC
(24,11),-0.398618 # DEPENDENCYPART_ARC
(24,12),-2.09335 # DEPENDENCYPART_ARC
(24,13),-2.57408 # DEPENDENCYPART_ARC
(24,14),-1.86755 # DEPENDENCYPART_ARC
(24,15),-2.52861 # DEPENDENCYPART_ARC
(24,16),-2.59467 # DEPENDENCYPART_ARC
(24,17),-1.02862 # DEPENDENCYPART_ARC
(24,18),-2.06206 # DEPENDENCYPART_ARC
(24,19),-0.173206 # DEPENDENCYPART_ARC
(24,20),0.779686 # DEPENDENCYPART_ARC
(24,21),-1.44976 # DEPENDENCYPART_ARC
(24,22),-0.835048 # DEPENDENCYPART_ARC
(24,23),3.75545 # DEPENDENCYPART_ARC
(24,25),2.92464 # DEPENDENCYPART_ARC
(24,26),1.15226 # DEPENDENCYPART_ARC
(24,27),-0.507223 # DEPENDENCYPART_ARC
(24,28),1.57008 # DEPENDENCYPART_ARC
(24,29),0.069283 # DEPENDENCYPART_ARC
(24,30),0.171273 # DEPENDENCYPART_ARC
(24,31),-0.722482 # DEPENDENCYPART_ARC
(25,1),-2.07716 # DEPENDENCYPART_ARC
(25,2),-2.32662 # DEPENDENCYPART_ARC
(25,3),-2.62766 # DEPENDENCYPART_ARC
(25,4),-2.02814 # DEPENDENCYPART_ARC
(25,5),-2.30991 # DEPENDENCYPART_ARC
(25,6),-2.28599 # DEPENDENCYPART_ARC
(25,7),-1.80208 # DEPENDENCYPART_ARC
(25,8),-1.70693 # DEPENDENCYPART_ARC
(25,9),-2.18984 # DEPENDENCYPART_ARC
(25,10),-1.8383 # DEPENDENCYPART_ARC
(25,11),-2.32897 # DEPENDENCYPART_ARC
(25,12),-2.07077 # DEPENDENCYPART_ARC
(25,13),-1.9659 # DEPENDENCYPART_ARC
(25,14),-1.86855 # DEPENDENCYPART_ARC
(25,15),-2.01169 # DEPENDENCYPART_ARC
(25,16),-2.04512 # DEPENDENCYPART_ARC
(25,17),-1.70876 # DEPENDENCYPART_ARC
(25,18),-1.98926 # DEPENDENCYPART_ARC
(25,19),-1.22268 # DEPENDENCYPART_ARC
(25,20),-1.22221 # DEPENDENCYPART_ARC
(25,21),-1.47503 # DEPENDENCYPART_ARC
(25,22),-1.34894 # DEPENDENCYPART_ARC
(25,23),-0.499499 # DEPENDENCYPART_ARC
(25,24),-0.332035 # DEPENDENCYPART_ARC
(25,26),4.10162 # DEPENDENCYPART_ARC
(25,27),0.108982 # DEPENDENCYPART_ARC
(25,28),-0.341479 # DEPENDENCYPART_ARC
(25,29),-0.669576 # DEPENDENCYPART_ARC
(25,30),-0.367632 # DEPENDENCYPART_ARC
(25,31),-0.852484 # DEPENDENCYPART_ARC
(26,1),-4.54231 # DEPENDENCYPART_ARC
(26,2),-3.56206 # DEPENDENCYPART_ARC
(26,3),-3.67017 # DEPENDENCYPART_ARC
(26,4),-4.71842 # DEPENDENCYPART_ARC
(26,5),-2.6115 # DEPENDENCYPART_ARC
(26,6),-4.33773 # DEPENDENCYPART_ARC
(26,7),-2.9931 # DEPENDENCYPART_ARC
(26,8),-1.21218 # DEPENDENCYPART_ARC
(26,9),-3.15411 # DEPENDENCYPART_ARC
(26,10),-2.21391 # DEPENDENCYPART_ARC
(26,11),-2.10089 # DEPENDENCYPART_ARC
(26,12),-3.9029 # DEPENDENCYPART_ARC
(26,13),-3.26781 # DEPENDENCYPART_ARC
(26,14),-2.97142 # DEPENDENCYPART_ARC
(26,15),-4.06712 # DEPENDENCYPART_ARC
(26,16),-3.41919 # DEPENDENCYPART_ARC
(26,17),-2.19158 # DEPENDENCYPART_ARC
(26,18),-3.61861 # DEPENDENCYPART_ARC
(26,19),-1.61551 # DEPENDENCYPART_ARC
(26,20),0.227692 # DEPENDENCYPART_ARC
(26,21),-2.3999 # DEPENDENCYPART_ARC
(26,22),-2.61288 # DEPENDENCYPART_ARC
(26,23),0.0922085 # DEPENDENCYPART_ARC
(26,24),-1.50773 # DEPENDENCYPART_ARC
(26,25),0.72606 # DEPENDENCYPART_ARC
(26,27),-0.0786986 # DEPENDENCYPART_ARC
(26,28),1.17849 # DEPENDENCYPART_ARC
(26,29),0.29303 # DEPENDENCYPART_ARC
(26,30),0.0319023 # DEPENDENCYPART_ARC
(26,31),-0.451137 # DEPENDENCYPART_ARC
(27,1),-2.32827 # DEPENDENCYPART_ARC
(27,2),-2.05459 # DEPENDENCYPART_ARC
(27,3),-3.1522 # DEPENDENCYPART_ARC
(27,4),-1.06742 # DEPENDENCYPART_ARC
(27,5),-2.09184 # DEPENDENCYPART_ARC
(27,6),-2.49641 # DEPENDENCYPART_ARC
(27,7),-2.08497 # DEPENDENCYPART_ARC
(27,8),-2.05492 # DEPENDENCYPART_ARC
(27,9),-2.99435 # DEPENDENCYPART_ARC
(27,10),-1.99632 # DEPENDENCYPART_ARC
(27,11),-2.37717 # DEPENDENCYPART_ARC
(27,12),-2.23204 # DEPENDENCYPART_ARC
(27,13),-2.01086 # DEPENDENCYPART_ARC
(27,14),-0.705011 # DEPENDENCYPART_ARC
(27,15),-2.43726 # DEPENDENCYPART_ARC
(27,16),-2.01672 # DEPENDENCYPART_ARC
(27,17),-0.659202 # DEPENDENCYPART_ARC
(27,18),-2.30493 # DEPENDENCYPART_ARC
(27,19),-1.55555 # DEPENDENCYPART_ARC
(27,20),-1.36814 # DEPENDENCYPART_ARC
(27,21),-2.54415 # DEPENDENCYPART_ARC
(27,22),-1.63263 # DEPENDENCYPART_ARC
(27,23),-0.613084 # DEPENDENCYPART_ARC
(27,24),-1.90736 # DEPENDENCYPART_ARC
(27,25),-0.629354 # DEPENDENCYPART_ARC
(27,26),-0.936653 # DEPENDENCYPART_ARC
(27,28),0.662142 # DEPENDENCYPART_ARC
(27,29),-1.3117 # DEPENDENCYPART_ARC
(27,30),-0.590866 # DEPENDENCYPART_ARC
(27,31),-0.621796 # DEPENDENCYPART_ARC
(28,1),-1.94064 # DEPENDENCYPART_ARC
(28,2),-0.871042 # DEPENDENCYPART_ARC
(28,3),-2.93412 # DEPENDENCYPART_ARC
(28,4),-2.57854 # DEPENDENCYPART_ARC
(28,5),-2.01287 # DEPENDENCYPART_ARC
(28,6),-2.49348 # DEPENDENCYPART_ARC
(28,7),-2.94061 # DEPENDENCYPART_ARC
(28,8),-1.37284 # DEPENDENCYPART_ARC
(28,9),-0.844721 # DEPENDENCYPART_ARC
(28,10),-2.36331 # DEPENDENCYPART_ARC
(28,11),-1.94977 # DEPENDENCYPART_ARC
(28,12),-1.94825 # DEPENDENCYPART_ARC
(28,13),-2.95467 # DEPENDENCYPART_ARC
(28,14),-2.40211 # DEPENDENCYPART_ARC
(28,15),-1.54695 # DEPENDENCYPART_ARC
(28,16),-3.18976 # DEPENDENCYPART_ARC
(28,17),-2.31352 # DEPENDENCYPART_ARC
(28,18),-0.981069 # DEPENDENCYPART_ARC
(28,19),-0.752306 # DEPENDENCYPART_ARC
(28,20),-1.39958 # DEPENDENCYPART_ARC
(28,21),-1.31385 # DEPENDENCYPART_ARC
(28,22),-2.79849 # DEPENDENCYPART_ARC
(28,23),-0.948038 # DEPENDENCYPART_ARC
(28,24),0.726965 # DEPENDENCYPART_ARC
(28,25),-0.969317 # DEPENDENCYPART_ARC
(28,26),-0.717907 # DEPENDENCYPART_ARC
(28,27),3.43783 # DEPENDENCYPART_ARC
(28,29),2.64776 # DEPENDENCYPART_ARC
(28,30),1.64592 # DEPENDENCYPART_ARC
(28,31),0.292678 # DEPENDENCYPART_ARC
(29,1),-2.09256 # DEPENDENCYPART_ARC
(29,2),-2.27772 # DEPENDENCYPART_ARC
(29,3),-3.73541 # DEPENDENCYPART_ARC
(29,4),-1.87216 # DEPENDENCYPART_ARC
(29,5),-2.38978 # DEPENDENCYPART_ARC
(29,6),-3.25762 # DEPENDENCYPART_ARC
(29,7),-1.96013 # DEPENDENCYPART_ARC
(29,8),-1.96771 # DEPENDENCYPART_ARC
(29,9),-3.14709 # DEPENDENCYPART_ARC
(29,10),-2.19456 # DEPENDENCYPART_ARC
(29,11),-2.60104 # DEPENDENCYPART_ARC
(29,12),-2.82747 # DEPENDENCYPART_ARC
(29,13),-2.06446 # DEPENDENCYPART_ARC
(29,14),-1.71032 # DEPENDENCYPART_ARC
(29,15),-2.96496 # DEPENDENCYPART_ARC
(29,16),-2.08548 # DEPENDENCYPART_ARC
(29,17),-1.60193 # DEPENDENCYPART_ARC
(29,18),-2.97433 # DEPENDENCYPART_ARC
(29,19),-1.45456 # DEPENDENCYPART_ARC
(29,20),-1.12161 # DEPENDENCYPART_ARC
(29,21),-2.60619 # DEPENDENCYPART_ARC
(29,22),-1.91966 # DEPENDENCYPART_ARC
(29,23),-1.68431 # DEPENDENCYPART_ARC
(29,24),-2.68891 # DEPENDENCYPART_ARC
(29,25),-1.11754 # DEPENDENCYPART_ARC
(29,26),-1.92036 # DEPENDENCYPART_ARC
(29,27),-1.09221 # DEPENDENCYPART_ARC
(29,28),-1.32703 # DEPENDENCYPART_ARC
(29,30),4.90207 # DEPENDENCYPART_ARC
(29,31),0.358885 # DEPENDENCYPART_ARC
(30,1),-6.08822 # DEPENDENCYPART_ARC
(30,2),-4.01273 # DEPENDENCYPART_ARC
(30,3),-3.50666 # DEPENDENCYPART_ARC
(30,4),-5.16616 # DEPENDENCYPART_ARC
(30,5),-2.55726 # DEPENDENCYPART_ARC
(30,6),-4.36947 # DEPENDENCYPART_ARC
(30,7),-3.96045 # DEPENDENCYPART_ARC
(30,8),-2.67817 # DEPENDENCYPART_ARC
(30,9),-4.27008 # DEPENDENCYPART_ARC
(30,10),-2.79993 # DEPENDENCYPART_ARC
(30,11),-2.32129 # DEPENDENCYPART_ARC
(30,12),-4.10254 # DEPENDENCYPART_ARC
(30,13),-3.59274 # DEPENDENCYPART_ARC
(30,14),-3.74466 # DEPENDENCYPART_ARC
(30,15),-4.29678 # DEPENDENCYPART_ARC
(30,16),-3.78807 # DEPENDENCYPART_ARC
(30,17),-2.92899 # DEPENDENCYPART_ARC
(30,18),-3.68622 # DEPENDENCYPART_ARC
(30,19),-2.42056 # DEPENDENCYPART_ARC
(30,20),-1.35453 # DEPENDENCYPART_ARC
(30,21),-4.00218 # DEPENDENCYPART_ARC
(30,22),-3.33445 # DEPENDENCYPART_ARC
(30,23),-1.73879 # DEPENDENCYPART_ARC
(30,24),-2.85649 # DEPENDENCYPART_ARC
(30,25),-1.56923 # DEPENDENCYPART_ARC
(30,26),-2.45503 # DEPENDENCYPART_ARC
(30,27),-0.774676 # DEPENDENCYPART_ARC
(30,28),-1.3203 # DEPENDENCYPART_ARC
(30,29),0.706363 # DEPENDENCYPART_ARC
(30,31),2.87626 # DEPENDENCYPART_ARC
(31,1),-2.42003 # DEPENDENCYPART_ARC
(31,2),-2.57792 # DEPENDENCYPART_ARC
(31,3),-3.13507 # DEPENDENCYPART_ARC
(31,4),-2.38303 # DEPENDENCYPART_ARC
(31,5),-2.74905 # DEPENDENCYPART_ARC
(31,6),-2.95095 # DEPENDENCYPART_ARC
(31,7),-2.37309 # DEPENDENCYPART_ARC
(31,8),-2.49645 # DEPENDENCYPART_ARC
(31,9),-2.92194 # DEPENDENCYPART_ARC
(31,10),-2.39089 # DEPENDENCYPART_ARC
(31,11),-2.70351 # DEPENDENCYPART_ARC
(31,12),-2.79868 # DEPENDENCYPART_ARC
(31,13),-2.44604 # DEPENDENCYPART_ARC
(31,14),-2.29778 # DEPENDENCYPART_ARC
(31,15),-2.87646 # DEPENDENCYPART_ARC
(31,16),-2.45174 # DEPENDENCYPART_ARC
(31,17),-2.33906 # DEPENDENCYPART_ARC
(31,18),-2.69124 # DEPENDENCYPART_ARC
(31,19),-2.17279 # DEPENDENCYPART_ARC
(31,20),-2.33758 # DEPENDENCYPART_ARC
(31,21),-2.7104 # DEPENDENCYPART_ARC
(31,22),-2.29215 # DEPENDENCYPART_ARC
(31,23),-2.12627 # DEPENDENCYPART_ARC
(31,24),-2.52521 # DEPENDENCYPART_ARC
(31,25),-1.93686 # DEPENDENCYPART_ARC
(31,26),-2.35858 # DEPENDENCYPART_ARC
(31,27),-1.96267 # DEPENDENCYPART_ARC
(31,28),-2.21145 # DEPENDENCYPART_ARC
(31,29),-1.09975 # DEPENDENCYPART_ARC
(31,30),-0.818931 # DEPENDENCYPART_ARC
