# _root_ La Sidoti non sembra aver paura : " Mi auguro che la gara sia subito veloce , seguirò il treno giusto , anche_se ho un po' paura del gioco di squadra delle cinesi .
#goldHeads=2,4,4,0,4,5,6,9,10,0,10,13,14,11,16,14,16,10,20,18,20,21,18,23,27,27,24,27,28,29,30,29,32,33,
#predictedHeads=2,4,4,0,4,5,6,9,10,4,10,13,14,11,16,14,16,11,20,18,20,21,18,23,27,27,24,27,28,29,30,31,32,33,
(15,8),-0.800171 # DEPENDENCYPART_ARC
(15,9),-1.16625 # DEPENDENCYPART_ARC
(15,10),-1.80485 # DEPENDENCYPART_ARC
(15,11),-0.672502 # DEPENDENCYPART_ARC
(15,12),-0.00660393 # DEPENDENCYPART_ARC
(15,13),-0.807063 # DEPENDENCYPART_ARC
(15,14),0.122643 # DEPENDENCYPART_ARC
(15,16),0.51042 # DEPENDENCYPART_ARC
(15,17),0.434137 # DEPENDENCYPART_ARC
(15,18),-0.165157 # DEPENDENCYPART_ARC
(15,19),-0.538802 # DEPENDENCYPART_ARC
(15,20),-0.957755 # DEPENDENCYPART_ARC
(15,21),-1.26314 # DEPENDENCYPART_ARC
(15,22),-0.771639 # DEPENDENCYPART_ARC
(15,23),-0.656423 # DEPENDENCYPART_ARC
(15,24),-0.84594 # DEPENDENCYPART_ARC
(15,25),-1.01896 # DEPENDENCYPART_ARC
(15,26),-1.1032 # DEPENDENCYPART_ARC
(15,27),-1.74208 # DEPENDENCYPART_ARC
(15,28),-1.42762 # DEPENDENCYPART_ARC
(15,29),-1.70011 # DEPENDENCYPART_ARC
(15,30),-1.45828 # DEPENDENCYPART_ARC
(15,31),-1.7404 # DEPENDENCYPART_ARC
(15,32),-1.47237 # DEPENDENCYPART_ARC
(15,33),-1.75549 # DEPENDENCYPART_ARC
(15,34),-2.08397 # DEPENDENCYPART_ARC
(16,1),-1.19161 # DEPENDENCYPART_ARC
(16,2),-1.89816 # DEPENDENCYPART_ARC
(16,3),-0.773712 # DEPENDENCYPART_ARC
(16,4),-2.45496 # DEPENDENCYPART_ARC
(16,5),-1.89725 # DEPENDENCYPART_ARC
(16,6),-2.05514 # DEPENDENCYPART_ARC
(16,7),-1.3478 # DEPENDENCYPART_ARC
(16,8),-0.807293 # DEPENDENCYPART_ARC
(16,9),-0.998102 # DEPENDENCYPART_ARC
(16,10),-2.16474 # DEPENDENCYPART_ARC
(16,11),-0.538893 # DEPENDENCYPART_ARC
(16,12),-0.426106 # DEPENDENCYPART_ARC
(16,13),-1.14566 # DEPENDENCYPART_ARC
(16,14),-0.828827 # DEPENDENCYPART_ARC
(16,15),2.5222 # DEPENDENCYPART_ARC
(16,17),2.37035 # DEPENDENCYPART_ARC
(16,18),-0.13077 # DEPENDENCYPART_ARC
(16,19),-0.30259 # DEPENDENCYPART_ARC
(16,20),0.0799102 # DEPENDENCYPART_ARC
(16,21),0.158806 # DEPENDENCYPART_ARC
(16,22),0.500872 # DEPENDENCYPART_ARC
(16,23),0.372564 # DEPENDENCYPART_ARC
(16,24),-0.719241 # DEPENDENCYPART_ARC
(16,25),-0.793259 # DEPENDENCYPART_ARC
(16,26),-0.715661 # DEPENDENCYPART_ARC
(16,27),-0.833819 # DEPENDENCYPART_ARC
(16,28),-0.601155 # DEPENDENCYPART_ARC
(16,29),-0.672607 # DEPENDENCYPART_ARC
(16,30),-0.830341 # DEPENDENCYPART_ARC
(16,31),-1.00522 # DEPENDENCYPART_ARC
(16,32),-0.917194 # DEPENDENCYPART_ARC
(16,33),-0.89352 # DEPENDENCYPART_ARC
(16,34),-1.22407 # DEPENDENCYPART_ARC
(17,1),-2.213 # DEPENDENCYPART_ARC
(17,2),-2.70039 # DEPENDENCYPART_ARC
(17,3),-2.51427 # DEPENDENCYPART_ARC
(17,4),-2.85158 # DEPENDENCYPART_ARC
(17,5),-2.80025 # DEPENDENCYPART_ARC
(17,6),-2.58717 # DEPENDENCYPART_ARC
(17,7),-2.15327 # DEPENDENCYPART_ARC
(17,8),-2.27384 # DEPENDENCYPART_ARC
(17,9),-2.10349 # DEPENDENCYPART_ARC
(17,10),-2.67668 # DEPENDENCYPART_ARC
(17,11),-1.88164 # DEPENDENCYPART_ARC
(17,12),-1.68544 # DEPENDENCYPART_ARC
(17,13),-2.06817 # DEPENDENCYPART_ARC
(17,14),-2.0556 # DEPENDENCYPART_ARC
(17,15),-1.21583 # DEPENDENCYPART_ARC
(17,16),-0.458981 # DEPENDENCYPART_ARC
(17,18),-0.724048 # DEPENDENCYPART_ARC
(17,19),-1.83222 # DEPENDENCYPART_ARC
(17,20),-1.96026 # DEPENDENCYPART_ARC
(17,21),-2.20654 # DEPENDENCYPART_ARC
(17,22),-1.38046 # DEPENDENCYPART_ARC
(17,23),-2.04848 # DEPENDENCYPART_ARC
(17,24),-2.17356 # DEPENDENCYPART_ARC
(17,25),-2.36318 # DEPENDENCYPART_ARC
(17,26),-2.65334 # DEPENDENCYPART_ARC
(17,27),-2.53525 # DEPENDENCYPART_ARC
(17,28),-2.62774 # DEPENDENCYPART_ARC
(17,29),-2.61299 # DEPENDENCYPART_ARC
(17,30),-2.70473 # DEPENDENCYPART_ARC
(17,31),-2.59611 # DEPENDENCYPART_ARC
(17,32),-2.76829 # DEPENDENCYPART_ARC
(17,33),-2.64227 # DEPENDENCYPART_ARC
(17,34),-1.75159 # DEPENDENCYPART_ARC
(18,1),-1.58777 # DEPENDENCYPART_ARC
(18,2),-1.46019 # DEPENDENCYPART_ARC
(18,3),-0.781104 # DEPENDENCYPART_ARC
(18,4),-4.50443 # DEPENDENCYPART_ARC
(18,5),-1.64802 # DEPENDENCYPART_ARC
(18,6),-1.88507 # DEPENDENCYPART_ARC
(18,7),-2.33304 # DEPENDENCYPART_ARC
(18,8),-1.54023 # DEPENDENCYPART_ARC
(18,9),0.568499 # DEPENDENCYPART_ARC
(18,10),-3.1769 # DEPENDENCYPART_ARC
(18,11),0.0498193 # DEPENDENCYPART_ARC
(18,12),-0.904571 # DEPENDENCYPART_ARC
(18,13),0.222715 # DEPENDENCYPART_ARC
(18,14),-1.83264 # DEPENDENCYPART_ARC
(18,15),0.528159 # DEPENDENCYPART_ARC
(18,16),0.0865585 # DEPENDENCYPART_ARC
(18,17),0.174556 # DEPENDENCYPART_ARC
(18,19),0.0621904 # DEPENDENCYPART_ARC
(18,20),2.45614 # DEPENDENCYPART_ARC
(18,21),-0.0129212 # DEPENDENCYPART_ARC
(18,22),1.17067 # DEPENDENCYPART_ARC
(18,23),1.61738 # DEPENDENCYPART_ARC
(18,24),1.86794 # DEPENDENCYPART_ARC
(18,25),-1.81178 # DEPENDENCYPART_ARC
(18,26),-0.0812005 # DEPENDENCYPART_ARC
(18,27),-0.795783 # DEPENDENCYPART_ARC
(18,28),-1.6014 # DEPENDENCYPART_ARC
(18,29),-1.36578 # DEPENDENCYPART_ARC
(18,30),-0.856723 # DEPENDENCYPART_ARC
(18,31),-1.3962 # DEPENDENCYPART_ARC
(18,32),-2.03717 # DEPENDENCYPART_ARC
(18,33),-1.90113 # DEPENDENCYPART_ARC
(18,34),-1.38612 # DEPENDENCYPART_ARC
(19,1),-2.3269 # DEPENDENCYPART_ARC
(19,2),-3.00217 # DEPENDENCYPART_ARC
(19,3),-2.47417 # DEPENDENCYPART_ARC
(19,4),-3.46155 # DEPENDENCYPART_ARC
(19,5),-3.13101 # DEPENDENCYPART_ARC
(19,6),-3.12188 # DEPENDENCYPART_ARC
(19,7),-2.13462 # DEPENDENCYPART_ARC
(19,8),-1.75667 # DEPENDENCYPART_ARC
(19,9),-2.24066 # DEPENDENCYPART_ARC
(19,10),-3.335 # DEPENDENCYPART_ARC
(19,11),-2.29378 # DEPENDENCYPART_ARC
(19,12),-2.01871 # DEPENDENCYPART_ARC
(19,13),-2.85634 # DEPENDENCYPART_ARC
(19,14),-3.0399 # DEPENDENCYPART_ARC
(19,15),-1.86326 # DEPENDENCYPART_ARC
(19,16),-1.64697 # DEPENDENCYPART_ARC
(19,17),-1.04668 # DEPENDENCYPART_ARC
(19,18),-1.13181 # DEPENDENCYPART_ARC
(19,20),0.817569 # DEPENDENCYPART_ARC
(19,21),-0.979476 # DEPENDENCYPART_ARC
(19,22),-0.524993 # DEPENDENCYPART_ARC
(19,23),-0.607035 # DEPENDENCYPART_ARC
(19,24),-1.00102 # DEPENDENCYPART_ARC
(19,25),-1.78844 # DEPENDENCYPART_ARC
(19,26),-1.45991 # DEPENDENCYPART_ARC
(19,27),-1.16648 # DEPENDENCYPART_ARC
(19,28),-1.36714 # DEPENDENCYPART_ARC
(19,29),-1.14447 # DEPENDENCYPART_ARC
(19,30),-0.862289 # DEPENDENCYPART_ARC
(19,31),-1.25964 # DEPENDENCYPART_ARC
(19,32),-0.922019 # DEPENDENCYPART_ARC
(19,33),-1.275 # DEPENDENCYPART_ARC
(19,34),-1.44472 # DEPENDENCYPART_ARC
(20,1),-3.17629 # DEPENDENCYPART_ARC
(20,2),-2.66133 # DEPENDENCYPART_ARC
(20,3),-2.02292 # DEPENDENCYPART_ARC
(20,4),-2.75485 # DEPENDENCYPART_ARC
(20,5),-2.85511 # DEPENDENCYPART_ARC
(20,6),-3.71493 # DEPENDENCYPART_ARC
(20,7),-2.76899 # DEPENDENCYPART_ARC
(20,8),-1.97496 # DEPENDENCYPART_ARC
(20,9),-1.60633 # DEPENDENCYPART_ARC
(20,10),-2.3784 # DEPENDENCYPART_ARC
(20,11),-1.47161 # DEPENDENCYPART_ARC
(20,12),-1.33436 # DEPENDENCYPART_ARC
(20,13),-2.87106 # DEPENDENCYPART_ARC
(20,14),-2.17516 # DEPENDENCYPART_ARC
(20,15),-0.653802 # DEPENDENCYPART_ARC
(20,16),-0.994041 # DEPENDENCYPART_ARC
(20,17),-1.86252 # DEPENDENCYPART_ARC
(20,18),-0.520494 # DEPENDENCYPART_ARC
(20,19),3.10532 # DEPENDENCYPART_ARC
(20,21),3.49973 # DEPENDENCYPART_ARC
(20,22),0.735972 # DEPENDENCYPART_ARC
(20,23),0.342982 # DEPENDENCYPART_ARC
(20,24),-0.288255 # DEPENDENCYPART_ARC
(20,25),-0.476835 # DEPENDENCYPART_ARC
(20,26),-0.300697 # DEPENDENCYPART_ARC
(20,27),-0.0857894 # DEPENDENCYPART_ARC
(20,28),0.347675 # DEPENDENCYPART_ARC
(20,29),0.117751 # DEPENDENCYPART_ARC
(20,30),-0.0780926 # DEPENDENCYPART_ARC
(20,31),-0.328286 # DEPENDENCYPART_ARC
(20,32),-0.613968 # DEPENDENCYPART_ARC
(20,33),-0.492249 # DEPENDENCYPART_ARC
(20,34),-1.99045 # DEPENDENCYPART_ARC
(21,1),-1.60074 # DEPENDENCYPART_ARC
(21,2),-2.54582 # DEPENDENCYPART_ARC
(21,3),-1.58183 # DEPENDENCYPART_ARC
(21,4),-2.00137 # DEPENDENCYPART_ARC
(21,5),-2.10155 # DEPENDENCYPART_ARC
(21,6),-2.98819 # DEPENDENCYPART_ARC
(21,7),-1.94562 # DEPENDENCYPART_ARC
(21,8),-1.28476 # DEPENDENCYPART_ARC
(21,9),-1.16625 # DEPENDENCYPART_ARC
(21,10),-1.97877 # DEPENDENCYPART_ARC
(21,11),-1.07796 # DEPENDENCYPART_ARC
(21,12),-1.371 # DEPENDENCYPART_ARC
(21,13),-2.53568 # DEPENDENCYPART_ARC
(21,14),-1.82957 # DEPENDENCYPART_ARC
(21,15),-0.707141 # DEPENDENCYPART_ARC
(21,16),-1.09561 # DEPENDENCYPART_ARC
(21,17),-1.37886 # DEPENDENCYPART_ARC
(21,18),-1.2456 # DEPENDENCYPART_ARC
(21,19),0.251218 # DEPENDENCYPART_ARC
(21,20),0.185183 # DEPENDENCYPART_ARC
(21,22),1.78092 # DEPENDENCYPART_ARC
(21,23),0.498258 # DEPENDENCYPART_ARC
(21,24),-0.694957 # DEPENDENCYPART_ARC
(21,25),-0.690482 # DEPENDENCYPART_ARC
(21,26),-0.778478 # DEPENDENCYPART_ARC
(21,27),-0.882241 # DEPENDENCYPART_ARC
(21,28),-0.473262 # DEPENDENCYPART_ARC
(21,29),-0.775545 # DEPENDENCYPART_ARC
(21,30),-0.900527 # DEPENDENCYPART_ARC
(21,31),-1.05045 # DEPENDENCYPART_ARC
(21,32),-1.11807 # DEPENDENCYPART_ARC
(21,33),-0.658 # DEPENDENCYPART_ARC
(21,34),-0.930904 # DEPENDENCYPART_ARC
(22,1),-2.20926 # DEPENDENCYPART_ARC
(22,2),-2.61364 # DEPENDENCYPART_ARC
(22,3),-2.35434 # DEPENDENCYPART_ARC
(22,4),-2.96418 # DEPENDENCYPART_ARC
(22,5),-2.93621 # DEPENDENCYPART_ARC
(22,6),-2.67362 # DEPENDENCYPART_ARC
(22,7),-2.33545 # DEPENDENCYPART_ARC
(22,8),-2.50682 # DEPENDENCYPART_ARC
(22,9),-2.22209 # DEPENDENCYPART_ARC
(22,10),-2.76721 # DEPENDENCYPART_ARC
(22,11),-2.07656 # DEPENDENCYPART_ARC
(22,12),-1.9824 # DEPENDENCYPART_ARC
(22,13),-2.39656 # DEPENDENCYPART_ARC
(22,14),-2.73276 # DEPENDENCYPART_ARC
(22,15),-2.10602 # DEPENDENCYPART_ARC
(22,16),-2.3417 # DEPENDENCYPART_ARC
(22,17),-1.93211 # DEPENDENCYPART_ARC
(22,18),-2.36831 # DEPENDENCYPART_ARC
(22,19),-0.973213 # DEPENDENCYPART_ARC
(22,20),-1.46519 # DEPENDENCYPART_ARC
(22,21),-0.459231 # DEPENDENCYPART_ARC
(22,23),-0.992653 # DEPENDENCYPART_ARC
(22,24),-1.29913 # DEPENDENCYPART_ARC
(22,25),-1.85227 # DEPENDENCYPART_ARC
(22,26),-2.21352 # DEPENDENCYPART_ARC
(22,27),-2.15211 # DEPENDENCYPART_ARC
(22,28),-2.28489 # DEPENDENCYPART_ARC
(22,29),-2.31688 # DEPENDENCYPART_ARC
(22,30),-2.37757 # DEPENDENCYPART_ARC
(22,31),-2.40243 # DEPENDENCYPART_ARC
(22,32),-2.38701 # DEPENDENCYPART_ARC
(22,33),-2.4104 # DEPENDENCYPART_ARC
(22,34),-1.40791 # DEPENDENCYPART_ARC
(23,1),-2.00738 # DEPENDENCYPART_ARC
(23,2),-2.76372 # DEPENDENCYPART_ARC
(23,3),-1.75943 # DEPENDENCYPART_ARC
(23,4),-2.67651 # DEPENDENCYPART_ARC
(23,5),-2.71309 # DEPENDENCYPART_ARC
(23,6),-2.59464 # DEPENDENCYPART_ARC
(23,7),-2.0761 # DEPENDENCYPART_ARC
(23,8),-1.88226 # DEPENDENCYPART_ARC
(23,9),-1.75366 # DEPENDENCYPART_ARC
(23,10),-2.547 # DEPENDENCYPART_ARC
(23,11),-1.52091 # DEPENDENCYPART_ARC
(23,12),-1.84252 # DEPENDENCYPART_ARC
(23,13),-2.30842 # DEPENDENCYPART_ARC
(23,14),-2.51013 # DEPENDENCYPART_ARC
(23,15),-1.51355 # DEPENDENCYPART_ARC
(23,16),-2.07759 # DEPENDENCYPART_ARC
(23,17),-1.65843 # DEPENDENCYPART_ARC
(23,18),-2.24417 # DEPENDENCYPART_ARC
(23,19),-1.21411 # DEPENDENCYPART_ARC
(23,20),-1.41517 # DEPENDENCYPART_ARC
(23,21),-1.05798 # DEPENDENCYPART_ARC
(23,22),0.338224 # DEPENDENCYPART_ARC
(23,24),1.97539 # DEPENDENCYPART_ARC
(23,25),-0.628328 # DEPENDENCYPART_ARC
(23,26),-0.839463 # DEPENDENCYPART_ARC
(23,27),-0.704913 # DEPENDENCYPART_ARC
(23,28),-0.845337 # DEPENDENCYPART_ARC
(23,29),-0.901387 # DEPENDENCYPART_ARC
(23,30),-0.984353 # DEPENDENCYPART_ARC
(23,31),-0.988073 # DEPENDENCYPART_ARC
(23,32),-1.07334 # DEPENDENCYPART_ARC
(23,33),-1.03199 # DEPENDENCYPART_ARC
(23,34),-0.596979 # DEPENDENCYPART_ARC
(24,1),-3.0015 # DEPENDENCYPART_ARC
(24,2),-2.821 # DEPENDENCYPART_ARC
(24,3),-2.43542 # DEPENDENCYPART_ARC
(24,4),-5.35178 # DEPENDENCYPART_ARC
(24,5),-3.28989 # DEPENDENCYPART_ARC
(24,6),-3.38887 # DEPENDENCYPART_ARC
(24,7),-3.3876 # DEPENDENCYPART_ARC
(24,8),-2.96723 # DEPENDENCYPART_ARC
(24,9),-2.14885 # DEPENDENCYPART_ARC
(24,10),-3.87623 # DEPENDENCYPART_ARC
(24,11),-1.44915 # DEPENDENCYPART_ARC
(24,12),-2.42084 # DEPENDENCYPART_ARC
(24,13),-1.61565 # DEPENDENCYPART_ARC
(24,14),-3.82742 # DEPENDENCYPART_ARC
(24,15),-1.37381 # DEPENDENCYPART_ARC
(24,16),-2.15708 # DEPENDENCYPART_ARC
(24,17),-2.88467 # DEPENDENCYPART_ARC
(24,18),-1.76509 # DEPENDENCYPART_ARC
(24,19),-2.09288 # DEPENDENCYPART_ARC
(24,20),-1.57108 # DEPENDENCYPART_ARC
(24,21),-1.49145 # DEPENDENCYPART_ARC
(24,22),-1.60646 # DEPENDENCYPART_ARC
(24,23),0.676281 # DEPENDENCYPART_ARC
(24,25),-0.340597 # DEPENDENCYPART_ARC
(24,26),1.2527 # DEPENDENCYPART_ARC
(24,27),1.18462 # DEPENDENCYPART_ARC
(24,28),-0.202762 # DEPENDENCYPART_ARC
(24,29),0.26235 # DEPENDENCYPART_ARC
(24,30),-0.239735 # DEPENDENCYPART_ARC
(24,31),-0.123975 # DEPENDENCYPART_ARC
(24,32),-1.15852 # DEPENDENCYPART_ARC
(24,33),-0.618594 # DEPENDENCYPART_ARC
(24,34),-1.11876 # DEPENDENCYPART_ARC
(25,1),-1.93326 # DEPENDENCYPART_ARC
(25,2),-2.70041 # DEPENDENCYPART_ARC
(25,3),-2.11826 # DEPENDENCYPART_ARC
(25,4),-2.98348 # DEPENDENCYPART_ARC
(25,5),-2.6445 # DEPENDENCYPART_ARC
(25,6),-2.71262 # DEPENDENCYPART_ARC
(25,7),-1.87258 # DEPENDENCYPART_ARC
(25,8),-1.54398 # DEPENDENCYPART_ARC
(25,9),-1.92831 # DEPENDENCYPART_ARC
(25,10),-3.07976 # DEPENDENCYPART_ARC
(25,11),-2.00314 # DEPENDENCYPART_ARC
(25,12),-1.77458 # DEPENDENCYPART_ARC
(25,13),-2.65378 # DEPENDENCYPART_ARC
(25,14),-2.85993 # DEPENDENCYPART_ARC
(25,15),-1.7781 # DEPENDENCYPART_ARC
(25,16),-1.85514 # DEPENDENCYPART_ARC
(25,17),-1.71909 # DEPENDENCYPART_ARC
(25,18),-2.80289 # DEPENDENCYPART_ARC
(25,19),-1.28041 # DEPENDENCYPART_ARC
(25,20),-1.87304 # DEPENDENCYPART_ARC
(25,21),-1.44691 # DEPENDENCYPART_ARC
(25,22),-1.05353 # DEPENDENCYPART_ARC
(25,23),-0.943349 # DEPENDENCYPART_ARC
(25,24),-0.635121 # DEPENDENCYPART_ARC
(25,26),1.01382 # DEPENDENCYPART_ARC
(25,27),0.750391 # DEPENDENCYPART_ARC
(25,28),0.293384 # DEPENDENCYPART_ARC
(25,29),0.180563 # DEPENDENCYPART_ARC
(25,30),0.398792 # DEPENDENCYPART_ARC
(25,31),-0.0681 # DEPENDENCYPART_ARC
(25,32),0.46027 # DEPENDENCYPART_ARC
(25,33),-0.188718 # DEPENDENCYPART_ARC
(25,34),0.142806 # DEPENDENCYPART_ARC
(26,1),-0.897686 # DEPENDENCYPART_ARC
(26,2),-2.12501 # DEPENDENCYPART_ARC
(26,3),-0.782071 # DEPENDENCYPART_ARC
(26,4),-2.06559 # DEPENDENCYPART_ARC
(26,5),-2.10919 # DEPENDENCYPART_ARC
(26,6),-2.01112 # DEPENDENCYPART_ARC
(26,7),-1.2173 # DEPENDENCYPART_ARC
(26,8),-1.0138 # DEPENDENCYPART_ARC
(26,9),-1.3819 # DEPENDENCYPART_ARC
(26,10),-2.00536 # DEPENDENCYPART_ARC
(26,11),-0.998449 # DEPENDENCYPART_ARC
(26,12),-0.790466 # DEPENDENCYPART_ARC
(26,13),-1.782 # DEPENDENCYPART_ARC
(26,14),-1.86889 # DEPENDENCYPART_ARC
(26,15),-0.801747 # DEPENDENCYPART_ARC
(26,16),-1.25427 # DEPENDENCYPART_ARC
(26,17),-1.1289 # DEPENDENCYPART_ARC
(26,18),-1.77166 # DEPENDENCYPART_ARC
(26,19),-0.519436 # DEPENDENCYPART_ARC
(26,20),-1.47211 # DEPENDENCYPART_ARC
(26,21),-0.963449 # DEPENDENCYPART_ARC
(26,22),-0.760135 # DEPENDENCYPART_ARC
(26,23),-0.0219282 # DEPENDENCYPART_ARC
(26,24),-0.412365 # DEPENDENCYPART_ARC
(26,25),1.78938 # DEPENDENCYPART_ARC
(26,27),1.20834 # DEPENDENCYPART_ARC
(26,28),0.0444917 # DEPENDENCYPART_ARC
(26,29),0.0245111 # DEPENDENCYPART_ARC
(26,30),-0.164805 # DEPENDENCYPART_ARC
(26,31),-0.225018 # DEPENDENCYPART_ARC
(26,32),-0.501073 # DEPENDENCYPART_ARC
(26,33),-0.51882 # DEPENDENCYPART_ARC
(26,34),-0.597293 # DEPENDENCYPART_ARC
(27,1),-3.77634 # DEPENDENCYPART_ARC
(27,2),-2.96434 # DEPENDENCYPART_ARC
(27,3),-2.32244 # DEPENDENCYPART_ARC
(27,4),-2.51413 # DEPENDENCYPART_ARC
(27,5),-2.97772 # DEPENDENCYPART_ARC
(27,6),-3.24339 # DEPENDENCYPART_ARC
(27,7),-3.01818 # DEPENDENCYPART_ARC
(27,8),-2.17991 # DEPENDENCYPART_ARC
(27,9),-1.48642 # DEPENDENCYPART_ARC
(27,10),-2.1758 # DEPENDENCYPART_ARC
(27,11),-1.6168 # DEPENDENCYPART_ARC
(27,12),-2.02779 # DEPENDENCYPART_ARC
(27,13),-2.76868 # DEPENDENCYPART_ARC
(27,14),-1.99929 # DEPENDENCYPART_ARC
(27,15),-1.32341 # DEPENDENCYPART_ARC
(27,16),-1.35591 # DEPENDENCYPART_ARC
(27,17),-2.79447 # DEPENDENCYPART_ARC
(27,18),-1.88026 # DEPENDENCYPART_ARC
(27,19),-1.31266 # DEPENDENCYPART_ARC
(27,20),-2.62213 # DEPENDENCYPART_ARC
(27,21),-1.3105 # DEPENDENCYPART_ARC
(27,22),-2.15537 # DEPENDENCYPART_ARC
(27,23),-0.658717 # DEPENDENCYPART_ARC
(27,24),-1.02576 # DEPENDENCYPART_ARC
(27,25),1.99088 # DEPENDENCYPART_ARC
(27,26),1.3621 # DEPENDENCYPART_ARC
(27,28),2.27734 # DEPENDENCYPART_ARC
(27,29),1.18642 # DEPENDENCYPART_ARC
(27,30),0.75161 # DEPENDENCYPART_ARC
(27,31),0.757 # DEPENDENCYPART_ARC
(27,32),0.0521337 # DEPENDENCYPART_ARC
(27,33),-0.211446 # DEPENDENCYPART_ARC
(27,34),-1.23378 # DEPENDENCYPART_ARC
(28,1),-2.22847 # DEPENDENCYPART_ARC
(28,2),-3.21135 # DEPENDENCYPART_ARC
(28,3),-1.89109 # DEPENDENCYPART_ARC
(28,4),-2.98508 # DEPENDENCYPART_ARC
(28,5),-2.93394 # DEPENDENCYPART_ARC
(28,6),-3.28644 # DEPENDENCYPART_ARC
(28,7),-2.32798 # DEPENDENCYPART_ARC
(28,8),-2.1557 # DEPENDENCYPART_ARC
(28,9),-2.12936 # DEPENDENCYPART_ARC
(28,10),-3.12322 # DEPENDENCYPART_ARC
(28,11),-1.79751 # DEPENDENCYPART_ARC
(28,12),-2.13121 # DEPENDENCYPART_ARC
(28,13),-3.19191 # DEPENDENCYPART_ARC
(28,14),-2.96161 # DEPENDENCYPART_ARC
(28,15),-1.75389 # DEPENDENCYPART_ARC
(28,16),-2.35356 # DEPENDENCYPART_ARC
(28,17),-2.25715 # DEPENDENCYPART_ARC
(28,18),-2.96111 # DEPENDENCYPART_ARC
(28,19),-1.5884 # DEPENDENCYPART_ARC
(28,20),-2.54781 # DEPENDENCYPART_ARC
(28,21),-2.06921 # DEPENDENCYPART_ARC
(28,22),-2.01171 # DEPENDENCYPART_ARC
(28,23),-1.3458 # DEPENDENCYPART_ARC
(28,24),-2.49377 # DEPENDENCYPART_ARC
(28,25),-0.76119 # DEPENDENCYPART_ARC
(28,26),-0.410793 # DEPENDENCYPART_ARC
(28,27),-1.07549 # DEPENDENCYPART_ARC
(28,29),3.78786 # DEPENDENCYPART_ARC
(28,30),0.093832 # DEPENDENCYPART_ARC
(28,31),0.399081 # DEPENDENCYPART_ARC
(28,32),0.0666047 # DEPENDENCYPART_ARC
(28,33),-0.380397 # DEPENDENCYPART_ARC
(28,34),-0.548712 # DEPENDENCYPART_ARC
(29,1),-5.50988 # DEPENDENCYPART_ARC
(29,2),-3.71355 # DEPENDENCYPART_ARC
(29,3),-3.04543 # DEPENDENCYPART_ARC
(29,4),-3.66999 # DEPENDENCYPART_ARC
(29,5),-3.74502 # DEPENDENCYPART_ARC
(29,6),-4.6625 # DEPENDENCYPART_ARC
(29,7),-3.93133 # DEPENDENCYPART_ARC
(29,8),-3.20834 # DEPENDENCYPART_ARC
(29,9),-2.41278 # DEPENDENCYPART_ARC
(29,10),-3.27817 # DEPENDENCYPART_ARC
(29,11),-2.48509 # DEPENDENCYPART_ARC
(29,12),-3.71051 # DEPENDENCYPART_ARC
(29,13),-4.1344 # DEPENDENCYPART_ARC
(29,14),-3.25856 # DEPENDENCYPART_ARC
(29,15),-2.25595 # DEPENDENCYPART_ARC
(29,16),-2.41924 # DEPENDENCYPART_ARC
(29,17),-3.64727 # DEPENDENCYPART_ARC
(29,18),-3.06808 # DEPENDENCYPART_ARC
(29,19),-2.05339 # DEPENDENCYPART_ARC
(29,20),-3.22729 # DEPENDENCYPART_ARC
(29,21),-1.92864 # DEPENDENCYPART_ARC
(29,22),-3.28539 # DEPENDENCYPART_ARC
(29,23),-1.78891 # DEPENDENCYPART_ARC
(29,24),-2.62579 # DEPENDENCYPART_ARC
(29,25),0.258372 # DEPENDENCYPART_ARC
(29,26),-0.796346 # DEPENDENCYPART_ARC
(29,27),-2.11503 # DEPENDENCYPART_ARC
(29,28),0.741281 # DEPENDENCYPART_ARC
(29,30),2.71894 # DEPENDENCYPART_ARC
(29,31),1.21953 # DEPENDENCYPART_ARC
(29,32),1.20532 # DEPENDENCYPART_ARC
(29,33),0.848173 # DEPENDENCYPART_ARC
(29,34),-0.465525 # DEPENDENCYPART_ARC
(30,1),-2.08336 # DEPENDENCYPART_ARC
(30,2),-2.36847 # DEPENDENCYPART_ARC
(30,3),-1.83818 # DEPENDENCYPART_ARC
(30,4),-2.62569 # DEPENDENCYPART_ARC
(30,5),-2.75995 # DEPENDENCYPART_ARC
(30,6),-2.29934 # DEPENDENCYPART_ARC
(30,7),-2.3481 # DEPENDENCYPART_ARC
(30,8),-2.36942 # DEPENDENCYPART_ARC
(30,9),-2.19352 # DEPENDENCYPART_ARC
(30,10),-2.6337 # DEPENDENCYPART_ARC
(30,11),-1.33133 # DEPENDENCYPART_ARC
(30,12),-2.00389 # DEPENDENCYPART_ARC
(30,13),-2.26405 # DEPENDENCYPART_ARC
(30,14),-2.55027 # DEPENDENCYPART_ARC
(30,15),-1.88026 # DEPENDENCYPART_ARC
(30,16),-2.30244 # DEPENDENCYPART_ARC
(30,17),-2.1499 # DEPENDENCYPART_ARC
(30,18),-2.45069 # DEPENDENCYPART_ARC
(30,19),-1.90582 # DEPENDENCYPART_ARC
(30,20),-2.06478 # DEPENDENCYPART_ARC
(30,21),-2.08805 # DEPENDENCYPART_ARC
(30,22),-2.10839 # DEPENDENCYPART_ARC
(30,23),-1.15369 # DEPENDENCYPART_ARC
(30,24),-2.20826 # DEPENDENCYPART_ARC
