# _root_ Il parco nazionale dei laghi di Plitvice , uno dei " monumenti " mondiali protetti dall' Unesco , è tornato in mani croate .
#goldHeads=2,20,2,2,4,5,6,7,2,9,12,10,12,12,12,15,16,17,20,0,20,21,22,23,
#predictedHeads=2,20,2,2,4,5,6,7,2,9,12,10,12,12,12,15,16,17,20,0,20,21,22,23,
(22,3),-4.32561 # DEPENDENCYPART_ARC
(22,4),-3.07002 # DEPENDENCYPART_ARC
(22,5),-3.23299 # DEPENDENCYPART_ARC
(22,6),-3.53398 # DEPENDENCYPART_ARC
(22,7),-3.74104 # DEPENDENCYPART_ARC
(22,8),-3.68789 # DEPENDENCYPART_ARC
(22,9),-2.93032 # DEPENDENCYPART_ARC
(22,10),-2.52495 # DEPENDENCYPART_ARC
(22,11),-2.35262 # DEPENDENCYPART_ARC
(22,12),-2.94882 # DEPENDENCYPART_ARC
(22,13),-2.2351 # DEPENDENCYPART_ARC
(22,14),-2.013 # DEPENDENCYPART_ARC
(22,15),-1.52389 # DEPENDENCYPART_ARC
(22,16),-2.11753 # DEPENDENCYPART_ARC
(22,17),-2.29233 # DEPENDENCYPART_ARC
(22,18),-2.58224 # DEPENDENCYPART_ARC
(22,19),-2.32652 # DEPENDENCYPART_ARC
(22,20),-1.2876 # DEPENDENCYPART_ARC
(22,21),0.761324 # DEPENDENCYPART_ARC
(22,23),3.69889 # DEPENDENCYPART_ARC
(22,24),-0.270305 # DEPENDENCYPART_ARC
(23,1),-2.24097 # DEPENDENCYPART_ARC
(23,2),-2.64249 # DEPENDENCYPART_ARC
(23,3),-1.63934 # DEPENDENCYPART_ARC
(23,4),-2.06777 # DEPENDENCYPART_ARC
(23,5),-2.31673 # DEPENDENCYPART_ARC
(23,6),-1.8176 # DEPENDENCYPART_ARC
(23,7),-2.41544 # DEPENDENCYPART_ARC
(23,8),-2.07579 # DEPENDENCYPART_ARC
(23,9),-1.87483 # DEPENDENCYPART_ARC
(23,10),-1.77018 # DEPENDENCYPART_ARC
(23,11),-1.17979 # DEPENDENCYPART_ARC
(23,12),-2.07913 # DEPENDENCYPART_ARC
(23,13),-1.05534 # DEPENDENCYPART_ARC
(23,14),-0.924293 # DEPENDENCYPART_ARC
(23,15),-2.76079 # DEPENDENCYPART_ARC
(23,16),-1.0447 # DEPENDENCYPART_ARC
(23,17),-1.73609 # DEPENDENCYPART_ARC
(23,18),-1.37362 # DEPENDENCYPART_ARC
(23,19),-2.43712 # DEPENDENCYPART_ARC
(23,20),-2.24139 # DEPENDENCYPART_ARC
(23,21),0.596304 # DEPENDENCYPART_ARC
(23,22),0.568517 # DEPENDENCYPART_ARC
(23,24),2.47194 # DEPENDENCYPART_ARC
(24,1),-2.23687 # DEPENDENCYPART_ARC
(24,2),-2.77303 # DEPENDENCYPART_ARC
(24,3),-2.67752 # DEPENDENCYPART_ARC
(24,4),-2.14639 # DEPENDENCYPART_ARC
(24,5),-2.5785 # DEPENDENCYPART_ARC
(24,6),-2.14253 # DEPENDENCYPART_ARC
(24,7),-2.65328 # DEPENDENCYPART_ARC
(24,8),-2.3131 # DEPENDENCYPART_ARC
(24,9),-2.35466 # DEPENDENCYPART_ARC
(24,10),-2.17136 # DEPENDENCYPART_ARC
(24,11),-2.3019 # DEPENDENCYPART_ARC
(24,12),-2.56563 # DEPENDENCYPART_ARC
(24,13),-2.36714 # DEPENDENCYPART_ARC
(24,14),-2.47637 # DEPENDENCYPART_ARC
(24,15),-2.71365 # DEPENDENCYPART_ARC
(24,16),-1.84389 # DEPENDENCYPART_ARC
(24,17),-2.30016 # DEPENDENCYPART_ARC
(24,18),-1.95717 # DEPENDENCYPART_ARC
(24,19),-2.52984 # DEPENDENCYPART_ARC
(24,20),-2.36469 # DEPENDENCYPART_ARC
(24,21),-1.06328 # DEPENDENCYPART_ARC
(24,22),-1.44661 # DEPENDENCYPART_ARC
(24,23),-0.418422 # DEPENDENCYPART_ARC
