# _root_ " Una disgrazia in Africa , vi devo dare brutte notizie " aveva detto verso le 18 al telefono Domenico Colombo , il presidente di Mondo Giusto .
#goldHeads=2,3,11,3,4,5,9,9,14,11,9,11,14,0,14,17,15,14,18,21,14,21,24,21,24,25,26,27,
#predictedHeads=2,3,9,3,4,5,9,9,14,11,9,11,14,0,14,17,15,17,18,21,19,21,24,21,24,25,26,27,
(18,21),-0.349479 # DEPENDENCYPART_ARC
(18,22),0.0107863 # DEPENDENCYPART_ARC
(18,23),-1.16846 # DEPENDENCYPART_ARC
(18,24),-2.98945 # DEPENDENCYPART_ARC
(18,25),-0.885187 # DEPENDENCYPART_ARC
(18,26),-3.157 # DEPENDENCYPART_ARC
(18,27),-1.28297 # DEPENDENCYPART_ARC
(18,28),-0.890259 # DEPENDENCYPART_ARC
(19,1),-3.14869 # DEPENDENCYPART_ARC
(19,2),-3.58723 # DEPENDENCYPART_ARC
(19,3),-4.72219 # DEPENDENCYPART_ARC
(19,4),-3.14617 # DEPENDENCYPART_ARC
(19,5),-3.51395 # DEPENDENCYPART_ARC
(19,6),-3.53564 # DEPENDENCYPART_ARC
(19,7),-2.23012 # DEPENDENCYPART_ARC
(19,8),-3.18178 # DEPENDENCYPART_ARC
(19,9),-3.16295 # DEPENDENCYPART_ARC
(19,10),-2.30832 # DEPENDENCYPART_ARC
(19,11),-3.70066 # DEPENDENCYPART_ARC
(19,12),-1.99614 # DEPENDENCYPART_ARC
(19,13),-2.49901 # DEPENDENCYPART_ARC
(19,14),-1.87429 # DEPENDENCYPART_ARC
(19,15),-0.995403 # DEPENDENCYPART_ARC
(19,16),0.14526 # DEPENDENCYPART_ARC
(19,17),-0.289861 # DEPENDENCYPART_ARC
(19,18),0.705482 # DEPENDENCYPART_ARC
(19,20),1.66031 # DEPENDENCYPART_ARC
(19,21),1.65723 # DEPENDENCYPART_ARC
(19,22),0.491493 # DEPENDENCYPART_ARC
(19,23),-0.619622 # DEPENDENCYPART_ARC
(19,24),0.0757749 # DEPENDENCYPART_ARC
(19,25),0.691008 # DEPENDENCYPART_ARC
(19,26),0.259715 # DEPENDENCYPART_ARC
(19,27),0.709639 # DEPENDENCYPART_ARC
(19,28),-1.78483 # DEPENDENCYPART_ARC
(20,1),-2.56058 # DEPENDENCYPART_ARC
(20,2),-3.03221 # DEPENDENCYPART_ARC
(20,3),-4.32075 # DEPENDENCYPART_ARC
(20,4),-2.538 # DEPENDENCYPART_ARC
(20,5),-1.28321 # DEPENDENCYPART_ARC
(20,6),-3.14036 # DEPENDENCYPART_ARC
(20,7),-2.1508 # DEPENDENCYPART_ARC
(20,8),-2.71843 # DEPENDENCYPART_ARC
(20,9),-2.63489 # DEPENDENCYPART_ARC
(20,10),-1.77684 # DEPENDENCYPART_ARC
(20,11),-3.00301 # DEPENDENCYPART_ARC
(20,12),-1.56224 # DEPENDENCYPART_ARC
(20,13),-2.39009 # DEPENDENCYPART_ARC
(20,14),-1.43094 # DEPENDENCYPART_ARC
(20,15),-0.468962 # DEPENDENCYPART_ARC
(20,16),0.362661 # DEPENDENCYPART_ARC
(20,17),-0.187689 # DEPENDENCYPART_ARC
(20,18),0.191209 # DEPENDENCYPART_ARC
(20,19),0.319298 # DEPENDENCYPART_ARC
(20,21),2.23739 # DEPENDENCYPART_ARC
(20,22),-0.0125068 # DEPENDENCYPART_ARC
(20,23),-0.88014 # DEPENDENCYPART_ARC
(20,24),0.0235469 # DEPENDENCYPART_ARC
(20,25),-0.212574 # DEPENDENCYPART_ARC
(20,26),-0.111051 # DEPENDENCYPART_ARC
(20,27),-0.743708 # DEPENDENCYPART_ARC
(20,28),-1.9701 # DEPENDENCYPART_ARC
(21,1),-1.98146 # DEPENDENCYPART_ARC
(21,2),-2.69596 # DEPENDENCYPART_ARC
(21,3),-3.30749 # DEPENDENCYPART_ARC
(21,4),-1.83954 # DEPENDENCYPART_ARC
(21,5),-0.380542 # DEPENDENCYPART_ARC
(21,6),-2.50004 # DEPENDENCYPART_ARC
(21,7),-1.45344 # DEPENDENCYPART_ARC
(21,8),-1.95761 # DEPENDENCYPART_ARC
(21,9),-1.91261 # DEPENDENCYPART_ARC
(21,10),-0.871841 # DEPENDENCYPART_ARC
(21,11),-2.1695 # DEPENDENCYPART_ARC
(21,12),-0.994397 # DEPENDENCYPART_ARC
(21,13),-1.75419 # DEPENDENCYPART_ARC
(21,14),-0.829427 # DEPENDENCYPART_ARC
(21,15),-0.186621 # DEPENDENCYPART_ARC
(21,16),0.512909 # DEPENDENCYPART_ARC
(21,17),0.189147 # DEPENDENCYPART_ARC
(21,18),0.67257 # DEPENDENCYPART_ARC
(21,19),0.660581 # DEPENDENCYPART_ARC
(21,20),3.39674 # DEPENDENCYPART_ARC
(21,22),2.75812 # DEPENDENCYPART_ARC
(21,23),0.227075 # DEPENDENCYPART_ARC
(21,24),1.36301 # DEPENDENCYPART_ARC
(21,25),0.989653 # DEPENDENCYPART_ARC
(21,26),1.07668 # DEPENDENCYPART_ARC
(21,27),0.19685 # DEPENDENCYPART_ARC
(21,28),-0.482605 # DEPENDENCYPART_ARC
(22,1),-2.50141 # DEPENDENCYPART_ARC
(22,2),-2.08723 # DEPENDENCYPART_ARC
(22,3),-2.55816 # DEPENDENCYPART_ARC
(22,4),-2.0712 # DEPENDENCYPART_ARC
(22,5),-2.64034 # DEPENDENCYPART_ARC
(22,6),-2.29985 # DEPENDENCYPART_ARC
(22,7),-2.27703 # DEPENDENCYPART_ARC
(22,8),-2.88872 # DEPENDENCYPART_ARC
(22,9),-2.66426 # DEPENDENCYPART_ARC
(22,10),-2.31949 # DEPENDENCYPART_ARC
(22,11),-2.53287 # DEPENDENCYPART_ARC
(22,12),-2.21174 # DEPENDENCYPART_ARC
(22,13),-2.66385 # DEPENDENCYPART_ARC
(22,14),-2.5946 # DEPENDENCYPART_ARC
(22,15),-1.58435 # DEPENDENCYPART_ARC
(22,16),-1.64975 # DEPENDENCYPART_ARC
(22,17),-1.67489 # DEPENDENCYPART_ARC
(22,18),-1.3183 # DEPENDENCYPART_ARC
(22,19),-1.56974 # DEPENDENCYPART_ARC
(22,20),-1.39398 # DEPENDENCYPART_ARC
(22,21),-0.534616 # DEPENDENCYPART_ARC
(22,23),-0.71129 # DEPENDENCYPART_ARC
(22,24),-1.28052 # DEPENDENCYPART_ARC
(22,25),-1.74022 # DEPENDENCYPART_ARC
(22,26),-1.82172 # DEPENDENCYPART_ARC
(22,27),-1.97458 # DEPENDENCYPART_ARC
(22,28),-0.710884 # DEPENDENCYPART_ARC
(23,1),-1.6718 # DEPENDENCYPART_ARC
(23,2),-2.58222 # DEPENDENCYPART_ARC
(23,3),-3.38421 # DEPENDENCYPART_ARC
(23,4),-2.9157 # DEPENDENCYPART_ARC
(23,5),-3.19591 # DEPENDENCYPART_ARC
(23,6),-2.43282 # DEPENDENCYPART_ARC
(23,7),-2.5626 # DEPENDENCYPART_ARC
(23,8),-3.65839 # DEPENDENCYPART_ARC
(23,9),-3.15975 # DEPENDENCYPART_ARC
(23,10),-2.67466 # DEPENDENCYPART_ARC
(23,11),-3.25186 # DEPENDENCYPART_ARC
(23,12),-1.82173 # DEPENDENCYPART_ARC
(23,13),-3.33437 # DEPENDENCYPART_ARC
(23,14),-3.47901 # DEPENDENCYPART_ARC
(23,15),-2.34979 # DEPENDENCYPART_ARC
(23,16),-2.09361 # DEPENDENCYPART_ARC
(23,17),-2.10103 # DEPENDENCYPART_ARC
(23,18),-2.33498 # DEPENDENCYPART_ARC
(23,19),-2.28397 # DEPENDENCYPART_ARC
(23,20),-2.1412 # DEPENDENCYPART_ARC
(23,21),-1.95963 # DEPENDENCYPART_ARC
(23,22),0.143062 # DEPENDENCYPART_ARC
(23,24),0.781686 # DEPENDENCYPART_ARC
(23,25),-0.0983103 # DEPENDENCYPART_ARC
(23,26),-0.564381 # DEPENDENCYPART_ARC
(23,27),-1.6023 # DEPENDENCYPART_ARC
(23,28),-0.916607 # DEPENDENCYPART_ARC
(24,1),-2.84106 # DEPENDENCYPART_ARC
(24,2),-3.93081 # DEPENDENCYPART_ARC
(24,3),-3.98945 # DEPENDENCYPART_ARC
(24,4),-2.33297 # DEPENDENCYPART_ARC
(24,5),-2.67829 # DEPENDENCYPART_ARC
(24,6),-3.10421 # DEPENDENCYPART_ARC
(24,7),-1.44977 # DEPENDENCYPART_ARC
(24,8),-2.32842 # DEPENDENCYPART_ARC
(24,9),-2.47627 # DEPENDENCYPART_ARC
(24,10),-1.60656 # DEPENDENCYPART_ARC
(24,11),-2.93417 # DEPENDENCYPART_ARC
(24,12),-1.70888 # DEPENDENCYPART_ARC
(24,13),-1.72665 # DEPENDENCYPART_ARC
(24,14),-1.42582 # DEPENDENCYPART_ARC
(24,15),-0.745027 # DEPENDENCYPART_ARC
(24,16),-1.223 # DEPENDENCYPART_ARC
(24,17),-0.863732 # DEPENDENCYPART_ARC
(24,18),-0.119052 # DEPENDENCYPART_ARC
(24,19),-1.23952 # DEPENDENCYPART_ARC
(24,20),-1.23247 # DEPENDENCYPART_ARC
(24,21),-1.20361 # DEPENDENCYPART_ARC
(24,22),-0.860929 # DEPENDENCYPART_ARC
(24,23),3.52251 # DEPENDENCYPART_ARC
(24,25),3.16971 # DEPENDENCYPART_ARC
(24,26),1.78335 # DEPENDENCYPART_ARC
(24,27),1.89765 # DEPENDENCYPART_ARC
(24,28),0.0154438 # DEPENDENCYPART_ARC
(25,1),-2.40846 # DEPENDENCYPART_ARC
(25,2),-2.14105 # DEPENDENCYPART_ARC
(25,3),-2.53552 # DEPENDENCYPART_ARC
(25,4),-2.32761 # DEPENDENCYPART_ARC
(25,5),-2.25057 # DEPENDENCYPART_ARC
(25,6),-2.29665 # DEPENDENCYPART_ARC
(25,7),-2.11414 # DEPENDENCYPART_ARC
(25,8),-2.59918 # DEPENDENCYPART_ARC
(25,9),-2.55578 # DEPENDENCYPART_ARC
(25,10),-2.29932 # DEPENDENCYPART_ARC
(25,11),-2.25806 # DEPENDENCYPART_ARC
(25,12),-2.22896 # DEPENDENCYPART_ARC
(25,13),-2.45187 # DEPENDENCYPART_ARC
(25,14),-2.5014 # DEPENDENCYPART_ARC
(25,15),-1.51077 # DEPENDENCYPART_ARC
(25,16),-1.70421 # DEPENDENCYPART_ARC
(25,17),-1.89302 # DEPENDENCYPART_ARC
(25,18),-1.28973 # DEPENDENCYPART_ARC
(25,19),-1.80771 # DEPENDENCYPART_ARC
(25,20),-1.64738 # DEPENDENCYPART_ARC
(25,21),-1.4945 # DEPENDENCYPART_ARC
(25,22),-1.29483 # DEPENDENCYPART_ARC
(25,23),-0.425261 # DEPENDENCYPART_ARC
(25,24),-0.277925 # DEPENDENCYPART_ARC
(25,26),3.91646 # DEPENDENCYPART_ARC
(25,27),0.357796 # DEPENDENCYPART_ARC
(25,28),-0.722736 # DEPENDENCYPART_ARC
(26,1),-3.92105 # DEPENDENCYPART_ARC
(26,2),-5.68326 # DEPENDENCYPART_ARC
(26,3),-5.35031 # DEPENDENCYPART_ARC
(26,4),-3.98047 # DEPENDENCYPART_ARC
(26,5),-4.19713 # DEPENDENCYPART_ARC
(26,6),-4.22146 # DEPENDENCYPART_ARC
(26,7),-2.59761 # DEPENDENCYPART_ARC
(26,8),-3.45981 # DEPENDENCYPART_ARC
(26,9),-3.50197 # DEPENDENCYPART_ARC
(26,10),-2.97733 # DEPENDENCYPART_ARC
(26,11),-4.39124 # DEPENDENCYPART_ARC
(26,12),-3.00366 # DEPENDENCYPART_ARC
(26,13),-2.85345 # DEPENDENCYPART_ARC
(26,14),-2.51622 # DEPENDENCYPART_ARC
(26,15),-2.40391 # DEPENDENCYPART_ARC
(26,16),-2.84478 # DEPENDENCYPART_ARC
(26,17),-2.42 # DEPENDENCYPART_ARC
(26,18),-1.6887 # DEPENDENCYPART_ARC
(26,19),-2.97083 # DEPENDENCYPART_ARC
(26,20),-2.97373 # DEPENDENCYPART_ARC
(26,21),-2.9356 # DEPENDENCYPART_ARC
(26,22),-2.91916 # DEPENDENCYPART_ARC
(26,23),-0.0399219 # DEPENDENCYPART_ARC
(26,24),-1.77558 # DEPENDENCYPART_ARC
(26,25),0.412708 # DEPENDENCYPART_ARC
(26,27),3.04311 # DEPENDENCYPART_ARC
(26,28),-0.318631 # DEPENDENCYPART_ARC
(27,1),-2.01659 # DEPENDENCYPART_ARC
(27,2),-2.10225 # DEPENDENCYPART_ARC
(27,3),-3.8763 # DEPENDENCYPART_ARC
(27,4),-2.36854 # DEPENDENCYPART_ARC
(27,5),-3.3222 # DEPENDENCYPART_ARC
(27,6),-2.66419 # DEPENDENCYPART_ARC
(27,7),-1.71183 # DEPENDENCYPART_ARC
(27,8),-2.38811 # DEPENDENCYPART_ARC
(27,9),-2.36683 # DEPENDENCYPART_ARC
(27,10),-2.05881 # DEPENDENCYPART_ARC
(27,11),-3.50706 # DEPENDENCYPART_ARC
(27,12),-1.73562 # DEPENDENCYPART_ARC
(27,13),-2.43917 # DEPENDENCYPART_ARC
(27,14),-3.12474 # DEPENDENCYPART_ARC
(27,15),-1.80203 # DEPENDENCYPART_ARC
(27,16),-1.65168 # DEPENDENCYPART_ARC
(27,17),-1.41523 # DEPENDENCYPART_ARC
(27,18),-1.795 # DEPENDENCYPART_ARC
(27,19),-2.41531 # DEPENDENCYPART_ARC
(27,20),-2.28468 # DEPENDENCYPART_ARC
(27,21),-2.24938 # DEPENDENCYPART_ARC
(27,22),-1.61564 # DEPENDENCYPART_ARC
(27,23),-1.03614 # DEPENDENCYPART_ARC
(27,24),-1.493 # DEPENDENCYPART_ARC
(27,25),0.0326313 # DEPENDENCYPART_ARC
(27,26),-0.1426 # DEPENDENCYPART_ARC
(27,28),2.45687 # DEPENDENCYPART_ARC
(28,1),-2.54489 # DEPENDENCYPART_ARC
(28,2),-2.20625 # DEPENDENCYPART_ARC
(28,3),-2.79783 # DEPENDENCYPART_ARC
(28,4),-2.24004 # DEPENDENCYPART_ARC
(28,5),-2.81757 # DEPENDENCYPART_ARC
(28,6),-2.40972 # DEPENDENCYPART_ARC
(28,7),-2.42826 # DEPENDENCYPART_ARC
(28,8),-2.91993 # DEPENDENCYPART_ARC
(28,9),-2.79028 # DEPENDENCYPART_ARC
(28,10),-2.49702 # DEPENDENCYPART_ARC
(28,11),-2.56427 # DEPENDENCYPART_ARC
(28,12),-2.31421 # DEPENDENCYPART_ARC
(28,13),-2.85608 # DEPENDENCYPART_ARC
(28,14),-2.82826 # DEPENDENCYPART_ARC
(28,15),-1.85201 # DEPENDENCYPART_ARC
(28,16),-1.90302 # DEPENDENCYPART_ARC
(28,17),-2.16108 # DEPENDENCYPART_ARC
(28,18),-1.80288 # DEPENDENCYPART_ARC
(28,19),-2.31392 # DEPENDENCYPART_ARC
(28,20),-2.30004 # DEPENDENCYPART_ARC
(28,21),-2.23343 # DEPENDENCYPART_ARC
(28,22),-1.8564 # DEPENDENCYPART_ARC
(28,23),-1.45885 # DEPENDENCYPART_ARC
(28,24),-1.95489 # DEPENDENCYPART_ARC
(28,25),-1.05026 # DEPENDENCYPART_ARC
(28,26),-1.43358 # DEPENDENCYPART_ARC
(28,27),-0.405394 # DEPENDENCYPART_ARC
