# _root_ Senza mai l' ausilio di fotografie , attraverso un contatto diretto con la realtà , Podrecea si è prefisso di sfatare i luoghi comuni sul Biedermeier .
#goldHeads=19,1,4,1,4,5,6,19,10,8,10,10,14,12,14,19,19,19,0,19,20,23,21,23,23,25,26,
#predictedHeads=4,1,4,0,4,5,6,4,10,8,10,10,14,12,14,19,19,19,10,19,20,23,21,23,23,25,26,
(19,13),-0.324067 # DEPENDENCYPART_ARC
(19,14),1.30117 # DEPENDENCYPART_ARC
(19,15),-1.18301 # DEPENDENCYPART_ARC
(19,16),2.24035 # DEPENDENCYPART_ARC
(19,17),4.11517 # DEPENDENCYPART_ARC
(19,18),4.8978 # DEPENDENCYPART_ARC
(19,20),2.4043 # DEPENDENCYPART_ARC
(19,21),1.10695 # DEPENDENCYPART_ARC
(19,22),-1.31098 # DEPENDENCYPART_ARC
(19,23),1.11226 # DEPENDENCYPART_ARC
(19,24),-0.634674 # DEPENDENCYPART_ARC
(19,25),0.758196 # DEPENDENCYPART_ARC
(19,26),-0.523718 # DEPENDENCYPART_ARC
(19,27),-0.368502 # DEPENDENCYPART_ARC
(20,1),-2.18317 # DEPENDENCYPART_ARC
(20,2),-2.09022 # DEPENDENCYPART_ARC
(20,3),-2.10987 # DEPENDENCYPART_ARC
(20,4),-2.3845 # DEPENDENCYPART_ARC
(20,5),-2.02737 # DEPENDENCYPART_ARC
(20,6),-2.34413 # DEPENDENCYPART_ARC
(20,7),-2.25903 # DEPENDENCYPART_ARC
(20,8),-1.83594 # DEPENDENCYPART_ARC
(20,9),-2.093 # DEPENDENCYPART_ARC
(20,10),-2.18266 # DEPENDENCYPART_ARC
(20,11),-2.33763 # DEPENDENCYPART_ARC
(20,12),-1.70858 # DEPENDENCYPART_ARC
(20,13),-1.83601 # DEPENDENCYPART_ARC
(20,14),-1.98872 # DEPENDENCYPART_ARC
(20,15),-2.0032 # DEPENDENCYPART_ARC
(20,16),-1.74515 # DEPENDENCYPART_ARC
(20,17),-1.28047 # DEPENDENCYPART_ARC
(20,18),-1.30061 # DEPENDENCYPART_ARC
(20,19),-0.379482 # DEPENDENCYPART_ARC
(20,21),3.50249 # DEPENDENCYPART_ARC
(20,22),0.130321 # DEPENDENCYPART_ARC
(20,23),0.256611 # DEPENDENCYPART_ARC
(20,24),0.321258 # DEPENDENCYPART_ARC
(20,25),-0.542288 # DEPENDENCYPART_ARC
(20,26),-0.640062 # DEPENDENCYPART_ARC
(20,27),-0.274199 # DEPENDENCYPART_ARC
(21,1),-2.06068 # DEPENDENCYPART_ARC
(21,2),-1.54045 # DEPENDENCYPART_ARC
(21,3),-1.17166 # DEPENDENCYPART_ARC
(21,4),-1.46335 # DEPENDENCYPART_ARC
(21,5),-2.75482 # DEPENDENCYPART_ARC
(21,6),-2.34877 # DEPENDENCYPART_ARC
(21,7),-3.49899 # DEPENDENCYPART_ARC
(21,8),-0.915641 # DEPENDENCYPART_ARC
(21,9),-1.60068 # DEPENDENCYPART_ARC
(21,10),-1.34053 # DEPENDENCYPART_ARC
(21,11),-1.37136 # DEPENDENCYPART_ARC
(21,12),-1.14664 # DEPENDENCYPART_ARC
(21,13),-1.3516 # DEPENDENCYPART_ARC
(21,14),-0.754366 # DEPENDENCYPART_ARC
(21,15),-2.95299 # DEPENDENCYPART_ARC
(21,16),-0.317299 # DEPENDENCYPART_ARC
(21,17),0.00623437 # DEPENDENCYPART_ARC
(21,18),-0.626285 # DEPENDENCYPART_ARC
(21,19),0.0299807 # DEPENDENCYPART_ARC
(21,20),0.536009 # DEPENDENCYPART_ARC
(21,22),0.943733 # DEPENDENCYPART_ARC
(21,23),3.00111 # DEPENDENCYPART_ARC
(21,24),0.472057 # DEPENDENCYPART_ARC
(21,25),1.40737 # DEPENDENCYPART_ARC
(21,26),0.728048 # DEPENDENCYPART_ARC
(21,27),-0.442396 # DEPENDENCYPART_ARC
(22,1),-2.65101 # DEPENDENCYPART_ARC
(22,2),-2.47876 # DEPENDENCYPART_ARC
(22,3),-2.39622 # DEPENDENCYPART_ARC
(22,4),-3.02546 # DEPENDENCYPART_ARC
(22,5),-2.49958 # DEPENDENCYPART_ARC
(22,6),-2.89663 # DEPENDENCYPART_ARC
(22,7),-2.25492 # DEPENDENCYPART_ARC
(22,8),-2.42067 # DEPENDENCYPART_ARC
(22,9),-2.16635 # DEPENDENCYPART_ARC
(22,10),-2.92186 # DEPENDENCYPART_ARC
(22,11),-2.67798 # DEPENDENCYPART_ARC
(22,12),-2.15455 # DEPENDENCYPART_ARC
(22,13),-2.4879 # DEPENDENCYPART_ARC
(22,14),-3.05809 # DEPENDENCYPART_ARC
(22,15),-1.97822 # DEPENDENCYPART_ARC
(22,16),-2.81491 # DEPENDENCYPART_ARC
(22,17),-2.19666 # DEPENDENCYPART_ARC
(22,18),-3.21817 # DEPENDENCYPART_ARC
(22,19),-2.59155 # DEPENDENCYPART_ARC
(22,20),-1.05393 # DEPENDENCYPART_ARC
(22,21),-0.731456 # DEPENDENCYPART_ARC
(22,23),0.768628 # DEPENDENCYPART_ARC
(22,24),-0.698988 # DEPENDENCYPART_ARC
(22,25),-0.589389 # DEPENDENCYPART_ARC
(22,26),-0.619031 # DEPENDENCYPART_ARC
(22,27),-0.885296 # DEPENDENCYPART_ARC
(23,1),-2.39351 # DEPENDENCYPART_ARC
(23,2),-2.06926 # DEPENDENCYPART_ARC
(23,3),-4.38624 # DEPENDENCYPART_ARC
(23,4),-3.16994 # DEPENDENCYPART_ARC
(23,5),-2.38388 # DEPENDENCYPART_ARC
(23,6),-2.30002 # DEPENDENCYPART_ARC
(23,7),-3.24547 # DEPENDENCYPART_ARC
(23,8),-1.48256 # DEPENDENCYPART_ARC
(23,9),-2.84031 # DEPENDENCYPART_ARC
(23,10),-2.72279 # DEPENDENCYPART_ARC
(23,11),-2.89624 # DEPENDENCYPART_ARC
(23,12),-1.43555 # DEPENDENCYPART_ARC
(23,13),-2.78371 # DEPENDENCYPART_ARC
(23,14),-2.63275 # DEPENDENCYPART_ARC
(23,15),-2.5296 # DEPENDENCYPART_ARC
(23,16),-1.91403 # DEPENDENCYPART_ARC
(23,17),-1.61597 # DEPENDENCYPART_ARC
(23,18),-2.72745 # DEPENDENCYPART_ARC
(23,19),-1.51216 # DEPENDENCYPART_ARC
(23,20),-0.0279525 # DEPENDENCYPART_ARC
(23,21),-0.631402 # DEPENDENCYPART_ARC
(23,22),3.99113 # DEPENDENCYPART_ARC
(23,24),3.87316 # DEPENDENCYPART_ARC
(23,25),1.97243 # DEPENDENCYPART_ARC
(23,26),1.46533 # DEPENDENCYPART_ARC
(23,27),0.479292 # DEPENDENCYPART_ARC
(24,1),-1.87848 # DEPENDENCYPART_ARC
(24,2),-2.48223 # DEPENDENCYPART_ARC
(24,3),-1.52092 # DEPENDENCYPART_ARC
(24,4),-2.57354 # DEPENDENCYPART_ARC
(24,5),-1.56471 # DEPENDENCYPART_ARC
(24,6),-2.50118 # DEPENDENCYPART_ARC
(24,7),-1.91843 # DEPENDENCYPART_ARC
(24,8),-1.29798 # DEPENDENCYPART_ARC
(24,9),-1.47599 # DEPENDENCYPART_ARC
(24,10),-2.38357 # DEPENDENCYPART_ARC
(24,11),-1.98947 # DEPENDENCYPART_ARC
(24,12),-1.16374 # DEPENDENCYPART_ARC
(24,13),-1.37681 # DEPENDENCYPART_ARC
(24,14),-1.94398 # DEPENDENCYPART_ARC
(24,15),-1.67391 # DEPENDENCYPART_ARC
(24,16),-1.50929 # DEPENDENCYPART_ARC
(24,17),-0.902118 # DEPENDENCYPART_ARC
(24,18),-2.94813 # DEPENDENCYPART_ARC
(24,19),-2.75449 # DEPENDENCYPART_ARC
(24,20),-0.202523 # DEPENDENCYPART_ARC
(24,21),-1.11187 # DEPENDENCYPART_ARC
(24,22),0.362105 # DEPENDENCYPART_ARC
(24,23),0.470437 # DEPENDENCYPART_ARC
(24,25),1.01801 # DEPENDENCYPART_ARC
(24,26),0.733144 # DEPENDENCYPART_ARC
(24,27),0.217908 # DEPENDENCYPART_ARC
(25,1),-2.40177 # DEPENDENCYPART_ARC
(25,2),-2.22042 # DEPENDENCYPART_ARC
(25,3),-2.04779 # DEPENDENCYPART_ARC
(25,4),-3.06134 # DEPENDENCYPART_ARC
(25,5),-2.11492 # DEPENDENCYPART_ARC
(25,6),-3.15637 # DEPENDENCYPART_ARC
(25,7),-2.35015 # DEPENDENCYPART_ARC
(25,8),-2.044 # DEPENDENCYPART_ARC
(25,9),-1.89505 # DEPENDENCYPART_ARC
(25,10),-2.864 # DEPENDENCYPART_ARC
(25,11),-2.65179 # DEPENDENCYPART_ARC
(25,12),-1.92124 # DEPENDENCYPART_ARC
(25,13),-2.08848 # DEPENDENCYPART_ARC
(25,14),-3.26178 # DEPENDENCYPART_ARC
(25,15),-2.24926 # DEPENDENCYPART_ARC
(25,16),-2.93168 # DEPENDENCYPART_ARC
(25,17),-2.0469 # DEPENDENCYPART_ARC
(25,18),-2.68737 # DEPENDENCYPART_ARC
(25,19),-3.00381 # DEPENDENCYPART_ARC
(25,20),-1.39361 # DEPENDENCYPART_ARC
(25,21),-2.21882 # DEPENDENCYPART_ARC
(25,22),-0.830734 # DEPENDENCYPART_ARC
(25,23),-1.57741 # DEPENDENCYPART_ARC
(25,24),-0.488822 # DEPENDENCYPART_ARC
(25,26),3.95111 # DEPENDENCYPART_ARC
(25,27),0.238189 # DEPENDENCYPART_ARC
(26,1),-3.56849 # DEPENDENCYPART_ARC
(26,2),-2.71575 # DEPENDENCYPART_ARC
(26,3),-4.93918 # DEPENDENCYPART_ARC
(26,4),-5.01778 # DEPENDENCYPART_ARC
(26,5),-3.57814 # DEPENDENCYPART_ARC
(26,6),-3.94671 # DEPENDENCYPART_ARC
(26,7),-3.85187 # DEPENDENCYPART_ARC
(26,8),-2.47617 # DEPENDENCYPART_ARC
(26,9),-3.92093 # DEPENDENCYPART_ARC
(26,10),-4.53965 # DEPENDENCYPART_ARC
(26,11),-4.23365 # DEPENDENCYPART_ARC
(26,12),-2.50478 # DEPENDENCYPART_ARC
(26,13),-2.86656 # DEPENDENCYPART_ARC
(26,14),-2.95615 # DEPENDENCYPART_ARC
(26,15),-3.362 # DEPENDENCYPART_ARC
(26,16),-1.65873 # DEPENDENCYPART_ARC
(26,17),-1.67361 # DEPENDENCYPART_ARC
(26,18),-3.51867 # DEPENDENCYPART_ARC
(26,19),-2.26025 # DEPENDENCYPART_ARC
(26,20),-1.79019 # DEPENDENCYPART_ARC
(26,21),-2.54699 # DEPENDENCYPART_ARC
(26,22),-0.358581 # DEPENDENCYPART_ARC
(26,23),-2.20845 # DEPENDENCYPART_ARC
(26,24),-0.753972 # DEPENDENCYPART_ARC
(26,25),0.649263 # DEPENDENCYPART_ARC
(26,27),2.62402 # DEPENDENCYPART_ARC
(27,1),-2.11558 # DEPENDENCYPART_ARC
(27,2),-2.4523 # DEPENDENCYPART_ARC
(27,3),-2.08279 # DEPENDENCYPART_ARC
(27,4),-2.71124 # DEPENDENCYPART_ARC
(27,5),-2.15236 # DEPENDENCYPART_ARC
(27,6),-2.70402 # DEPENDENCYPART_ARC
(27,7),-2.19386 # DEPENDENCYPART_ARC
(27,8),-1.96084 # DEPENDENCYPART_ARC
(27,9),-2.11772 # DEPENDENCYPART_ARC
(27,10),-2.5448 # DEPENDENCYPART_ARC
(27,11),-2.44916 # DEPENDENCYPART_ARC
(27,12),-2.02514 # DEPENDENCYPART_ARC
(27,13),-2.09805 # DEPENDENCYPART_ARC
(27,14),-2.49535 # DEPENDENCYPART_ARC
(27,15),-2.0873 # DEPENDENCYPART_ARC
(27,16),-2.50742 # DEPENDENCYPART_ARC
(27,17),-2.07586 # DEPENDENCYPART_ARC
(27,18),-2.5976 # DEPENDENCYPART_ARC
(27,19),-2.60872 # DEPENDENCYPART_ARC
(27,20),-1.6377 # DEPENDENCYPART_ARC
(27,21),-2.4145 # DEPENDENCYPART_ARC
(27,22),-1.36284 # DEPENDENCYPART_ARC
(27,23),-1.88154 # DEPENDENCYPART_ARC
(27,24),-1.47559 # DEPENDENCYPART_ARC
(27,25),-0.782386 # DEPENDENCYPART_ARC
(27,26),-0.501572 # DEPENDENCYPART_ARC
