# _root_ Max Sciandri , nato a Derby 28 anni or sono da genitori toscani che gestivano un ristorante , ha sempre mantenuto il doppio passaporto .
#goldHeads=2,21,2,2,4,5,8,4,10,8,4,11,12,15,12,17,15,17,21,21,0,24,24,21,24,
#predictedHeads=2,10,2,1,4,5,8,10,10,0,10,11,12,15,12,17,15,17,21,21,17,24,24,21,24,
(24,14),-1.31346 # DEPENDENCYPART_ARC
(24,15),-2.43851 # DEPENDENCYPART_ARC
(24,16),-0.33981 # DEPENDENCYPART_ARC
(24,17),-2.10593 # DEPENDENCYPART_ARC
(24,18),-2.01864 # DEPENDENCYPART_ARC
(24,19),-1.45541 # DEPENDENCYPART_ARC
(24,20),0.0237855 # DEPENDENCYPART_ARC
(24,21),-0.421785 # DEPENDENCYPART_ARC
(24,22),3.13613 # DEPENDENCYPART_ARC
(24,23),3.70828 # DEPENDENCYPART_ARC
(24,25),2.6873 # DEPENDENCYPART_ARC
(25,3),-2.13841 # DEPENDENCYPART_ARC
(25,16),-1.64017 # DEPENDENCYPART_ARC
(25,18),-1.72587 # DEPENDENCYPART_ARC
(25,22),-0.716976 # DEPENDENCYPART_ARC
