# _root_ Come in tutte le produzioni artigianali la fornitura avviene su ordinazione , attraverso distributori forniti di campionario , come la Tirone Edilizia di Milano che conta su un numero infinito di proposte .
#goldHeads=9,8,5,5,2,5,8,9,0,9,10,11,9,13,14,15,16,17,14,21,19,21,21,23,26,21,26,29,27,29,29,31,32,
#predictedHeads=2,9,5,5,2,5,8,9,0,9,10,11,9,13,14,15,16,17,15,21,19,21,21,23,26,21,26,29,27,29,29,31,32,
(15,25),-1.48857 # DEPENDENCYPART_ARC
(15,26),-0.537276 # DEPENDENCYPART_ARC
(15,27),0.296888 # DEPENDENCYPART_ARC
(15,28),-1.86942 # DEPENDENCYPART_ARC
(15,29),-1.23331 # DEPENDENCYPART_ARC
(15,30),-1.81583 # DEPENDENCYPART_ARC
(15,31),-1.70312 # DEPENDENCYPART_ARC
(15,32),-2.06528 # DEPENDENCYPART_ARC
(15,33),-1.85971 # DEPENDENCYPART_ARC
(16,1),-1.54912 # DEPENDENCYPART_ARC
(16,2),-2.07271 # DEPENDENCYPART_ARC
(16,3),-1.69871 # DEPENDENCYPART_ARC
(16,4),-1.92128 # DEPENDENCYPART_ARC
(16,5),-2.23918 # DEPENDENCYPART_ARC
(16,6),-2.24005 # DEPENDENCYPART_ARC
(16,7),-1.8399 # DEPENDENCYPART_ARC
(16,8),-2.04998 # DEPENDENCYPART_ARC
(16,9),-2.45356 # DEPENDENCYPART_ARC
(16,10),-1.55064 # DEPENDENCYPART_ARC
(16,11),-1.75361 # DEPENDENCYPART_ARC
(16,12),-1.78663 # DEPENDENCYPART_ARC
(16,13),-0.843238 # DEPENDENCYPART_ARC
(16,14),-1.14806 # DEPENDENCYPART_ARC
(16,15),-0.308054 # DEPENDENCYPART_ARC
(16,17),4.71076 # DEPENDENCYPART_ARC
(16,18),1.15108 # DEPENDENCYPART_ARC
(16,19),-0.265224 # DEPENDENCYPART_ARC
(16,20),-0.827906 # DEPENDENCYPART_ARC
(16,21),-0.692025 # DEPENDENCYPART_ARC
(16,22),-1.51168 # DEPENDENCYPART_ARC
(16,23),-0.01928 # DEPENDENCYPART_ARC
(16,24),-1.58532 # DEPENDENCYPART_ARC
(16,25),-2.26792 # DEPENDENCYPART_ARC
(16,26),-1.59006 # DEPENDENCYPART_ARC
(16,27),-1.45385 # DEPENDENCYPART_ARC
(16,28),-1.65018 # DEPENDENCYPART_ARC
(16,29),-5.53404 # DEPENDENCYPART_ARC
(16,30),-1.05306 # DEPENDENCYPART_ARC
(16,31),-1.00654 # DEPENDENCYPART_ARC
(16,32),-5.24389 # DEPENDENCYPART_ARC
(16,33),-1.51927 # DEPENDENCYPART_ARC
(17,1),-2.62005 # DEPENDENCYPART_ARC
(17,2),-2.83381 # DEPENDENCYPART_ARC
(17,3),-1.92534 # DEPENDENCYPART_ARC
(17,4),-3.35075 # DEPENDENCYPART_ARC
(17,5),-3.70691 # DEPENDENCYPART_ARC
(17,6),-2.89057 # DEPENDENCYPART_ARC
(17,7),-2.9752 # DEPENDENCYPART_ARC
(17,8),-4.01514 # DEPENDENCYPART_ARC
(17,9),-2.86728 # DEPENDENCYPART_ARC
(17,10),-1.90324 # DEPENDENCYPART_ARC
(17,11),-3.63812 # DEPENDENCYPART_ARC
(17,12),-2.8394 # DEPENDENCYPART_ARC
(17,13),-1.20789 # DEPENDENCYPART_ARC
(17,14),-1.28094 # DEPENDENCYPART_ARC
(17,15),-0.178357 # DEPENDENCYPART_ARC
(17,16),0.549526 # DEPENDENCYPART_ARC
(17,18),2.15222 # DEPENDENCYPART_ARC
(17,19),0.366717 # DEPENDENCYPART_ARC
(17,20),-0.602924 # DEPENDENCYPART_ARC
(17,21),-0.470277 # DEPENDENCYPART_ARC
(17,22),0.188537 # DEPENDENCYPART_ARC
(17,23),0.0719078 # DEPENDENCYPART_ARC
(17,24),-0.121547 # DEPENDENCYPART_ARC
(17,25),-2.187 # DEPENDENCYPART_ARC
(17,26),-0.0598654 # DEPENDENCYPART_ARC
(17,27),-0.936217 # DEPENDENCYPART_ARC
(17,28),-1.31323 # DEPENDENCYPART_ARC
(17,29),-1.61621 # DEPENDENCYPART_ARC
(17,30),-1.05915 # DEPENDENCYPART_ARC
(17,31),-1.3083 # DEPENDENCYPART_ARC
(17,32),-1.78264 # DEPENDENCYPART_ARC
(17,33),-2.58135 # DEPENDENCYPART_ARC
(18,1),-2.62779 # DEPENDENCYPART_ARC
(18,2),-2.33169 # DEPENDENCYPART_ARC
(18,3),-2.43496 # DEPENDENCYPART_ARC
(18,4),-2.37485 # DEPENDENCYPART_ARC
(18,5),-2.7548 # DEPENDENCYPART_ARC
(18,6),-2.67797 # DEPENDENCYPART_ARC
(18,7),-2.31424 # DEPENDENCYPART_ARC
(18,8),-2.73709 # DEPENDENCYPART_ARC
(18,9),-3.00151 # DEPENDENCYPART_ARC
(18,10),-2.12255 # DEPENDENCYPART_ARC
(18,11),-2.6445 # DEPENDENCYPART_ARC
(18,12),-2.27794 # DEPENDENCYPART_ARC
(18,13),-1.87349 # DEPENDENCYPART_ARC
(18,14),-2.3256 # DEPENDENCYPART_ARC
(18,15),-2.2839 # DEPENDENCYPART_ARC
(18,16),-1.17003 # DEPENDENCYPART_ARC
(18,17),-0.900324 # DEPENDENCYPART_ARC
(18,19),-1.02183 # DEPENDENCYPART_ARC
(18,20),-1.45449 # DEPENDENCYPART_ARC
(18,21),-1.63781 # DEPENDENCYPART_ARC
(18,22),-1.80912 # DEPENDENCYPART_ARC
(18,23),-2.05791 # DEPENDENCYPART_ARC
(18,24),-2.00329 # DEPENDENCYPART_ARC
(18,25),-2.09114 # DEPENDENCYPART_ARC
(18,26),-1.80564 # DEPENDENCYPART_ARC
(18,27),-2.36802 # DEPENDENCYPART_ARC
(18,28),-2.15501 # DEPENDENCYPART_ARC
(18,29),-2.36214 # DEPENDENCYPART_ARC
(18,30),-2.51745 # DEPENDENCYPART_ARC
(18,31),-2.54348 # DEPENDENCYPART_ARC
(18,32),-2.38486 # DEPENDENCYPART_ARC
(18,33),-1.56219 # DEPENDENCYPART_ARC
(19,1),-1.75993 # DEPENDENCYPART_ARC
(19,2),-1.88909 # DEPENDENCYPART_ARC
(19,3),-1.80892 # DEPENDENCYPART_ARC
(19,4),-1.98223 # DEPENDENCYPART_ARC
(19,5),-2.27775 # DEPENDENCYPART_ARC
(19,6),-2.18302 # DEPENDENCYPART_ARC
(19,7),-1.87384 # DEPENDENCYPART_ARC
(19,8),-2.20084 # DEPENDENCYPART_ARC
(19,9),-2.46456 # DEPENDENCYPART_ARC
(19,10),-1.57921 # DEPENDENCYPART_ARC
(19,11),-1.99015 # DEPENDENCYPART_ARC
(19,12),-1.90417 # DEPENDENCYPART_ARC
(19,13),-1.35651 # DEPENDENCYPART_ARC
(19,14),-1.72819 # DEPENDENCYPART_ARC
(19,15),-2.02726 # DEPENDENCYPART_ARC
(19,16),-0.642598 # DEPENDENCYPART_ARC
(19,17),-0.979876 # DEPENDENCYPART_ARC
(19,18),0.0120169 # DEPENDENCYPART_ARC
(19,20),0.994282 # DEPENDENCYPART_ARC
(19,21),3.17951 # DEPENDENCYPART_ARC
(19,22),1.10863 # DEPENDENCYPART_ARC
(19,23),-0.225987 # DEPENDENCYPART_ARC
(19,24),0.375299 # DEPENDENCYPART_ARC
(19,25),-0.362074 # DEPENDENCYPART_ARC
(19,26),-0.435486 # DEPENDENCYPART_ARC
(19,27),-0.314335 # DEPENDENCYPART_ARC
(19,28),-1.03844 # DEPENDENCYPART_ARC
(19,29),-2.37392 # DEPENDENCYPART_ARC
(19,30),-0.355438 # DEPENDENCYPART_ARC
(19,31),-1.20444 # DEPENDENCYPART_ARC
(19,32),-3.35296 # DEPENDENCYPART_ARC
(19,33),-1.21598 # DEPENDENCYPART_ARC
(20,1),-2.8961 # DEPENDENCYPART_ARC
(20,2),-3.083 # DEPENDENCYPART_ARC
(20,3),-2.93877 # DEPENDENCYPART_ARC
(20,4),-2.90732 # DEPENDENCYPART_ARC
(20,5),-3.51889 # DEPENDENCYPART_ARC
(20,6),-3.09242 # DEPENDENCYPART_ARC
(20,7),-2.48341 # DEPENDENCYPART_ARC
(20,8),-3.12381 # DEPENDENCYPART_ARC
(20,9),-3.59663 # DEPENDENCYPART_ARC
(20,10),-2.82048 # DEPENDENCYPART_ARC
(20,11),-3.05487 # DEPENDENCYPART_ARC
(20,12),-2.60876 # DEPENDENCYPART_ARC
(20,13),-2.60021 # DEPENDENCYPART_ARC
(20,14),-3.34907 # DEPENDENCYPART_ARC
(20,15),-3.91342 # DEPENDENCYPART_ARC
(20,16),-2.22416 # DEPENDENCYPART_ARC
(20,17),-2.39206 # DEPENDENCYPART_ARC
(20,18),-1.38388 # DEPENDENCYPART_ARC
(20,19),-0.660987 # DEPENDENCYPART_ARC
(20,21),1.15852 # DEPENDENCYPART_ARC
(20,22),0.314362 # DEPENDENCYPART_ARC
(20,23),-0.219728 # DEPENDENCYPART_ARC
(20,24),-0.383569 # DEPENDENCYPART_ARC
(20,25),-1.49071 # DEPENDENCYPART_ARC
(20,26),-0.575559 # DEPENDENCYPART_ARC
(20,27),-0.965759 # DEPENDENCYPART_ARC
(20,28),-1.91891 # DEPENDENCYPART_ARC
(20,29),-1.20802 # DEPENDENCYPART_ARC
(20,30),-2.48871 # DEPENDENCYPART_ARC
(20,31),-1.07967 # DEPENDENCYPART_ARC
(20,32),-0.935625 # DEPENDENCYPART_ARC
(20,33),-1.13857 # DEPENDENCYPART_ARC
(21,1),-2.40417 # DEPENDENCYPART_ARC
(21,2),-2.51089 # DEPENDENCYPART_ARC
(21,3),-0.971784 # DEPENDENCYPART_ARC
(21,4),-3.24267 # DEPENDENCYPART_ARC
(21,5),-3.79822 # DEPENDENCYPART_ARC
(21,6),-3.58696 # DEPENDENCYPART_ARC
(21,7),-2.93086 # DEPENDENCYPART_ARC
(21,8),-4.22171 # DEPENDENCYPART_ARC
(21,9),-2.93552 # DEPENDENCYPART_ARC
(21,10),-1.71951 # DEPENDENCYPART_ARC
(21,11),-3.84877 # DEPENDENCYPART_ARC
(21,12),-2.91147 # DEPENDENCYPART_ARC
(21,13),-1.30103 # DEPENDENCYPART_ARC
(21,14),-2.84486 # DEPENDENCYPART_ARC
(21,15),-1.1582 # DEPENDENCYPART_ARC
(21,16),-0.8168 # DEPENDENCYPART_ARC
(21,17),-2.8078 # DEPENDENCYPART_ARC
(21,18),-1.79539 # DEPENDENCYPART_ARC
(21,19),0.462019 # DEPENDENCYPART_ARC
(21,20),3.15983 # DEPENDENCYPART_ARC
(21,22),3.14419 # DEPENDENCYPART_ARC
(21,23),1.69569 # DEPENDENCYPART_ARC
(21,24),1.21979 # DEPENDENCYPART_ARC
(21,25),-0.740265 # DEPENDENCYPART_ARC
(21,26),1.23539 # DEPENDENCYPART_ARC
(21,27),0.105361 # DEPENDENCYPART_ARC
(21,28),-0.424708 # DEPENDENCYPART_ARC
(21,29),-0.0442909 # DEPENDENCYPART_ARC
(21,30),-0.213347 # DEPENDENCYPART_ARC
(21,31),-0.0603892 # DEPENDENCYPART_ARC
(21,32),-0.572413 # DEPENDENCYPART_ARC
(21,33),-2.08271 # DEPENDENCYPART_ARC
(22,1),-2.30633 # DEPENDENCYPART_ARC
(22,2),-2.29795 # DEPENDENCYPART_ARC
(22,3),-0.828276 # DEPENDENCYPART_ARC
(22,4),-3.63772 # DEPENDENCYPART_ARC
(22,5),-3.55275 # DEPENDENCYPART_ARC
(22,6),-3.05739 # DEPENDENCYPART_ARC
(22,7),-3.31412 # DEPENDENCYPART_ARC
(22,8),-4.1433 # DEPENDENCYPART_ARC
(22,9),-2.75634 # DEPENDENCYPART_ARC
(22,10),-1.37948 # DEPENDENCYPART_ARC
(22,11),-3.50905 # DEPENDENCYPART_ARC
(22,12),-2.84075 # DEPENDENCYPART_ARC
(22,13),-0.949649 # DEPENDENCYPART_ARC
(22,14),-2.50381 # DEPENDENCYPART_ARC
(22,15),-1.01853 # DEPENDENCYPART_ARC
(22,16),-0.878491 # DEPENDENCYPART_ARC
(22,17),-2.47825 # DEPENDENCYPART_ARC
(22,18),-2.02509 # DEPENDENCYPART_ARC
(22,19),0.553683 # DEPENDENCYPART_ARC
(22,20),1.69038 # DEPENDENCYPART_ARC
(22,21),1.69012 # DEPENDENCYPART_ARC
(22,23),1.26925 # DEPENDENCYPART_ARC
(22,24),0.842892 # DEPENDENCYPART_ARC
(22,25),-1.16027 # DEPENDENCYPART_ARC
(22,26),0.414033 # DEPENDENCYPART_ARC
(22,27),-0.661976 # DEPENDENCYPART_ARC
(22,28),-0.924592 # DEPENDENCYPART_ARC
(22,29),-0.761914 # DEPENDENCYPART_ARC
(22,30),-1.12393 # DEPENDENCYPART_ARC
(22,31),-0.853733 # DEPENDENCYPART_ARC
(22,32),-1.11884 # DEPENDENCYPART_ARC
(22,33),-2.14023 # DEPENDENCYPART_ARC
(23,1),-1.53362 # DEPENDENCYPART_ARC
(23,2),-2.07785 # DEPENDENCYPART_ARC
(23,3),-1.63397 # DEPENDENCYPART_ARC
(23,4),-1.75895 # DEPENDENCYPART_ARC
(23,5),-2.13859 # DEPENDENCYPART_ARC
(23,6),-2.14827 # DEPENDENCYPART_ARC
(23,7),-1.81757 # DEPENDENCYPART_ARC
(23,8),-2.1317 # DEPENDENCYPART_ARC
(23,9),-2.49478 # DEPENDENCYPART_ARC
(23,10),-1.61875 # DEPENDENCYPART_ARC
(23,11),-1.96437 # DEPENDENCYPART_ARC
(23,12),-2.07546 # DEPENDENCYPART_ARC
(23,13),-1.43052 # DEPENDENCYPART_ARC
(23,14),-1.89907 # DEPENDENCYPART_ARC
(23,15),-2.23784 # DEPENDENCYPART_ARC
(23,16),-1.17284 # DEPENDENCYPART_ARC
(23,17),-1.654 # DEPENDENCYPART_ARC
(23,18),-1.58583 # DEPENDENCYPART_ARC
(23,19),-0.790701 # DEPENDENCYPART_ARC
(23,20),-0.808665 # DEPENDENCYPART_ARC
(23,21),-0.92783 # DEPENDENCYPART_ARC
(23,22),-0.083567 # DEPENDENCYPART_ARC
(23,24),4.51434 # DEPENDENCYPART_ARC
(23,25),0.521698 # DEPENDENCYPART_ARC
(23,26),0.0712375 # DEPENDENCYPART_ARC
(23,27),-0.504293 # DEPENDENCYPART_ARC
(23,28),-1.1404 # DEPENDENCYPART_ARC
(23,29),-1.74114 # DEPENDENCYPART_ARC
(23,30),-0.417964 # DEPENDENCYPART_ARC
(23,31),-0.339197 # DEPENDENCYPART_ARC
(23,32),-1.79522 # DEPENDENCYPART_ARC
(23,33),-0.837537 # DEPENDENCYPART_ARC
(24,1),-3.80273 # DEPENDENCYPART_ARC
(24,2),-3.91305 # DEPENDENCYPART_ARC
(24,3),-1.86582 # DEPENDENCYPART_ARC
(24,4),-4.71184 # DEPENDENCYPART_ARC
(24,5),-4.2922 # DEPENDENCYPART_ARC
(24,6),-4.32986 # DEPENDENCYPART_ARC
(24,7),-4.4138 # DEPENDENCYPART_ARC
(24,8),-4.90669 # DEPENDENCYPART_ARC
(24,9),-3.71093 # DEPENDENCYPART_ARC
(24,10),-2.84531 # DEPENDENCYPART_ARC
(24,11),-4.45826 # DEPENDENCYPART_ARC
(24,12),-3.76741 # DEPENDENCYPART_ARC
(24,13),-2.5897 # DEPENDENCYPART_ARC
(24,14),-3.66859 # DEPENDENCYPART_ARC
(24,15),-1.95183 # DEPENDENCYPART_ARC
(24,16),-2.34534 # DEPENDENCYPART_ARC
(24,17),-3.8771 # DEPENDENCYPART_ARC
(24,18),-3.32057 # DEPENDENCYPART_ARC
(24,19),-1.35584 # DEPENDENCYPART_ARC
(24,20),-0.578621 # DEPENDENCYPART_ARC
(24,21),-0.342293 # DEPENDENCYPART_ARC
(24,22),-0.0361232 # DEPENDENCYPART_ARC
(24,23),0.437048 # DEPENDENCYPART_ARC
(24,25),-0.0945869 # DEPENDENCYPART_ARC
(24,26),1.23014 # DEPENDENCYPART_ARC
(24,27),-0.0482925 # DEPENDENCYPART_ARC
(24,28),-0.6461 # DEPENDENCYPART_ARC
(24,29),-0.907182 # DEPENDENCYPART_ARC
(24,30),-0.58662 # DEPENDENCYPART_ARC
(24,31),-0.146969 # DEPENDENCYPART_ARC
(24,32),-1.10331 # DEPENDENCYPART_ARC
(24,33),-1.39927 # DEPENDENCYPART_ARC
(25,1),-1.94519 # DEPENDENCYPART_ARC
(25,2),-1.73764 # DEPENDENCYPART_ARC
(25,3),-1.52399 # DEPENDENCYPART_ARC
(25,4),-1.39295 # DEPENDENCYPART_ARC
(25,5),-2.54218 # DEPENDENCYPART_ARC
(25,6),-2.15048 # DEPENDENCYPART_ARC
(25,7),-0.793382 # DEPENDENCYPART_ARC
(25,8),-2.25358 # DEPENDENCYPART_ARC
(25,9),-2.95906 # DEPENDENCYPART_ARC
(25,10),-1.86768 # DEPENDENCYPART_ARC
(25,11),-2.33382 # DEPENDENCYPART_ARC
(25,12),-1.79132 # DEPENDENCYPART_ARC
(25,13),-1.70617 # DEPENDENCYPART_ARC
(25,14),-2.86546 # DEPENDENCYPART_ARC
(25,15),-2.93135 # DEPENDENCYPART_ARC
(25,16),-1.47693 # DEPENDENCYPART_ARC
(25,17),-2.37046 # DEPENDENCYPART_ARC
(25,18),-1.52315 # DEPENDENCYPART_ARC
(25,19),-1.18194 # DEPENDENCYPART_ARC
(25,20),0.0268797 # DEPENDENCYPART_ARC
(25,21),-1.22882 # DEPENDENCYPART_ARC
(25,22),-0.837561 # DEPENDENCYPART_ARC
(25,23),-0.385348 # DEPENDENCYPART_ARC
(25,24),0.106597 # DEPENDENCYPART_ARC
(25,26),1.07348 # DEPENDENCYPART_ARC
(25,27),-0.59721 # DEPENDENCYPART_ARC
(25,28),-0.840434 # DEPENDENCYPART_ARC
(25,29),-0.657652 # DEPENDENCYPART_ARC
(25,30),0.0593463 # DEPENDENCYPART_ARC
(25,31),-1.02475 # DEPENDENCYPART_ARC
(25,32),-1.07595 # DEPENDENCYPART_ARC
(25,33),-0.876524 # DEPENDENCYPART_ARC
(26,1),-2.15932 # DEPENDENCYPART_ARC
(26,2),-1.96908 # DEPENDENCYPART_ARC
(26,3),-2.19766 # DEPENDENCYPART_ARC
(26,4),-2.30067 # DEPENDENCYPART_ARC
(26,5),-1.5377 # DEPENDENCYPART_ARC
(26,6),-2.39622 # DEPENDENCYPART_ARC
(26,7),-2.17971 # DEPENDENCYPART_ARC
(26,8),-0.258797 # DEPENDENCYPART_ARC
(26,9),-2.45757 # DEPENDENCYPART_ARC
(26,10),-1.31707 # DEPENDENCYPART_ARC
(26,11),-0.96474 # DEPENDENCYPART_ARC
(26,12),-3.41775 # DEPENDENCYPART_ARC
(26,13),-0.862747 # DEPENDENCYPART_ARC
(26,14),-1.86362 # DEPENDENCYPART_ARC
(26,15),-2.08854 # DEPENDENCYPART_ARC
(26,16),-1.96141 # DEPENDENCYPART_ARC
(26,17),-1.26328 # DEPENDENCYPART_ARC
(26,18),-2.84438 # DEPENDENCYPART_ARC
(26,19),-0.450593 # DEPENDENCYPART_ARC
(26,20),-1.57242 # DEPENDENCYPART_ARC
(26,21),0.358458 # DEPENDENCYPART_ARC
(26,22),0.0188296 # DEPENDENCYPART_ARC
(26,23),-0.854725 # DEPENDENCYPART_ARC
(26,24),0.0906426 # DEPENDENCYPART_ARC
(26,25),3.71665 # DEPENDENCYPART_ARC
(26,27),2.5517 # DEPENDENCYPART_ARC
(26,28),-1.00469 # DEPENDENCYPART_ARC
(26,29),1.54491 # DEPENDENCYPART_ARC
(26,30),-0.0163682 # DEPENDENCYPART_ARC
(26,31),0.0896487 # DEPENDENCYPART_ARC
(26,32),-0.046057 # DEPENDENCYPART_ARC
(26,33),-0.498518 # DEPENDENCYPART_ARC
(27,1),-2.0117 # DEPENDENCYPART_ARC
(27,2),-2.34703 # DEPENDENCYPART_ARC
(27,3),-2.05393 # DEPENDENCYPART_ARC
(27,4),-2.27088 # DEPENDENCYPART_ARC
(27,5),-2.61117 # DEPENDENCYPART_ARC
(27,6),-2.54921 # DEPENDENCYPART_ARC
(27,7),-2.14873 # DEPENDENCYPART_ARC
(27,8),-2.4107 # DEPENDENCYPART_ARC
(27,9),-2.69485 # DEPENDENCYPART_ARC
(27,10),-1.9037 # DEPENDENCYPART_ARC
(27,11),-2.34248 # DEPENDENCYPART_ARC
(27,12),-2.29421 # DEPENDENCYPART_ARC
(27,13),-1.87423 # DEPENDENCYPART_ARC
(27,14),-2.21066 # DEPENDENCYPART_ARC
(27,15),-2.60625 # DEPENDENCYPART_ARC
(27,16),-1.84561 # DEPENDENCYPART_ARC
(27,17),-2.16094 # DEPENDENCYPART_ARC
(27,18),-2.1212 # DEPENDENCYPART_ARC
(27,19),-1.55344 # DEPENDENCYPART_ARC
(27,20),-1.79527 # DEPENDENCYPART_ARC
(27,21),-2.01262 # DEPENDENCYPART_ARC
(27,22),-1.82301 # DEPENDENCYPART_ARC
(27,23),-1.18787 # DEPENDENCYPART_ARC
(27,24),-1.36777 # DEPENDENCYPART_ARC
(27,25),-0.921428 # DEPENDENCYPART_ARC
(27,26),-0.285899 # DEPENDENCYPART_ARC
(27,28),0.890957 # DEPENDENCYPART_ARC
(27,29),3.42396 # DEPENDENCYPART_ARC
(27,30),0.919807 # DEPENDENCYPART_ARC
(27,31),0.176763 # DEPENDENCYPART_ARC
(27,32),1.40348 # DEPENDENCYPART_ARC
(27,33),0.0770215 # DEPENDENCYPART_ARC
(28,1),-3.20494 # DEPENDENCYPART_ARC
(28,2),-3.3919 # DEPENDENCYPART_ARC
(28,3),-3.35077 # DEPENDENCYPART_ARC
(28,4),-2.99716 # DEPENDENCYPART_ARC
(28,5),-3.98446 # DEPENDENCYPART_ARC
(28,6),-3.21446 # DEPENDENCYPART_ARC
(28,7),-2.98261 # DEPENDENCYPART_ARC
(28,8),-3.77653 # DEPENDENCYPART_ARC
(28,9),-3.83509 # DEPENDENCYPART_ARC
(28,10),-3.14231 # DEPENDENCYPART_ARC
(28,11),-3.68284 # DEPENDENCYPART_ARC
(28,12),-2.84732 # DEPENDENCYPART_ARC
(28,13),-3.0833 # DEPENDENCYPART_ARC
(28,14),-3.41039 # DEPENDENCYPART_ARC
(28,15),-3.98788 # DEPENDENCYPART_ARC
(28,16),-2.97821 # DEPENDENCYPART_ARC
(28,17),-3.30027 # DEPENDENCYPART_ARC
(28,18),-2.73769 # DEPENDENCYPART_ARC
(28,19),-2.73647 # DEPENDENCYPART_ARC
(28,20),-2.66395 # DEPENDENCYPART_ARC
(28,21),-3.23097 # DEPENDENCYPART_ARC
(28,22),-3.21814 # DEPENDENCYPART_ARC
(28,23),-2.40918 # DEPENDENCYPART_ARC
(28,24),-2.96349 # DEPENDENCYPART_ARC
(28,25),-2.07507 # DEPENDENCYPART_ARC
(28,26),-2.40688 # DEPENDENCYPART_ARC
(28,27),-0.684487 # DEPENDENCYPART_ARC
(28,29),1.2298 # DEPENDENCYPART_ARC
(28,30),-0.579146 # DEPENDENCYPART_ARC
(28,31),0.13377 # DEPENDENCYPART_ARC
(28,32),-0.393636 # DEPENDENCYPART_ARC
(28,33),-0.268395 # DEPENDENCYPART_ARC
(29,1),-2.70115 # DEPENDENCYPART_ARC
(29,2),-2.86914 # DEPENDENCYPART_ARC
(29,3),-1.79121 # DEPENDENCYPART_ARC
(29,4),-5.00375 # DEPENDENCYPART_ARC
(29,5),-3.8072 # DEPENDENCYPART_ARC
(29,6),-3.3854 # DEPENDENCYPART_ARC
(29,7),-4.79589 # DEPENDENCYPART_ARC
(29,8),-4.21267 # DEPENDENCYPART_ARC
(29,9),-2.19252 # DEPENDENCYPART_ARC
(29,10),-1.33918 # DEPENDENCYPART_ARC
(29,11),-3.71495 # DEPENDENCYPART_ARC
(29,12),-2.9778 # DEPENDENCYPART_ARC
(29,13),-1.40277 # DEPENDENCYPART_ARC
(29,14),-2.31894 # DEPENDENCYPART_ARC
(29,15),-0.959533 # DEPENDENCYPART_ARC
(29,16),-1.59199 # DEPENDENCYPART_ARC
(29,17),-2.631 # DEPENDENCYPART_ARC
(29,18),-2.78982 # DEPENDENCYPART_ARC
(29,19),-1.02117 # DEPENDENCYPART_ARC
(29,20),-1.77431 # DEPENDENCYPART_ARC
(29,21),-2.06647 # DEPENDENCYPART_ARC
(29,22),-2.16709 # DEPENDENCYPART_ARC
(29,23),-0.837057 # DEPENDENCYPART_ARC
(29,24),-1.25975 # DEPENDENCYPART_ARC
(29,25),-0.67498 # DEPENDENCYPART_ARC
(29,26),-1.11758 # DEPENDENCYPART_ARC
(29,27),0.81271 # DEPENDENCYPART_ARC
(29,28),3.52645 # DEPENDENCYPART_ARC
(29,30),3.75528 # DEPENDENCYPART_ARC
(29,31),2.49141 # DEPENDENCYPART_ARC
(29,32),1.10645 # DEPENDENCYPART_ARC
(29,33),0.324128 # DEPENDENCYPART_ARC
(30,1),-3.23304 # DEPENDENCYPART_ARC
(30,2),-1.97241 # DEPENDENCYPART_ARC
(30,3),-1.89293 # DEPENDENCYPART_ARC
(30,4),-1.56793 # DEPENDENCYPART_ARC
(30,5),-3.39241 # DEPENDENCYPART_ARC
(30,6),-1.79674 # DEPENDENCYPART_ARC
(30,7),-1.69145 # DEPENDENCYPART_ARC
(30,8),-3.26805 # DEPENDENCYPART_ARC
(30,9),-1.93052 # DEPENDENCYPART_ARC
(30,10),-1.75515 # DEPENDENCYPART_ARC
(30,11),-2.87997 # DEPENDENCYPART_ARC
(30,12),-2.05055 # DEPENDENCYPART_ARC
(30,13),-1.46116 # DEPENDENCYPART_ARC
(30,14),-2.43609 # DEPENDENCYPART_ARC
(30,15),-2.82522 # DEPENDENCYPART_ARC
(30,16),-1.80539 # DEPENDENCYPART_ARC
(30,17),-2.1931 # DEPENDENCYPART_ARC
(30,18),-1.89965 # DEPENDENCYPART_ARC
(30,19),-1.27117 # DEPENDENCYPART_ARC
(30,20),-1.28003 # DEPENDENCYPART_ARC
(30,21),-2.04862 # DEPENDENCYPART_ARC
(30,22),-1.95272 # DEPENDENCYPART_ARC
(30,23),-0.734429 # DEPENDENCYPART_ARC
(30,24),-1.77072 # DEPENDENCYPART_ARC
(30,25),-0.307254 # DEPENDENCYPART_ARC
(30,26),-1.23143 # DEPENDENCYPART_ARC
(30,27),0.103586 # DEPENDENCYPART_ARC
(30,28),0.343052 # DEPENDENCYPART_ARC
(30,29),0.321644 # DEPENDENCYPART_ARC
(30,31),0.972783 # DEPENDENCYPART_ARC
(30,32),0.497239 # DEPENDENCYPART_ARC
(30,33),0.319173 # DEPENDENCYPART_ARC
(31,1),-1.66421 # DEPENDENCYPART_ARC
(31,2),-2.33926 # DEPENDENCYPART_ARC
(31,3),-1.78714 # DEPENDENCYPART_ARC
(31,4),-2.00003 # DEPENDENCYPART_ARC
(31,5),-2.28148 # DEPENDENCYPART_ARC
(31,6),-2.3852 # DEPENDENCYPART_ARC
(31,7),-1.94237 # DEPENDENCYPART_ARC
(31,8),-2.33233 # DEPENDENCYPART_ARC
(31,9),-2.51959 # DEPENDENCYPART_ARC
(31,10),-2.00331 # DEPENDENCYPART_ARC
(31,11),-2.05829 # DEPENDENCYPART_ARC
(31,12),-2.02361 # DEPENDENCYPART_ARC
(31,13),-1.79556 # DEPENDENCYPART_ARC
(31,14),-2.07291 # DEPENDENCYPART_ARC
(31,15),-2.45132 # DEPENDENCYPART_ARC
(31,16),-1.80611 # DEPENDENCYPART_ARC
(31,17),-2.08577 # DEPENDENCYPART_ARC
(31,18),-1.96473 # DEPENDENCYPART_ARC
(31,19),-1.61422 # DEPENDENCYPART_ARC
(31,20),-1.78995 # DEPENDENCYPART_ARC
(31,21),-1.92923 # DEPENDENCYPART_ARC
(31,22),-1.93446 # DEPENDENCYPART_ARC
