# _root_ Tutto qui è smisurato , inverosimile : 14 mila impiegati , 800 medici e 300 mila pazienti ogni anno provenienti da ogni parte del mondo .
#goldHeads=3,3,0,3,4,4,6,10,8,0,10,13,10,10,17,15,10,19,20,10,20,23,21,23,24,25,
#predictedHeads=3,3,0,3,4,4,6,10,8,4,10,13,10,13,17,15,13,19,17,17,20,23,21,23,24,25,
(20,7),-1.58187 # DEPENDENCYPART_ARC
(20,8),-0.510984 # DEPENDENCYPART_ARC
(20,9),-0.65624 # DEPENDENCYPART_ARC
(20,10),-1.55907 # DEPENDENCYPART_ARC
(20,11),-1.88293 # DEPENDENCYPART_ARC
(20,12),-0.333127 # DEPENDENCYPART_ARC
(20,13),-1.02157 # DEPENDENCYPART_ARC
(20,14),0.183938 # DEPENDENCYPART_ARC
(20,15),-0.158241 # DEPENDENCYPART_ARC
(20,16),-0.0567976 # DEPENDENCYPART_ARC
(20,17),-0.476203 # DEPENDENCYPART_ARC
(20,18),-0.58522 # DEPENDENCYPART_ARC
(20,19),-0.287189 # DEPENDENCYPART_ARC
(20,21),2.29641 # DEPENDENCYPART_ARC
(20,22),-0.339761 # DEPENDENCYPART_ARC
(20,23),-0.0559262 # DEPENDENCYPART_ARC
(20,24),-1.07504 # DEPENDENCYPART_ARC
(20,25),-1.19268 # DEPENDENCYPART_ARC
(20,26),-0.737879 # DEPENDENCYPART_ARC
(21,1),-1.99658 # DEPENDENCYPART_ARC
(21,2),-1.72368 # DEPENDENCYPART_ARC
(21,3),-2.62017 # DEPENDENCYPART_ARC
(21,4),-2.32693 # DEPENDENCYPART_ARC
(21,5),-2.29183 # DEPENDENCYPART_ARC
(21,6),-2.35563 # DEPENDENCYPART_ARC
(21,7),-2.12842 # DEPENDENCYPART_ARC
(21,8),-1.99329 # DEPENDENCYPART_ARC
(21,9),-2.00894 # DEPENDENCYPART_ARC
(21,10),-2.26372 # DEPENDENCYPART_ARC
(21,11),-2.1731 # DEPENDENCYPART_ARC
(21,12),-1.93332 # DEPENDENCYPART_ARC
(21,13),-2.08493 # DEPENDENCYPART_ARC
(21,14),-1.35971 # DEPENDENCYPART_ARC
(21,15),-1.80908 # DEPENDENCYPART_ARC
(21,16),-1.6363 # DEPENDENCYPART_ARC
(21,17),-1.68802 # DEPENDENCYPART_ARC
(21,18),-0.981892 # DEPENDENCYPART_ARC
(21,19),-1.12926 # DEPENDENCYPART_ARC
(21,20),-0.220501 # DEPENDENCYPART_ARC
(21,22),1.38686 # DEPENDENCYPART_ARC
(21,23),3.21499 # DEPENDENCYPART_ARC
(21,24),0.0696373 # DEPENDENCYPART_ARC
(21,25),1.62032 # DEPENDENCYPART_ARC
(21,26),-0.303562 # DEPENDENCYPART_ARC
(22,1),-2.70115 # DEPENDENCYPART_ARC
(22,2),-2.25174 # DEPENDENCYPART_ARC
(22,3),-3.75587 # DEPENDENCYPART_ARC
(22,4),-2.6083 # DEPENDENCYPART_ARC
(22,5),-2.40681 # DEPENDENCYPART_ARC
(22,6),-2.37843 # DEPENDENCYPART_ARC
(22,7),-2.40599 # DEPENDENCYPART_ARC
(22,8),-2.36592 # DEPENDENCYPART_ARC
(22,9),-2.21307 # DEPENDENCYPART_ARC
(22,10),-3.3282 # DEPENDENCYPART_ARC
(22,11),-2.40717 # DEPENDENCYPART_ARC
(22,12),-2.21089 # DEPENDENCYPART_ARC
(22,13),-3.22473 # DEPENDENCYPART_ARC
(22,14),-1.98538 # DEPENDENCYPART_ARC
(22,15),-2.0636 # DEPENDENCYPART_ARC
(22,16),-2.0454 # DEPENDENCYPART_ARC
(22,17),-2.64728 # DEPENDENCYPART_ARC
(22,18),-1.46511 # DEPENDENCYPART_ARC
(22,19),-2.22125 # DEPENDENCYPART_ARC
(22,20),-2.5312 # DEPENDENCYPART_ARC
(22,21),-0.175758 # DEPENDENCYPART_ARC
(22,23),0.695257 # DEPENDENCYPART_ARC
(22,24),-0.539506 # DEPENDENCYPART_ARC
(22,25),-0.180993 # DEPENDENCYPART_ARC
(22,26),-0.484529 # DEPENDENCYPART_ARC
(23,1),-1.34347 # DEPENDENCYPART_ARC
(23,2),-1.19349 # DEPENDENCYPART_ARC
(23,3),-1.62977 # DEPENDENCYPART_ARC
(23,4),-1.01584 # DEPENDENCYPART_ARC
(23,5),-2.9134 # DEPENDENCYPART_ARC
(23,6),-0.792548 # DEPENDENCYPART_ARC
(23,7),-2.55738 # DEPENDENCYPART_ARC
(23,8),-0.597037 # DEPENDENCYPART_ARC
(23,9),-1.1354 # DEPENDENCYPART_ARC
(23,10),-2.44369 # DEPENDENCYPART_ARC
(23,11),-2.53907 # DEPENDENCYPART_ARC
(23,12),-0.777573 # DEPENDENCYPART_ARC
(23,13),-2.17795 # DEPENDENCYPART_ARC
(23,14),-1.27138 # DEPENDENCYPART_ARC
(23,15),-0.853986 # DEPENDENCYPART_ARC
(23,16),-1.08541 # DEPENDENCYPART_ARC
(23,17),-1.73958 # DEPENDENCYPART_ARC
(23,18),1.11659 # DEPENDENCYPART_ARC
(23,19),-1.63404 # DEPENDENCYPART_ARC
(23,20),0.187612 # DEPENDENCYPART_ARC
(23,21),0.781354 # DEPENDENCYPART_ARC
(23,22),3.6457 # DEPENDENCYPART_ARC
(23,24),2.44322 # DEPENDENCYPART_ARC
(23,25),0.96262 # DEPENDENCYPART_ARC
(23,26),0.06735 # DEPENDENCYPART_ARC
(24,1),-1.99029 # DEPENDENCYPART_ARC
(24,2),-1.9003 # DEPENDENCYPART_ARC
(24,3),-2.79275 # DEPENDENCYPART_ARC
(24,4),-2.19831 # DEPENDENCYPART_ARC
(24,5),-2.06275 # DEPENDENCYPART_ARC
(24,6),-2.29106 # DEPENDENCYPART_ARC
(24,7),-1.94571 # DEPENDENCYPART_ARC
(24,8),-2.007 # DEPENDENCYPART_ARC
(24,9),-2.00477 # DEPENDENCYPART_ARC
(24,10),-2.60256 # DEPENDENCYPART_ARC
(24,11),-1.96731 # DEPENDENCYPART_ARC
(24,12),-1.90203 # DEPENDENCYPART_ARC
(24,13),-2.56179 # DEPENDENCYPART_ARC
(24,14),-1.4639 # DEPENDENCYPART_ARC
(24,15),-1.83114 # DEPENDENCYPART_ARC
(24,16),-1.80388 # DEPENDENCYPART_ARC
(24,17),-2.41736 # DEPENDENCYPART_ARC
(24,18),-0.89143 # DEPENDENCYPART_ARC
(24,19),-2.01134 # DEPENDENCYPART_ARC
(24,20),-2.4536 # DEPENDENCYPART_ARC
(24,21),-0.329641 # DEPENDENCYPART_ARC
(24,22),0.190568 # DEPENDENCYPART_ARC
(24,23),-0.782381 # DEPENDENCYPART_ARC
(24,25),4.44885 # DEPENDENCYPART_ARC
(24,26),0.0319447 # DEPENDENCYPART_ARC
(25,1),-2.23325 # DEPENDENCYPART_ARC
(25,2),-2.59697 # DEPENDENCYPART_ARC
(25,3),-3.17346 # DEPENDENCYPART_ARC
(25,4),-1.88623 # DEPENDENCYPART_ARC
(25,5),-4.0315 # DEPENDENCYPART_ARC
(25,6),-2.19509 # DEPENDENCYPART_ARC
(25,7),-3.67446 # DEPENDENCYPART_ARC
(25,8),-1.959 # DEPENDENCYPART_ARC
(25,9),-2.5974 # DEPENDENCYPART_ARC
(25,10),-3.34135 # DEPENDENCYPART_ARC
(25,11),-3.8149 # DEPENDENCYPART_ARC
(25,12),-2.12192 # DEPENDENCYPART_ARC
(25,13),-2.88373 # DEPENDENCYPART_ARC
(25,14),-2.57382 # DEPENDENCYPART_ARC
(25,15),-2.37062 # DEPENDENCYPART_ARC
(25,16),-2.68464 # DEPENDENCYPART_ARC
(25,17),-2.83667 # DEPENDENCYPART_ARC
(25,18),-0.704159 # DEPENDENCYPART_ARC
(25,19),-2.75764 # DEPENDENCYPART_ARC
(25,20),-1.67761 # DEPENDENCYPART_ARC
(25,21),-1.18238 # DEPENDENCYPART_ARC
(25,22),0.683239 # DEPENDENCYPART_ARC
(25,23),-1.97556 # DEPENDENCYPART_ARC
(25,24),0.65583 # DEPENDENCYPART_ARC
(25,26),2.77622 # DEPENDENCYPART_ARC
(26,1),-2.75967 # DEPENDENCYPART_ARC
(26,2),-2.80204 # DEPENDENCYPART_ARC
(26,3),-3.33622 # DEPENDENCYPART_ARC
(26,4),-2.97774 # DEPENDENCYPART_ARC
(26,5),-2.71756 # DEPENDENCYPART_ARC
(26,6),-2.89131 # DEPENDENCYPART_ARC
(26,7),-2.57975 # DEPENDENCYPART_ARC
(26,8),-2.65273 # DEPENDENCYPART_ARC
(26,9),-2.63826 # DEPENDENCYPART_ARC
(26,10),-3.01889 # DEPENDENCYPART_ARC
(26,11),-2.62076 # DEPENDENCYPART_ARC
(26,12),-2.68156 # DEPENDENCYPART_ARC
(26,13),-2.83724 # DEPENDENCYPART_ARC
(26,14),-2.3399 # DEPENDENCYPART_ARC
(26,15),-2.61718 # DEPENDENCYPART_ARC
(26,16),-2.5298 # DEPENDENCYPART_ARC
(26,17),-2.78065 # DEPENDENCYPART_ARC
(26,18),-2.37391 # DEPENDENCYPART_ARC
(26,19),-2.67451 # DEPENDENCYPART_ARC
(26,20),-2.90089 # DEPENDENCYPART_ARC
(26,21),-1.88007 # DEPENDENCYPART_ARC
(26,22),-1.95085 # DEPENDENCYPART_ARC
(26,23),-2.00892 # DEPENDENCYPART_ARC
(26,24),-1.26877 # DEPENDENCYPART_ARC
(26,25),-0.98796 # DEPENDENCYPART_ARC
