# _root_ Piccolo mondo antico quello della marcia , un clan di fatica che sta nell' ombra , costretto dalla popolarità di una disciplina che è buona per le medaglie ma non per l' audience .
#goldHeads=2,0,2,2,4,5,6,9,2,9,10,13,11,13,14,15,9,17,18,19,22,20,24,22,24,24,28,26,28,31,24,33,31,33,
#predictedHeads=2,0,2,2,4,5,6,9,4,9,10,13,11,13,14,15,9,17,18,19,22,20,24,22,24,25,28,26,24,31,26,33,31,33,
(15,9),-3.52205 # DEPENDENCYPART_ARC
(15,10),-1.60099 # DEPENDENCYPART_ARC
(15,11),-2.19643 # DEPENDENCYPART_ARC
(15,12),-0.777697 # DEPENDENCYPART_ARC
(15,13),-0.858032 # DEPENDENCYPART_ARC
(15,14),0.619867 # DEPENDENCYPART_ARC
(15,16),2.46499 # DEPENDENCYPART_ARC
(15,17),0.718918 # DEPENDENCYPART_ARC
(15,18),0.234143 # DEPENDENCYPART_ARC
(15,19),-0.044509 # DEPENDENCYPART_ARC
(15,20),0.0179425 # DEPENDENCYPART_ARC
(15,21),-0.573301 # DEPENDENCYPART_ARC
(15,22),-0.85507 # DEPENDENCYPART_ARC
(15,23),-2.02832 # DEPENDENCYPART_ARC
(15,24),-0.57762 # DEPENDENCYPART_ARC
(15,25),-0.628779 # DEPENDENCYPART_ARC
(15,26),-0.464949 # DEPENDENCYPART_ARC
(15,27),-1.13234 # DEPENDENCYPART_ARC
(15,28),-1.91831 # DEPENDENCYPART_ARC
(15,29),-0.214482 # DEPENDENCYPART_ARC
(15,30),-1.79393 # DEPENDENCYPART_ARC
(15,31),-1.10946 # DEPENDENCYPART_ARC
(15,32),-1.27784 # DEPENDENCYPART_ARC
(15,33),-1.75863 # DEPENDENCYPART_ARC
(15,34),-2.3896 # DEPENDENCYPART_ARC
(16,1),-2.81791 # DEPENDENCYPART_ARC
(16,2),-2.93211 # DEPENDENCYPART_ARC
(16,3),-2.70357 # DEPENDENCYPART_ARC
(16,4),-2.4703 # DEPENDENCYPART_ARC
(16,5),-2.33737 # DEPENDENCYPART_ARC
(16,6),-2.81159 # DEPENDENCYPART_ARC
(16,7),-2.40403 # DEPENDENCYPART_ARC
(16,8),-2.27882 # DEPENDENCYPART_ARC
(16,9),-2.62631 # DEPENDENCYPART_ARC
(16,10),-2.03424 # DEPENDENCYPART_ARC
(16,11),-2.46323 # DEPENDENCYPART_ARC
(16,12),-2.05871 # DEPENDENCYPART_ARC
(16,13),-2.32774 # DEPENDENCYPART_ARC
(16,14),-1.19712 # DEPENDENCYPART_ARC
(16,15),-0.916473 # DEPENDENCYPART_ARC
(16,17),-0.919067 # DEPENDENCYPART_ARC
(16,18),-2.23391 # DEPENDENCYPART_ARC
(16,19),-2.21159 # DEPENDENCYPART_ARC
(16,20),-2.42984 # DEPENDENCYPART_ARC
(16,21),-2.4427 # DEPENDENCYPART_ARC
(16,22),-2.59901 # DEPENDENCYPART_ARC
(16,23),-2.68453 # DEPENDENCYPART_ARC
(16,24),-2.4171 # DEPENDENCYPART_ARC
(16,25),-2.93081 # DEPENDENCYPART_ARC
(16,26),-2.77103 # DEPENDENCYPART_ARC
(16,27),-2.66803 # DEPENDENCYPART_ARC
(16,28),-2.87604 # DEPENDENCYPART_ARC
(16,29),-2.52722 # DEPENDENCYPART_ARC
(16,30),-2.90629 # DEPENDENCYPART_ARC
(16,31),-3.00934 # DEPENDENCYPART_ARC
(16,32),-2.73451 # DEPENDENCYPART_ARC
(16,33),-2.9825 # DEPENDENCYPART_ARC
(16,34),-2.04561 # DEPENDENCYPART_ARC
(17,1),-1.59891 # DEPENDENCYPART_ARC
(17,2),-1.59426 # DEPENDENCYPART_ARC
(17,3),-1.53286 # DEPENDENCYPART_ARC
(17,4),-0.588195 # DEPENDENCYPART_ARC
(17,5),-1.34033 # DEPENDENCYPART_ARC
(17,6),-1.66277 # DEPENDENCYPART_ARC
(17,7),-2.59865 # DEPENDENCYPART_ARC
(17,8),-0.824176 # DEPENDENCYPART_ARC
(17,9),-0.199752 # DEPENDENCYPART_ARC
(17,10),-1.43801 # DEPENDENCYPART_ARC
(17,11),-0.883692 # DEPENDENCYPART_ARC
(17,12),1.63816 # DEPENDENCYPART_ARC
(17,13),1.17539 # DEPENDENCYPART_ARC
(17,14),0.449342 # DEPENDENCYPART_ARC
(17,15),-0.652307 # DEPENDENCYPART_ARC
(17,16),-0.243681 # DEPENDENCYPART_ARC
(17,18),3.19705 # DEPENDENCYPART_ARC
(17,19),1.13278 # DEPENDENCYPART_ARC
(17,20),0.428404 # DEPENDENCYPART_ARC
(17,21),-1.81462 # DEPENDENCYPART_ARC
(17,22),0.515692 # DEPENDENCYPART_ARC
(17,23),-1.30793 # DEPENDENCYPART_ARC
(17,24),-0.16857 # DEPENDENCYPART_ARC
(17,25),-0.826971 # DEPENDENCYPART_ARC
(17,26),0.148445 # DEPENDENCYPART_ARC
(17,27),-2.08332 # DEPENDENCYPART_ARC
(17,28),-0.409423 # DEPENDENCYPART_ARC
(17,29),0.590248 # DEPENDENCYPART_ARC
(17,30),-1.07908 # DEPENDENCYPART_ARC
(17,31),-0.232773 # DEPENDENCYPART_ARC
(17,32),-1.95966 # DEPENDENCYPART_ARC
(17,33),-1.43596 # DEPENDENCYPART_ARC
(17,34),-1.7168 # DEPENDENCYPART_ARC
(18,1),-2.68238 # DEPENDENCYPART_ARC
(18,2),-2.97866 # DEPENDENCYPART_ARC
(18,3),-2.6925 # DEPENDENCYPART_ARC
(18,4),-2.27899 # DEPENDENCYPART_ARC
(18,5),-2.164 # DEPENDENCYPART_ARC
(18,6),-2.62535 # DEPENDENCYPART_ARC
(18,7),-2.37799 # DEPENDENCYPART_ARC
(18,8),-2.05559 # DEPENDENCYPART_ARC
(18,9),-2.77104 # DEPENDENCYPART_ARC
(18,10),-1.74106 # DEPENDENCYPART_ARC
(18,11),-2.41314 # DEPENDENCYPART_ARC
(18,12),-1.9386 # DEPENDENCYPART_ARC
(18,13),-2.6096 # DEPENDENCYPART_ARC
(18,14),-1.59411 # DEPENDENCYPART_ARC
(18,15),-1.76189 # DEPENDENCYPART_ARC
(18,16),-1.1767 # DEPENDENCYPART_ARC
(18,17),-1.17183 # DEPENDENCYPART_ARC
(18,19),4.8423 # DEPENDENCYPART_ARC
(18,20),0.0449972 # DEPENDENCYPART_ARC
(18,21),-0.736734 # DEPENDENCYPART_ARC
(18,22),0.158941 # DEPENDENCYPART_ARC
(18,23),-1.21742 # DEPENDENCYPART_ARC
(18,24),-1.96933 # DEPENDENCYPART_ARC
(18,25),-1.0646 # DEPENDENCYPART_ARC
(18,26),-0.704899 # DEPENDENCYPART_ARC
(18,27),-1.51922 # DEPENDENCYPART_ARC
(18,28),-3.23542 # DEPENDENCYPART_ARC
(18,29),-0.400348 # DEPENDENCYPART_ARC
(18,30),-1.13646 # DEPENDENCYPART_ARC
(18,31),-0.594087 # DEPENDENCYPART_ARC
(18,32),-1.77205 # DEPENDENCYPART_ARC
(18,33),-5.13195 # DEPENDENCYPART_ARC
(18,34),-1.12198 # DEPENDENCYPART_ARC
(19,1),-3.48827 # DEPENDENCYPART_ARC
(19,2),-5.0485 # DEPENDENCYPART_ARC
(19,3),-4.1583 # DEPENDENCYPART_ARC
(19,4),-2.43713 # DEPENDENCYPART_ARC
(19,5),-2.03516 # DEPENDENCYPART_ARC
(19,6),-4.00135 # DEPENDENCYPART_ARC
(19,7),-3.56471 # DEPENDENCYPART_ARC
(19,8),-3.26046 # DEPENDENCYPART_ARC
(19,9),-4.58022 # DEPENDENCYPART_ARC
(19,10),-2.32801 # DEPENDENCYPART_ARC
(19,11),-3.44407 # DEPENDENCYPART_ARC
(19,12),-1.63985 # DEPENDENCYPART_ARC
(19,13),-2.45034 # DEPENDENCYPART_ARC
(19,14),-1.26721 # DEPENDENCYPART_ARC
(19,15),-2.90665 # DEPENDENCYPART_ARC
(19,16),-2.31688 # DEPENDENCYPART_ARC
(19,17),-0.120052 # DEPENDENCYPART_ARC
(19,18),0.976209 # DEPENDENCYPART_ARC
(19,20),1.80312 # DEPENDENCYPART_ARC
(19,21),0.253137 # DEPENDENCYPART_ARC
(19,22),0.456133 # DEPENDENCYPART_ARC
(19,23),-0.916995 # DEPENDENCYPART_ARC
(19,24),0.776128 # DEPENDENCYPART_ARC
(19,25),-0.186155 # DEPENDENCYPART_ARC
(19,26),0.177282 # DEPENDENCYPART_ARC
(19,27),-0.379742 # DEPENDENCYPART_ARC
(19,28),-1.01688 # DEPENDENCYPART_ARC
(19,29),0.104763 # DEPENDENCYPART_ARC
(19,30),-1.29674 # DEPENDENCYPART_ARC
(19,31),-0.605787 # DEPENDENCYPART_ARC
(19,32),-0.855751 # DEPENDENCYPART_ARC
(19,33),-1.55279 # DEPENDENCYPART_ARC
(19,34),-1.92663 # DEPENDENCYPART_ARC
(20,1),-2.26258 # DEPENDENCYPART_ARC
(20,2),-2.25971 # DEPENDENCYPART_ARC
(20,3),-2.29485 # DEPENDENCYPART_ARC
(20,4),-2.05218 # DEPENDENCYPART_ARC
(20,5),-1.89003 # DEPENDENCYPART_ARC
(20,6),-2.20626 # DEPENDENCYPART_ARC
(20,7),-2.17691 # DEPENDENCYPART_ARC
(20,8),-1.88675 # DEPENDENCYPART_ARC
(20,9),-2.23654 # DEPENDENCYPART_ARC
(20,10),-1.60969 # DEPENDENCYPART_ARC
(20,11),-1.97427 # DEPENDENCYPART_ARC
(20,12),-1.81495 # DEPENDENCYPART_ARC
(20,13),-2.33327 # DEPENDENCYPART_ARC
(20,14),-1.41815 # DEPENDENCYPART_ARC
(20,15),-1.68677 # DEPENDENCYPART_ARC
(20,16),-1.78428 # DEPENDENCYPART_ARC
(20,17),-1.70628 # DEPENDENCYPART_ARC
(20,18),-0.437816 # DEPENDENCYPART_ARC
(20,19),-0.0614667 # DEPENDENCYPART_ARC
(20,21),0.672392 # DEPENDENCYPART_ARC
(20,22),3.30431 # DEPENDENCYPART_ARC
(20,23),0.053611 # DEPENDENCYPART_ARC
(20,24),-0.268882 # DEPENDENCYPART_ARC
(20,25),0.0724491 # DEPENDENCYPART_ARC
(20,26),-0.739604 # DEPENDENCYPART_ARC
(20,27),-1.09651 # DEPENDENCYPART_ARC
(20,28),-1.46898 # DEPENDENCYPART_ARC
(20,29),-0.0805881 # DEPENDENCYPART_ARC
(20,30),-1.32063 # DEPENDENCYPART_ARC
(20,31),-1.05242 # DEPENDENCYPART_ARC
(20,32),-1.4302 # DEPENDENCYPART_ARC
(20,33),-3.07435 # DEPENDENCYPART_ARC
(20,34),-1.52873 # DEPENDENCYPART_ARC
(21,1),-3.02382 # DEPENDENCYPART_ARC
(21,2),-2.94951 # DEPENDENCYPART_ARC
(21,3),-3.01009 # DEPENDENCYPART_ARC
(21,4),-2.73431 # DEPENDENCYPART_ARC
(21,5),-3.25191 # DEPENDENCYPART_ARC
(21,6),-2.92425 # DEPENDENCYPART_ARC
(21,7),-2.53969 # DEPENDENCYPART_ARC
(21,8),-2.58126 # DEPENDENCYPART_ARC
(21,9),-2.97419 # DEPENDENCYPART_ARC
(21,10),-2.83779 # DEPENDENCYPART_ARC
(21,11),-2.84274 # DEPENDENCYPART_ARC
(21,12),-2.53462 # DEPENDENCYPART_ARC
(21,13),-3.37169 # DEPENDENCYPART_ARC
(21,14),-2.77335 # DEPENDENCYPART_ARC
(21,15),-2.73848 # DEPENDENCYPART_ARC
(21,16),-2.28337 # DEPENDENCYPART_ARC
(21,17),-3.49344 # DEPENDENCYPART_ARC
(21,18),-2.01211 # DEPENDENCYPART_ARC
(21,19),-2.0963 # DEPENDENCYPART_ARC
(21,20),-0.550737 # DEPENDENCYPART_ARC
(21,22),0.984398 # DEPENDENCYPART_ARC
(21,23),-0.848317 # DEPENDENCYPART_ARC
(21,24),-0.256519 # DEPENDENCYPART_ARC
(21,25),-1.24619 # DEPENDENCYPART_ARC
(21,26),-0.633104 # DEPENDENCYPART_ARC
(21,27),-1.32653 # DEPENDENCYPART_ARC
(21,28),-0.792655 # DEPENDENCYPART_ARC
(21,29),-0.710768 # DEPENDENCYPART_ARC
(21,30),-1.35809 # DEPENDENCYPART_ARC
(21,31),-0.883425 # DEPENDENCYPART_ARC
(21,32),-1.84378 # DEPENDENCYPART_ARC
(21,33),-1.13314 # DEPENDENCYPART_ARC
(21,34),-1.02178 # DEPENDENCYPART_ARC
(22,1),-2.42967 # DEPENDENCYPART_ARC
(22,2),-3.58807 # DEPENDENCYPART_ARC
(22,3),-2.84351 # DEPENDENCYPART_ARC
(22,4),-1.44385 # DEPENDENCYPART_ARC
(22,5),-1.30068 # DEPENDENCYPART_ARC
(22,6),-2.84958 # DEPENDENCYPART_ARC
(22,7),-2.96765 # DEPENDENCYPART_ARC
(22,8),-2.54213 # DEPENDENCYPART_ARC
(22,9),-3.04998 # DEPENDENCYPART_ARC
(22,10),-1.62105 # DEPENDENCYPART_ARC
(22,11),-2.36091 # DEPENDENCYPART_ARC
(22,12),-1.13356 # DEPENDENCYPART_ARC
(22,13),-1.35201 # DEPENDENCYPART_ARC
(22,14),-1.07196 # DEPENDENCYPART_ARC
(22,15),-2.10737 # DEPENDENCYPART_ARC
(22,16),-2.29903 # DEPENDENCYPART_ARC
(22,17),-0.588786 # DEPENDENCYPART_ARC
(22,18),0.177635 # DEPENDENCYPART_ARC
(22,19),-0.449359 # DEPENDENCYPART_ARC
(22,20),0.650084 # DEPENDENCYPART_ARC
(22,21),3.66748 # DEPENDENCYPART_ARC
(22,23),0.706093 # DEPENDENCYPART_ARC
(22,24),2.27279 # DEPENDENCYPART_ARC
(22,25),1.66785 # DEPENDENCYPART_ARC
(22,26),1.20436 # DEPENDENCYPART_ARC
(22,27),0.0880992 # DEPENDENCYPART_ARC
(22,28),-0.0687385 # DEPENDENCYPART_ARC
(22,29),0.959994 # DEPENDENCYPART_ARC
(22,30),-0.358589 # DEPENDENCYPART_ARC
(22,31),0.253104 # DEPENDENCYPART_ARC
(22,32),-0.135091 # DEPENDENCYPART_ARC
(22,33),-0.148552 # DEPENDENCYPART_ARC
(22,34),-0.666204 # DEPENDENCYPART_ARC
(23,1),-2.86563 # DEPENDENCYPART_ARC
(23,2),-2.94277 # DEPENDENCYPART_ARC
(23,3),-2.78427 # DEPENDENCYPART_ARC
(23,4),-2.42611 # DEPENDENCYPART_ARC
(23,5),-2.22927 # DEPENDENCYPART_ARC
(23,6),-2.56259 # DEPENDENCYPART_ARC
(23,7),-2.17972 # DEPENDENCYPART_ARC
(23,8),-1.74749 # DEPENDENCYPART_ARC
(23,9),-2.86894 # DEPENDENCYPART_ARC
(23,10),-1.99007 # DEPENDENCYPART_ARC
(23,11),-2.55622 # DEPENDENCYPART_ARC
(23,12),-1.63283 # DEPENDENCYPART_ARC
(23,13),-3.14058 # DEPENDENCYPART_ARC
(23,14),-1.84539 # DEPENDENCYPART_ARC
(23,15),-2.4771 # DEPENDENCYPART_ARC
(23,16),-1.90256 # DEPENDENCYPART_ARC
(23,17),-2.84559 # DEPENDENCYPART_ARC
(23,18),-1.39504 # DEPENDENCYPART_ARC
(23,19),-1.66612 # DEPENDENCYPART_ARC
(23,20),-0.768955 # DEPENDENCYPART_ARC
(23,21),0.691385 # DEPENDENCYPART_ARC
(23,22),-0.712824 # DEPENDENCYPART_ARC
(23,24),0.621468 # DEPENDENCYPART_ARC
(23,25),-0.198997 # DEPENDENCYPART_ARC
(23,26),-1.52386 # DEPENDENCYPART_ARC
(23,27),-1.77635 # DEPENDENCYPART_ARC
(23,28),-1.60028 # DEPENDENCYPART_ARC
(23,29),-0.982405 # DEPENDENCYPART_ARC
(23,30),-2.0358 # DEPENDENCYPART_ARC
(23,31),-2.29661 # DEPENDENCYPART_ARC
(23,32),-1.99487 # DEPENDENCYPART_ARC
(23,33),-1.83434 # DEPENDENCYPART_ARC
(23,34),-1.72419 # DEPENDENCYPART_ARC
(24,1),-2.30653 # DEPENDENCYPART_ARC
(24,2),-2.06866 # DEPENDENCYPART_ARC
(24,3),-2.16717 # DEPENDENCYPART_ARC
(24,4),-1.76841 # DEPENDENCYPART_ARC
(24,5),-2.26938 # DEPENDENCYPART_ARC
(24,6),-1.34208 # DEPENDENCYPART_ARC
(24,7),-3.73694 # DEPENDENCYPART_ARC
(24,8),-2.87037 # DEPENDENCYPART_ARC
(24,9),-0.526746 # DEPENDENCYPART_ARC
(24,10),-2.54514 # DEPENDENCYPART_ARC
(24,11),-0.857047 # DEPENDENCYPART_ARC
(24,12),0.353808 # DEPENDENCYPART_ARC
(24,13),-1.98312 # DEPENDENCYPART_ARC
(24,14),-0.903841 # DEPENDENCYPART_ARC
(24,15),-0.654904 # DEPENDENCYPART_ARC
(24,16),-3.26926 # DEPENDENCYPART_ARC
(24,17),-1.40029 # DEPENDENCYPART_ARC
(24,18),-1.10789 # DEPENDENCYPART_ARC
(24,19),-0.26025 # DEPENDENCYPART_ARC
(24,20),-1.22093 # DEPENDENCYPART_ARC
(24,21),-1.31102 # DEPENDENCYPART_ARC
(24,22),0.654075 # DEPENDENCYPART_ARC
(24,23),2.96789 # DEPENDENCYPART_ARC
(24,25),3.02818 # DEPENDENCYPART_ARC
(24,26),1.51929 # DEPENDENCYPART_ARC
(24,27),-1.00492 # DEPENDENCYPART_ARC
(24,28),1.24119 # DEPENDENCYPART_ARC
(24,29),1.17376 # DEPENDENCYPART_ARC
(24,30),-0.282576 # DEPENDENCYPART_ARC
(24,31),0.467326 # DEPENDENCYPART_ARC
(24,32),-1.49722 # DEPENDENCYPART_ARC
(24,33),-0.587611 # DEPENDENCYPART_ARC
(24,34),-0.593419 # DEPENDENCYPART_ARC
(25,1),-1.78938 # DEPENDENCYPART_ARC
(25,2),-2.11109 # DEPENDENCYPART_ARC
(25,3),-1.82715 # DEPENDENCYPART_ARC
(25,4),-1.52784 # DEPENDENCYPART_ARC
(25,5),-1.93521 # DEPENDENCYPART_ARC
(25,6),-1.81555 # DEPENDENCYPART_ARC
(25,7),-1.77051 # DEPENDENCYPART_ARC
(25,8),-1.18391 # DEPENDENCYPART_ARC
(25,9),-1.82785 # DEPENDENCYPART_ARC
(25,10),-1.18356 # DEPENDENCYPART_ARC
(25,11),-1.74719 # DEPENDENCYPART_ARC
(25,12),-0.304219 # DEPENDENCYPART_ARC
(25,13),-1.76277 # DEPENDENCYPART_ARC
(25,14),-1.39507 # DEPENDENCYPART_ARC
(25,15),-1.39286 # DEPENDENCYPART_ARC
(25,16),-1.4376 # DEPENDENCYPART_ARC
(25,17),-2.67604 # DEPENDENCYPART_ARC
(25,18),-0.936937 # DEPENDENCYPART_ARC
(25,19),-1.26928 # DEPENDENCYPART_ARC
(25,20),-0.0968531 # DEPENDENCYPART_ARC
(25,21),-0.220062 # DEPENDENCYPART_ARC
(25,22),-0.432689 # DEPENDENCYPART_ARC
(25,23),1.17863 # DEPENDENCYPART_ARC
(25,24),0.711026 # DEPENDENCYPART_ARC
(25,26),2.01017 # DEPENDENCYPART_ARC
(25,27),-0.0124897 # DEPENDENCYPART_ARC
(25,28),0.342081 # DEPENDENCYPART_ARC
(25,29),0.778704 # DEPENDENCYPART_ARC
(25,30),-0.294215 # DEPENDENCYPART_ARC
(25,31),0.310877 # DEPENDENCYPART_ARC
(25,32),-0.549053 # DEPENDENCYPART_ARC
(25,33),-0.379916 # DEPENDENCYPART_ARC
(25,34),-0.210541 # DEPENDENCYPART_ARC
(26,1),-2.19071 # DEPENDENCYPART_ARC
(26,2),-2.25682 # DEPENDENCYPART_ARC
(26,3),-2.16954 # DEPENDENCYPART_ARC
(26,4),-1.8385 # DEPENDENCYPART_ARC
(26,5),-1.32827 # DEPENDENCYPART_ARC
(26,6),-2.09226 # DEPENDENCYPART_ARC
(26,7),-1.93528 # DEPENDENCYPART_ARC
(26,8),-1.66407 # DEPENDENCYPART_ARC
(26,9),-2.06635 # DEPENDENCYPART_ARC
(26,10),-1.26817 # DEPENDENCYPART_ARC
(26,11),-2.03147 # DEPENDENCYPART_ARC
(26,12),-1.73755 # DEPENDENCYPART_ARC
(26,13),-2.06146 # DEPENDENCYPART_ARC
(26,14),-1.11234 # DEPENDENCYPART_ARC
(26,15),-1.87198 # DEPENDENCYPART_ARC
(26,16),-1.77514 # DEPENDENCYPART_ARC
(26,17),-2.0489 # DEPENDENCYPART_ARC
(26,18),-0.984852 # DEPENDENCYPART_ARC
(26,19),-1.57298 # DEPENDENCYPART_ARC
(26,20),-0.910528 # DEPENDENCYPART_ARC
(26,21),-1.1234 # DEPENDENCYPART_ARC
(26,22),-1.287 # DEPENDENCYPART_ARC
(26,23),-0.748037 # DEPENDENCYPART_ARC
(26,24),-0.675753 # DEPENDENCYPART_ARC
(26,25),0.105307 # DEPENDENCYPART_ARC
(26,27),1.25296 # DEPENDENCYPART_ARC
(26,28),3.51898 # DEPENDENCYPART_ARC
(26,29),0.858131 # DEPENDENCYPART_ARC
(26,30),-0.420167 # DEPENDENCYPART_ARC
(26,31),1.04772 # DEPENDENCYPART_ARC
(26,32),-0.426593 # DEPENDENCYPART_ARC
(26,33),0.273579 # DEPENDENCYPART_ARC
(26,34),-0.109701 # DEPENDENCYPART_ARC
(27,1),-3.74229 # DEPENDENCYPART_ARC
(27,2),-4.05004 # DEPENDENCYPART_ARC
(27,3),-3.73387 # DEPENDENCYPART_ARC
(27,4),-3.59174 # DEPENDENCYPART_ARC
(27,5),-3.85836 # DEPENDENCYPART_ARC
(27,6),-3.88306 # DEPENDENCYPART_ARC
(27,7),-2.88747 # DEPENDENCYPART_ARC
(27,8),-3.28217 # DEPENDENCYPART_ARC
(27,9),-3.89713 # DEPENDENCYPART_ARC
(27,10),-3.27588 # DEPENDENCYPART_ARC
(27,11),-3.77446 # DEPENDENCYPART_ARC
(27,12),-3.19683 # DEPENDENCYPART_ARC
(27,13),-4.23283 # DEPENDENCYPART_ARC
(27,14),-3.36378 # DEPENDENCYPART_ARC
(27,15),-3.59723 # DEPENDENCYPART_ARC
(27,16),-2.90299 # DEPENDENCYPART_ARC
(27,17),-4.11672 # DEPENDENCYPART_ARC
(27,18),-3.21492 # DEPENDENCYPART_ARC
(27,19),-3.42958 # DEPENDENCYPART_ARC
(27,20),-2.68449 # DEPENDENCYPART_ARC
(27,21),-2.88424 # DEPENDENCYPART_ARC
(27,22),-3.26659 # DEPENDENCYPART_ARC
(27,23),-2.605 # DEPENDENCYPART_ARC
(27,24),-3.34481 # DEPENDENCYPART_ARC
(27,25),-2.108 # DEPENDENCYPART_ARC
(27,26),-0.81204 # DEPENDENCYPART_ARC
(27,28),0.958041 # DEPENDENCYPART_ARC
(27,29),-0.430299 # DEPENDENCYPART_ARC
(27,30),-0.865166 # DEPENDENCYPART_ARC
(27,31),-0.595532 # DEPENDENCYPART_ARC
(27,32),-1.56293 # DEPENDENCYPART_ARC
(27,33),-1.30102 # DEPENDENCYPART_ARC
(27,34),-0.732851 # DEPENDENCYPART_ARC
(28,1),-3.71867 # DEPENDENCYPART_ARC
(28,2),-3.93846 # DEPENDENCYPART_ARC
(28,3),-4.39389 # DEPENDENCYPART_ARC
(28,4),-2.46044 # DEPENDENCYPART_ARC
(28,5),-2.00915 # DEPENDENCYPART_ARC
(28,6),-3.34284 # DEPENDENCYPART_ARC
(28,7),-3.47299 # DEPENDENCYPART_ARC
(28,8),-4.07842 # DEPENDENCYPART_ARC
(28,9),-3.41486 # DEPENDENCYPART_ARC
(28,10),-2.1094 # DEPENDENCYPART_ARC
(28,11),-2.66384 # DEPENDENCYPART_ARC
(28,12),-2.05623 # DEPENDENCYPART_ARC
(28,13),-2.75827 # DEPENDENCYPART_ARC
(28,14),-2.04391 # DEPENDENCYPART_ARC
(28,15),-2.48051 # DEPENDENCYPART_ARC
(28,16),-2.81284 # DEPENDENCYPART_ARC
(28,17),-1.68368 # DEPENDENCYPART_ARC
(28,18),-1.21892 # DEPENDENCYPART_ARC
(28,19),-1.35821 # DEPENDENCYPART_ARC
(28,20),-1.02074 # DEPENDENCYPART_ARC
(28,21),-1.00723 # DEPENDENCYPART_ARC
(28,22),-2.07192 # DEPENDENCYPART_ARC
(28,23),-1.02253 # DEPENDENCYPART_ARC
(28,24),-2.13792 # DEPENDENCYPART_ARC
(28,25),-0.402812 # DEPENDENCYPART_ARC
(28,26),0.796304 # DEPENDENCYPART_ARC
(28,27),3.58756 # DEPENDENCYPART_ARC
(28,29),1.16567 # DEPENDENCYPART_ARC
(28,30),-0.0463284 # DEPENDENCYPART_ARC
(28,31),0.59151 # DEPENDENCYPART_ARC
(28,32),-0.497007 # DEPENDENCYPART_ARC
(28,33),0.697452 # DEPENDENCYPART_ARC
(28,34),-0.177509 # DEPENDENCYPART_ARC
(29,1),-2.50361 # DEPENDENCYPART_ARC
(29,2),-3.15403 # DEPENDENCYPART_ARC
(29,3),-2.45386 # DEPENDENCYPART_ARC
(29,4),-1.33113 # DEPENDENCYPART_ARC
(29,5),-2.43857 # DEPENDENCYPART_ARC
(29,6),-3.0796 # DEPENDENCYPART_ARC
(29,7),-2.24214 # DEPENDENCYPART_ARC
(29,8),-2.07633 # DEPENDENCYPART_ARC
(29,9),-2.89696 # DEPENDENCYPART_ARC
(29,10),-2.18007 # DEPENDENCYPART_ARC
(29,11),-2.77469 # DEPENDENCYPART_ARC
(29,12),-1.65829 # DEPENDENCYPART_ARC
(29,13),-2.68503 # DEPENDENCYPART_ARC
(29,14),-2.13138 # DEPENDENCYPART_ARC
(29,15),-2.65361 # DEPENDENCYPART_ARC
(29,16),-1.92702 # DEPENDENCYPART_ARC
(29,17),-2.58607 # DEPENDENCYPART_ARC
(29,18),-2.044 # DEPENDENCYPART_ARC
(29,19),-2.39986 # DEPENDENCYPART_ARC
(29,20),-1.81805 # DEPENDENCYPART_ARC
(29,21),-1.75396 # DEPENDENCYPART_ARC
(29,22),-2.21451 # DEPENDENCYPART_ARC
(29,23),-1.42562 # DEPENDENCYPART_ARC
(29,24),-2.30189 # DEPENDENCYPART_ARC
(29,25),-1.74374 # DEPENDENCYPART_ARC
(29,26),-0.978349 # DEPENDENCYPART_ARC
(29,27),-0.490368 # DEPENDENCYPART_ARC
(29,28),-0.445608 # DEPENDENCYPART_ARC
(29,30),-0.15939 # DEPENDENCYPART_ARC
(29,31),-0.65359 # DEPENDENCYPART_ARC
(29,32),-0.876072 # DEPENDENCYPART_ARC
(29,33),-0.843801 # DEPENDENCYPART_ARC
(29,34),-0.640215 # DEPENDENCYPART_ARC
(30,1),-2.8078 # DEPENDENCYPART_ARC
(30,2),-3.45158 # DEPENDENCYPART_ARC
(30,3),-2.81158 # DEPENDENCYPART_ARC
(30,4),-2.75512 # DEPENDENCYPART_ARC
(30,5),-2.64218 # DEPENDENCYPART_ARC
(30,6),-3.40311 # DEPENDENCYPART_ARC
(30,7),-2.93232 # DEPENDENCYPART_ARC
(30,8),-2.28871 # DEPENDENCYPART_ARC
(30,9),-3.37744 # DEPENDENCYPART_ARC
(30,10),-2.31458 # DEPENDENCYPART_ARC
(30,11),-3.14253 # DEPENDENCYPART_ARC
(30,12),-2.72703 # DEPENDENCYPART_ARC
(30,13),-3.18986 # DEPENDENCYPART_ARC
(30,14),-2.30951 # DEPENDENCYPART_ARC
(30,15),-3.12643 # DEPENDENCYPART_ARC
(30,16),-2.73746 # DEPENDENCYPART_ARC
(30,17),-3.07483 # DEPENDENCYPART_ARC
(30,18),-2.16401 # DEPENDENCYPART_ARC
(30,19),-3.01608 # DEPENDENCYPART_ARC
(30,20),-1.90596 # DEPENDENCYPART_ARC
(30,21),-1.98022 # DEPENDENCYPART_ARC
(30,22),-2.84708 # DEPENDENCYPART_ARC
(30,23),-2.28276 # DEPENDENCYPART_ARC
(30,24),-2.8963 # DEPENDENCYPART_ARC
(30,25),-2.14905 # DEPENDENCYPART_ARC
