# _root_ Ma solo la fedelissima Hrt , la tv di Stato , è riuscita ieri a filmare a lungo la vuota " felicità " di Petrinja e di Knin .
#goldHeads=13,5,5,5,13,5,8,5,8,9,10,13,0,13,13,15,16,17,22,22,22,16,22,22,24,25,22,27,28,
#predictedHeads=2,5,5,5,13,5,8,13,8,9,10,13,0,13,13,15,16,17,22,22,22,17,22,22,24,24,24,27,28,
(18,2),-2.94884 # DEPENDENCYPART_ARC
(18,3),-2.37083 # DEPENDENCYPART_ARC
(18,4),-2.58996 # DEPENDENCYPART_ARC
(18,5),-2.9956 # DEPENDENCYPART_ARC
(18,6),-2.84844 # DEPENDENCYPART_ARC
(18,7),-2.27294 # DEPENDENCYPART_ARC
(18,8),-3.33045 # DEPENDENCYPART_ARC
(18,9),-1.82173 # DEPENDENCYPART_ARC
(18,10),-2.72553 # DEPENDENCYPART_ARC
(18,11),-2.61331 # DEPENDENCYPART_ARC
(18,12),-2.33944 # DEPENDENCYPART_ARC
(18,13),-3.22451 # DEPENDENCYPART_ARC
(18,14),-1.37512 # DEPENDENCYPART_ARC
(18,15),-0.653563 # DEPENDENCYPART_ARC
(18,16),-0.977569 # DEPENDENCYPART_ARC
(18,17),0.587933 # DEPENDENCYPART_ARC
(18,19),0.251798 # DEPENDENCYPART_ARC
(18,20),0.634126 # DEPENDENCYPART_ARC
(18,21),0.19085 # DEPENDENCYPART_ARC
(18,22),-0.0937905 # DEPENDENCYPART_ARC
(18,23),-0.431715 # DEPENDENCYPART_ARC
(18,24),-0.496161 # DEPENDENCYPART_ARC
(18,25),0.135653 # DEPENDENCYPART_ARC
(18,26),0.0154982 # DEPENDENCYPART_ARC
(18,27),-0.638286 # DEPENDENCYPART_ARC
(18,28),-0.0160377 # DEPENDENCYPART_ARC
(18,29),-0.90498 # DEPENDENCYPART_ARC
(19,1),-1.87653 # DEPENDENCYPART_ARC
(19,2),-1.99831 # DEPENDENCYPART_ARC
(19,3),-1.61595 # DEPENDENCYPART_ARC
(19,4),-1.83442 # DEPENDENCYPART_ARC
(19,5),-2.513 # DEPENDENCYPART_ARC
(19,6),-1.55462 # DEPENDENCYPART_ARC
(19,7),-1.51324 # DEPENDENCYPART_ARC
(19,8),-2.18865 # DEPENDENCYPART_ARC
(19,9),-1.72037 # DEPENDENCYPART_ARC
(19,10),-2.17524 # DEPENDENCYPART_ARC
(19,11),-1.6102 # DEPENDENCYPART_ARC
(19,12),-2.30251 # DEPENDENCYPART_ARC
(19,13),-2.46662 # DEPENDENCYPART_ARC
(19,14),-1.37987 # DEPENDENCYPART_ARC
(19,15),-1.11112 # DEPENDENCYPART_ARC
(19,16),-1.58736 # DEPENDENCYPART_ARC
(19,17),-0.4925 # DEPENDENCYPART_ARC
(19,18),0.136618 # DEPENDENCYPART_ARC
(19,20),0.323498 # DEPENDENCYPART_ARC
(19,21),0.132845 # DEPENDENCYPART_ARC
(19,22),0.384942 # DEPENDENCYPART_ARC
(19,23),-0.260008 # DEPENDENCYPART_ARC
(19,24),-0.446089 # DEPENDENCYPART_ARC
(19,25),-0.44888 # DEPENDENCYPART_ARC
(19,26),-0.346863 # DEPENDENCYPART_ARC
(19,27),-0.584948 # DEPENDENCYPART_ARC
(19,28),-0.583818 # DEPENDENCYPART_ARC
(19,29),-0.424164 # DEPENDENCYPART_ARC
(20,1),-1.57669 # DEPENDENCYPART_ARC
(20,2),-2.18867 # DEPENDENCYPART_ARC
(20,3),-1.00546 # DEPENDENCYPART_ARC
(20,4),-0.893018 # DEPENDENCYPART_ARC
(20,5),-2.18343 # DEPENDENCYPART_ARC
(20,6),-2.0291 # DEPENDENCYPART_ARC
(20,7),-0.960012 # DEPENDENCYPART_ARC
(20,8),-1.87671 # DEPENDENCYPART_ARC
(20,9),-1.32708 # DEPENDENCYPART_ARC
(20,10),-1.71516 # DEPENDENCYPART_ARC
(20,11),-1.78308 # DEPENDENCYPART_ARC
(20,12),-2.0106 # DEPENDENCYPART_ARC
(20,13),-2.4027 # DEPENDENCYPART_ARC
(20,14),-0.913011 # DEPENDENCYPART_ARC
(20,15),-0.38481 # DEPENDENCYPART_ARC
(20,16),-1.28907 # DEPENDENCYPART_ARC
(20,17),0.225035 # DEPENDENCYPART_ARC
(20,18),-0.141904 # DEPENDENCYPART_ARC
(20,19),1.83231 # DEPENDENCYPART_ARC
(20,21),1.75645 # DEPENDENCYPART_ARC
(20,22),0.542193 # DEPENDENCYPART_ARC
(20,23),0.428355 # DEPENDENCYPART_ARC
(20,24),0.071886 # DEPENDENCYPART_ARC
(20,25),0.0848777 # DEPENDENCYPART_ARC
(20,26),0.468069 # DEPENDENCYPART_ARC
(20,27),-0.084989 # DEPENDENCYPART_ARC
(20,28),-0.245421 # DEPENDENCYPART_ARC
(20,29),-0.336365 # DEPENDENCYPART_ARC
(21,1),-1.81193 # DEPENDENCYPART_ARC
(21,2),-2.00113 # DEPENDENCYPART_ARC
(21,3),-1.7788 # DEPENDENCYPART_ARC
(21,4),-2.24144 # DEPENDENCYPART_ARC
(21,5),-2.32885 # DEPENDENCYPART_ARC
(21,6),-1.86866 # DEPENDENCYPART_ARC
(21,7),-1.83626 # DEPENDENCYPART_ARC
(21,8),-2.18329 # DEPENDENCYPART_ARC
(21,9),-1.69862 # DEPENDENCYPART_ARC
(21,10),-2.29081 # DEPENDENCYPART_ARC
(21,11),-1.74796 # DEPENDENCYPART_ARC
(21,12),-2.36714 # DEPENDENCYPART_ARC
(21,13),-2.3782 # DEPENDENCYPART_ARC
(21,14),-1.67836 # DEPENDENCYPART_ARC
(21,15),-1.40138 # DEPENDENCYPART_ARC
(21,16),-2.11445 # DEPENDENCYPART_ARC
(21,17),-1.06136 # DEPENDENCYPART_ARC
(21,18),-1.29049 # DEPENDENCYPART_ARC
(21,19),-0.255465 # DEPENDENCYPART_ARC
(21,20),-0.0716341 # DEPENDENCYPART_ARC
(21,22),-0.287257 # DEPENDENCYPART_ARC
(21,23),-0.2599 # DEPENDENCYPART_ARC
(21,24),-1.60242 # DEPENDENCYPART_ARC
(21,25),-1.57296 # DEPENDENCYPART_ARC
(21,26),-1.60887 # DEPENDENCYPART_ARC
(21,27),-1.86535 # DEPENDENCYPART_ARC
(21,28),-1.85489 # DEPENDENCYPART_ARC
(21,29),-0.255219 # DEPENDENCYPART_ARC
(22,1),-1.99733 # DEPENDENCYPART_ARC
(22,2),-0.733224 # DEPENDENCYPART_ARC
(22,3),-1.74134 # DEPENDENCYPART_ARC
(22,4),-0.442903 # DEPENDENCYPART_ARC
(22,5),-1.8699 # DEPENDENCYPART_ARC
(22,6),-2.18462 # DEPENDENCYPART_ARC
(22,7),-1.41189 # DEPENDENCYPART_ARC
(22,8),-2.43585 # DEPENDENCYPART_ARC
(22,9),-1.38387 # DEPENDENCYPART_ARC
(22,10),-2.75462 # DEPENDENCYPART_ARC
(22,11),-1.89089 # DEPENDENCYPART_ARC
(22,12),-1.17053 # DEPENDENCYPART_ARC
(22,13),0.083593 # DEPENDENCYPART_ARC
(22,14),-0.351885 # DEPENDENCYPART_ARC
(22,15),-0.29756 # DEPENDENCYPART_ARC
(22,16),-1.32363 # DEPENDENCYPART_ARC
(22,17),0.187804 # DEPENDENCYPART_ARC
(22,18),0.137351 # DEPENDENCYPART_ARC
(22,19),2.30716 # DEPENDENCYPART_ARC
(22,20),2.38122 # DEPENDENCYPART_ARC
(22,21),2.77155 # DEPENDENCYPART_ARC
(22,23),2.20104 # DEPENDENCYPART_ARC
(22,24),1.62695 # DEPENDENCYPART_ARC
(22,25),1.1034 # DEPENDENCYPART_ARC
(22,26),0.762707 # DEPENDENCYPART_ARC
(22,27),0.385052 # DEPENDENCYPART_ARC
(22,28),0.601873 # DEPENDENCYPART_ARC
(22,29),-0.0678169 # DEPENDENCYPART_ARC
(23,1),-2.01713 # DEPENDENCYPART_ARC
(23,2),-2.23359 # DEPENDENCYPART_ARC
(23,3),-1.82721 # DEPENDENCYPART_ARC
(23,4),-2.23061 # DEPENDENCYPART_ARC
(23,5),-2.45315 # DEPENDENCYPART_ARC
(23,6),-1.92706 # DEPENDENCYPART_ARC
(23,7),-1.85013 # DEPENDENCYPART_ARC
(23,8),-2.41421 # DEPENDENCYPART_ARC
(23,9),-1.89226 # DEPENDENCYPART_ARC
(23,10),-2.3251 # DEPENDENCYPART_ARC
(23,11),-1.83878 # DEPENDENCYPART_ARC
(23,12),-2.52676 # DEPENDENCYPART_ARC
(23,13),-2.49041 # DEPENDENCYPART_ARC
(23,14),-1.85665 # DEPENDENCYPART_ARC
(23,15),-1.57889 # DEPENDENCYPART_ARC
(23,16),-2.26872 # DEPENDENCYPART_ARC
(23,17),-1.37133 # DEPENDENCYPART_ARC
(23,18),-1.77323 # DEPENDENCYPART_ARC
(23,19),-1.08658 # DEPENDENCYPART_ARC
(23,20),-1.33852 # DEPENDENCYPART_ARC
(23,21),-0.688787 # DEPENDENCYPART_ARC
(23,22),-0.366093 # DEPENDENCYPART_ARC
(23,24),-0.7543 # DEPENDENCYPART_ARC
(23,25),-0.818476 # DEPENDENCYPART_ARC
(23,26),-1.20374 # DEPENDENCYPART_ARC
(23,27),-1.63379 # DEPENDENCYPART_ARC
(23,28),-1.51341 # DEPENDENCYPART_ARC
(23,29),0.0599522 # DEPENDENCYPART_ARC
(24,1),-0.883784 # DEPENDENCYPART_ARC
(24,2),-1.26069 # DEPENDENCYPART_ARC
(24,3),-1.43863 # DEPENDENCYPART_ARC
(24,4),-1.71168 # DEPENDENCYPART_ARC
(24,5),-1.48305 # DEPENDENCYPART_ARC
(24,6),-1.71225 # DEPENDENCYPART_ARC
(24,7),-1.31898 # DEPENDENCYPART_ARC
(24,8),-1.60247 # DEPENDENCYPART_ARC
(24,9),-1.39338 # DEPENDENCYPART_ARC
(24,10),-1.52517 # DEPENDENCYPART_ARC
(24,11),-1.58066 # DEPENDENCYPART_ARC
(24,12),-1.78875 # DEPENDENCYPART_ARC
(24,13),-1.87737 # DEPENDENCYPART_ARC
(24,14),-0.895433 # DEPENDENCYPART_ARC
(24,15),-0.974108 # DEPENDENCYPART_ARC
(24,16),-1.69812 # DEPENDENCYPART_ARC
(24,17),-0.708099 # DEPENDENCYPART_ARC
(24,18),-1.29449 # DEPENDENCYPART_ARC
(24,19),-0.717542 # DEPENDENCYPART_ARC
(24,20),-1.05157 # DEPENDENCYPART_ARC
(24,21),-0.775068 # DEPENDENCYPART_ARC
(24,22),-0.298445 # DEPENDENCYPART_ARC
(24,23),0.556568 # DEPENDENCYPART_ARC
(24,25),4.19202 # DEPENDENCYPART_ARC
(24,26),1.87122 # DEPENDENCYPART_ARC
(24,27),1.87209 # DEPENDENCYPART_ARC
(24,28),1.32676 # DEPENDENCYPART_ARC
(24,29),-0.270347 # DEPENDENCYPART_ARC
(25,1),-3.82204 # DEPENDENCYPART_ARC
(25,2),-2.71399 # DEPENDENCYPART_ARC
(25,3),-4.25286 # DEPENDENCYPART_ARC
(25,4),-2.89623 # DEPENDENCYPART_ARC
(25,5),-2.58621 # DEPENDENCYPART_ARC
(25,6),-4.01765 # DEPENDENCYPART_ARC
(25,7),-3.5947 # DEPENDENCYPART_ARC
(25,8),-4.6233 # DEPENDENCYPART_ARC
(25,9),-3.18248 # DEPENDENCYPART_ARC
(25,10),-4.53784 # DEPENDENCYPART_ARC
(25,11),-3.85968 # DEPENDENCYPART_ARC
(25,12),-3.51954 # DEPENDENCYPART_ARC
(25,13),-2.20549 # DEPENDENCYPART_ARC
(25,14),-2.38338 # DEPENDENCYPART_ARC
(25,15),-2.19467 # DEPENDENCYPART_ARC
(25,16),-3.04356 # DEPENDENCYPART_ARC
(25,17),-1.88701 # DEPENDENCYPART_ARC
(25,18),-2.32466 # DEPENDENCYPART_ARC
(25,19),-0.867995 # DEPENDENCYPART_ARC
(25,20),-1.17427 # DEPENDENCYPART_ARC
(25,21),-1.44911 # DEPENDENCYPART_ARC
(25,22),-1.5242 # DEPENDENCYPART_ARC
(25,23),-0.404146 # DEPENDENCYPART_ARC
(25,24),0.67172 # DEPENDENCYPART_ARC
(25,26),0.504439 # DEPENDENCYPART_ARC
(25,27),0.216884 # DEPENDENCYPART_ARC
(25,28),0.806408 # DEPENDENCYPART_ARC
(25,29),-0.840762 # DEPENDENCYPART_ARC
(26,1),-1.71861 # DEPENDENCYPART_ARC
(26,2),-1.72186 # DEPENDENCYPART_ARC
(26,3),-1.91939 # DEPENDENCYPART_ARC
(26,4),-2.38822 # DEPENDENCYPART_ARC
(26,5),-3.22275 # DEPENDENCYPART_ARC
(26,6),-1.99001 # DEPENDENCYPART_ARC
(26,7),-1.73529 # DEPENDENCYPART_ARC
(26,8),-3.01868 # DEPENDENCYPART_ARC
(26,9),-1.87285 # DEPENDENCYPART_ARC
(26,10),-2.83995 # DEPENDENCYPART_ARC
(26,11),-1.97892 # DEPENDENCYPART_ARC
(26,12),-2.5097 # DEPENDENCYPART_ARC
(26,13),-2.36307 # DEPENDENCYPART_ARC
(26,14),-1.5547 # DEPENDENCYPART_ARC
(26,15),-1.75659 # DEPENDENCYPART_ARC
(26,16),-2.33711 # DEPENDENCYPART_ARC
(26,17),-1.49913 # DEPENDENCYPART_ARC
(26,18),-1.97132 # DEPENDENCYPART_ARC
(26,19),-1.36348 # DEPENDENCYPART_ARC
(26,20),-1.87698 # DEPENDENCYPART_ARC
(26,21),-1.42624 # DEPENDENCYPART_ARC
(26,22),-1.7849 # DEPENDENCYPART_ARC
(26,23),-1.04308 # DEPENDENCYPART_ARC
(26,24),-0.586814 # DEPENDENCYPART_ARC
(26,25),-0.251617 # DEPENDENCYPART_ARC
(26,27),-0.345245 # DEPENDENCYPART_ARC
(26,28),-0.0979061 # DEPENDENCYPART_ARC
(26,29),-0.235812 # DEPENDENCYPART_ARC
(27,1),-2.82242 # DEPENDENCYPART_ARC
(27,2),-2.95737 # DEPENDENCYPART_ARC
(27,3),-3.16891 # DEPENDENCYPART_ARC
(27,4),-3.57779 # DEPENDENCYPART_ARC
(27,5),-3.45512 # DEPENDENCYPART_ARC
(27,6),-3.5477 # DEPENDENCYPART_ARC
(27,7),-3.08533 # DEPENDENCYPART_ARC
(27,8),-3.328 # DEPENDENCYPART_ARC
(27,9),-3.20433 # DEPENDENCYPART_ARC
(27,10),-3.26862 # DEPENDENCYPART_ARC
(27,11),-3.456 # DEPENDENCYPART_ARC
(27,12),-3.66494 # DEPENDENCYPART_ARC
(27,13),-3.71362 # DEPENDENCYPART_ARC
(27,14),-2.65044 # DEPENDENCYPART_ARC
(27,15),-2.90029 # DEPENDENCYPART_ARC
(27,16),-3.59232 # DEPENDENCYPART_ARC
(27,17),-2.64917 # DEPENDENCYPART_ARC
(27,18),-3.16917 # DEPENDENCYPART_ARC
(27,19),-2.76912 # DEPENDENCYPART_ARC
(27,20),-3.06666 # DEPENDENCYPART_ARC
(27,21),-3.08114 # DEPENDENCYPART_ARC
(27,22),-2.71367 # DEPENDENCYPART_ARC
(27,23),-2.79952 # DEPENDENCYPART_ARC
(27,24),-1.77879 # DEPENDENCYPART_ARC
(27,25),-2.09676 # DEPENDENCYPART_ARC
(27,26),-0.131534 # DEPENDENCYPART_ARC
(27,28),4.00483 # DEPENDENCYPART_ARC
(27,29),-0.109532 # DEPENDENCYPART_ARC
(28,1),-4.13195 # DEPENDENCYPART_ARC
(28,2),-2.98195 # DEPENDENCYPART_ARC
(28,3),-5.00048 # DEPENDENCYPART_ARC
(28,4),-3.01528 # DEPENDENCYPART_ARC
(28,5),-3.05768 # DEPENDENCYPART_ARC
(28,6),-4.31585 # DEPENDENCYPART_ARC
(28,7),-4.519 # DEPENDENCYPART_ARC
(28,8),-4.83503 # DEPENDENCYPART_ARC
(28,9),-3.56392 # DEPENDENCYPART_ARC
(28,10),-4.74523 # DEPENDENCYPART_ARC
(28,11),-3.92842 # DEPENDENCYPART_ARC
(28,12),-3.79257 # DEPENDENCYPART_ARC
(28,13),-2.50517 # DEPENDENCYPART_ARC
(28,14),-2.74689 # DEPENDENCYPART_ARC
(28,15),-2.56868 # DEPENDENCYPART_ARC
(28,16),-3.26715 # DEPENDENCYPART_ARC
(28,17),-2.45757 # DEPENDENCYPART_ARC
(28,18),-2.51985 # DEPENDENCYPART_ARC
(28,19),-1.73783 # DEPENDENCYPART_ARC
(28,20),-1.73762 # DEPENDENCYPART_ARC
(28,21),-1.95894 # DEPENDENCYPART_ARC
(28,22),-2.70783 # DEPENDENCYPART_ARC
(28,23),-1.70315 # DEPENDENCYPART_ARC
(28,24),-1.19168 # DEPENDENCYPART_ARC
(28,25),-0.169823 # DEPENDENCYPART_ARC
(28,26),-0.838281 # DEPENDENCYPART_ARC
(28,27),0.367892 # DEPENDENCYPART_ARC
(28,29),2.79643 # DEPENDENCYPART_ARC
(29,1),-2.17118 # DEPENDENCYPART_ARC
(29,2),-2.45839 # DEPENDENCYPART_ARC
(29,3),-2.08701 # DEPENDENCYPART_ARC
(29,4),-2.55571 # DEPENDENCYPART_ARC
(29,5),-2.6913 # DEPENDENCYPART_ARC
(29,6),-2.31337 # DEPENDENCYPART_ARC
(29,7),-2.15253 # DEPENDENCYPART_ARC
(29,8),-2.66811 # DEPENDENCYPART_ARC
(29,9),-2.0233 # DEPENDENCYPART_ARC
(29,10),-2.53963 # DEPENDENCYPART_ARC
(29,11),-2.19 # DEPENDENCYPART_ARC
(29,12),-2.71181 # DEPENDENCYPART_ARC
(29,13),-2.75294 # DEPENDENCYPART_ARC
(29,14),-2.2556 # DEPENDENCYPART_ARC
(29,15),-1.98696 # DEPENDENCYPART_ARC
(29,16),-2.55009 # DEPENDENCYPART_ARC
(29,17),-1.76327 # DEPENDENCYPART_ARC
(29,18),-2.27751 # DEPENDENCYPART_ARC
(29,19),-1.74854 # DEPENDENCYPART_ARC
(29,20),-2.1838 # DEPENDENCYPART_ARC
(29,21),-1.97458 # DEPENDENCYPART_ARC
(29,22),-2.18508 # DEPENDENCYPART_ARC
(29,23),-1.8359 # DEPENDENCYPART_ARC
(29,24),-1.39368 # DEPENDENCYPART_ARC
(29,25),-1.8619 # DEPENDENCYPART_ARC
(29,26),-1.18334 # DEPENDENCYPART_ARC
(29,27),-0.782386 # DEPENDENCYPART_ARC
(29,28),-0.501572 # DEPENDENCYPART_ARC
