# _root_ Una pattuglia del commissariato diretto da Luigi De Maio si è recata sul posto , poco dopo la celebrazione , allentando per qualche minuto la morsa dei controlli sui giovani in uscita dalle discoteche .
#goldHeads=2,12,2,3,4,5,8,6,8,12,12,0,12,13,14,17,12,19,17,19,12,21,24,22,26,21,26,27,28,29,30,31,32,33,34,
#predictedHeads=2,12,2,3,4,5,8,6,8,12,12,0,12,13,14,17,12,19,17,19,12,21,24,22,26,21,26,27,28,29,30,31,32,33,34,
(14,28),-1.19448 # DEPENDENCYPART_ARC
(14,29),-0.756621 # DEPENDENCYPART_ARC
(14,30),-1.52895 # DEPENDENCYPART_ARC
(14,31),-0.436526 # DEPENDENCYPART_ARC
(14,32),-1.73353 # DEPENDENCYPART_ARC
(14,33),-1.24016 # DEPENDENCYPART_ARC
(14,34),-1.66325 # DEPENDENCYPART_ARC
(14,35),-3.52738 # DEPENDENCYPART_ARC
(15,1),-2.38462 # DEPENDENCYPART_ARC
(15,2),-2.78363 # DEPENDENCYPART_ARC
(15,3),-2.25151 # DEPENDENCYPART_ARC
(15,4),-2.85267 # DEPENDENCYPART_ARC
(15,5),-2.97341 # DEPENDENCYPART_ARC
(15,6),-2.06678 # DEPENDENCYPART_ARC
(15,7),-2.62093 # DEPENDENCYPART_ARC
(15,8),-2.51839 # DEPENDENCYPART_ARC
(15,9),-2.5002 # DEPENDENCYPART_ARC
(15,10),-2.08101 # DEPENDENCYPART_ARC
(15,11),-2.64091 # DEPENDENCYPART_ARC
(15,12),-2.24186 # DEPENDENCYPART_ARC
(15,13),-1.11715 # DEPENDENCYPART_ARC
(15,14),-0.859232 # DEPENDENCYPART_ARC
(15,16),-1.08769 # DEPENDENCYPART_ARC
(15,17),-1.90848 # DEPENDENCYPART_ARC
(15,18),-1.79553 # DEPENDENCYPART_ARC
(15,19),-2.05651 # DEPENDENCYPART_ARC
(15,20),-0.91653 # DEPENDENCYPART_ARC
(15,21),-1.9874 # DEPENDENCYPART_ARC
(15,22),-2.48578 # DEPENDENCYPART_ARC
(15,23),-2.19981 # DEPENDENCYPART_ARC
(15,24),-2.56102 # DEPENDENCYPART_ARC
(15,25),-2.38649 # DEPENDENCYPART_ARC
(15,26),-2.60613 # DEPENDENCYPART_ARC
(15,27),-2.67564 # DEPENDENCYPART_ARC
(15,28),-2.66171 # DEPENDENCYPART_ARC
(15,29),-2.65876 # DEPENDENCYPART_ARC
(15,30),-2.73377 # DEPENDENCYPART_ARC
(15,31),-2.73874 # DEPENDENCYPART_ARC
(15,32),-2.71013 # DEPENDENCYPART_ARC
(15,33),-2.78635 # DEPENDENCYPART_ARC
(15,34),-2.86141 # DEPENDENCYPART_ARC
(15,35),-1.98386 # DEPENDENCYPART_ARC
(16,1),-1.55877 # DEPENDENCYPART_ARC
(16,2),-2.66232 # DEPENDENCYPART_ARC
(16,3),-1.58321 # DEPENDENCYPART_ARC
(16,4),-2.45341 # DEPENDENCYPART_ARC
(16,5),-2.51335 # DEPENDENCYPART_ARC
(16,6),-1.40524 # DEPENDENCYPART_ARC
(16,7),-2.27764 # DEPENDENCYPART_ARC
(16,8),-2.24089 # DEPENDENCYPART_ARC
(16,9),-2.11396 # DEPENDENCYPART_ARC
(16,10),-1.57714 # DEPENDENCYPART_ARC
(16,11),-2.1859 # DEPENDENCYPART_ARC
(16,12),-2.02146 # DEPENDENCYPART_ARC
(16,13),-0.441859 # DEPENDENCYPART_ARC
(16,14),-1.29066 # DEPENDENCYPART_ARC
(16,15),0.244444 # DEPENDENCYPART_ARC
(16,17),0.602725 # DEPENDENCYPART_ARC
(16,18),0.109699 # DEPENDENCYPART_ARC
(16,19),0.0437907 # DEPENDENCYPART_ARC
(16,20),0.252056 # DEPENDENCYPART_ARC
(16,21),-0.261714 # DEPENDENCYPART_ARC
(16,22),-0.997181 # DEPENDENCYPART_ARC
(16,23),-0.715924 # DEPENDENCYPART_ARC
(16,24),-0.887717 # DEPENDENCYPART_ARC
(16,25),-0.62066 # DEPENDENCYPART_ARC
(16,26),-1.06929 # DEPENDENCYPART_ARC
(16,27),-1.08164 # DEPENDENCYPART_ARC
(16,28),-1.06913 # DEPENDENCYPART_ARC
(16,29),-1.17488 # DEPENDENCYPART_ARC
(16,30),-1.03487 # DEPENDENCYPART_ARC
(16,31),-1.12911 # DEPENDENCYPART_ARC
(16,32),-1.06386 # DEPENDENCYPART_ARC
(16,33),-1.259 # DEPENDENCYPART_ARC
(16,34),-1.13278 # DEPENDENCYPART_ARC
(16,35),-1.76123 # DEPENDENCYPART_ARC
(17,1),-1.46844 # DEPENDENCYPART_ARC
(17,2),-1.69761 # DEPENDENCYPART_ARC
(17,3),-1.32543 # DEPENDENCYPART_ARC
(17,4),-1.52932 # DEPENDENCYPART_ARC
(17,5),-1.8924 # DEPENDENCYPART_ARC
(17,6),-0.996406 # DEPENDENCYPART_ARC
(17,7),-1.39818 # DEPENDENCYPART_ARC
(17,8),-1.34792 # DEPENDENCYPART_ARC
(17,9),-1.32511 # DEPENDENCYPART_ARC
(17,10),-1.11642 # DEPENDENCYPART_ARC
(17,11),-1.71172 # DEPENDENCYPART_ARC
(17,12),-1.58216 # DEPENDENCYPART_ARC
(17,13),-0.418613 # DEPENDENCYPART_ARC
(17,14),-0.528237 # DEPENDENCYPART_ARC
(17,15),-0.22559 # DEPENDENCYPART_ARC
(17,16),1.5361 # DEPENDENCYPART_ARC
(17,18),1.07691 # DEPENDENCYPART_ARC
(17,19),3.45637 # DEPENDENCYPART_ARC
(17,20),0.662721 # DEPENDENCYPART_ARC
(17,21),0.450363 # DEPENDENCYPART_ARC
(17,22),-0.35763 # DEPENDENCYPART_ARC
(17,23),-0.0253166 # DEPENDENCYPART_ARC
(17,24),-0.443287 # DEPENDENCYPART_ARC
(17,25),-0.559333 # DEPENDENCYPART_ARC
(17,26),-1.7081 # DEPENDENCYPART_ARC
(17,27),-0.978412 # DEPENDENCYPART_ARC
(17,28),-2.64668 # DEPENDENCYPART_ARC
(17,29),-1.04829 # DEPENDENCYPART_ARC
(17,30),-3.67197 # DEPENDENCYPART_ARC
(17,31),-1.54617 # DEPENDENCYPART_ARC
(17,32),-4.67808 # DEPENDENCYPART_ARC
(17,33),-1.2863 # DEPENDENCYPART_ARC
(17,34),-5.43561 # DEPENDENCYPART_ARC
(17,35),-1.19187 # DEPENDENCYPART_ARC
(18,1),-2.55631 # DEPENDENCYPART_ARC
(18,2),-3.18802 # DEPENDENCYPART_ARC
(18,3),-3.24175 # DEPENDENCYPART_ARC
(18,4),-3.35276 # DEPENDENCYPART_ARC
(18,5),-3.88528 # DEPENDENCYPART_ARC
(18,6),-2.79877 # DEPENDENCYPART_ARC
(18,7),-3.33308 # DEPENDENCYPART_ARC
(18,8),-3.22799 # DEPENDENCYPART_ARC
(18,9),-3.18911 # DEPENDENCYPART_ARC
(18,10),-2.35622 # DEPENDENCYPART_ARC
(18,11),-3.26965 # DEPENDENCYPART_ARC
(18,12),-3.34547 # DEPENDENCYPART_ARC
(18,13),-2.38015 # DEPENDENCYPART_ARC
(18,14),-2.61923 # DEPENDENCYPART_ARC
(18,15),-1.65867 # DEPENDENCYPART_ARC
(18,16),-1.62229 # DEPENDENCYPART_ARC
(18,17),-0.546444 # DEPENDENCYPART_ARC
(18,19),1.35335 # DEPENDENCYPART_ARC
(18,20),0.00953823 # DEPENDENCYPART_ARC
(18,21),-0.315265 # DEPENDENCYPART_ARC
(18,22),-0.604398 # DEPENDENCYPART_ARC
(18,23),-1.15087 # DEPENDENCYPART_ARC
(18,24),-1.05956 # DEPENDENCYPART_ARC
(18,25),-1.35188 # DEPENDENCYPART_ARC
(18,26),-0.625363 # DEPENDENCYPART_ARC
(18,27),-0.763809 # DEPENDENCYPART_ARC
(18,28),-1.08487 # DEPENDENCYPART_ARC
(18,29),-0.861319 # DEPENDENCYPART_ARC
(18,30),-1.22631 # DEPENDENCYPART_ARC
(18,31),-1.1163 # DEPENDENCYPART_ARC
(18,32),-0.798439 # DEPENDENCYPART_ARC
(18,33),-0.710875 # DEPENDENCYPART_ARC
(18,34),-0.851119 # DEPENDENCYPART_ARC
(18,35),-1.12149 # DEPENDENCYPART_ARC
(19,1),-3.1027 # DEPENDENCYPART_ARC
(19,2),-3.32877 # DEPENDENCYPART_ARC
(19,3),-1.69025 # DEPENDENCYPART_ARC
(19,4),-3.10012 # DEPENDENCYPART_ARC
(19,5),-1.76337 # DEPENDENCYPART_ARC
(19,6),-1.56769 # DEPENDENCYPART_ARC
(19,7),-1.61732 # DEPENDENCYPART_ARC
(19,8),-2.61761 # DEPENDENCYPART_ARC
(19,9),-2.61395 # DEPENDENCYPART_ARC
(19,10),-0.648567 # DEPENDENCYPART_ARC
(19,11),-1.67461 # DEPENDENCYPART_ARC
(19,12),-0.975697 # DEPENDENCYPART_ARC
(19,13),-0.432897 # DEPENDENCYPART_ARC
(19,14),-2.0427 # DEPENDENCYPART_ARC
(19,15),-2.08881 # DEPENDENCYPART_ARC
(19,16),0.205046 # DEPENDENCYPART_ARC
(19,17),0.286953 # DEPENDENCYPART_ARC
(19,18),3.11773 # DEPENDENCYPART_ARC
(19,20),2.06936 # DEPENDENCYPART_ARC
(19,21),0.230084 # DEPENDENCYPART_ARC
(19,22),0.0792717 # DEPENDENCYPART_ARC
(19,23),0.199155 # DEPENDENCYPART_ARC
(19,24),-0.248087 # DEPENDENCYPART_ARC
(19,25),-0.296334 # DEPENDENCYPART_ARC
(19,26),-0.07939 # DEPENDENCYPART_ARC
(19,27),-0.18824 # DEPENDENCYPART_ARC
(19,28),-0.629824 # DEPENDENCYPART_ARC
(19,29),-0.521912 # DEPENDENCYPART_ARC
(19,30),-1.05713 # DEPENDENCYPART_ARC
(19,31),-0.680407 # DEPENDENCYPART_ARC
(19,32),-0.750231 # DEPENDENCYPART_ARC
(19,33),-1.06579 # DEPENDENCYPART_ARC
(19,34),-1.00742 # DEPENDENCYPART_ARC
(19,35),-2.69822 # DEPENDENCYPART_ARC
(20,1),-2.37873 # DEPENDENCYPART_ARC
(20,2),-2.98229 # DEPENDENCYPART_ARC
(20,3),-2.42438 # DEPENDENCYPART_ARC
(20,4),-2.96622 # DEPENDENCYPART_ARC
(20,5),-3.16267 # DEPENDENCYPART_ARC
(20,6),-2.39221 # DEPENDENCYPART_ARC
(20,7),-2.76678 # DEPENDENCYPART_ARC
(20,8),-2.78276 # DEPENDENCYPART_ARC
(20,9),-2.84996 # DEPENDENCYPART_ARC
(20,10),-2.41845 # DEPENDENCYPART_ARC
(20,11),-3.04996 # DEPENDENCYPART_ARC
(20,12),-2.97414 # DEPENDENCYPART_ARC
(20,13),-1.96489 # DEPENDENCYPART_ARC
(20,14),-2.58559 # DEPENDENCYPART_ARC
(20,15),-2.0914 # DEPENDENCYPART_ARC
(20,16),-2.02179 # DEPENDENCYPART_ARC
(20,17),-1.35955 # DEPENDENCYPART_ARC
(20,18),-0.977132 # DEPENDENCYPART_ARC
(20,19),-0.945215 # DEPENDENCYPART_ARC
(20,21),-0.924249 # DEPENDENCYPART_ARC
(20,22),-2.2322 # DEPENDENCYPART_ARC
(20,23),-2.00472 # DEPENDENCYPART_ARC
(20,24),-2.37309 # DEPENDENCYPART_ARC
(20,25),-2.44351 # DEPENDENCYPART_ARC
(20,26),-2.62098 # DEPENDENCYPART_ARC
(20,27),-2.65378 # DEPENDENCYPART_ARC
(20,28),-2.69225 # DEPENDENCYPART_ARC
(20,29),-2.73933 # DEPENDENCYPART_ARC
(20,30),-2.71019 # DEPENDENCYPART_ARC
(20,31),-2.82387 # DEPENDENCYPART_ARC
(20,32),-2.78793 # DEPENDENCYPART_ARC
(20,33),-2.87247 # DEPENDENCYPART_ARC
(20,34),-2.77405 # DEPENDENCYPART_ARC
(20,35),-1.95394 # DEPENDENCYPART_ARC
(21,1),-1.59856 # DEPENDENCYPART_ARC
(21,2),-1.1006 # DEPENDENCYPART_ARC
(21,3),-3.84079 # DEPENDENCYPART_ARC
(21,4),-1.26255 # DEPENDENCYPART_ARC
(21,5),-3.08834 # DEPENDENCYPART_ARC
(21,6),-1.36067 # DEPENDENCYPART_ARC
(21,7),-1.55266 # DEPENDENCYPART_ARC
(21,8),-0.763179 # DEPENDENCYPART_ARC
(21,9),-1.20928 # DEPENDENCYPART_ARC
(21,10),-1.32221 # DEPENDENCYPART_ARC
(21,11),-0.756287 # DEPENDENCYPART_ARC
(21,12),-1.91069 # DEPENDENCYPART_ARC
(21,13),-0.865105 # DEPENDENCYPART_ARC
(21,14),-1.5344 # DEPENDENCYPART_ARC
(21,15),-2.37811 # DEPENDENCYPART_ARC
(21,16),-0.247162 # DEPENDENCYPART_ARC
(21,17),0.130613 # DEPENDENCYPART_ARC
(21,18),-0.0999746 # DEPENDENCYPART_ARC
(21,19),-0.0822165 # DEPENDENCYPART_ARC
(21,20),-0.365489 # DEPENDENCYPART_ARC
(21,22),3.11267 # DEPENDENCYPART_ARC
(21,23),0.682644 # DEPENDENCYPART_ARC
(21,24),1.63181 # DEPENDENCYPART_ARC
(21,25),-0.300274 # DEPENDENCYPART_ARC
(21,26),1.42986 # DEPENDENCYPART_ARC
(21,27),0.654026 # DEPENDENCYPART_ARC
(21,28),0.0929398 # DEPENDENCYPART_ARC
(21,29),1.1397 # DEPENDENCYPART_ARC
(21,30),-0.306197 # DEPENDENCYPART_ARC
(21,31),1.39065 # DEPENDENCYPART_ARC
(21,32),-0.517078 # DEPENDENCYPART_ARC
(21,33),0.611548 # DEPENDENCYPART_ARC
(21,34),-0.480344 # DEPENDENCYPART_ARC
(21,35),-1.4898 # DEPENDENCYPART_ARC
(22,1),-1.99489 # DEPENDENCYPART_ARC
(22,2),-2.45064 # DEPENDENCYPART_ARC
(22,3),-1.33989 # DEPENDENCYPART_ARC
(22,4),-2.37016 # DEPENDENCYPART_ARC
(22,5),-2.52808 # DEPENDENCYPART_ARC
(22,6),-1.19088 # DEPENDENCYPART_ARC
(22,7),-2.32877 # DEPENDENCYPART_ARC
(22,8),-2.32948 # DEPENDENCYPART_ARC
(22,9),-2.15409 # DEPENDENCYPART_ARC
(22,10),-1.84747 # DEPENDENCYPART_ARC
(22,11),-2.39551 # DEPENDENCYPART_ARC
(22,12),-2.38099 # DEPENDENCYPART_ARC
(22,13),-1.23863 # DEPENDENCYPART_ARC
(22,14),-1.97241 # DEPENDENCYPART_ARC
(22,15),-1.92565 # DEPENDENCYPART_ARC
(22,16),-0.793111 # DEPENDENCYPART_ARC
(22,17),-0.952124 # DEPENDENCYPART_ARC
(22,18),-1.2216 # DEPENDENCYPART_ARC
(22,19),-1.21992 # DEPENDENCYPART_ARC
(22,20),-0.956255 # DEPENDENCYPART_ARC
(22,21),-0.0588828 # DEPENDENCYPART_ARC
(22,23),1.38698 # DEPENDENCYPART_ARC
(22,24),3.39889 # DEPENDENCYPART_ARC
(22,25),-0.0602646 # DEPENDENCYPART_ARC
(22,26),0.675326 # DEPENDENCYPART_ARC
(22,27),-0.495076 # DEPENDENCYPART_ARC
(22,28),-0.109381 # DEPENDENCYPART_ARC
(22,29),-0.32402 # DEPENDENCYPART_ARC
(22,30),-1.08803 # DEPENDENCYPART_ARC
(22,31),-0.862348 # DEPENDENCYPART_ARC
(22,32),-1.99978 # DEPENDENCYPART_ARC
(22,33),-0.679302 # DEPENDENCYPART_ARC
(22,34),-2.92097 # DEPENDENCYPART_ARC
(22,35),-0.990058 # DEPENDENCYPART_ARC
(23,1),-2.64918 # DEPENDENCYPART_ARC
(23,2),-3.80837 # DEPENDENCYPART_ARC
(23,3),-3.27274 # DEPENDENCYPART_ARC
(23,4),-3.58864 # DEPENDENCYPART_ARC
(23,5),-4.56162 # DEPENDENCYPART_ARC
(23,6),-2.7496 # DEPENDENCYPART_ARC
(23,7),-3.13154 # DEPENDENCYPART_ARC
(23,8),-3.13722 # DEPENDENCYPART_ARC
(23,9),-3.16036 # DEPENDENCYPART_ARC
(23,10),-2.69996 # DEPENDENCYPART_ARC
(23,11),-4.13788 # DEPENDENCYPART_ARC
(23,12),-4.38008 # DEPENDENCYPART_ARC
(23,13),-3.0177 # DEPENDENCYPART_ARC
(23,14),-3.40943 # DEPENDENCYPART_ARC
(23,15),-2.70703 # DEPENDENCYPART_ARC
(23,16),-2.42711 # DEPENDENCYPART_ARC
(23,17),-2.35251 # DEPENDENCYPART_ARC
(23,18),-2.01306 # DEPENDENCYPART_ARC
(23,19),-3.08561 # DEPENDENCYPART_ARC
(23,20),-2.04936 # DEPENDENCYPART_ARC
(23,21),-2.01804 # DEPENDENCYPART_ARC
(23,22),-0.609409 # DEPENDENCYPART_ARC
(23,24),0.833818 # DEPENDENCYPART_ARC
(23,25),-0.707355 # DEPENDENCYPART_ARC
(23,26),-0.558636 # DEPENDENCYPART_ARC
(23,27),-0.939016 # DEPENDENCYPART_ARC
(23,28),-1.12422 # DEPENDENCYPART_ARC
(23,29),-1.1137 # DEPENDENCYPART_ARC
(23,30),-1.00441 # DEPENDENCYPART_ARC
(23,31),-0.681341 # DEPENDENCYPART_ARC
(23,32),-1.0146 # DEPENDENCYPART_ARC
(23,33),-0.989796 # DEPENDENCYPART_ARC
(23,34),-1.49376 # DEPENDENCYPART_ARC
(23,35),-0.896132 # DEPENDENCYPART_ARC
(24,1),-4.30042 # DEPENDENCYPART_ARC
(24,2),-4.04648 # DEPENDENCYPART_ARC
(24,3),-1.72845 # DEPENDENCYPART_ARC
(24,4),-2.88372 # DEPENDENCYPART_ARC
(24,5),-1.25921 # DEPENDENCYPART_ARC
(24,6),-1.98748 # DEPENDENCYPART_ARC
(24,7),-2.13075 # DEPENDENCYPART_ARC
(24,8),-2.89096 # DEPENDENCYPART_ARC
(24,9),-2.74552 # DEPENDENCYPART_ARC
(24,10),-1.08277 # DEPENDENCYPART_ARC
(24,11),-1.95168 # DEPENDENCYPART_ARC
(24,12),-1.37772 # DEPENDENCYPART_ARC
(24,13),-0.974403 # DEPENDENCYPART_ARC
(24,14),-2.30312 # DEPENDENCYPART_ARC
(24,15),-2.51105 # DEPENDENCYPART_ARC
(24,16),-1.00429 # DEPENDENCYPART_ARC
(24,17),-1.171 # DEPENDENCYPART_ARC
(24,18),-0.801203 # DEPENDENCYPART_ARC
(24,19),-2.60383 # DEPENDENCYPART_ARC
(24,20),-1.80324 # DEPENDENCYPART_ARC
(24,21),-0.778575 # DEPENDENCYPART_ARC
(24,22),0.765125 # DEPENDENCYPART_ARC
(24,23),3.48338 # DEPENDENCYPART_ARC
(24,25),0.382618 # DEPENDENCYPART_ARC
(24,26),0.30502 # DEPENDENCYPART_ARC
(24,27),0.602713 # DEPENDENCYPART_ARC
(24,28),-0.0178643 # DEPENDENCYPART_ARC
(24,29),-0.137329 # DEPENDENCYPART_ARC
(24,30),-0.342949 # DEPENDENCYPART_ARC
(24,31),-0.176741 # DEPENDENCYPART_ARC
(24,32),-0.557747 # DEPENDENCYPART_ARC
(24,33),-0.548336 # DEPENDENCYPART_ARC
(24,34),-0.573846 # DEPENDENCYPART_ARC
(24,35),-2.21593 # DEPENDENCYPART_ARC
(25,1),-2.16826 # DEPENDENCYPART_ARC
(25,2),-2.8874 # DEPENDENCYPART_ARC
(25,3),-3.02662 # DEPENDENCYPART_ARC
(25,4),-2.97915 # DEPENDENCYPART_ARC
(25,5),-3.61407 # DEPENDENCYPART_ARC
(25,6),-2.56298 # DEPENDENCYPART_ARC
(25,7),-2.97945 # DEPENDENCYPART_ARC
(25,8),-2.97443 # DEPENDENCYPART_ARC
(25,9),-2.98886 # DEPENDENCYPART_ARC
(25,10),-2.16312 # DEPENDENCYPART_ARC
(25,11),-3.05643 # DEPENDENCYPART_ARC
(25,12),-3.08739 # DEPENDENCYPART_ARC
(25,13),-2.49563 # DEPENDENCYPART_ARC
(25,14),-2.76348 # DEPENDENCYPART_ARC
(25,15),-2.07223 # DEPENDENCYPART_ARC
(25,16),-2.18206 # DEPENDENCYPART_ARC
(25,17),-2.0805 # DEPENDENCYPART_ARC
(25,18),-1.75726 # DEPENDENCYPART_ARC
(25,19),-2.34891 # DEPENDENCYPART_ARC
(25,20),-1.82487 # DEPENDENCYPART_ARC
(25,21),-2.33513 # DEPENDENCYPART_ARC
(25,22),-1.21515 # DEPENDENCYPART_ARC
(25,23),-0.594562 # DEPENDENCYPART_ARC
(25,24),-0.769391 # DEPENDENCYPART_ARC
(25,26),1.09138 # DEPENDENCYPART_ARC
(25,27),0.101159 # DEPENDENCYPART_ARC
(25,28),-0.551721 # DEPENDENCYPART_ARC
(25,29),-0.188874 # DEPENDENCYPART_ARC
(25,30),-0.878307 # DEPENDENCYPART_ARC
(25,31),-0.524006 # DEPENDENCYPART_ARC
(25,32),-0.626414 # DEPENDENCYPART_ARC
(25,33),-0.139784 # DEPENDENCYPART_ARC
(25,34),-0.722508 # DEPENDENCYPART_ARC
(25,35),-0.646152 # DEPENDENCYPART_ARC
(26,1),-4.15282 # DEPENDENCYPART_ARC
(26,2),-3.62727 # DEPENDENCYPART_ARC
(26,3),-1.73205 # DEPENDENCYPART_ARC
(26,4),-3.51594 # DEPENDENCYPART_ARC
(26,5),-1.6665 # DEPENDENCYPART_ARC
(26,6),-1.80315 # DEPENDENCYPART_ARC
(26,7),-2.37565 # DEPENDENCYPART_ARC
(26,8),-3.20754 # DEPENDENCYPART_ARC
(26,9),-2.97011 # DEPENDENCYPART_ARC
(26,10),-0.887103 # DEPENDENCYPART_ARC
(26,11),-1.79553 # DEPENDENCYPART_ARC
(26,12),-0.949411 # DEPENDENCYPART_ARC
(26,13),-0.806947 # DEPENDENCYPART_ARC
(26,14),-2.86124 # DEPENDENCYPART_ARC
(26,15),-2.80583 # DEPENDENCYPART_ARC
(26,16),-0.736141 # DEPENDENCYPART_ARC
(26,17),-1.01164 # DEPENDENCYPART_ARC
(26,18),-0.928226 # DEPENDENCYPART_ARC
(26,19),-2.5801 # DEPENDENCYPART_ARC
(26,20),-2.36075 # DEPENDENCYPART_ARC
(26,21),-1.14407 # DEPENDENCYPART_ARC
(26,22),0.354508 # DEPENDENCYPART_ARC
(26,23),1.79621 # DEPENDENCYPART_ARC
(26,24),-0.8416 # DEPENDENCYPART_ARC
(26,25),3.53086 # DEPENDENCYPART_ARC
(26,27),2.80987 # DEPENDENCYPART_ARC
(26,28),1.2606 # DEPENDENCYPART_ARC
(26,29),1.08121 # DEPENDENCYPART_ARC
(26,30),0.637174 # DEPENDENCYPART_ARC
(26,31),0.823488 # DEPENDENCYPART_ARC
(26,32),0.783818 # DEPENDENCYPART_ARC
(26,33),0.471953 # DEPENDENCYPART_ARC
(26,34),0.16328 # DEPENDENCYPART_ARC
(26,35),-1.45325 # DEPENDENCYPART_ARC
(27,1),-2.40321 # DEPENDENCYPART_ARC
(27,2),-3.5364 # DEPENDENCYPART_ARC
(27,3),-1.6529 # DEPENDENCYPART_ARC
(27,4),-3.03307 # DEPENDENCYPART_ARC
(27,5),-3.13614 # DEPENDENCYPART_ARC
(27,6),-0.879008 # DEPENDENCYPART_ARC
(27,7),-3.01584 # DEPENDENCYPART_ARC
(27,8),-2.94188 # DEPENDENCYPART_ARC
(27,9),-2.98889 # DEPENDENCYPART_ARC
(27,10),-2.23185 # DEPENDENCYPART_ARC
(27,11),-3.16665 # DEPENDENCYPART_ARC
(27,12),-3.30613 # DEPENDENCYPART_ARC
(27,13),-1.55803 # DEPENDENCYPART_ARC
(27,14),-2.59988 # DEPENDENCYPART_ARC
(27,15),-1.95929 # DEPENDENCYPART_ARC
(27,16),-1.25008 # DEPENDENCYPART_ARC
(27,17),-1.1861 # DEPENDENCYPART_ARC
(27,18),-2.0823 # DEPENDENCYPART_ARC
(27,19),-2.88769 # DEPENDENCYPART_ARC
(27,20),-1.77216 # DEPENDENCYPART_ARC
(27,21),-2.20838 # DEPENDENCYPART_ARC
(27,22),-0.733634 # DEPENDENCYPART_ARC
(27,23),-0.914855 # DEPENDENCYPART_ARC
(27,24),-1.63388 # DEPENDENCYPART_ARC
(27,25),-0.774254 # DEPENDENCYPART_ARC
(27,26),-1.15085 # DEPENDENCYPART_ARC
(27,28),4.31844 # DEPENDENCYPART_ARC
(27,29),0.433532 # DEPENDENCYPART_ARC
(27,30),1.01364 # DEPENDENCYPART_ARC
(27,31),-0.991142 # DEPENDENCYPART_ARC
(27,32),-1.66741 # DEPENDENCYPART_ARC
(27,33),-0.0997091 # DEPENDENCYPART_ARC
(27,34),-1.50135 # DEPENDENCYPART_ARC
(27,35),-0.948986 # DEPENDENCYPART_ARC
(28,1),-6.60253 # DEPENDENCYPART_ARC
(28,2),-4.71519 # DEPENDENCYPART_ARC
(28,3),-2.64063 # DEPENDENCYPART_ARC
(28,4),-3.68044 # DEPENDENCYPART_ARC
(28,5),-2.75749 # DEPENDENCYPART_ARC
(28,6),-2.90522 # DEPENDENCYPART_ARC
(28,7),-2.88168 # DEPENDENCYPART_ARC
(28,8),-3.5211 # DEPENDENCYPART_ARC
(28,9),-3.23474 # DEPENDENCYPART_ARC
(28,10),-2.48551 # DEPENDENCYPART_ARC
(28,11),-3.72924 # DEPENDENCYPART_ARC
(28,12),-3.1818 # DEPENDENCYPART_ARC
(28,13),-1.88563 # DEPENDENCYPART_ARC
(28,14),-3.18252 # DEPENDENCYPART_ARC
(28,15),-3.35152 # DEPENDENCYPART_ARC
(28,16),-1.74769 # DEPENDENCYPART_ARC
(28,17),-2.11967 # DEPENDENCYPART_ARC
(28,18),-3.39395 # DEPENDENCYPART_ARC
(28,19),-3.77152 # DEPENDENCYPART_ARC
(28,20),-3.11037 # DEPENDENCYPART_ARC
(28,21),-2.34004 # DEPENDENCYPART_ARC
(28,22),-0.924987 # DEPENDENCYPART_ARC
(28,23),-0.0137475 # DEPENDENCYPART_ARC
(28,24),-1.87481 # DEPENDENCYPART_ARC
(28,25),-0.679667 # DEPENDENCYPART_ARC
(28,26),-1.73573 # DEPENDENCYPART_ARC
(28,27),1.11829 # DEPENDENCYPART_ARC
(28,29),1.38929 # DEPENDENCYPART_ARC
(28,30),0.818717 # DEPENDENCYPART_ARC
(28,31),0.377585 # DEPENDENCYPART_ARC
(28,32),-0.166433 # DEPENDENCYPART_ARC
(28,33),0.104661 # DEPENDENCYPART_ARC
(28,34),0.190317 # DEPENDENCYPART_ARC
(28,35),-1.64369 # DEPENDENCYPART_ARC
(29,1),-2.36851 # DEPENDENCYPART_ARC
(29,2),-3.46375 # DEPENDENCYPART_ARC
(29,3),-1.91896 # DEPENDENCYPART_ARC
(29,4),-2.96325 # DEPENDENCYPART_ARC
(29,5),-3.02673 # DEPENDENCYPART_ARC
(29,6),-1.43998 # DEPENDENCYPART_ARC
(29,7),-3.07218 # DEPENDENCYPART_ARC
(29,8),-3.04318 # DEPENDENCYPART_ARC
(29,9),-2.92367 # DEPENDENCYPART_ARC
(29,10),-2.11357 # DEPENDENCYPART_ARC
(29,11),-3.09254 # DEPENDENCYPART_ARC
(29,12),-3.21193 # DEPENDENCYPART_ARC
(29,13),-1.69193 # DEPENDENCYPART_ARC
(29,14),-2.66051 # DEPENDENCYPART_ARC
(29,15),-1.97851 # DEPENDENCYPART_ARC
(29,16),-1.05002 # DEPENDENCYPART_ARC
(29,17),-1.39121 # DEPENDENCYPART_ARC
(29,18),-2.15678 # DEPENDENCYPART_ARC
(29,19),-2.8687 # DEPENDENCYPART_ARC
(29,20),-1.76826 # DEPENDENCYPART_ARC
(29,21),-2.24968 # DEPENDENCYPART_ARC
(29,22),-0.99785 # DEPENDENCYPART_ARC
(29,23),-1.07943 # DEPENDENCYPART_ARC
(29,24),-2.01828 # DEPENDENCYPART_ARC
(29,25),-1.49173 # DEPENDENCYPART_ARC
(29,26),-2.11237 # DEPENDENCYPART_ARC
(29,27),-0.208483 # DEPENDENCYPART_ARC
