# _root_ Fanno fatica ad ammettere che una mescolanza misteriosa di fattori genetici , di educazione e di stimoli ambientali , possa produrre individui che sanno fare cose che essi non potranno mai nemmeno immaginare .
#goldHeads=0,1,1,3,4,7,21,7,7,9,10,9,9,13,9,9,16,17,18,21,5,21,24,22,24,25,33,33,33,33,33,33,26,33,
#predictedHeads=0,1,1,3,4,7,4,7,7,9,10,11,9,13,1,9,16,17,18,21,5,21,25,25,21,25,30,30,30,26,30,33,26,33,
(15,8),-2.17333 # DEPENDENCYPART_ARC
(15,9),-1.68223 # DEPENDENCYPART_ARC
(15,10),-2.23856 # DEPENDENCYPART_ARC
(15,11),-1.93605 # DEPENDENCYPART_ARC
(15,12),-1.16854 # DEPENDENCYPART_ARC
(15,13),-0.904173 # DEPENDENCYPART_ARC
(15,14),-0.568976 # DEPENDENCYPART_ARC
(15,16),-0.537351 # DEPENDENCYPART_ARC
(15,17),-0.318396 # DEPENDENCYPART_ARC
(15,18),-0.59342 # DEPENDENCYPART_ARC
(15,19),-0.143715 # DEPENDENCYPART_ARC
(15,20),-0.916204 # DEPENDENCYPART_ARC
(15,21),-0.91588 # DEPENDENCYPART_ARC
(15,22),-1.36939 # DEPENDENCYPART_ARC
(15,23),-1.80069 # DEPENDENCYPART_ARC
(15,24),-2.26156 # DEPENDENCYPART_ARC
(15,25),-2.47327 # DEPENDENCYPART_ARC
(15,26),-1.44643 # DEPENDENCYPART_ARC
(15,27),-1.82263 # DEPENDENCYPART_ARC
(15,28),-1.96289 # DEPENDENCYPART_ARC
(15,29),-2.01894 # DEPENDENCYPART_ARC
(15,30),-3.27541 # DEPENDENCYPART_ARC
(15,31),-2.04178 # DEPENDENCYPART_ARC
(15,32),-2.09691 # DEPENDENCYPART_ARC
(15,33),-4.1454 # DEPENDENCYPART_ARC
(15,34),-1.66129 # DEPENDENCYPART_ARC
(16,1),-3.46586 # DEPENDENCYPART_ARC
(16,2),-3.18612 # DEPENDENCYPART_ARC
(16,3),-2.73396 # DEPENDENCYPART_ARC
(16,4),-3.31097 # DEPENDENCYPART_ARC
(16,5),-2.13785 # DEPENDENCYPART_ARC
(16,6),-2.6183 # DEPENDENCYPART_ARC
(16,7),-2.80566 # DEPENDENCYPART_ARC
(16,8),-3.00026 # DEPENDENCYPART_ARC
(16,9),-2.29118 # DEPENDENCYPART_ARC
(16,10),-2.65925 # DEPENDENCYPART_ARC
(16,11),-2.69861 # DEPENDENCYPART_ARC
(16,12),-2.5083 # DEPENDENCYPART_ARC
(16,13),-1.56946 # DEPENDENCYPART_ARC
(16,14),-1.88743 # DEPENDENCYPART_ARC
(16,15),0.077798 # DEPENDENCYPART_ARC
(16,17),3.40671 # DEPENDENCYPART_ARC
(16,18),0.753758 # DEPENDENCYPART_ARC
(16,19),0.0398496 # DEPENDENCYPART_ARC
(16,20),-0.0258699 # DEPENDENCYPART_ARC
(16,21),-0.347756 # DEPENDENCYPART_ARC
(16,22),-1.46314 # DEPENDENCYPART_ARC
(16,23),-2.10434 # DEPENDENCYPART_ARC
(16,24),-1.84494 # DEPENDENCYPART_ARC
(16,25),-1.74039 # DEPENDENCYPART_ARC
(16,26),-3.26962 # DEPENDENCYPART_ARC
(16,27),-3.17957 # DEPENDENCYPART_ARC
(16,28),-2.31161 # DEPENDENCYPART_ARC
(16,29),-2.42831 # DEPENDENCYPART_ARC
(16,30),-3.17832 # DEPENDENCYPART_ARC
(16,31),-2.11461 # DEPENDENCYPART_ARC
(16,32),-2.17079 # DEPENDENCYPART_ARC
(16,33),-3.26939 # DEPENDENCYPART_ARC
(16,34),-2.10067 # DEPENDENCYPART_ARC
(17,1),-3.48705 # DEPENDENCYPART_ARC
(17,2),-4.06776 # DEPENDENCYPART_ARC
(17,3),-2.64755 # DEPENDENCYPART_ARC
(17,4),-3.00202 # DEPENDENCYPART_ARC
(17,5),-1.93101 # DEPENDENCYPART_ARC
(17,6),-3.16435 # DEPENDENCYPART_ARC
(17,7),-3.74004 # DEPENDENCYPART_ARC
(17,8),-2.93534 # DEPENDENCYPART_ARC
(17,9),-2.09893 # DEPENDENCYPART_ARC
(17,10),-1.4137 # DEPENDENCYPART_ARC
(17,11),-1.03229 # DEPENDENCYPART_ARC
(17,12),-2.68836 # DEPENDENCYPART_ARC
(17,13),-0.952174 # DEPENDENCYPART_ARC
(17,14),-2.29025 # DEPENDENCYPART_ARC
(17,15),-0.615605 # DEPENDENCYPART_ARC
(17,16),0.629655 # DEPENDENCYPART_ARC
(17,18),3.12521 # DEPENDENCYPART_ARC
(17,19),-0.0333672 # DEPENDENCYPART_ARC
(17,20),-1.14978 # DEPENDENCYPART_ARC
(17,21),-0.591022 # DEPENDENCYPART_ARC
(17,22),0.0697291 # DEPENDENCYPART_ARC
(17,23),-1.93989 # DEPENDENCYPART_ARC
(17,24),-1.32651 # DEPENDENCYPART_ARC
(17,25),-1.38703 # DEPENDENCYPART_ARC
(17,26),-0.587659 # DEPENDENCYPART_ARC
(17,27),-2.32616 # DEPENDENCYPART_ARC
(17,28),-0.67657 # DEPENDENCYPART_ARC
(17,29),-1.62843 # DEPENDENCYPART_ARC
(17,30),-1.54079 # DEPENDENCYPART_ARC
(17,31),-1.39571 # DEPENDENCYPART_ARC
(17,32),-1.47161 # DEPENDENCYPART_ARC
(17,33),-1.36324 # DEPENDENCYPART_ARC
(17,34),-2.27882 # DEPENDENCYPART_ARC
(18,1),-3.13984 # DEPENDENCYPART_ARC
(18,2),-2.59591 # DEPENDENCYPART_ARC
(18,3),-1.15687 # DEPENDENCYPART_ARC
(18,4),-2.01756 # DEPENDENCYPART_ARC
(18,5),-0.771201 # DEPENDENCYPART_ARC
(18,6),-1.35958 # DEPENDENCYPART_ARC
(18,7),-2.39693 # DEPENDENCYPART_ARC
(18,8),-1.38443 # DEPENDENCYPART_ARC
(18,9),-0.831722 # DEPENDENCYPART_ARC
(18,10),-1.67771 # DEPENDENCYPART_ARC
(18,11),-1.32767 # DEPENDENCYPART_ARC
(18,12),-1.1732 # DEPENDENCYPART_ARC
(18,13),-0.171616 # DEPENDENCYPART_ARC
(18,14),-1.54587 # DEPENDENCYPART_ARC
(18,15),-0.173139 # DEPENDENCYPART_ARC
(18,16),0.551579 # DEPENDENCYPART_ARC
(18,17),0.518689 # DEPENDENCYPART_ARC
(18,19),1.94265 # DEPENDENCYPART_ARC
(18,20),-0.346774 # DEPENDENCYPART_ARC
(18,21),-1.1114 # DEPENDENCYPART_ARC
(18,22),-0.43591 # DEPENDENCYPART_ARC
(18,23),-1.85524 # DEPENDENCYPART_ARC
(18,24),-0.731574 # DEPENDENCYPART_ARC
(18,25),-1.79819 # DEPENDENCYPART_ARC
(18,26),-1.17132 # DEPENDENCYPART_ARC
(18,27),-2.10092 # DEPENDENCYPART_ARC
(18,28),-1.20785 # DEPENDENCYPART_ARC
(18,29),-1.43089 # DEPENDENCYPART_ARC
(18,30),-1.39744 # DEPENDENCYPART_ARC
(18,31),-1.6027 # DEPENDENCYPART_ARC
(18,32),-1.48917 # DEPENDENCYPART_ARC
(18,33),-1.78815 # DEPENDENCYPART_ARC
(18,34),-1.1829 # DEPENDENCYPART_ARC
(19,1),-2.94892 # DEPENDENCYPART_ARC
(19,2),-2.63698 # DEPENDENCYPART_ARC
(19,3),-2.15534 # DEPENDENCYPART_ARC
(19,4),-2.89105 # DEPENDENCYPART_ARC
(19,5),-2.14582 # DEPENDENCYPART_ARC
(19,6),-1.92713 # DEPENDENCYPART_ARC
(19,7),-2.49429 # DEPENDENCYPART_ARC
(19,8),-2.53205 # DEPENDENCYPART_ARC
(19,9),-1.89003 # DEPENDENCYPART_ARC
(19,10),-2.40834 # DEPENDENCYPART_ARC
(19,11),-2.45411 # DEPENDENCYPART_ARC
(19,12),-2.00513 # DEPENDENCYPART_ARC
(19,13),-1.72454 # DEPENDENCYPART_ARC
(19,14),-2.1519 # DEPENDENCYPART_ARC
(19,15),-1.75597 # DEPENDENCYPART_ARC
(19,16),-1.1374 # DEPENDENCYPART_ARC
(19,17),-1.528 # DEPENDENCYPART_ARC
(19,18),-0.511823 # DEPENDENCYPART_ARC
(19,20),-0.607908 # DEPENDENCYPART_ARC
(19,21),-1.52227 # DEPENDENCYPART_ARC
(19,22),-1.96384 # DEPENDENCYPART_ARC
(19,23),-2.26821 # DEPENDENCYPART_ARC
(19,24),-2.03822 # DEPENDENCYPART_ARC
(19,25),-2.19817 # DEPENDENCYPART_ARC
(19,26),-2.4223 # DEPENDENCYPART_ARC
(19,27),-2.50638 # DEPENDENCYPART_ARC
(19,28),-2.50831 # DEPENDENCYPART_ARC
(19,29),-2.60083 # DEPENDENCYPART_ARC
(19,30),-2.39166 # DEPENDENCYPART_ARC
(19,31),-2.76531 # DEPENDENCYPART_ARC
(19,32),-2.77668 # DEPENDENCYPART_ARC
(19,33),-2.52049 # DEPENDENCYPART_ARC
(19,34),-1.67679 # DEPENDENCYPART_ARC
(20,1),-4.11913 # DEPENDENCYPART_ARC
(20,2),-1.28915 # DEPENDENCYPART_ARC
(20,3),-2.06468 # DEPENDENCYPART_ARC
(20,4),-2.12282 # DEPENDENCYPART_ARC
(20,5),-0.942894 # DEPENDENCYPART_ARC
(20,6),-2.51853 # DEPENDENCYPART_ARC
(20,7),-0.992018 # DEPENDENCYPART_ARC
(20,8),-1.95562 # DEPENDENCYPART_ARC
(20,9),-2.96523 # DEPENDENCYPART_ARC
(20,10),-2.09931 # DEPENDENCYPART_ARC
(20,11),-2.24608 # DEPENDENCYPART_ARC
(20,12),-2.78902 # DEPENDENCYPART_ARC
(20,13),-1.78808 # DEPENDENCYPART_ARC
(20,14),-0.937669 # DEPENDENCYPART_ARC
(20,15),-1.28552 # DEPENDENCYPART_ARC
(20,16),-1.38659 # DEPENDENCYPART_ARC
(20,17),-1.06885 # DEPENDENCYPART_ARC
(20,18),-1.22023 # DEPENDENCYPART_ARC
(20,19),-0.18407 # DEPENDENCYPART_ARC
(20,21),1.27138 # DEPENDENCYPART_ARC
(20,22),0.424417 # DEPENDENCYPART_ARC
(20,23),-1.38868 # DEPENDENCYPART_ARC
(20,24),-1.23801 # DEPENDENCYPART_ARC
(20,25),-0.547572 # DEPENDENCYPART_ARC
(20,26),-1.09011 # DEPENDENCYPART_ARC
(20,27),-2.50453 # DEPENDENCYPART_ARC
(20,28),-1.52843 # DEPENDENCYPART_ARC
(20,29),-1.82883 # DEPENDENCYPART_ARC
(20,30),-1.99104 # DEPENDENCYPART_ARC
(20,31),-1.41656 # DEPENDENCYPART_ARC
(20,32),-1.41248 # DEPENDENCYPART_ARC
(20,33),-1.21408 # DEPENDENCYPART_ARC
(20,34),-2.15255 # DEPENDENCYPART_ARC
(21,1),-0.876771 # DEPENDENCYPART_ARC
(21,2),-0.248133 # DEPENDENCYPART_ARC
(21,3),-0.246951 # DEPENDENCYPART_ARC
(21,4),-1.16758 # DEPENDENCYPART_ARC
(21,5),0.398868 # DEPENDENCYPART_ARC
(21,6),-0.283806 # DEPENDENCYPART_ARC
(21,7),0.429644 # DEPENDENCYPART_ARC
(21,8),0.0528454 # DEPENDENCYPART_ARC
(21,9),-1.01346 # DEPENDENCYPART_ARC
(21,10),-0.16327 # DEPENDENCYPART_ARC
(21,11),0.203484 # DEPENDENCYPART_ARC
(21,12),-1.64463 # DEPENDENCYPART_ARC
(21,13),-0.138658 # DEPENDENCYPART_ARC
(21,14),0.115837 # DEPENDENCYPART_ARC
(21,15),0.183916 # DEPENDENCYPART_ARC
(21,16),0.633823 # DEPENDENCYPART_ARC
(21,17),0.737057 # DEPENDENCYPART_ARC
(21,18),0.977908 # DEPENDENCYPART_ARC
(21,19),-0.454018 # DEPENDENCYPART_ARC
(21,20),3.84427 # DEPENDENCYPART_ARC
(21,22),3.47275 # DEPENDENCYPART_ARC
(21,23),1.5713 # DEPENDENCYPART_ARC
(21,24),0.351763 # DEPENDENCYPART_ARC
(21,25),1.26068 # DEPENDENCYPART_ARC
(21,26),0.908011 # DEPENDENCYPART_ARC
(21,27),-0.39462 # DEPENDENCYPART_ARC
(21,28),0.208605 # DEPENDENCYPART_ARC
(21,29),-0.332711 # DEPENDENCYPART_ARC
(21,30),-0.593774 # DEPENDENCYPART_ARC
(21,31),-0.193931 # DEPENDENCYPART_ARC
(21,32),-0.0727523 # DEPENDENCYPART_ARC
(21,33),0.0855369 # DEPENDENCYPART_ARC
(21,34),-0.588965 # DEPENDENCYPART_ARC
(22,1),-3.10136 # DEPENDENCYPART_ARC
(22,2),-3.42479 # DEPENDENCYPART_ARC
(22,3),-2.24224 # DEPENDENCYPART_ARC
(22,4),-2.48401 # DEPENDENCYPART_ARC
(22,5),-1.52793 # DEPENDENCYPART_ARC
(22,6),-3.40838 # DEPENDENCYPART_ARC
(22,7),-3.29606 # DEPENDENCYPART_ARC
(22,8),-2.6798 # DEPENDENCYPART_ARC
(22,9),-2.0883 # DEPENDENCYPART_ARC
(22,10),-0.943805 # DEPENDENCYPART_ARC
(22,11),-0.940937 # DEPENDENCYPART_ARC
(22,12),-2.61196 # DEPENDENCYPART_ARC
(22,13),-1.38073 # DEPENDENCYPART_ARC
(22,14),-2.51917 # DEPENDENCYPART_ARC
(22,15),-1.22803 # DEPENDENCYPART_ARC
(22,16),-1.20222 # DEPENDENCYPART_ARC
(22,17),0.00865277 # DEPENDENCYPART_ARC
(22,18),-0.328835 # DEPENDENCYPART_ARC
(22,19),-1.5117 # DEPENDENCYPART_ARC
(22,20),-0.959295 # DEPENDENCYPART_ARC
(22,21),0.0220397 # DEPENDENCYPART_ARC
(22,23),0.487064 # DEPENDENCYPART_ARC
(22,24),1.96112 # DEPENDENCYPART_ARC
(22,25),1.25213 # DEPENDENCYPART_ARC
(22,26),0.78318 # DEPENDENCYPART_ARC
(22,27),-1.21308 # DEPENDENCYPART_ARC
(22,28),0.469277 # DEPENDENCYPART_ARC
(22,29),-0.443086 # DEPENDENCYPART_ARC
(22,30),0.959228 # DEPENDENCYPART_ARC
(22,31),-0.401032 # DEPENDENCYPART_ARC
(22,32),-0.2474 # DEPENDENCYPART_ARC
(22,33),0.772498 # DEPENDENCYPART_ARC
(22,34),-0.553005 # DEPENDENCYPART_ARC
(23,1),-3.26049 # DEPENDENCYPART_ARC
(23,2),-2.60249 # DEPENDENCYPART_ARC
(23,3),-2.04611 # DEPENDENCYPART_ARC
(23,4),-2.4974 # DEPENDENCYPART_ARC
(23,5),-1.49061 # DEPENDENCYPART_ARC
(23,6),-0.890116 # DEPENDENCYPART_ARC
(23,7),-2.53129 # DEPENDENCYPART_ARC
(23,8),-2.01204 # DEPENDENCYPART_ARC
(23,9),-2.06416 # DEPENDENCYPART_ARC
(23,10),-3.00219 # DEPENDENCYPART_ARC
(23,11),-2.8863 # DEPENDENCYPART_ARC
(23,12),-1.96234 # DEPENDENCYPART_ARC
(23,13),-1.79872 # DEPENDENCYPART_ARC
(23,14),-2.38801 # DEPENDENCYPART_ARC
(23,15),-1.4116 # DEPENDENCYPART_ARC
(23,16),-1.55951 # DEPENDENCYPART_ARC
(23,17),-2.88095 # DEPENDENCYPART_ARC
(23,18),-1.97354 # DEPENDENCYPART_ARC
(23,19),-1.45498 # DEPENDENCYPART_ARC
(23,20),-2.21655 # DEPENDENCYPART_ARC
(23,21),-1.04184 # DEPENDENCYPART_ARC
(23,22),-1.16084 # DEPENDENCYPART_ARC
(23,24),0.526921 # DEPENDENCYPART_ARC
(23,25),-0.344362 # DEPENDENCYPART_ARC
(23,26),-0.837918 # DEPENDENCYPART_ARC
(23,27),-1.10038 # DEPENDENCYPART_ARC
(23,28),-0.989527 # DEPENDENCYPART_ARC
(23,29),-1.68982 # DEPENDENCYPART_ARC
(23,30),-1.94177 # DEPENDENCYPART_ARC
(23,31),-1.76006 # DEPENDENCYPART_ARC
(23,32),-1.83192 # DEPENDENCYPART_ARC
(23,33),-0.939116 # DEPENDENCYPART_ARC
(23,34),-1.26751 # DEPENDENCYPART_ARC
(24,1),-3.32974 # DEPENDENCYPART_ARC
(24,2),-2.23667 # DEPENDENCYPART_ARC
(24,3),-2.23623 # DEPENDENCYPART_ARC
(24,4),-2.54577 # DEPENDENCYPART_ARC
(24,5),-1.15095 # DEPENDENCYPART_ARC
(24,6),-2.57165 # DEPENDENCYPART_ARC
(24,7),-1.39383 # DEPENDENCYPART_ARC
(24,8),-1.91315 # DEPENDENCYPART_ARC
(24,9),-3.44202 # DEPENDENCYPART_ARC
(24,10),-1.17525 # DEPENDENCYPART_ARC
(24,11),-1.48522 # DEPENDENCYPART_ARC
(24,12),-3.01366 # DEPENDENCYPART_ARC
(24,13),-2.69722 # DEPENDENCYPART_ARC
(24,14),-1.45719 # DEPENDENCYPART_ARC
(24,15),-1.82087 # DEPENDENCYPART_ARC
(24,16),-2.03941 # DEPENDENCYPART_ARC
(24,17),-0.485486 # DEPENDENCYPART_ARC
(24,18),-1.3938 # DEPENDENCYPART_ARC
(24,19),-2.31541 # DEPENDENCYPART_ARC
(24,20),-0.923689 # DEPENDENCYPART_ARC
(24,21),-0.432722 # DEPENDENCYPART_ARC
(24,22),0.22258 # DEPENDENCYPART_ARC
(24,23),2.64582 # DEPENDENCYPART_ARC
(24,25),1.78322 # DEPENDENCYPART_ARC
(24,26),1.75958 # DEPENDENCYPART_ARC
(24,27),-0.714421 # DEPENDENCYPART_ARC
(24,28),0.35678 # DEPENDENCYPART_ARC
(24,29),-0.325747 # DEPENDENCYPART_ARC
(24,30),0.310854 # DEPENDENCYPART_ARC
(24,31),-0.627148 # DEPENDENCYPART_ARC
(24,32),-0.478021 # DEPENDENCYPART_ARC
(24,33),-0.359112 # DEPENDENCYPART_ARC
(24,34),-0.836896 # DEPENDENCYPART_ARC
(25,1),-1.08076 # DEPENDENCYPART_ARC
(25,2),-1.45592 # DEPENDENCYPART_ARC
(25,3),-1.64802 # DEPENDENCYPART_ARC
(25,4),-1.36447 # DEPENDENCYPART_ARC
(25,5),0.00195798 # DEPENDENCYPART_ARC
(25,6),-0.897447 # DEPENDENCYPART_ARC
(25,7),-0.498201 # DEPENDENCYPART_ARC
(25,8),-0.619138 # DEPENDENCYPART_ARC
(25,9),-2.51963 # DEPENDENCYPART_ARC
(25,10),-1.15653 # DEPENDENCYPART_ARC
(25,11),-0.599274 # DEPENDENCYPART_ARC
(25,12),-2.57103 # DEPENDENCYPART_ARC
(25,13),-1.72762 # DEPENDENCYPART_ARC
(25,14),-1.18975 # DEPENDENCYPART_ARC
(25,15),-0.460211 # DEPENDENCYPART_ARC
(25,16),-0.917645 # DEPENDENCYPART_ARC
(25,17),-0.548277 # DEPENDENCYPART_ARC
(25,18),-0.172246 # DEPENDENCYPART_ARC
(25,19),-2.26512 # DEPENDENCYPART_ARC
(25,20),0.357146 # DEPENDENCYPART_ARC
(25,21),-0.446064 # DEPENDENCYPART_ARC
(25,22),0.622096 # DEPENDENCYPART_ARC
(25,23),2.75885 # DEPENDENCYPART_ARC
(25,24),3.40279 # DEPENDENCYPART_ARC
(25,26),3.31006 # DEPENDENCYPART_ARC
(25,27),1.52649 # DEPENDENCYPART_ARC
(25,28),0.926978 # DEPENDENCYPART_ARC
(25,29),0.127654 # DEPENDENCYPART_ARC
(25,30),-0.242813 # DEPENDENCYPART_ARC
(25,31),-0.318367 # DEPENDENCYPART_ARC
(25,32),-0.299635 # DEPENDENCYPART_ARC
(25,33),0.194263 # DEPENDENCYPART_ARC
(25,34),-0.376512 # DEPENDENCYPART_ARC
(26,1),-3.35913 # DEPENDENCYPART_ARC
(26,2),-3.602 # DEPENDENCYPART_ARC
(26,3),-2.97244 # DEPENDENCYPART_ARC
(26,4),-3.06772 # DEPENDENCYPART_ARC
(26,5),-2.37577 # DEPENDENCYPART_ARC
(26,6),-3.94461 # DEPENDENCYPART_ARC
(26,7),-3.46868 # DEPENDENCYPART_ARC
(26,8),-2.74871 # DEPENDENCYPART_ARC
(26,9),-2.89021 # DEPENDENCYPART_ARC
(26,10),-2.25967 # DEPENDENCYPART_ARC
(26,11),-2.19507 # DEPENDENCYPART_ARC
(26,12),-3.3314 # DEPENDENCYPART_ARC
(26,13),-2.17879 # DEPENDENCYPART_ARC
(26,14),-2.84299 # DEPENDENCYPART_ARC
(26,15),-2.08354 # DEPENDENCYPART_ARC
(26,16),-2.06001 # DEPENDENCYPART_ARC
(26,17),-1.67524 # DEPENDENCYPART_ARC
(26,18),-1.49656 # DEPENDENCYPART_ARC
(26,19),-2.82591 # DEPENDENCYPART_ARC
(26,20),-2.69161 # DEPENDENCYPART_ARC
(26,21),-2.50246 # DEPENDENCYPART_ARC
(26,22),-0.894255 # DEPENDENCYPART_ARC
(26,23),-0.81398 # DEPENDENCYPART_ARC
(26,24),-1.18044 # DEPENDENCYPART_ARC
(26,25),-0.352496 # DEPENDENCYPART_ARC
(26,27),0.635661 # DEPENDENCYPART_ARC
(26,28),0.948744 # DEPENDENCYPART_ARC
(26,29),0.263399 # DEPENDENCYPART_ARC
(26,30),2.11675 # DEPENDENCYPART_ARC
(26,31),-0.00882001 # DEPENDENCYPART_ARC
(26,32),0.0598768 # DEPENDENCYPART_ARC
(26,33),1.80204 # DEPENDENCYPART_ARC
(26,34),0.1317 # DEPENDENCYPART_ARC
(27,1),-3.25199 # DEPENDENCYPART_ARC
(27,2),-2.64521 # DEPENDENCYPART_ARC
(27,3),-2.21327 # DEPENDENCYPART_ARC
(27,4),-2.82161 # DEPENDENCYPART_ARC
(27,5),-1.82406 # DEPENDENCYPART_ARC
(27,6),-1.1809 # DEPENDENCYPART_ARC
(27,7),-2.66867 # DEPENDENCYPART_ARC
(27,8),-2.10692 # DEPENDENCYPART_ARC
(27,9),-2.23652 # DEPENDENCYPART_ARC
(27,10),-3.24532 # DEPENDENCYPART_ARC
(27,11),-3.14453 # DEPENDENCYPART_ARC
(27,12),-2.18289 # DEPENDENCYPART_ARC
(27,13),-2.20059 # DEPENDENCYPART_ARC
(27,14),-2.58299 # DEPENDENCYPART_ARC
(27,15),-1.64609 # DEPENDENCYPART_ARC
(27,16),-2.05537 # DEPENDENCYPART_ARC
(27,17),-3.17996 # DEPENDENCYPART_ARC
(27,18),-2.39397 # DEPENDENCYPART_ARC
(27,19),-1.97614 # DEPENDENCYPART_ARC
(27,20),-2.92007 # DEPENDENCYPART_ARC
(27,21),-2.36571 # DEPENDENCYPART_ARC
(27,22),-2.80833 # DEPENDENCYPART_ARC
(27,23),-1.15382 # DEPENDENCYPART_ARC
(27,24),-2.37696 # DEPENDENCYPART_ARC
(27,25),-1.11881 # DEPENDENCYPART_ARC
(27,26),-0.913364 # DEPENDENCYPART_ARC
(27,28),0.595806 # DEPENDENCYPART_ARC
(27,29),-0.583755 # DEPENDENCYPART_ARC
(27,30),-0.140312 # DEPENDENCYPART_ARC
(27,31),-1.11203 # DEPENDENCYPART_ARC
(27,32),-1.22047 # DEPENDENCYPART_ARC
(27,33),0.294494 # DEPENDENCYPART_ARC
(27,34),-0.854655 # DEPENDENCYPART_ARC
(28,1),-3.51501 # DEPENDENCYPART_ARC
(28,2),-2.85164 # DEPENDENCYPART_ARC
(28,3),-2.51068 # DEPENDENCYPART_ARC
(28,4),-3.21601 # DEPENDENCYPART_ARC
(28,5),-2.1465 # DEPENDENCYPART_ARC
(28,6),-2.09272 # DEPENDENCYPART_ARC
(28,7),-3.00998 # DEPENDENCYPART_ARC
(28,8),-2.91345 # DEPENDENCYPART_ARC
(28,9),-2.41473 # DEPENDENCYPART_ARC
(28,10),-2.60879 # DEPENDENCYPART_ARC
(28,11),-2.69117 # DEPENDENCYPART_ARC
(28,12),-2.48503 # DEPENDENCYPART_ARC
(28,13),-2.43474 # DEPENDENCYPART_ARC
(28,14),-2.99381 # DEPENDENCYPART_ARC
(28,15),-1.92298 # DEPENDENCYPART_ARC
(28,16),-2.26472 # DEPENDENCYPART_ARC
(28,17),-2.64974 # DEPENDENCYPART_ARC
(28,18),-2.33325 # DEPENDENCYPART_ARC
(28,19),-2.29517 # DEPENDENCYPART_ARC
(28,20),-3.57816 # DEPENDENCYPART_ARC
(28,21),-2.83646 # DEPENDENCYPART_ARC
(28,22),-2.30459 # DEPENDENCYPART_ARC
(28,23),-1.58022 # DEPENDENCYPART_ARC
(28,24),-2.92015 # DEPENDENCYPART_ARC
(28,25),-2.20701 # DEPENDENCYPART_ARC
(28,26),-1.62756 # DEPENDENCYPART_ARC
(28,27),0.0998405 # DEPENDENCYPART_ARC
(28,29),0.155443 # DEPENDENCYPART_ARC
(28,30),-0.707164 # DEPENDENCYPART_ARC
(28,31),-1.08198 # DEPENDENCYPART_ARC
(28,32),-1.20285 # DEPENDENCYPART_ARC
(28,33),-0.69727 # DEPENDENCYPART_ARC
(28,34),-0.971378 # DEPENDENCYPART_ARC
(29,1),-2.76558 # DEPENDENCYPART_ARC
(29,2),-2.79884 # DEPENDENCYPART_ARC
(29,3),-1.83267 # DEPENDENCYPART_ARC
(29,4),-2.83598 # DEPENDENCYPART_ARC
(29,5),-1.82297 # DEPENDENCYPART_ARC
(29,6),-1.72256 # DEPENDENCYPART_ARC
(29,7),-2.82162 # DEPENDENCYPART_ARC
(29,8),-2.20648 # DEPENDENCYPART_ARC
(29,9),-1.70146 # DEPENDENCYPART_ARC
(29,10),-2.57922 # DEPENDENCYPART_ARC
(29,11),-2.13214 # DEPENDENCYPART_ARC
(29,12),-2.15228 # DEPENDENCYPART_ARC
(29,13),-1.58001 # DEPENDENCYPART_ARC
(29,14),-2.57636 # DEPENDENCYPART_ARC
(29,15),-1.7893 # DEPENDENCYPART_ARC
(29,16),-1.42889 # DEPENDENCYPART_ARC
(29,17),-2.43741 # DEPENDENCYPART_ARC
(29,18),-2.09664 # DEPENDENCYPART_ARC
(29,19),-2.02622 # DEPENDENCYPART_ARC
(29,20),-2.52107 # DEPENDENCYPART_ARC
(29,21),-2.44766 # DEPENDENCYPART_ARC
(29,22),-2.10207 # DEPENDENCYPART_ARC
(29,23),-1.69868 # DEPENDENCYPART_ARC
(29,24),-2.22614 # DEPENDENCYPART_ARC
(29,25),-2.08372 # DEPENDENCYPART_ARC
(29,26),-1.44576 # DEPENDENCYPART_ARC
(29,27),-0.742597 # DEPENDENCYPART_ARC
(29,28),0.125616 # DEPENDENCYPART_ARC
(29,30),0.272307 # DEPENDENCYPART_ARC
(29,31),-0.807975 # DEPENDENCYPART_ARC
(29,32),-1.02982 # DEPENDENCYPART_ARC
(29,33),-0.738227 # DEPENDENCYPART_ARC
(29,34),-1.4146 # DEPENDENCYPART_ARC
(30,1),-3.70254 # DEPENDENCYPART_ARC
(30,2),-1.78533 # DEPENDENCYPART_ARC
(30,3),-1.64286 # DEPENDENCYPART_ARC
(30,4),-2.78111 # DEPENDENCYPART_ARC
(30,5),-1.53389 # DEPENDENCYPART_ARC
(30,6),-2.01968 # DEPENDENCYPART_ARC
(30,7),-1.22934 # DEPENDENCYPART_ARC
(30,8),-1.29312 # DEPENDENCYPART_ARC
(30,9),-3.35917 # DEPENDENCYPART_ARC
(30,10),-0.760312 # DEPENDENCYPART_ARC
(30,11),-0.624668 # DEPENDENCYPART_ARC
(30,12),-3.04703 # DEPENDENCYPART_ARC
(30,13),-2.52041 # DEPENDENCYPART_ARC
(30,14),-1.45312 # DEPENDENCYPART_ARC
(30,15),-1.67281 # DEPENDENCYPART_ARC
(30,16),-1.9954 # DEPENDENCYPART_ARC
(30,17),-0.378511 # DEPENDENCYPART_ARC
(30,18),-0.768121 # DEPENDENCYPART_ARC
(30,19),-2.84708 # DEPENDENCYPART_ARC
(30,20),-1.52804 # DEPENDENCYPART_ARC
(30,21),-1.45881 # DEPENDENCYPART_ARC
(30,22),0.339314 # DEPENDENCYPART_ARC
(30,23),1.018 # DEPENDENCYPART_ARC
