# _root_ Montale era pago della pubblicazione e non ebbe alcun contratto : si prodigò , anzi , per far prenotare duecentoquaranta copie da amici e conoscenti .
#goldHeads=2,0,2,3,4,2,8,2,10,8,10,13,0,13,13,15,13,17,18,21,19,19,22,23,23,25,
#predictedHeads=2,0,2,3,4,4,8,2,10,8,10,13,8,13,13,15,13,17,18,21,19,19,22,23,23,25,
(20,7),-1.49503 # DEPENDENCYPART_ARC
(20,8),-2.24333 # DEPENDENCYPART_ARC
(20,9),-1.48532 # DEPENDENCYPART_ARC
(20,10),-2.22019 # DEPENDENCYPART_ARC
(20,11),-1.60209 # DEPENDENCYPART_ARC
(20,12),-1.49629 # DEPENDENCYPART_ARC
(20,13),-2.01822 # DEPENDENCYPART_ARC
(20,14),-1.43917 # DEPENDENCYPART_ARC
(20,15),-1.11901 # DEPENDENCYPART_ARC
(20,16),-1.23177 # DEPENDENCYPART_ARC
(20,17),-0.480221 # DEPENDENCYPART_ARC
(20,18),-0.754238 # DEPENDENCYPART_ARC
(20,19),0.138146 # DEPENDENCYPART_ARC
(20,21),0.877776 # DEPENDENCYPART_ARC
(20,22),0.178073 # DEPENDENCYPART_ARC
(20,23),-0.290494 # DEPENDENCYPART_ARC
(20,24),0.0458556 # DEPENDENCYPART_ARC
(20,25),-0.52941 # DEPENDENCYPART_ARC
(20,26),-0.360885 # DEPENDENCYPART_ARC
(21,1),-2.25197 # DEPENDENCYPART_ARC
(21,2),-2.59566 # DEPENDENCYPART_ARC
(21,3),-2.64312 # DEPENDENCYPART_ARC
(21,4),-1.42606 # DEPENDENCYPART_ARC
(21,5),-2.38071 # DEPENDENCYPART_ARC
(21,6),-1.55757 # DEPENDENCYPART_ARC
(21,7),-1.06741 # DEPENDENCYPART_ARC
(21,8),-2.31835 # DEPENDENCYPART_ARC
(21,9),-0.439195 # DEPENDENCYPART_ARC
(21,10),-2.95236 # DEPENDENCYPART_ARC
(21,11),-2.04458 # DEPENDENCYPART_ARC
(21,12),-0.927584 # DEPENDENCYPART_ARC
(21,13),-2.06975 # DEPENDENCYPART_ARC
(21,14),-2.11177 # DEPENDENCYPART_ARC
(21,15),-0.652639 # DEPENDENCYPART_ARC
(21,16),-1.7048 # DEPENDENCYPART_ARC
(21,17),0.223257 # DEPENDENCYPART_ARC
(21,18),-0.81117 # DEPENDENCYPART_ARC
(21,19),-0.450563 # DEPENDENCYPART_ARC
(21,20),2.86529 # DEPENDENCYPART_ARC
(21,22),1.61291 # DEPENDENCYPART_ARC
(21,23),1.16135 # DEPENDENCYPART_ARC
(21,24),0.914652 # DEPENDENCYPART_ARC
(21,25),0.859029 # DEPENDENCYPART_ARC
(21,26),-0.808173 # DEPENDENCYPART_ARC
(22,1),-2.4457 # DEPENDENCYPART_ARC
(22,2),-2.64647 # DEPENDENCYPART_ARC
(22,3),-2.3867 # DEPENDENCYPART_ARC
(22,4),-1.86916 # DEPENDENCYPART_ARC
(22,5),-2.35896 # DEPENDENCYPART_ARC
(22,6),-1.62721 # DEPENDENCYPART_ARC
(22,7),-1.48739 # DEPENDENCYPART_ARC
(22,8),-2.65008 # DEPENDENCYPART_ARC
(22,9),-1.76133 # DEPENDENCYPART_ARC
(22,10),-2.13427 # DEPENDENCYPART_ARC
(22,11),-2.07792 # DEPENDENCYPART_ARC
(22,12),-1.9175 # DEPENDENCYPART_ARC
(22,13),-2.38902 # DEPENDENCYPART_ARC
(22,14),-2.00889 # DEPENDENCYPART_ARC
(22,15),-1.17601 # DEPENDENCYPART_ARC
(22,16),-1.74119 # DEPENDENCYPART_ARC
(22,17),-1.14571 # DEPENDENCYPART_ARC
(22,18),-2.05993 # DEPENDENCYPART_ARC
(22,19),-1.6743 # DEPENDENCYPART_ARC
(22,20),-0.848022 # DEPENDENCYPART_ARC
(22,21),-0.275935 # DEPENDENCYPART_ARC
(22,23),3.80344 # DEPENDENCYPART_ARC
(22,24),0.798649 # DEPENDENCYPART_ARC
(22,25),0.481381 # DEPENDENCYPART_ARC
(22,26),-0.919417 # DEPENDENCYPART_ARC
(23,1),-3.39723 # DEPENDENCYPART_ARC
(23,2),-3.89292 # DEPENDENCYPART_ARC
(23,3),-3.47895 # DEPENDENCYPART_ARC
(23,4),-2.56385 # DEPENDENCYPART_ARC
(23,5),-4.07282 # DEPENDENCYPART_ARC
(23,6),-2.52817 # DEPENDENCYPART_ARC
(23,7),-2.55448 # DEPENDENCYPART_ARC
(23,8),-3.64445 # DEPENDENCYPART_ARC
(23,9),-1.2144 # DEPENDENCYPART_ARC
(23,10),-3.64808 # DEPENDENCYPART_ARC
(23,11),-3.16525 # DEPENDENCYPART_ARC
(23,12),-2.40836 # DEPENDENCYPART_ARC
(23,13),-3.33825 # DEPENDENCYPART_ARC
(23,14),-3.29144 # DEPENDENCYPART_ARC
(23,15),-1.95197 # DEPENDENCYPART_ARC
(23,16),-3.09636 # DEPENDENCYPART_ARC
(23,17),-1.38789 # DEPENDENCYPART_ARC
(23,18),-2.22361 # DEPENDENCYPART_ARC
(23,19),-2.50313 # DEPENDENCYPART_ARC
(23,20),-0.325547 # DEPENDENCYPART_ARC
(23,21),-0.508339 # DEPENDENCYPART_ARC
(23,22),0.713068 # DEPENDENCYPART_ARC
(23,24),2.42261 # DEPENDENCYPART_ARC
(23,25),2.6675 # DEPENDENCYPART_ARC
(23,26),0.254474 # DEPENDENCYPART_ARC
(24,1),-3.5729 # DEPENDENCYPART_ARC
(24,2),-3.08961 # DEPENDENCYPART_ARC
(24,3),-2.79705 # DEPENDENCYPART_ARC
(24,4),-2.37989 # DEPENDENCYPART_ARC
(24,5),-3.29461 # DEPENDENCYPART_ARC
(24,6),-1.93902 # DEPENDENCYPART_ARC
(24,7),-2.16055 # DEPENDENCYPART_ARC
(24,8),-3.00394 # DEPENDENCYPART_ARC
(24,9),-2.26762 # DEPENDENCYPART_ARC
(24,10),-3.23051 # DEPENDENCYPART_ARC
(24,11),-2.25632 # DEPENDENCYPART_ARC
(24,12),-1.70855 # DEPENDENCYPART_ARC
(24,13),-2.883 # DEPENDENCYPART_ARC
(24,14),-2.17452 # DEPENDENCYPART_ARC
(24,15),-1.73124 # DEPENDENCYPART_ARC
(24,16),-2.17858 # DEPENDENCYPART_ARC
(24,17),-1.87238 # DEPENDENCYPART_ARC
(24,18),-2.65285 # DEPENDENCYPART_ARC
(24,19),-2.52248 # DEPENDENCYPART_ARC
(24,20),-1.60418 # DEPENDENCYPART_ARC
(24,21),-1.84839 # DEPENDENCYPART_ARC
(24,22),-1.02878 # DEPENDENCYPART_ARC
(24,23),-0.681524 # DEPENDENCYPART_ARC
(24,25),0.278574 # DEPENDENCYPART_ARC
(24,26),-0.656947 # DEPENDENCYPART_ARC
(25,1),-2.93059 # DEPENDENCYPART_ARC
(25,2),-4.73519 # DEPENDENCYPART_ARC
(25,3),-3.95818 # DEPENDENCYPART_ARC
(25,4),-3.01548 # DEPENDENCYPART_ARC
(25,5),-4.20629 # DEPENDENCYPART_ARC
(25,6),-2.72336 # DEPENDENCYPART_ARC
(25,7),-2.80031 # DEPENDENCYPART_ARC
(25,8),-4.26544 # DEPENDENCYPART_ARC
(25,9),-2.07567 # DEPENDENCYPART_ARC
(25,10),-4.52284 # DEPENDENCYPART_ARC
(25,11),-3.50074 # DEPENDENCYPART_ARC
(25,12),-2.60257 # DEPENDENCYPART_ARC
(25,13),-3.95013 # DEPENDENCYPART_ARC
(25,14),-3.64336 # DEPENDENCYPART_ARC
(25,15),-2.30719 # DEPENDENCYPART_ARC
(25,16),-3.42179 # DEPENDENCYPART_ARC
(25,17),-1.70767 # DEPENDENCYPART_ARC
(25,18),-2.7661 # DEPENDENCYPART_ARC
(25,19),-3.17654 # DEPENDENCYPART_ARC
(25,20),-0.99263 # DEPENDENCYPART_ARC
(25,21),-1.59481 # DEPENDENCYPART_ARC
(25,22),-0.823086 # DEPENDENCYPART_ARC
(25,23),-0.266909 # DEPENDENCYPART_ARC
(25,24),0.034761 # DEPENDENCYPART_ARC
(25,26),2.49914 # DEPENDENCYPART_ARC
(26,1),-2.95638 # DEPENDENCYPART_ARC
(26,2),-3.16873 # DEPENDENCYPART_ARC
(26,3),-2.88408 # DEPENDENCYPART_ARC
(26,4),-2.48 # DEPENDENCYPART_ARC
(26,5),-2.9761 # DEPENDENCYPART_ARC
(26,6),-2.34902 # DEPENDENCYPART_ARC
(26,7),-2.57658 # DEPENDENCYPART_ARC
(26,8),-3.12175 # DEPENDENCYPART_ARC
(26,9),-2.41731 # DEPENDENCYPART_ARC
(26,10),-2.91286 # DEPENDENCYPART_ARC
(26,11),-2.51038 # DEPENDENCYPART_ARC
(26,12),-2.56445 # DEPENDENCYPART_ARC
(26,13),-2.95431 # DEPENDENCYPART_ARC
(26,14),-2.35206 # DEPENDENCYPART_ARC
(26,15),-2.2433 # DEPENDENCYPART_ARC
(26,16),-2.34205 # DEPENDENCYPART_ARC
(26,17),-2.04671 # DEPENDENCYPART_ARC
(26,18),-2.90814 # DEPENDENCYPART_ARC
(26,19),-2.76264 # DEPENDENCYPART_ARC
(26,20),-2.11447 # DEPENDENCYPART_ARC
(26,21),-2.28842 # DEPENDENCYPART_ARC
(26,22),-1.59418 # DEPENDENCYPART_ARC
(26,23),-1.8373 # DEPENDENCYPART_ARC
(26,24),-1.28764 # DEPENDENCYPART_ARC
(26,25),-0.808258 # DEPENDENCYPART_ARC
