# _root_ Qui , da ogni angolo della Terra , arrivano 300 mila pazienti all' anno " serviti " da 800 medici e da 14 mila impiegati .
#goldHeads=9,1,9,5,3,5,6,7,0,12,10,9,9,13,16,12,16,16,20,18,18,18,25,23,22,25,
#predictedHeads=16,1,9,5,3,5,6,7,0,12,10,9,12,13,16,12,16,16,20,18,18,16,25,23,22,25,
(23,25),0.765844 # DEPENDENCYPART_ARC
(23,26),0.23126 # DEPENDENCYPART_ARC
(24,1),-1.23461 # DEPENDENCYPART_ARC
(24,2),-1.46583 # DEPENDENCYPART_ARC
(24,3),-1.77369 # DEPENDENCYPART_ARC
(24,4),-1.10167 # DEPENDENCYPART_ARC
(24,5),-1.78568 # DEPENDENCYPART_ARC
(24,6),-1.59768 # DEPENDENCYPART_ARC
(24,7),-1.84151 # DEPENDENCYPART_ARC
(24,8),-1.35238 # DEPENDENCYPART_ARC
(24,9),-2.02304 # DEPENDENCYPART_ARC
(24,10),-1.56619 # DEPENDENCYPART_ARC
(24,11),-1.33492 # DEPENDENCYPART_ARC
(24,12),-1.69139 # DEPENDENCYPART_ARC
(24,13),-1.4128 # DEPENDENCYPART_ARC
(24,14),-1.66846 # DEPENDENCYPART_ARC
(24,15),-0.976395 # DEPENDENCYPART_ARC
(24,16),-1.73638 # DEPENDENCYPART_ARC
(24,17),-0.743782 # DEPENDENCYPART_ARC
(24,18),-0.7843 # DEPENDENCYPART_ARC
(24,19),-0.53616 # DEPENDENCYPART_ARC
(24,20),-1.03624 # DEPENDENCYPART_ARC
(24,21),-0.250452 # DEPENDENCYPART_ARC
(24,22),0.23143 # DEPENDENCYPART_ARC
(24,23),1.20236 # DEPENDENCYPART_ARC
(24,25),0.589338 # DEPENDENCYPART_ARC
(24,26),-0.0209376 # DEPENDENCYPART_ARC
(25,1),-1.60894 # DEPENDENCYPART_ARC
(25,2),-3.11915 # DEPENDENCYPART_ARC
(25,3),-2.64989 # DEPENDENCYPART_ARC
(25,4),-0.74186 # DEPENDENCYPART_ARC
(25,5),-2.17734 # DEPENDENCYPART_ARC
(25,6),-2.39364 # DEPENDENCYPART_ARC
(25,7),-2.6688 # DEPENDENCYPART_ARC
(25,8),-2.77881 # DEPENDENCYPART_ARC
(25,9),-2.43167 # DEPENDENCYPART_ARC
(25,10),-0.529935 # DEPENDENCYPART_ARC
(25,11),-1.4874 # DEPENDENCYPART_ARC
(25,12),-0.916013 # DEPENDENCYPART_ARC
(25,13),-1.64639 # DEPENDENCYPART_ARC
(25,14),-1.69097 # DEPENDENCYPART_ARC
(25,15),-1.32491 # DEPENDENCYPART_ARC
(25,16),0.00422213 # DEPENDENCYPART_ARC
(25,17),-1.17487 # DEPENDENCYPART_ARC
(25,18),-0.666112 # DEPENDENCYPART_ARC
(25,19),0.360435 # DEPENDENCYPART_ARC
(25,20),0.24851 # DEPENDENCYPART_ARC
(25,21),-0.73744 # DEPENDENCYPART_ARC
(25,22),0.199422 # DEPENDENCYPART_ARC
(25,23),1.85415 # DEPENDENCYPART_ARC
(25,24),1.49417 # DEPENDENCYPART_ARC
(25,26),2.84705 # DEPENDENCYPART_ARC
(26,2),-2.03996 # DEPENDENCYPART_ARC
(26,8),-1.97221 # DEPENDENCYPART_ARC
(26,15),-2.14371 # DEPENDENCYPART_ARC
(26,17),-1.93257 # DEPENDENCYPART_ARC
