# _root_ Ma dopo un violento alterco , De Stasio ha estratto una pistola e sparato contro il fidanzato della figlia , allontanando- si poi con la moglie .
#goldHeads=10,10,5,5,2,5,10,7,10,0,12,10,10,10,14,17,15,17,18,19,14,21,21,21,26,24,26,
#predictedHeads=10,10,5,5,2,5,10,7,10,0,12,10,10,10,14,17,15,17,18,19,10,21,21,21,26,24,26,
(19,13),-2.04148 # DEPENDENCYPART_ARC
(19,14),-1.91556 # DEPENDENCYPART_ARC
(19,15),-0.982939 # DEPENDENCYPART_ARC
(19,16),-0.349956 # DEPENDENCYPART_ARC
(19,17),-1.89918 # DEPENDENCYPART_ARC
(19,18),0.601178 # DEPENDENCYPART_ARC
(19,20),2.57899 # DEPENDENCYPART_ARC
(19,21),-0.216757 # DEPENDENCYPART_ARC
(19,22),-1.33535 # DEPENDENCYPART_ARC
(19,23),-0.466791 # DEPENDENCYPART_ARC
(19,24),-0.283961 # DEPENDENCYPART_ARC
(19,25),-0.336372 # DEPENDENCYPART_ARC
(19,26),-0.48451 # DEPENDENCYPART_ARC
(19,27),-0.0412334 # DEPENDENCYPART_ARC
(20,1),-2.46769 # DEPENDENCYPART_ARC
(20,2),-2.49207 # DEPENDENCYPART_ARC
(20,3),-2.60008 # DEPENDENCYPART_ARC
(20,4),-2.93144 # DEPENDENCYPART_ARC
(20,5),-3.08121 # DEPENDENCYPART_ARC
(20,6),-2.70596 # DEPENDENCYPART_ARC
(20,7),-2.89881 # DEPENDENCYPART_ARC
(20,8),-2.91041 # DEPENDENCYPART_ARC
(20,9),-3.17476 # DEPENDENCYPART_ARC
(20,10),-3.14107 # DEPENDENCYPART_ARC
(20,11),-2.18393 # DEPENDENCYPART_ARC
(20,12),-2.7814 # DEPENDENCYPART_ARC
(20,13),-2.21798 # DEPENDENCYPART_ARC
(20,14),-2.90118 # DEPENDENCYPART_ARC
(20,15),-1.86631 # DEPENDENCYPART_ARC
(20,16),-1.74838 # DEPENDENCYPART_ARC
(20,17),-2.0186 # DEPENDENCYPART_ARC
(20,18),-1.25502 # DEPENDENCYPART_ARC
(20,19),-0.974368 # DEPENDENCYPART_ARC
(20,21),-0.893987 # DEPENDENCYPART_ARC
(20,22),-1.97197 # DEPENDENCYPART_ARC
(20,23),-2.35245 # DEPENDENCYPART_ARC
(20,24),-2.42755 # DEPENDENCYPART_ARC
(20,25),-2.42384 # DEPENDENCYPART_ARC
(20,26),-2.60432 # DEPENDENCYPART_ARC
(20,27),-1.45818 # DEPENDENCYPART_ARC
(21,1),-1.31586 # DEPENDENCYPART_ARC
(21,2),-0.387333 # DEPENDENCYPART_ARC
(21,3),-1.83444 # DEPENDENCYPART_ARC
(21,4),-1.64616 # DEPENDENCYPART_ARC
(21,5),-1.96974 # DEPENDENCYPART_ARC
(21,6),-3.21173 # DEPENDENCYPART_ARC
(21,7),-0.815019 # DEPENDENCYPART_ARC
(21,8),-1.4747 # DEPENDENCYPART_ARC
(21,9),-1.03305 # DEPENDENCYPART_ARC
(21,10),-3.27088 # DEPENDENCYPART_ARC
(21,11),-1.3852 # DEPENDENCYPART_ARC
(21,12),-0.838773 # DEPENDENCYPART_ARC
(21,13),-0.728099 # DEPENDENCYPART_ARC
(21,14),-1.52286 # DEPENDENCYPART_ARC
(21,15),-0.797982 # DEPENDENCYPART_ARC
(21,16),-0.867637 # DEPENDENCYPART_ARC
(21,17),-0.389517 # DEPENDENCYPART_ARC
(21,18),-0.830856 # DEPENDENCYPART_ARC
(21,19),-0.770891 # DEPENDENCYPART_ARC
(21,20),-0.375129 # DEPENDENCYPART_ARC
(21,22),3.30723 # DEPENDENCYPART_ARC
(21,23),1.75144 # DEPENDENCYPART_ARC
(21,24),2.00378 # DEPENDENCYPART_ARC
(21,25),-0.421607 # DEPENDENCYPART_ARC
(21,26),1.62967 # DEPENDENCYPART_ARC
(21,27),-0.222533 # DEPENDENCYPART_ARC
(22,1),-2.15256 # DEPENDENCYPART_ARC
(22,2),-2.01019 # DEPENDENCYPART_ARC
(22,3),-2.09276 # DEPENDENCYPART_ARC
(22,4),-3.08013 # DEPENDENCYPART_ARC
(22,5),-3.06604 # DEPENDENCYPART_ARC
(22,6),-2.26012 # DEPENDENCYPART_ARC
(22,7),-2.27437 # DEPENDENCYPART_ARC
(22,8),-2.31666 # DEPENDENCYPART_ARC
(22,9),-3.32996 # DEPENDENCYPART_ARC
(22,10),-3.3536 # DEPENDENCYPART_ARC
(22,11),-1.00062 # DEPENDENCYPART_ARC
(22,12),-2.51643 # DEPENDENCYPART_ARC
(22,13),-1.60655 # DEPENDENCYPART_ARC
(22,14),-3.31342 # DEPENDENCYPART_ARC
(22,15),-1.52791 # DEPENDENCYPART_ARC
(22,16),-1.70273 # DEPENDENCYPART_ARC
(22,17),-2.6025 # DEPENDENCYPART_ARC
(22,18),-1.3361 # DEPENDENCYPART_ARC
(22,19),-1.8406 # DEPENDENCYPART_ARC
(22,20),-0.898379 # DEPENDENCYPART_ARC
(22,21),-0.366497 # DEPENDENCYPART_ARC
(22,23),0.0233818 # DEPENDENCYPART_ARC
(22,24),-0.659655 # DEPENDENCYPART_ARC
(22,25),-1.52456 # DEPENDENCYPART_ARC
(22,26),-0.826667 # DEPENDENCYPART_ARC
(22,27),-0.445791 # DEPENDENCYPART_ARC
(23,1),-1.25795 # DEPENDENCYPART_ARC
(23,2),-1.39962 # DEPENDENCYPART_ARC
(23,3),-1.08095 # DEPENDENCYPART_ARC
(23,4),-1.55853 # DEPENDENCYPART_ARC
(23,5),-2.18589 # DEPENDENCYPART_ARC
(23,6),-1.68529 # DEPENDENCYPART_ARC
(23,7),-2.11601 # DEPENDENCYPART_ARC
(23,8),-2.07967 # DEPENDENCYPART_ARC
(23,9),-2.2054 # DEPENDENCYPART_ARC
(23,10),-1.97841 # DEPENDENCYPART_ARC
(23,11),-0.986464 # DEPENDENCYPART_ARC
(23,12),-1.96746 # DEPENDENCYPART_ARC
(23,13),-1.10794 # DEPENDENCYPART_ARC
(23,14),-1.95769 # DEPENDENCYPART_ARC
(23,15),-0.796019 # DEPENDENCYPART_ARC
(23,16),-0.749227 # DEPENDENCYPART_ARC
(23,17),-1.68216 # DEPENDENCYPART_ARC
(23,18),-0.466931 # DEPENDENCYPART_ARC
(23,19),-1.36986 # DEPENDENCYPART_ARC
(23,20),-0.751224 # DEPENDENCYPART_ARC
(23,21),-0.582612 # DEPENDENCYPART_ARC
(23,22),0.656738 # DEPENDENCYPART_ARC
(23,24),0.192407 # DEPENDENCYPART_ARC
(23,25),-0.251757 # DEPENDENCYPART_ARC
(23,26),-0.141008 # DEPENDENCYPART_ARC
(23,27),-0.354628 # DEPENDENCYPART_ARC
(24,1),-2.09208 # DEPENDENCYPART_ARC
(24,2),-2.25317 # DEPENDENCYPART_ARC
(24,3),-2.10501 # DEPENDENCYPART_ARC
(24,4),-2.37186 # DEPENDENCYPART_ARC
(24,5),-2.27248 # DEPENDENCYPART_ARC
(24,6),-2.22163 # DEPENDENCYPART_ARC
(24,7),-2.29192 # DEPENDENCYPART_ARC
(24,8),-2.28181 # DEPENDENCYPART_ARC
(24,9),-2.58887 # DEPENDENCYPART_ARC
(24,10),-2.54675 # DEPENDENCYPART_ARC
(24,11),-1.85273 # DEPENDENCYPART_ARC
(24,12),-2.10666 # DEPENDENCYPART_ARC
(24,13),-1.5644 # DEPENDENCYPART_ARC
(24,14),-2.42265 # DEPENDENCYPART_ARC
(24,15),-1.57651 # DEPENDENCYPART_ARC
(24,16),-1.7335 # DEPENDENCYPART_ARC
(24,17),-1.88544 # DEPENDENCYPART_ARC
(24,18),-1.4144 # DEPENDENCYPART_ARC
(24,19),-1.67141 # DEPENDENCYPART_ARC
(24,20),-1.60703 # DEPENDENCYPART_ARC
(24,21),-1.61961 # DEPENDENCYPART_ARC
(24,22),-0.710452 # DEPENDENCYPART_ARC
(24,23),0.709353 # DEPENDENCYPART_ARC
(24,25),0.910369 # DEPENDENCYPART_ARC
(24,26),3.45566 # DEPENDENCYPART_ARC
(24,27),0.167802 # DEPENDENCYPART_ARC
(25,1),-3.04616 # DEPENDENCYPART_ARC
(25,2),-3.3262 # DEPENDENCYPART_ARC
(25,3),-2.92944 # DEPENDENCYPART_ARC
(25,4),-3.22249 # DEPENDENCYPART_ARC
(25,5),-3.39234 # DEPENDENCYPART_ARC
(25,6),-2.74756 # DEPENDENCYPART_ARC
(25,7),-3.50317 # DEPENDENCYPART_ARC
(25,8),-3.49502 # DEPENDENCYPART_ARC
(25,9),-3.62758 # DEPENDENCYPART_ARC
(25,10),-4.08007 # DEPENDENCYPART_ARC
(25,11),-2.57039 # DEPENDENCYPART_ARC
(25,12),-3.03482 # DEPENDENCYPART_ARC
(25,13),-2.71225 # DEPENDENCYPART_ARC
(25,14),-4.03033 # DEPENDENCYPART_ARC
(25,15),-2.6724 # DEPENDENCYPART_ARC
(25,16),-2.59154 # DEPENDENCYPART_ARC
(25,17),-3.11281 # DEPENDENCYPART_ARC
(25,18),-2.78944 # DEPENDENCYPART_ARC
(25,19),-2.86059 # DEPENDENCYPART_ARC
(25,20),-2.34562 # DEPENDENCYPART_ARC
(25,21),-2.85587 # DEPENDENCYPART_ARC
(25,22),-1.66584 # DEPENDENCYPART_ARC
(25,23),-1.64794 # DEPENDENCYPART_ARC
(25,24),-0.592685 # DEPENDENCYPART_ARC
(25,26),1.43763 # DEPENDENCYPART_ARC
(25,27),0.00913302 # DEPENDENCYPART_ARC
(26,1),-3.35361 # DEPENDENCYPART_ARC
(26,2),-2.90874 # DEPENDENCYPART_ARC
(26,3),-4.54102 # DEPENDENCYPART_ARC
(26,4),-2.4718 # DEPENDENCYPART_ARC
(26,5),-4.10207 # DEPENDENCYPART_ARC
(26,6),-3.22236 # DEPENDENCYPART_ARC
(26,7),-2.80379 # DEPENDENCYPART_ARC
(26,8),-3.10564 # DEPENDENCYPART_ARC
(26,9),-2.08241 # DEPENDENCYPART_ARC
(26,10),-1.99834 # DEPENDENCYPART_ARC
(26,11),-2.2665 # DEPENDENCYPART_ARC
(26,12),-3.05663 # DEPENDENCYPART_ARC
(26,13),-1.56934 # DEPENDENCYPART_ARC
(26,14),-1.43999 # DEPENDENCYPART_ARC
(26,15),-1.3189 # DEPENDENCYPART_ARC
(26,16),-1.97068 # DEPENDENCYPART_ARC
(26,17),-2.90382 # DEPENDENCYPART_ARC
(26,18),-0.892908 # DEPENDENCYPART_ARC
(26,19),-2.26583 # DEPENDENCYPART_ARC
(26,20),-2.50682 # DEPENDENCYPART_ARC
(26,21),-1.33741 # DEPENDENCYPART_ARC
(26,22),0.177081 # DEPENDENCYPART_ARC
(26,23),0.276627 # DEPENDENCYPART_ARC
(26,24),0.399298 # DEPENDENCYPART_ARC
(26,25),3.18186 # DEPENDENCYPART_ARC
(26,27),2.72163 # DEPENDENCYPART_ARC
(27,1),-2.47443 # DEPENDENCYPART_ARC
(27,2),-2.52093 # DEPENDENCYPART_ARC
(27,3),-2.52241 # DEPENDENCYPART_ARC
(27,4),-2.8991 # DEPENDENCYPART_ARC
(27,5),-3.06719 # DEPENDENCYPART_ARC
(27,6),-2.61185 # DEPENDENCYPART_ARC
(27,7),-2.89046 # DEPENDENCYPART_ARC
(27,8),-2.81828 # DEPENDENCYPART_ARC
(27,9),-3.12869 # DEPENDENCYPART_ARC
(27,10),-3.05412 # DEPENDENCYPART_ARC
(27,11),-2.22123 # DEPENDENCYPART_ARC
(27,12),-2.8192 # DEPENDENCYPART_ARC
(27,13),-2.30065 # DEPENDENCYPART_ARC
(27,14),-2.94336 # DEPENDENCYPART_ARC
(27,15),-2.18514 # DEPENDENCYPART_ARC
(27,16),-2.23352 # DEPENDENCYPART_ARC
(27,17),-2.68589 # DEPENDENCYPART_ARC
(27,18),-2.07582 # DEPENDENCYPART_ARC
(27,19),-2.67275 # DEPENDENCYPART_ARC
(27,20),-2.19609 # DEPENDENCYPART_ARC
(27,21),-2.74686 # DEPENDENCYPART_ARC
(27,22),-2.0086 # DEPENDENCYPART_ARC
(27,23),-1.91883 # DEPENDENCYPART_ARC
(27,24),-1.26991 # DEPENDENCYPART_ARC
(27,25),-0.863344 # DEPENDENCYPART_ARC
(27,26),-0.866073 # DEPENDENCYPART_ARC
