# _root_ Se il fulmine li avesse colpiti qualche minuto prima , quando erano ancora in vetta e ancora legati tra loro , forse si sarebbero salvati riportando magari soltanto delle ustioni .
#goldHeads=25,3,6,6,6,1,8,6,8,9,6,11,14,12,14,14,18,14,18,19,20,25,25,25,0,25,26,29,26,29,30,
#predictedHeads=6,3,6,6,6,0,8,6,8,9,6,11,12,12,14,14,18,6,18,19,20,25,24,25,6,25,26,26,26,29,30,
(18,24),-0.512294 # DEPENDENCYPART_ARC
(18,25),0.0498279 # DEPENDENCYPART_ARC
(18,26),0.488206 # DEPENDENCYPART_ARC
(18,27),-1.19648 # DEPENDENCYPART_ARC
(18,28),-1.29288 # DEPENDENCYPART_ARC
(18,29),-1.02252 # DEPENDENCYPART_ARC
(18,30),-2.16648 # DEPENDENCYPART_ARC
(18,31),-1.47568 # DEPENDENCYPART_ARC
(19,1),-2.11387 # DEPENDENCYPART_ARC
(19,2),-2.34049 # DEPENDENCYPART_ARC
(19,3),-2.74436 # DEPENDENCYPART_ARC
(19,4),-2.52894 # DEPENDENCYPART_ARC
(19,5),-3.09274 # DEPENDENCYPART_ARC
(19,6),-2.92997 # DEPENDENCYPART_ARC
(19,7),-2.07622 # DEPENDENCYPART_ARC
(19,8),-2.53842 # DEPENDENCYPART_ARC
(19,9),-1.8376 # DEPENDENCYPART_ARC
(19,10),-2.14581 # DEPENDENCYPART_ARC
(19,11),-1.73987 # DEPENDENCYPART_ARC
(19,12),-2.78512 # DEPENDENCYPART_ARC
(19,13),-1.79182 # DEPENDENCYPART_ARC
(19,14),-1.59571 # DEPENDENCYPART_ARC
(19,15),-2.01285 # DEPENDENCYPART_ARC
(19,16),-0.999381 # DEPENDENCYPART_ARC
(19,17),-0.737986 # DEPENDENCYPART_ARC
(19,18),-0.580229 # DEPENDENCYPART_ARC
(19,20),2.88971 # DEPENDENCYPART_ARC
(19,21),0.322022 # DEPENDENCYPART_ARC
(19,22),-0.498474 # DEPENDENCYPART_ARC
(19,23),0.318217 # DEPENDENCYPART_ARC
(19,24),-0.971025 # DEPENDENCYPART_ARC
(19,25),-1.06675 # DEPENDENCYPART_ARC
(19,26),-1.62872 # DEPENDENCYPART_ARC
(19,27),-1.47592 # DEPENDENCYPART_ARC
(19,28),-1.46218 # DEPENDENCYPART_ARC
(19,29),-1.18584 # DEPENDENCYPART_ARC
(19,30),-2.09557 # DEPENDENCYPART_ARC
(19,31),-1.15147 # DEPENDENCYPART_ARC
(20,1),-1.87981 # DEPENDENCYPART_ARC
(20,3),-2.97214 # DEPENDENCYPART_ARC
(20,4),-2.89597 # DEPENDENCYPART_ARC
(20,5),-4.24899 # DEPENDENCYPART_ARC
(20,6),-3.68759 # DEPENDENCYPART_ARC
(20,8),-2.77135 # DEPENDENCYPART_ARC
(20,9),-1.95896 # DEPENDENCYPART_ARC
(20,10),-1.93236 # DEPENDENCYPART_ARC
(20,11),-1.55906 # DEPENDENCYPART_ARC
(20,12),-4.00174 # DEPENDENCYPART_ARC
(20,13),-1.57 # DEPENDENCYPART_ARC
(20,14),-1.52222 # DEPENDENCYPART_ARC
(20,15),-2.68983 # DEPENDENCYPART_ARC
(20,16),-1.40249 # DEPENDENCYPART_ARC
(20,17),-0.82629 # DEPENDENCYPART_ARC
(20,18),-2.12053 # DEPENDENCYPART_ARC
(20,19),0.294962 # DEPENDENCYPART_ARC
(20,21),1.9121 # DEPENDENCYPART_ARC
(20,22),-0.256364 # DEPENDENCYPART_ARC
(20,23),-0.917943 # DEPENDENCYPART_ARC
(20,24),-0.140951 # DEPENDENCYPART_ARC
(20,25),0.0714043 # DEPENDENCYPART_ARC
(20,26),-0.741268 # DEPENDENCYPART_ARC
(20,27),-1.35304 # DEPENDENCYPART_ARC
(20,28),-1.38301 # DEPENDENCYPART_ARC
(20,29),-1.52357 # DEPENDENCYPART_ARC
(20,30),-0.79882 # DEPENDENCYPART_ARC
(20,31),-1.07162 # DEPENDENCYPART_ARC
(21,2),-1.61107 # DEPENDENCYPART_ARC
(21,10),-1.78968 # DEPENDENCYPART_ARC
(21,31),-0.988083 # DEPENDENCYPART_ARC
(22,1),-2.38917 # DEPENDENCYPART_ARC
(22,2),-2.13036 # DEPENDENCYPART_ARC
(22,3),-3.06297 # DEPENDENCYPART_ARC
(22,4),-2.54039 # DEPENDENCYPART_ARC
(22,5),-3.28033 # DEPENDENCYPART_ARC
(22,6),-3.26672 # DEPENDENCYPART_ARC
(22,7),-2.27219 # DEPENDENCYPART_ARC
(22,8),-3.05073 # DEPENDENCYPART_ARC
(22,9),-2.19414 # DEPENDENCYPART_ARC
(22,10),-2.22988 # DEPENDENCYPART_ARC
(22,11),-2.06321 # DEPENDENCYPART_ARC
(22,12),-3.16047 # DEPENDENCYPART_ARC
(22,13),-1.76163 # DEPENDENCYPART_ARC
(22,14),-1.86586 # DEPENDENCYPART_ARC
(22,15),-2.68492 # DEPENDENCYPART_ARC
(22,16),-2.07396 # DEPENDENCYPART_ARC
(22,17),-1.44717 # DEPENDENCYPART_ARC
(22,18),-2.62846 # DEPENDENCYPART_ARC
(22,19),-0.894853 # DEPENDENCYPART_ARC
(22,20),-1.19218 # DEPENDENCYPART_ARC
(22,21),0.0970146 # DEPENDENCYPART_ARC
(22,23),-0.100415 # DEPENDENCYPART_ARC
(22,24),-0.217288 # DEPENDENCYPART_ARC
(22,25),-0.26475 # DEPENDENCYPART_ARC
(22,26),-0.704882 # DEPENDENCYPART_ARC
(22,27),-1.29163 # DEPENDENCYPART_ARC
(22,28),-1.58566 # DEPENDENCYPART_ARC
(22,29),-1.54576 # DEPENDENCYPART_ARC
(22,30),-1.86833 # DEPENDENCYPART_ARC
(22,31),-1.46246 # DEPENDENCYPART_ARC
(23,1),-2.76272 # DEPENDENCYPART_ARC
(23,3),-3.83894 # DEPENDENCYPART_ARC
(23,4),-3.19582 # DEPENDENCYPART_ARC
(23,5),-4.2427 # DEPENDENCYPART_ARC
(23,6),-4.14996 # DEPENDENCYPART_ARC
(23,8),-3.71903 # DEPENDENCYPART_ARC
(23,9),-2.76458 # DEPENDENCYPART_ARC
(23,10),-2.52541 # DEPENDENCYPART_ARC
(23,11),-2.22588 # DEPENDENCYPART_ARC
(23,12),-4.2835 # DEPENDENCYPART_ARC
(23,13),-2.43958 # DEPENDENCYPART_ARC
(23,14),-2.18724 # DEPENDENCYPART_ARC
(23,15),-3.61894 # DEPENDENCYPART_ARC
(23,16),-2.21258 # DEPENDENCYPART_ARC
(23,17),-2.22062 # DEPENDENCYPART_ARC
(23,18),-3.70749 # DEPENDENCYPART_ARC
(23,19),-1.66068 # DEPENDENCYPART_ARC
(23,20),-1.57036 # DEPENDENCYPART_ARC
(23,21),-1.22364 # DEPENDENCYPART_ARC
(23,22),-0.299309 # DEPENDENCYPART_ARC
(23,24),-1.39682 # DEPENDENCYPART_ARC
(23,25),-2.41161 # DEPENDENCYPART_ARC
(23,26),-1.73393 # DEPENDENCYPART_ARC
(23,27),-2.40857 # DEPENDENCYPART_ARC
(23,28),-2.49392 # DEPENDENCYPART_ARC
(23,29),-3.46889 # DEPENDENCYPART_ARC
(23,30),-2.50404 # DEPENDENCYPART_ARC
(23,31),-2.08649 # DEPENDENCYPART_ARC
(24,1),0.614083 # DEPENDENCYPART_ARC
(24,2),-2.74984 # DEPENDENCYPART_ARC
(24,3),-2.6256 # DEPENDENCYPART_ARC
(24,4),-1.81805 # DEPENDENCYPART_ARC
(24,5),-1.57942 # DEPENDENCYPART_ARC
(24,6),-2.32146 # DEPENDENCYPART_ARC
(24,7),-2.08293 # DEPENDENCYPART_ARC
(24,8),-2.62534 # DEPENDENCYPART_ARC
(24,9),-1.78248 # DEPENDENCYPART_ARC
(24,10),-2.81063 # DEPENDENCYPART_ARC
(24,11),0.320643 # DEPENDENCYPART_ARC
(24,12),-1.30339 # DEPENDENCYPART_ARC
(24,13),-1.81539 # DEPENDENCYPART_ARC
(24,14),-1.0278 # DEPENDENCYPART_ARC
(24,15),-1.83374 # DEPENDENCYPART_ARC
(24,16),-0.61214 # DEPENDENCYPART_ARC
(24,17),-1.04241 # DEPENDENCYPART_ARC
(24,18),-0.549592 # DEPENDENCYPART_ARC
(24,19),0.230217 # DEPENDENCYPART_ARC
(24,20),-0.937391 # DEPENDENCYPART_ARC
(24,21),-1.36446 # DEPENDENCYPART_ARC
(24,22),0.871031 # DEPENDENCYPART_ARC
(24,23),2.33909 # DEPENDENCYPART_ARC
(24,25),0.640626 # DEPENDENCYPART_ARC
(24,26),0.755313 # DEPENDENCYPART_ARC
(24,27),-0.849874 # DEPENDENCYPART_ARC
(24,28),-0.799237 # DEPENDENCYPART_ARC
(24,29),-0.952264 # DEPENDENCYPART_ARC
(24,30),-0.546367 # DEPENDENCYPART_ARC
(24,31),-0.96564 # DEPENDENCYPART_ARC
(25,1),-0.0493039 # DEPENDENCYPART_ARC
(25,2),-2.09227 # DEPENDENCYPART_ARC
(25,3),-2.70181 # DEPENDENCYPART_ARC
(25,4),-1.15665 # DEPENDENCYPART_ARC
(25,5),-1.31498 # DEPENDENCYPART_ARC
(25,6),-1.18368 # DEPENDENCYPART_ARC
(25,7),-2.44222 # DEPENDENCYPART_ARC
(25,8),-2.5241 # DEPENDENCYPART_ARC
(25,9),-1.89539 # DEPENDENCYPART_ARC
(25,10),-2.78684 # DEPENDENCYPART_ARC
(25,11),-0.100026 # DEPENDENCYPART_ARC
(25,12),-0.303602 # DEPENDENCYPART_ARC
(25,13),-1.69696 # DEPENDENCYPART_ARC
(25,14),-0.907525 # DEPENDENCYPART_ARC
(25,15),-2.71472 # DEPENDENCYPART_ARC
(25,16),-1.04117 # DEPENDENCYPART_ARC
(25,17),-0.826522 # DEPENDENCYPART_ARC
(25,18),-0.10648 # DEPENDENCYPART_ARC
(25,19),0.103752 # DEPENDENCYPART_ARC
(25,20),0.016961 # DEPENDENCYPART_ARC
(25,21),-1.7416 # DEPENDENCYPART_ARC
(25,22),0.922943 # DEPENDENCYPART_ARC
(25,23),2.04571 # DEPENDENCYPART_ARC
(25,24),4.50758 # DEPENDENCYPART_ARC
(25,26),2.36752 # DEPENDENCYPART_ARC
(25,27),-0.0255605 # DEPENDENCYPART_ARC
(25,28),-0.457441 # DEPENDENCYPART_ARC
(25,29),-0.0327535 # DEPENDENCYPART_ARC
(25,30),-0.701743 # DEPENDENCYPART_ARC
(25,31),-0.633256 # DEPENDENCYPART_ARC
(26,1),0.133897 # DEPENDENCYPART_ARC
(26,2),-2.0854 # DEPENDENCYPART_ARC
(26,3),-1.77579 # DEPENDENCYPART_ARC
(26,4),-1.68244 # DEPENDENCYPART_ARC
(26,5),-1.49283 # DEPENDENCYPART_ARC
(26,6),-3.25481 # DEPENDENCYPART_ARC
(26,7),-1.53932 # DEPENDENCYPART_ARC
(26,8),-1.71642 # DEPENDENCYPART_ARC
(26,9),-1.85756 # DEPENDENCYPART_ARC
(26,10),-3.15186 # DEPENDENCYPART_ARC
(26,11),-0.029317 # DEPENDENCYPART_ARC
(26,12),-0.509101 # DEPENDENCYPART_ARC
(26,13),-1.84034 # DEPENDENCYPART_ARC
(26,14),-0.812729 # DEPENDENCYPART_ARC
(26,15),-1.95945 # DEPENDENCYPART_ARC
(26,16),-1.38534 # DEPENDENCYPART_ARC
(26,17),-0.796527 # DEPENDENCYPART_ARC
(26,18),-2.10438 # DEPENDENCYPART_ARC
(26,19),0.12143 # DEPENDENCYPART_ARC
(26,20),-0.800451 # DEPENDENCYPART_ARC
(26,21),-2.15411 # DEPENDENCYPART_ARC
(26,22),0.634988 # DEPENDENCYPART_ARC
(26,23),0.2363 # DEPENDENCYPART_ARC
(26,24),1.72494 # DEPENDENCYPART_ARC
(26,25),1.72411 # DEPENDENCYPART_ARC
(26,27),1.87636 # DEPENDENCYPART_ARC
(26,28),1.30046 # DEPENDENCYPART_ARC
(26,29),1.36534 # DEPENDENCYPART_ARC
(26,30),1.5527 # DEPENDENCYPART_ARC
(26,31),0.017044 # DEPENDENCYPART_ARC
(27,1),-2.06631 # DEPENDENCYPART_ARC
(27,2),-1.8717 # DEPENDENCYPART_ARC
(27,3),-2.8594 # DEPENDENCYPART_ARC
(27,4),-2.33718 # DEPENDENCYPART_ARC
(27,5),-3.06346 # DEPENDENCYPART_ARC
(27,6),-3.00908 # DEPENDENCYPART_ARC
(27,7),-1.97648 # DEPENDENCYPART_ARC
(27,8),-2.67101 # DEPENDENCYPART_ARC
(27,9),-1.90641 # DEPENDENCYPART_ARC
(27,10),-2.15634 # DEPENDENCYPART_ARC
(27,11),-1.82767 # DEPENDENCYPART_ARC
(27,12),-3.03922 # DEPENDENCYPART_ARC
(27,13),-1.66345 # DEPENDENCYPART_ARC
(27,14),-1.61861 # DEPENDENCYPART_ARC
(27,15),-2.51058 # DEPENDENCYPART_ARC
(27,16),-2.03038 # DEPENDENCYPART_ARC
(27,17),-1.46316 # DEPENDENCYPART_ARC
(27,18),-2.77629 # DEPENDENCYPART_ARC
(27,19),-1.4519 # DEPENDENCYPART_ARC
(27,20),-1.88291 # DEPENDENCYPART_ARC
(27,21),-1.83355 # DEPENDENCYPART_ARC
(27,22),-1.41063 # DEPENDENCYPART_ARC
(27,23),-1.60037 # DEPENDENCYPART_ARC
(27,24),-1.98149 # DEPENDENCYPART_ARC
(27,25),-1.35598 # DEPENDENCYPART_ARC
(27,26),-0.504254 # DEPENDENCYPART_ARC
(27,28),0.432913 # DEPENDENCYPART_ARC
(27,29),-0.281919 # DEPENDENCYPART_ARC
(27,30),-0.355554 # DEPENDENCYPART_ARC
(27,31),-0.344492 # DEPENDENCYPART_ARC
(28,1),-1.7051 # DEPENDENCYPART_ARC
(28,2),-1.47671 # DEPENDENCYPART_ARC
(28,3),-2.54661 # DEPENDENCYPART_ARC
(28,4),-1.90195 # DEPENDENCYPART_ARC
(28,5),-2.67443 # DEPENDENCYPART_ARC
(28,6),-2.65596 # DEPENDENCYPART_ARC
(28,7),-1.66024 # DEPENDENCYPART_ARC
(28,8),-2.37857 # DEPENDENCYPART_ARC
(28,9),-1.37311 # DEPENDENCYPART_ARC
(28,10),-1.83774 # DEPENDENCYPART_ARC
(28,11),-1.33733 # DEPENDENCYPART_ARC
(28,12),-2.63033 # DEPENDENCYPART_ARC
(28,13),-1.0812 # DEPENDENCYPART_ARC
(28,14),-1.37936 # DEPENDENCYPART_ARC
(28,15),-2.14972 # DEPENDENCYPART_ARC
(28,16),-1.48107 # DEPENDENCYPART_ARC
(28,17),-1.08377 # DEPENDENCYPART_ARC
(28,18),-2.42856 # DEPENDENCYPART_ARC
(28,19),-1.07176 # DEPENDENCYPART_ARC
(28,20),-1.58983 # DEPENDENCYPART_ARC
(28,21),-1.58744 # DEPENDENCYPART_ARC
(28,22),-1.15302 # DEPENDENCYPART_ARC
(28,23),-1.36023 # DEPENDENCYPART_ARC
(28,24),-1.91786 # DEPENDENCYPART_ARC
(28,25),-1.61004 # DEPENDENCYPART_ARC
(28,26),-0.962283 # DEPENDENCYPART_ARC
(28,27),1.38035 # DEPENDENCYPART_ARC
(28,29),0.649081 # DEPENDENCYPART_ARC
(28,30),0.55433 # DEPENDENCYPART_ARC
(28,31),0.0736665 # DEPENDENCYPART_ARC
(29,1),-1.61581 # DEPENDENCYPART_ARC
(29,2),-2.21977 # DEPENDENCYPART_ARC
(29,3),-2.92352 # DEPENDENCYPART_ARC
(29,4),-2.33007 # DEPENDENCYPART_ARC
(29,5),-3.10932 # DEPENDENCYPART_ARC
(29,6),-3.01704 # DEPENDENCYPART_ARC
(29,7),-1.74981 # DEPENDENCYPART_ARC
(29,8),-2.81458 # DEPENDENCYPART_ARC
(29,9),-1.47177 # DEPENDENCYPART_ARC
(29,10),-1.71096 # DEPENDENCYPART_ARC
(29,11),-1.29705 # DEPENDENCYPART_ARC
(29,12),-3.08383 # DEPENDENCYPART_ARC
(29,13),-1.54872 # DEPENDENCYPART_ARC
(29,14),-1.70321 # DEPENDENCYPART_ARC
(29,15),-2.61492 # DEPENDENCYPART_ARC
(29,16),-0.939337 # DEPENDENCYPART_ARC
(29,17),-1.30369 # DEPENDENCYPART_ARC
(29,18),-2.89184 # DEPENDENCYPART_ARC
(29,19),-1.3707 # DEPENDENCYPART_ARC
(29,20),-1.90588 # DEPENDENCYPART_ARC
(29,21),-1.57334 # DEPENDENCYPART_ARC
(29,22),-0.96343 # DEPENDENCYPART_ARC
(29,23),-1.84585 # DEPENDENCYPART_ARC
(29,24),-2.44101 # DEPENDENCYPART_ARC
(29,25),-2.29339 # DEPENDENCYPART_ARC
(29,26),-1.60241 # DEPENDENCYPART_ARC
(29,27),0.00561292 # DEPENDENCYPART_ARC
(29,28),1.10231 # DEPENDENCYPART_ARC
(29,30),4.49223 # DEPENDENCYPART_ARC
(29,31),0.167594 # DEPENDENCYPART_ARC
(30,1),-2.48793 # DEPENDENCYPART_ARC
(30,2),-5.28522 # DEPENDENCYPART_ARC
(30,3),-3.88713 # DEPENDENCYPART_ARC
(30,4),-3.06459 # DEPENDENCYPART_ARC
(30,5),-3.77838 # DEPENDENCYPART_ARC
(30,6),-2.07808 # DEPENDENCYPART_ARC
(30,7),-2.77777 # DEPENDENCYPART_ARC
(30,8),-3.38591 # DEPENDENCYPART_ARC
(30,9),-3.06855 # DEPENDENCYPART_ARC
(30,10),-3.59319 # DEPENDENCYPART_ARC
(30,11),-2.60166 # DEPENDENCYPART_ARC
(30,12),-3.86877 # DEPENDENCYPART_ARC
(30,13),-2.56346 # DEPENDENCYPART_ARC
(30,14),-1.9029 # DEPENDENCYPART_ARC
(30,15),-2.75839 # DEPENDENCYPART_ARC
(30,16),-2.63353 # DEPENDENCYPART_ARC
(30,17),-2.28623 # DEPENDENCYPART_ARC
(30,18),-1.89564 # DEPENDENCYPART_ARC
(30,19),-1.33867 # DEPENDENCYPART_ARC
(30,20),-1.99556 # DEPENDENCYPART_ARC
(30,21),-3.25594 # DEPENDENCYPART_ARC
(30,22),-1.68914 # DEPENDENCYPART_ARC
(30,23),-2.08142 # DEPENDENCYPART_ARC
(30,24),-3.20155 # DEPENDENCYPART_ARC
(30,25),-1.45665 # DEPENDENCYPART_ARC
(30,26),-2.62966 # DEPENDENCYPART_ARC
(30,27),-0.579379 # DEPENDENCYPART_ARC
(30,28),-0.00455222 # DEPENDENCYPART_ARC
(30,29),0.586615 # DEPENDENCYPART_ARC
(30,31),2.68065 # DEPENDENCYPART_ARC
(31,2),-1.99983 # DEPENDENCYPART_ARC
(31,10),-2.09437 # DEPENDENCYPART_ARC
(31,21),-1.95106 # DEPENDENCYPART_ARC
