# _root_ Quest' impressione è accresciuta se si osservano i tipici cortili rettangolari , circondati da ballatoi con ringhiera di ferro battuto e tante piccole scale , che raggiungono i singoli appartamenti .
#goldHeads=2,3,0,3,4,7,5,10,10,7,10,11,10,13,14,15,16,17,18,19,15,24,24,15,24,27,24,30,30,27,30,
#predictedHeads=2,4,4,0,4,7,5,10,10,7,10,11,10,13,14,13,16,17,18,19,20,24,24,20,24,27,24,30,30,27,30,
(18,21),-0.188769 # DEPENDENCYPART_ARC
(18,22),-1.11292 # DEPENDENCYPART_ARC
(18,23),-1.09211 # DEPENDENCYPART_ARC
(18,24),-0.97328 # DEPENDENCYPART_ARC
(18,25),-0.992491 # DEPENDENCYPART_ARC
(18,26),-2.44811 # DEPENDENCYPART_ARC
(18,27),-1.96217 # DEPENDENCYPART_ARC
(18,28),-1.91345 # DEPENDENCYPART_ARC
(18,29),-1.77979 # DEPENDENCYPART_ARC
(18,30),-3.1896 # DEPENDENCYPART_ARC
(18,31),-2.02085 # DEPENDENCYPART_ARC
(19,1),-2.15248 # DEPENDENCYPART_ARC
(19,2),-4.34238 # DEPENDENCYPART_ARC
(19,3),-3.32351 # DEPENDENCYPART_ARC
(19,4),-2.59081 # DEPENDENCYPART_ARC
(19,5),-1.83912 # DEPENDENCYPART_ARC
(19,6),-1.96536 # DEPENDENCYPART_ARC
(19,7),-3.21586 # DEPENDENCYPART_ARC
(19,8),-1.96364 # DEPENDENCYPART_ARC
(19,9),-1.70652 # DEPENDENCYPART_ARC
(19,10),-2.93838 # DEPENDENCYPART_ARC
(19,11),-2.64853 # DEPENDENCYPART_ARC
(19,12),-3.18646 # DEPENDENCYPART_ARC
(19,13),-1.27879 # DEPENDENCYPART_ARC
(19,14),-1.23753 # DEPENDENCYPART_ARC
(19,15),-1.78136 # DEPENDENCYPART_ARC
(19,16),-0.509323 # DEPENDENCYPART_ARC
(19,17),-1.87392 # DEPENDENCYPART_ARC
(19,18),0.904493 # DEPENDENCYPART_ARC
(19,20),1.61567 # DEPENDENCYPART_ARC
(19,21),0.0894429 # DEPENDENCYPART_ARC
(19,22),-0.714898 # DEPENDENCYPART_ARC
(19,23),-1.68274 # DEPENDENCYPART_ARC
(19,24),-1.0157 # DEPENDENCYPART_ARC
(19,25),-0.209061 # DEPENDENCYPART_ARC
(19,26),-2.38712 # DEPENDENCYPART_ARC
(19,27),-2.01535 # DEPENDENCYPART_ARC
(19,28),-1.5462 # DEPENDENCYPART_ARC
(19,29),-2.04123 # DEPENDENCYPART_ARC
(19,30),-1.64635 # DEPENDENCYPART_ARC
(19,31),-1.75514 # DEPENDENCYPART_ARC
(20,1),-2.00266 # DEPENDENCYPART_ARC
(20,2),-1.39544 # DEPENDENCYPART_ARC
(20,3),-1.38729 # DEPENDENCYPART_ARC
(20,4),-1.93703 # DEPENDENCYPART_ARC
(20,5),0.434807 # DEPENDENCYPART_ARC
(20,6),-0.343058 # DEPENDENCYPART_ARC
(20,7),-0.898154 # DEPENDENCYPART_ARC
(20,8),-0.501606 # DEPENDENCYPART_ARC
(20,9),-1.18517 # DEPENDENCYPART_ARC
(20,10),-0.492883 # DEPENDENCYPART_ARC
(20,11),-1.27258 # DEPENDENCYPART_ARC
(20,12),-2.25788 # DEPENDENCYPART_ARC
(20,13),-0.194201 # DEPENDENCYPART_ARC
(20,14),0.500487 # DEPENDENCYPART_ARC
(20,15),-0.357541 # DEPENDENCYPART_ARC
(20,16),0.343271 # DEPENDENCYPART_ARC
(20,17),-0.307482 # DEPENDENCYPART_ARC
(20,18),0.224754 # DEPENDENCYPART_ARC
(20,19),0.406093 # DEPENDENCYPART_ARC
(20,21),1.51796 # DEPENDENCYPART_ARC
(20,22),-0.10292 # DEPENDENCYPART_ARC
(20,23),-0.752846 # DEPENDENCYPART_ARC
(20,24),0.657658 # DEPENDENCYPART_ARC
(20,25),0.430802 # DEPENDENCYPART_ARC
(20,26),-1.79751 # DEPENDENCYPART_ARC
(20,27),0.0155876 # DEPENDENCYPART_ARC
(20,28),-2.24727 # DEPENDENCYPART_ARC
(20,29),-2.09965 # DEPENDENCYPART_ARC
(20,30),-0.988307 # DEPENDENCYPART_ARC
(20,31),-0.716685 # DEPENDENCYPART_ARC
(21,2),-3.13627 # DEPENDENCYPART_ARC
(21,3),-2.96255 # DEPENDENCYPART_ARC
(21,4),-3.05157 # DEPENDENCYPART_ARC
(21,5),-1.89793 # DEPENDENCYPART_ARC
(21,6),-1.75809 # DEPENDENCYPART_ARC
(21,7),-2.90109 # DEPENDENCYPART_ARC
(21,9),-2.38996 # DEPENDENCYPART_ARC
(21,10),-2.99989 # DEPENDENCYPART_ARC
(21,11),-2.39078 # DEPENDENCYPART_ARC
(21,12),-1.94567 # DEPENDENCYPART_ARC
(21,13),-2.76041 # DEPENDENCYPART_ARC
(21,14),-1.89583 # DEPENDENCYPART_ARC
(21,15),-2.52592 # DEPENDENCYPART_ARC
(21,16),-1.69587 # DEPENDENCYPART_ARC
(21,17),-2.11362 # DEPENDENCYPART_ARC
(21,18),-1.1708 # DEPENDENCYPART_ARC
(21,19),-1.46195 # DEPENDENCYPART_ARC
(21,20),-0.556207 # DEPENDENCYPART_ARC
(21,23),-0.672278 # DEPENDENCYPART_ARC
(21,24),-1.05165 # DEPENDENCYPART_ARC
(21,25),-0.348032 # DEPENDENCYPART_ARC
(21,26),-1.62443 # DEPENDENCYPART_ARC
(21,27),-0.822133 # DEPENDENCYPART_ARC
(21,29),-1.79662 # DEPENDENCYPART_ARC
(21,30),-1.74705 # DEPENDENCYPART_ARC
(21,31),-1.41597 # DEPENDENCYPART_ARC
(22,2),-3.57474 # DEPENDENCYPART_ARC
(22,3),-4.0782 # DEPENDENCYPART_ARC
(22,4),-3.88087 # DEPENDENCYPART_ARC
(22,7),-3.95304 # DEPENDENCYPART_ARC
(22,8),-2.47731 # DEPENDENCYPART_ARC
(22,10),-3.31581 # DEPENDENCYPART_ARC
(22,12),-2.5392 # DEPENDENCYPART_ARC
(22,13),-3.56136 # DEPENDENCYPART_ARC
(22,15),-3.15282 # DEPENDENCYPART_ARC
(22,17),-3.08312 # DEPENDENCYPART_ARC
(22,19),-2.77562 # DEPENDENCYPART_ARC
(22,20),-2.45273 # DEPENDENCYPART_ARC
(22,24),0.302531 # DEPENDENCYPART_ARC
(22,25),0.153219 # DEPENDENCYPART_ARC
(22,27),0.0409882 # DEPENDENCYPART_ARC
(22,28),-0.77665 # DEPENDENCYPART_ARC
(22,30),-0.804831 # DEPENDENCYPART_ARC
(22,31),-0.415364 # DEPENDENCYPART_ARC
(23,1),-1.75997 # DEPENDENCYPART_ARC
(23,2),-2.45059 # DEPENDENCYPART_ARC
(23,3),-3.72804 # DEPENDENCYPART_ARC
(23,4),-3.55817 # DEPENDENCYPART_ARC
(23,5),-1.86288 # DEPENDENCYPART_ARC
(23,6),-1.11387 # DEPENDENCYPART_ARC
(23,7),-3.57386 # DEPENDENCYPART_ARC
(23,8),-1.89386 # DEPENDENCYPART_ARC
(23,9),-1.82918 # DEPENDENCYPART_ARC
(23,10),-2.06637 # DEPENDENCYPART_ARC
(23,11),-1.24349 # DEPENDENCYPART_ARC
(23,12),-1.92508 # DEPENDENCYPART_ARC
(23,13),-3.28712 # DEPENDENCYPART_ARC
(23,14),-1.02179 # DEPENDENCYPART_ARC
(23,15),-1.89991 # DEPENDENCYPART_ARC
(23,16),-0.838662 # DEPENDENCYPART_ARC
(23,17),-1.86404 # DEPENDENCYPART_ARC
(23,18),-0.546751 # DEPENDENCYPART_ARC
(23,19),-1.46516 # DEPENDENCYPART_ARC
(23,20),-2.35927 # DEPENDENCYPART_ARC
(23,21),-0.0743816 # DEPENDENCYPART_ARC
(23,22),1.1033 # DEPENDENCYPART_ARC
(23,24),1.26526 # DEPENDENCYPART_ARC
(23,25),0.159453 # DEPENDENCYPART_ARC
(23,26),-1.289 # DEPENDENCYPART_ARC
(23,27),-0.506902 # DEPENDENCYPART_ARC
(23,28),-0.76631 # DEPENDENCYPART_ARC
(23,29),-0.464619 # DEPENDENCYPART_ARC
(23,30),-0.698007 # DEPENDENCYPART_ARC
(23,31),-0.984024 # DEPENDENCYPART_ARC
(24,1),-0.876496 # DEPENDENCYPART_ARC
(24,2),-2.62515 # DEPENDENCYPART_ARC
(24,3),-2.98024 # DEPENDENCYPART_ARC
(24,4),-1.73172 # DEPENDENCYPART_ARC
(24,5),-0.466412 # DEPENDENCYPART_ARC
(24,6),-1.38636 # DEPENDENCYPART_ARC
(24,7),-2.75286 # DEPENDENCYPART_ARC
(24,8),-1.442 # DEPENDENCYPART_ARC
(24,9),0.0369004 # DEPENDENCYPART_ARC
(24,10),-1.43895 # DEPENDENCYPART_ARC
(24,11),-0.655152 # DEPENDENCYPART_ARC
(24,12),-2.05203 # DEPENDENCYPART_ARC
(24,13),-0.29101 # DEPENDENCYPART_ARC
(24,14),-1.07394 # DEPENDENCYPART_ARC
(24,15),-0.627149 # DEPENDENCYPART_ARC
(24,16),-0.914281 # DEPENDENCYPART_ARC
(24,17),-1.26857 # DEPENDENCYPART_ARC
(24,18),-0.752615 # DEPENDENCYPART_ARC
(24,19),-1.18948 # DEPENDENCYPART_ARC
(24,20),-1.01116 # DEPENDENCYPART_ARC
(24,21),0.404625 # DEPENDENCYPART_ARC
(24,22),3.26794 # DEPENDENCYPART_ARC
(24,23),4.01444 # DEPENDENCYPART_ARC
(24,25),2.28723 # DEPENDENCYPART_ARC
(24,26),-0.499114 # DEPENDENCYPART_ARC
(24,27),1.4205 # DEPENDENCYPART_ARC
(24,28),0.0906974 # DEPENDENCYPART_ARC
(24,29),-0.626242 # DEPENDENCYPART_ARC
(24,30),0.525262 # DEPENDENCYPART_ARC
(24,31),0.350489 # DEPENDENCYPART_ARC
(25,8),-1.69815 # DEPENDENCYPART_ARC
(25,12),-1.83706 # DEPENDENCYPART_ARC
(25,28),-0.517799 # DEPENDENCYPART_ARC
(25,31),-0.347495 # DEPENDENCYPART_ARC
(26,2),-3.34738 # DEPENDENCYPART_ARC
(26,3),-3.91465 # DEPENDENCYPART_ARC
(26,4),-3.38051 # DEPENDENCYPART_ARC
(26,5),-1.93919 # DEPENDENCYPART_ARC
(26,7),-3.61318 # DEPENDENCYPART_ARC
(26,8),-1.85955 # DEPENDENCYPART_ARC
(26,10),-3.40528 # DEPENDENCYPART_ARC
(26,12),-2.1024 # DEPENDENCYPART_ARC
(26,13),-3.39581 # DEPENDENCYPART_ARC
(26,14),-2.17547 # DEPENDENCYPART_ARC
(26,15),-3.35823 # DEPENDENCYPART_ARC
(26,16),-2.10794 # DEPENDENCYPART_ARC
(26,17),-3.10684 # DEPENDENCYPART_ARC
(26,18),-2.02519 # DEPENDENCYPART_ARC
(26,19),-3.08261 # DEPENDENCYPART_ARC
(26,20),-3.01593 # DEPENDENCYPART_ARC
(26,21),-1.40218 # DEPENDENCYPART_ARC
(26,24),-2.36994 # DEPENDENCYPART_ARC
(26,25),0.041544 # DEPENDENCYPART_ARC
(26,27),0.541836 # DEPENDENCYPART_ARC
(26,28),-0.870378 # DEPENDENCYPART_ARC
(26,30),-0.847148 # DEPENDENCYPART_ARC
(26,31),-0.854085 # DEPENDENCYPART_ARC
(27,1),-2.14998 # DEPENDENCYPART_ARC
(27,2),-2.25332 # DEPENDENCYPART_ARC
(27,3),-3.87988 # DEPENDENCYPART_ARC
(27,4),-3.87363 # DEPENDENCYPART_ARC
(27,5),-1.22592 # DEPENDENCYPART_ARC
(27,6),-2.69268 # DEPENDENCYPART_ARC
(27,7),-3.27724 # DEPENDENCYPART_ARC
(27,8),-1.75372 # DEPENDENCYPART_ARC
(27,9),-1.56868 # DEPENDENCYPART_ARC
(27,10),-0.942251 # DEPENDENCYPART_ARC
(27,11),-2.12515 # DEPENDENCYPART_ARC
(27,12),-3.4713 # DEPENDENCYPART_ARC
(27,13),-2.82656 # DEPENDENCYPART_ARC
(27,14),-1.39533 # DEPENDENCYPART_ARC
(27,15),-0.639008 # DEPENDENCYPART_ARC
(27,16),-1.73953 # DEPENDENCYPART_ARC
(27,17),-1.38781 # DEPENDENCYPART_ARC
(27,18),-2.36235 # DEPENDENCYPART_ARC
(27,19),-1.64966 # DEPENDENCYPART_ARC
(27,20),-2.59766 # DEPENDENCYPART_ARC
(27,21),-1.29867 # DEPENDENCYPART_ARC
(27,22),-0.304058 # DEPENDENCYPART_ARC
(27,23),-0.853934 # DEPENDENCYPART_ARC
(27,24),-0.122922 # DEPENDENCYPART_ARC
(27,25),-1.91577 # DEPENDENCYPART_ARC
(27,26),2.84875 # DEPENDENCYPART_ARC
(27,28),0.641296 # DEPENDENCYPART_ARC
(27,29),1.16442 # DEPENDENCYPART_ARC
(27,30),2.18515 # DEPENDENCYPART_ARC
(27,31),0.363793 # DEPENDENCYPART_ARC
(28,2),-3.73002 # DEPENDENCYPART_ARC
(28,3),-4.25248 # DEPENDENCYPART_ARC
(28,4),-4.01077 # DEPENDENCYPART_ARC
(28,7),-3.98318 # DEPENDENCYPART_ARC
(28,10),-2.37702 # DEPENDENCYPART_ARC
(28,12),-2.28154 # DEPENDENCYPART_ARC
(28,13),-2.94894 # DEPENDENCYPART_ARC
(28,14),-2.5412 # DEPENDENCYPART_ARC
(28,15),-2.17224 # DEPENDENCYPART_ARC
(28,16),-2.34757 # DEPENDENCYPART_ARC
(28,17),-3.51797 # DEPENDENCYPART_ARC
(28,18),-2.28198 # DEPENDENCYPART_ARC
(28,19),-2.82035 # DEPENDENCYPART_ARC
(28,20),-3.39019 # DEPENDENCYPART_ARC
(28,24),-2.26276 # DEPENDENCYPART_ARC
(28,25),-1.32702 # DEPENDENCYPART_ARC
(28,27),-1.40883 # DEPENDENCYPART_ARC
(28,30),0.13784 # DEPENDENCYPART_ARC
(28,31),-0.436988 # DEPENDENCYPART_ARC
(29,1),-2.07434 # DEPENDENCYPART_ARC
(29,2),-3.33049 # DEPENDENCYPART_ARC
(29,3),-3.63094 # DEPENDENCYPART_ARC
(29,4),-4.11577 # DEPENDENCYPART_ARC
(29,5),-2.23146 # DEPENDENCYPART_ARC
(29,6),-1.48349 # DEPENDENCYPART_ARC
(29,7),-3.43847 # DEPENDENCYPART_ARC
(29,8),-1.36309 # DEPENDENCYPART_ARC
(29,9),-1.91047 # DEPENDENCYPART_ARC
(29,10),-2.14617 # DEPENDENCYPART_ARC
(29,11),-1.66239 # DEPENDENCYPART_ARC
(29,12),-2.13551 # DEPENDENCYPART_ARC
(29,13),-3.12403 # DEPENDENCYPART_ARC
(29,14),-1.51829 # DEPENDENCYPART_ARC
(29,15),-2.0685 # DEPENDENCYPART_ARC
(29,16),-1.29983 # DEPENDENCYPART_ARC
(29,17),-2.86551 # DEPENDENCYPART_ARC
(29,18),-1.45335 # DEPENDENCYPART_ARC
(29,19),-2.28147 # DEPENDENCYPART_ARC
(29,20),-3.1729 # DEPENDENCYPART_ARC
(29,21),-1.61474 # DEPENDENCYPART_ARC
(29,22),-1.24671 # DEPENDENCYPART_ARC
(29,23),-1.45256 # DEPENDENCYPART_ARC
(29,24),-1.92608 # DEPENDENCYPART_ARC
(29,25),-1.34222 # DEPENDENCYPART_ARC
(29,26),-0.33455 # DEPENDENCYPART_ARC
(29,27),-1.01184 # DEPENDENCYPART_ARC
(29,28),1.35661 # DEPENDENCYPART_ARC
(29,30),1.31883 # DEPENDENCYPART_ARC
(29,31),-0.0529129 # DEPENDENCYPART_ARC
(30,1),-1.80336 # DEPENDENCYPART_ARC
(30,2),-3.53336 # DEPENDENCYPART_ARC
(30,3),-3.67594 # DEPENDENCYPART_ARC
(30,4),-2.84152 # DEPENDENCYPART_ARC
(30,5),-0.928924 # DEPENDENCYPART_ARC
(30,6),-1.90902 # DEPENDENCYPART_ARC
(30,7),-3.38784 # DEPENDENCYPART_ARC
(30,8),-1.85975 # DEPENDENCYPART_ARC
(30,9),0.0843649 # DEPENDENCYPART_ARC
(30,10),-1.39082 # DEPENDENCYPART_ARC
(30,11),-1.22193 # DEPENDENCYPART_ARC
(30,12),-2.6022 # DEPENDENCYPART_ARC
(30,13),-0.398187 # DEPENDENCYPART_ARC
(30,14),-1.67181 # DEPENDENCYPART_ARC
(30,15),-0.575232 # DEPENDENCYPART_ARC
(30,16),-1.44381 # DEPENDENCYPART_ARC
(30,17),-2.25193 # DEPENDENCYPART_ARC
(30,18),-1.41341 # DEPENDENCYPART_ARC
(30,19),-1.71947 # DEPENDENCYPART_ARC
(30,20),-1.6688 # DEPENDENCYPART_ARC
(30,21),-0.753551 # DEPENDENCYPART_ARC
(30,22),0.352475 # DEPENDENCYPART_ARC
(30,23),0.219372 # DEPENDENCYPART_ARC
(30,24),-1.35125 # DEPENDENCYPART_ARC
(30,25),-1.6207 # DEPENDENCYPART_ARC
(30,26),-0.755114 # DEPENDENCYPART_ARC
(30,27),-1.92685 # DEPENDENCYPART_ARC
(30,28),3.81266 # DEPENDENCYPART_ARC
(30,29),4.06435 # DEPENDENCYPART_ARC
(30,31),2.7625 # DEPENDENCYPART_ARC
(31,8),-1.95802 # DEPENDENCYPART_ARC
(31,12),-2.00594 # DEPENDENCYPART_ARC
(31,25),-1.73419 # DEPENDENCYPART_ARC
(31,28),-0.746709 # DEPENDENCYPART_ARC
