# _root_ Non pago degli insulti , il corazziere avrebbe aggiunto anche la minaccia di un attentato , parlando di una bomba pronta a far saltare in aria il capo dello Stato .
#goldHeads=2,7,2,3,4,7,9,9,0,12,12,9,12,15,13,15,9,17,20,18,20,21,22,23,24,25,28,24,28,29,30,
#predictedHeads=2,7,2,3,4,7,9,9,0,12,12,9,12,15,13,15,9,17,20,18,20,17,22,23,24,25,28,24,28,29,30,
(16,26),-2.76504 # DEPENDENCYPART_ARC
(16,27),-2.67403 # DEPENDENCYPART_ARC
(16,28),-2.87972 # DEPENDENCYPART_ARC
(16,29),-2.92946 # DEPENDENCYPART_ARC
(16,30),-2.85293 # DEPENDENCYPART_ARC
(16,31),-2.01878 # DEPENDENCYPART_ARC
(17,1),-1.44264 # DEPENDENCYPART_ARC
(17,2),-1.79495 # DEPENDENCYPART_ARC
(17,3),-2.13136 # DEPENDENCYPART_ARC
(17,4),-1.74487 # DEPENDENCYPART_ARC
(17,5),-2.84206 # DEPENDENCYPART_ARC
(17,6),-1.57657 # DEPENDENCYPART_ARC
(17,7),-1.0055 # DEPENDENCYPART_ARC
(17,8),-0.976131 # DEPENDENCYPART_ARC
(17,9),-2.38834 # DEPENDENCYPART_ARC
(17,10),-0.303737 # DEPENDENCYPART_ARC
(17,11),-0.89705 # DEPENDENCYPART_ARC
(17,12),-0.642697 # DEPENDENCYPART_ARC
(17,13),-0.935219 # DEPENDENCYPART_ARC
(17,14),-0.120301 # DEPENDENCYPART_ARC
(17,15),-0.113162 # DEPENDENCYPART_ARC
(17,16),-0.421968 # DEPENDENCYPART_ARC
(17,18),2.05719 # DEPENDENCYPART_ARC
(17,19),0.247187 # DEPENDENCYPART_ARC
(17,20),2.04854 # DEPENDENCYPART_ARC
(17,21),0.630096 # DEPENDENCYPART_ARC
(17,22),2.09316 # DEPENDENCYPART_ARC
(17,23),0.329521 # DEPENDENCYPART_ARC
(17,24),0.163684 # DEPENDENCYPART_ARC
(17,25),0.909027 # DEPENDENCYPART_ARC
(17,26),-0.295087 # DEPENDENCYPART_ARC
(17,27),-0.875586 # DEPENDENCYPART_ARC
(17,28),0.460249 # DEPENDENCYPART_ARC
(17,29),0.534617 # DEPENDENCYPART_ARC
(17,30),-0.30932 # DEPENDENCYPART_ARC
(17,31),-1.17476 # DEPENDENCYPART_ARC
(18,1),-1.70165 # DEPENDENCYPART_ARC
(18,2),-2.57068 # DEPENDENCYPART_ARC
(18,3),-2.19037 # DEPENDENCYPART_ARC
(18,4),-2.37321 # DEPENDENCYPART_ARC
(18,5),-2.39713 # DEPENDENCYPART_ARC
(18,6),-2.07724 # DEPENDENCYPART_ARC
(18,7),-2.35387 # DEPENDENCYPART_ARC
(18,8),-2.61157 # DEPENDENCYPART_ARC
(18,9),-2.6094 # DEPENDENCYPART_ARC
(18,10),-1.07164 # DEPENDENCYPART_ARC
(18,11),-1.85306 # DEPENDENCYPART_ARC
(18,12),-1.98075 # DEPENDENCYPART_ARC
(18,13),-1.44073 # DEPENDENCYPART_ARC
(18,14),-1.53679 # DEPENDENCYPART_ARC
(18,15),-1.35638 # DEPENDENCYPART_ARC
(18,16),-1.19936 # DEPENDENCYPART_ARC
(18,17),-0.35317 # DEPENDENCYPART_ARC
(18,19),0.755879 # DEPENDENCYPART_ARC
(18,20),3.20236 # DEPENDENCYPART_ARC
(18,21),0.723469 # DEPENDENCYPART_ARC
(18,22),-0.0555049 # DEPENDENCYPART_ARC
(18,23),0.713266 # DEPENDENCYPART_ARC
(18,24),-0.101597 # DEPENDENCYPART_ARC
(18,25),-1.11907 # DEPENDENCYPART_ARC
(18,26),-0.685745 # DEPENDENCYPART_ARC
(18,27),-0.955841 # DEPENDENCYPART_ARC
(18,28),-2.14041 # DEPENDENCYPART_ARC
(18,29),-1.70786 # DEPENDENCYPART_ARC
(18,30),-2.86704 # DEPENDENCYPART_ARC
(18,31),-1.20062 # DEPENDENCYPART_ARC
(19,1),-2.90395 # DEPENDENCYPART_ARC
(19,2),-3.08759 # DEPENDENCYPART_ARC
(19,3),-3.26456 # DEPENDENCYPART_ARC
(19,4),-3.51671 # DEPENDENCYPART_ARC
(19,5),-2.64244 # DEPENDENCYPART_ARC
(19,6),-2.67318 # DEPENDENCYPART_ARC
(19,7),-3.14314 # DEPENDENCYPART_ARC
(19,8),-3.43508 # DEPENDENCYPART_ARC
(19,9),-3.94167 # DEPENDENCYPART_ARC
(19,10),-2.77224 # DEPENDENCYPART_ARC
(19,11),-2.35031 # DEPENDENCYPART_ARC
(19,12),-2.77317 # DEPENDENCYPART_ARC
(19,13),-2.41335 # DEPENDENCYPART_ARC
(19,14),-2.26626 # DEPENDENCYPART_ARC
(19,15),-2.69473 # DEPENDENCYPART_ARC
(19,16),-1.84639 # DEPENDENCYPART_ARC
(19,17),-1.86786 # DEPENDENCYPART_ARC
(19,18),-0.567239 # DEPENDENCYPART_ARC
(19,20),1.07013 # DEPENDENCYPART_ARC
(19,21),-0.453667 # DEPENDENCYPART_ARC
(19,22),-0.0871246 # DEPENDENCYPART_ARC
(19,23),-0.707325 # DEPENDENCYPART_ARC
(19,24),-1.05042 # DEPENDENCYPART_ARC
(19,25),-0.75445 # DEPENDENCYPART_ARC
(19,26),-0.850039 # DEPENDENCYPART_ARC
(19,27),-1.85222 # DEPENDENCYPART_ARC
(19,28),-1.05928 # DEPENDENCYPART_ARC
(19,29),-1.09428 # DEPENDENCYPART_ARC
(19,30),-1.11712 # DEPENDENCYPART_ARC
(19,31),-1.00896 # DEPENDENCYPART_ARC
(20,1),-1.70734 # DEPENDENCYPART_ARC
(20,2),-3.03422 # DEPENDENCYPART_ARC
(20,3),-1.56532 # DEPENDENCYPART_ARC
(20,4),-3.07451 # DEPENDENCYPART_ARC
(20,5),-3.19113 # DEPENDENCYPART_ARC
(20,6),-3.15157 # DEPENDENCYPART_ARC
(20,7),-3.21223 # DEPENDENCYPART_ARC
(20,8),-1.65729 # DEPENDENCYPART_ARC
(20,9),-1.59754 # DEPENDENCYPART_ARC
(20,10),0.464787 # DEPENDENCYPART_ARC
(20,11),-1.28857 # DEPENDENCYPART_ARC
(20,12),-2.63717 # DEPENDENCYPART_ARC
(20,13),-1.15512 # DEPENDENCYPART_ARC
(20,14),-0.93649 # DEPENDENCYPART_ARC
(20,15),-2.49148 # DEPENDENCYPART_ARC
(20,16),-1.89912 # DEPENDENCYPART_ARC
(20,17),-0.687681 # DEPENDENCYPART_ARC
(20,18),0.648101 # DEPENDENCYPART_ARC
(20,19),3.55762 # DEPENDENCYPART_ARC
(20,21),3.61701 # DEPENDENCYPART_ARC
(20,22),1.21513 # DEPENDENCYPART_ARC
(20,23),0.859221 # DEPENDENCYPART_ARC
(20,24),-0.25154 # DEPENDENCYPART_ARC
(20,25),0.272918 # DEPENDENCYPART_ARC
(20,26),-0.181481 # DEPENDENCYPART_ARC
(20,27),-0.809085 # DEPENDENCYPART_ARC
(20,28),-0.230001 # DEPENDENCYPART_ARC
(20,29),0.0208002 # DEPENDENCYPART_ARC
(20,30),-0.567314 # DEPENDENCYPART_ARC
(20,31),-1.5128 # DEPENDENCYPART_ARC
(21,1),-2.29892 # DEPENDENCYPART_ARC
(21,2),-2.15137 # DEPENDENCYPART_ARC
(21,3),-2.36363 # DEPENDENCYPART_ARC
(21,4),-2.68117 # DEPENDENCYPART_ARC
(21,5),-2.2972 # DEPENDENCYPART_ARC
(21,6),-1.85904 # DEPENDENCYPART_ARC
(21,7),-2.26533 # DEPENDENCYPART_ARC
(21,8),-2.2104 # DEPENDENCYPART_ARC
(21,9),-3.26888 # DEPENDENCYPART_ARC
(21,10),-1.13841 # DEPENDENCYPART_ARC
(21,11),-1.1945 # DEPENDENCYPART_ARC
(21,12),-1.88278 # DEPENDENCYPART_ARC
(21,13),-1.15845 # DEPENDENCYPART_ARC
(21,14),-1.33209 # DEPENDENCYPART_ARC
(21,15),-1.7032 # DEPENDENCYPART_ARC
(21,16),-1.6096 # DEPENDENCYPART_ARC
(21,17),-1.53255 # DEPENDENCYPART_ARC
(21,18),-0.0428922 # DEPENDENCYPART_ARC
(21,19),0.261734 # DEPENDENCYPART_ARC
(21,20),0.469373 # DEPENDENCYPART_ARC
(21,22),1.5176 # DEPENDENCYPART_ARC
(21,23),-0.256391 # DEPENDENCYPART_ARC
(21,24),-1.01365 # DEPENDENCYPART_ARC
(21,25),-0.0137124 # DEPENDENCYPART_ARC
(21,26),-0.506496 # DEPENDENCYPART_ARC
(21,27),-0.902635 # DEPENDENCYPART_ARC
(21,28),-0.743766 # DEPENDENCYPART_ARC
(21,29),-0.189945 # DEPENDENCYPART_ARC
(21,30),-0.693181 # DEPENDENCYPART_ARC
(21,31),-0.606014 # DEPENDENCYPART_ARC
(22,1),-1.38822 # DEPENDENCYPART_ARC
(22,2),-2.18286 # DEPENDENCYPART_ARC
(22,3),-1.5721 # DEPENDENCYPART_ARC
(22,4),-2.01057 # DEPENDENCYPART_ARC
(22,5),-1.86602 # DEPENDENCYPART_ARC
(22,6),-1.65016 # DEPENDENCYPART_ARC
(22,7),-2.02778 # DEPENDENCYPART_ARC
(22,8),-2.22923 # DEPENDENCYPART_ARC
(22,9),-2.10935 # DEPENDENCYPART_ARC
(22,10),-0.72314 # DEPENDENCYPART_ARC
(22,11),-1.58353 # DEPENDENCYPART_ARC
(22,12),-1.80932 # DEPENDENCYPART_ARC
(22,13),-1.23668 # DEPENDENCYPART_ARC
(22,14),-1.42796 # DEPENDENCYPART_ARC
(22,15),-1.60502 # DEPENDENCYPART_ARC
(22,16),-1.50149 # DEPENDENCYPART_ARC
(22,17),-1.78789 # DEPENDENCYPART_ARC
(22,18),-0.618897 # DEPENDENCYPART_ARC
(22,19),-0.600249 # DEPENDENCYPART_ARC
(22,20),-0.7168 # DEPENDENCYPART_ARC
(22,21),0.0828197 # DEPENDENCYPART_ARC
(22,23),3.26761 # DEPENDENCYPART_ARC
(22,24),1.91904 # DEPENDENCYPART_ARC
(22,25),-0.0952866 # DEPENDENCYPART_ARC
(22,26),0.494684 # DEPENDENCYPART_ARC
(22,27),-0.693829 # DEPENDENCYPART_ARC
(22,28),-1.66953 # DEPENDENCYPART_ARC
(22,29),-0.660434 # DEPENDENCYPART_ARC
(22,30),-2.51007 # DEPENDENCYPART_ARC
(22,31),-0.805282 # DEPENDENCYPART_ARC
(23,1),-3.91878 # DEPENDENCYPART_ARC
(23,2),-2.58398 # DEPENDENCYPART_ARC
(23,3),-3.56521 # DEPENDENCYPART_ARC
(23,4),-3.17211 # DEPENDENCYPART_ARC
(23,5),-3.82492 # DEPENDENCYPART_ARC
(23,6),-2.36877 # DEPENDENCYPART_ARC
(23,7),-2.56834 # DEPENDENCYPART_ARC
(23,8),-2.21259 # DEPENDENCYPART_ARC
(23,9),-3.67512 # DEPENDENCYPART_ARC
(23,10),-1.67158 # DEPENDENCYPART_ARC
(23,11),-1.99395 # DEPENDENCYPART_ARC
(23,12),-2.0323 # DEPENDENCYPART_ARC
(23,13),-2.62543 # DEPENDENCYPART_ARC
(23,14),-1.76003 # DEPENDENCYPART_ARC
(23,15),-1.69034 # DEPENDENCYPART_ARC
(23,16),-2.96011 # DEPENDENCYPART_ARC
(23,17),-0.895042 # DEPENDENCYPART_ARC
(23,18),-1.68174 # DEPENDENCYPART_ARC
(23,19),-1.1862 # DEPENDENCYPART_ARC
(23,20),-1.01973 # DEPENDENCYPART_ARC
(23,21),-0.80132 # DEPENDENCYPART_ARC
(23,22),0.266764 # DEPENDENCYPART_ARC
(23,24),2.65651 # DEPENDENCYPART_ARC
(23,25),1.34106 # DEPENDENCYPART_ARC
(23,26),0.613678 # DEPENDENCYPART_ARC
(23,27),-0.619301 # DEPENDENCYPART_ARC
(23,28),0.640343 # DEPENDENCYPART_ARC
(23,29),0.136491 # DEPENDENCYPART_ARC
(23,30),-0.407162 # DEPENDENCYPART_ARC
(23,31),-0.668742 # DEPENDENCYPART_ARC
(24,1),-3.25402 # DEPENDENCYPART_ARC
(24,2),-2.43603 # DEPENDENCYPART_ARC
(24,3),-3.44634 # DEPENDENCYPART_ARC
(24,4),-2.64285 # DEPENDENCYPART_ARC
(24,5),-3.96593 # DEPENDENCYPART_ARC
(24,6),-2.30246 # DEPENDENCYPART_ARC
(24,7),-1.30741 # DEPENDENCYPART_ARC
(24,8),-1.81632 # DEPENDENCYPART_ARC
(24,9),-3.48138 # DEPENDENCYPART_ARC
(24,10),-1.79356 # DEPENDENCYPART_ARC
(24,11),-1.87335 # DEPENDENCYPART_ARC
(24,12),-1.14385 # DEPENDENCYPART_ARC
(24,13),-2.55865 # DEPENDENCYPART_ARC
(24,14),-1.75134 # DEPENDENCYPART_ARC
(24,15),-0.793871 # DEPENDENCYPART_ARC
(24,16),-3.4024 # DEPENDENCYPART_ARC
(24,17),-1.63319 # DEPENDENCYPART_ARC
(24,18),-1.4181 # DEPENDENCYPART_ARC
(24,19),-1.32547 # DEPENDENCYPART_ARC
(24,20),-0.0476275 # DEPENDENCYPART_ARC
(24,21),-0.950777 # DEPENDENCYPART_ARC
(24,22),-0.124818 # DEPENDENCYPART_ARC
(24,23),1.99409 # DEPENDENCYPART_ARC
(24,25),2.9115 # DEPENDENCYPART_ARC
(24,26),1.97562 # DEPENDENCYPART_ARC
(24,27),-0.0887592 # DEPENDENCYPART_ARC
(24,28),1.59775 # DEPENDENCYPART_ARC
(24,29),1.12478 # DEPENDENCYPART_ARC
(24,30),0.0690912 # DEPENDENCYPART_ARC
(24,31),-0.424969 # DEPENDENCYPART_ARC
(25,1),-1.50877 # DEPENDENCYPART_ARC
(25,2),-2.56831 # DEPENDENCYPART_ARC
(25,3),-2.31251 # DEPENDENCYPART_ARC
(25,4),-2.49722 # DEPENDENCYPART_ARC
(25,5),-2.30954 # DEPENDENCYPART_ARC
(25,6),-1.94914 # DEPENDENCYPART_ARC
(25,7),-2.39936 # DEPENDENCYPART_ARC
(25,8),-2.72027 # DEPENDENCYPART_ARC
(25,9),-2.74826 # DEPENDENCYPART_ARC
(25,10),-1.45752 # DEPENDENCYPART_ARC
(25,11),-2.12193 # DEPENDENCYPART_ARC
(25,12),-2.36107 # DEPENDENCYPART_ARC
(25,13),-1.95033 # DEPENDENCYPART_ARC
(25,14),-2.06298 # DEPENDENCYPART_ARC
(25,15),-2.22091 # DEPENDENCYPART_ARC
(25,16),-2.15047 # DEPENDENCYPART_ARC
(25,17),-2.51786 # DEPENDENCYPART_ARC
(25,18),-1.551 # DEPENDENCYPART_ARC
(25,19),-1.71776 # DEPENDENCYPART_ARC
(25,20),-1.8372 # DEPENDENCYPART_ARC
(25,21),-1.87252 # DEPENDENCYPART_ARC
(25,22),-0.826214 # DEPENDENCYPART_ARC
(25,23),-1.19886 # DEPENDENCYPART_ARC
(25,24),-0.323346 # DEPENDENCYPART_ARC
(25,26),4.20199 # DEPENDENCYPART_ARC
(25,27),-0.359049 # DEPENDENCYPART_ARC
(25,28),-0.447505 # DEPENDENCYPART_ARC
(25,29),-0.621912 # DEPENDENCYPART_ARC
(25,30),-0.365996 # DEPENDENCYPART_ARC
(25,31),-0.546596 # DEPENDENCYPART_ARC
(26,1),-3.13121 # DEPENDENCYPART_ARC
(26,2),-4.42643 # DEPENDENCYPART_ARC
(26,3),-2.91286 # DEPENDENCYPART_ARC
(26,4),-4.20505 # DEPENDENCYPART_ARC
(26,5),-4.18171 # DEPENDENCYPART_ARC
(26,6),-4.83718 # DEPENDENCYPART_ARC
(26,7),-4.30746 # DEPENDENCYPART_ARC
(26,8),-2.78331 # DEPENDENCYPART_ARC
(26,9),-2.69096 # DEPENDENCYPART_ARC
(26,10),-1.05012 # DEPENDENCYPART_ARC
(26,11),-3.35887 # DEPENDENCYPART_ARC
(26,12),-3.96333 # DEPENDENCYPART_ARC
(26,13),-2.67623 # DEPENDENCYPART_ARC
(26,14),-2.93604 # DEPENDENCYPART_ARC
(26,15),-4.23913 # DEPENDENCYPART_ARC
(26,16),-3.49407 # DEPENDENCYPART_ARC
(26,17),-2.62883 # DEPENDENCYPART_ARC
(26,18),-2.11044 # DEPENDENCYPART_ARC
(26,19),-1.21442 # DEPENDENCYPART_ARC
(26,20),-3.14066 # DEPENDENCYPART_ARC
(26,21),-1.45426 # DEPENDENCYPART_ARC
(26,22),-1.25525 # DEPENDENCYPART_ARC
(26,23),-1.75644 # DEPENDENCYPART_ARC
(26,24),-1.29496 # DEPENDENCYPART_ARC
(26,25),0.780201 # DEPENDENCYPART_ARC
(26,27),0.137951 # DEPENDENCYPART_ARC
(26,28),-0.0219697 # DEPENDENCYPART_ARC
(26,29),0.633298 # DEPENDENCYPART_ARC
(26,30),0.305541 # DEPENDENCYPART_ARC
(26,31),-0.779394 # DEPENDENCYPART_ARC
(27,1),-2.516 # DEPENDENCYPART_ARC
(27,2),-2.52776 # DEPENDENCYPART_ARC
(27,3),-3.32912 # DEPENDENCYPART_ARC
(27,4),-3.00127 # DEPENDENCYPART_ARC
(27,5),-2.24274 # DEPENDENCYPART_ARC
(27,6),-2.09866 # DEPENDENCYPART_ARC
(27,7),-2.79244 # DEPENDENCYPART_ARC
(27,8),-3.29878 # DEPENDENCYPART_ARC
(27,9),-3.58944 # DEPENDENCYPART_ARC
(27,10),-2.56958 # DEPENDENCYPART_ARC
(27,11),-2.32767 # DEPENDENCYPART_ARC
(27,12),-3.21383 # DEPENDENCYPART_ARC
(27,13),-2.68738 # DEPENDENCYPART_ARC
(27,14),-1.94262 # DEPENDENCYPART_ARC
(27,15),-2.73165 # DEPENDENCYPART_ARC
(27,16),-2.26839 # DEPENDENCYPART_ARC
(27,17),-2.8243 # DEPENDENCYPART_ARC
(27,18),-2.23228 # DEPENDENCYPART_ARC
(27,19),-2.0718 # DEPENDENCYPART_ARC
(27,20),-2.83768 # DEPENDENCYPART_ARC
(27,21),-2.33566 # DEPENDENCYPART_ARC
(27,22),-1.83296 # DEPENDENCYPART_ARC
(27,23),-2.53765 # DEPENDENCYPART_ARC
(27,24),-2.107 # DEPENDENCYPART_ARC
(27,25),-1.1135 # DEPENDENCYPART_ARC
(27,26),-1.09776 # DEPENDENCYPART_ARC
(27,28),0.862889 # DEPENDENCYPART_ARC
(27,29),-0.449856 # DEPENDENCYPART_ARC
(27,30),-0.436793 # DEPENDENCYPART_ARC
(27,31),-0.749116 # DEPENDENCYPART_ARC
(28,1),-1.86738 # DEPENDENCYPART_ARC
(28,2),-3.09587 # DEPENDENCYPART_ARC
(28,3),-2.0067 # DEPENDENCYPART_ARC
(28,4),-2.7026 # DEPENDENCYPART_ARC
(28,5),-3.54299 # DEPENDENCYPART_ARC
(28,6),-3.94436 # DEPENDENCYPART_ARC
(28,7),-3.07478 # DEPENDENCYPART_ARC
(28,8),-2.29732 # DEPENDENCYPART_ARC
(28,9),-1.6668 # DEPENDENCYPART_ARC
(28,10),0.247262 # DEPENDENCYPART_ARC
(28,11),-3.4099 # DEPENDENCYPART_ARC
(28,12),-3.44855 # DEPENDENCYPART_ARC
(28,13),-1.93464 # DEPENDENCYPART_ARC
(28,14),-2.14382 # DEPENDENCYPART_ARC
(28,15),-2.75291 # DEPENDENCYPART_ARC
(28,16),-2.77832 # DEPENDENCYPART_ARC
(28,17),-1.70473 # DEPENDENCYPART_ARC
(28,18),-1.19059 # DEPENDENCYPART_ARC
(28,19),-1.33415 # DEPENDENCYPART_ARC
(28,20),-2.76302 # DEPENDENCYPART_ARC
(28,21),-1.61115 # DEPENDENCYPART_ARC
(28,22),-0.690627 # DEPENDENCYPART_ARC
(28,23),-1.31651 # DEPENDENCYPART_ARC
(28,24),-1.66993 # DEPENDENCYPART_ARC
(28,25),0.665714 # DEPENDENCYPART_ARC
(28,26),-0.775124 # DEPENDENCYPART_ARC
(28,27),3.5046 # DEPENDENCYPART_ARC
(28,29),2.77197 # DEPENDENCYPART_ARC
(28,30),1.76601 # DEPENDENCYPART_ARC
(28,31),0.487172 # DEPENDENCYPART_ARC
(29,1),-1.66789 # DEPENDENCYPART_ARC
(29,2),-2.54845 # DEPENDENCYPART_ARC
(29,3),-2.36742 # DEPENDENCYPART_ARC
(29,4),-2.95943 # DEPENDENCYPART_ARC
(29,5),-2.35683 # DEPENDENCYPART_ARC
(29,6),-1.85819 # DEPENDENCYPART_ARC
(29,7),-2.96206 # DEPENDENCYPART_ARC
(29,8),-3.02531 # DEPENDENCYPART_ARC
(29,9),-3.26598 # DEPENDENCYPART_ARC
(29,10),-1.44151 # DEPENDENCYPART_ARC
(29,11),-2.11672 # DEPENDENCYPART_ARC
(29,12),-3.28631 # DEPENDENCYPART_ARC
(29,13),-1.97389 # DEPENDENCYPART_ARC
(29,14),-1.83469 # DEPENDENCYPART_ARC
(29,15),-2.84564 # DEPENDENCYPART_ARC
(29,16),-2.19418 # DEPENDENCYPART_ARC
(29,17),-2.63501 # DEPENDENCYPART_ARC
(29,18),-1.80829 # DEPENDENCYPART_ARC
(29,19),-1.91296 # DEPENDENCYPART_ARC
(29,20),-2.90334 # DEPENDENCYPART_ARC
(29,21),-2.39827 # DEPENDENCYPART_ARC
(29,22),-1.39021 # DEPENDENCYPART_ARC
(29,23),-2.42157 # DEPENDENCYPART_ARC
(29,24),-2.3125 # DEPENDENCYPART_ARC
(29,25),-1.04042 # DEPENDENCYPART_ARC
(29,26),-2.06278 # DEPENDENCYPART_ARC
(29,27),-0.255436 # DEPENDENCYPART_ARC
(29,28),-0.782042 # DEPENDENCYPART_ARC
(29,30),4.25175 # DEPENDENCYPART_ARC
(29,31),-0.00656704 # DEPENDENCYPART_ARC
(30,1),-2.57374 # DEPENDENCYPART_ARC
(30,2),-4.27518 # DEPENDENCYPART_ARC
(30,3),-3.10789 # DEPENDENCYPART_ARC
(30,4),-4.37098 # DEPENDENCYPART_ARC
(30,5),-4.36082 # DEPENDENCYPART_ARC
(30,6),-5.50792 # DEPENDENCYPART_ARC
(30,7),-4.72158 # DEPENDENCYPART_ARC
(30,8),-3.3904 # DEPENDENCYPART_ARC
(30,9),-2.72942 # DEPENDENCYPART_ARC
(30,10),-0.835766 # DEPENDENCYPART_ARC
(30,11),-4.87046 # DEPENDENCYPART_ARC
(30,12),-4.85766 # DEPENDENCYPART_ARC
(30,13),-3.13294 # DEPENDENCYPART_ARC
(30,14),-3.49276 # DEPENDENCYPART_ARC
(30,15),-4.37303 # DEPENDENCYPART_ARC
(30,16),-3.7876 # DEPENDENCYPART_ARC
(30,17),-2.68436 # DEPENDENCYPART_ARC
(30,18),-2.56961 # DEPENDENCYPART_ARC
(30,19),-2.9049 # DEPENDENCYPART_ARC
(30,20),-4.03568 # DEPENDENCYPART_ARC
(30,21),-2.85487 # DEPENDENCYPART_ARC
(30,22),-1.88466 # DEPENDENCYPART_ARC
(30,23),-2.39365 # DEPENDENCYPART_ARC
(30,24),-2.85217 # DEPENDENCYPART_ARC
(30,25),-1.26874 # DEPENDENCYPART_ARC
(30,26),-2.54093 # DEPENDENCYPART_ARC
(30,27),0.230008 # DEPENDENCYPART_ARC
(30,28),-1.4324 # DEPENDENCYPART_ARC
(30,29),0.782405 # DEPENDENCYPART_ARC
(30,31),2.61388 # DEPENDENCYPART_ARC
(31,1),-2.60663 # DEPENDENCYPART_ARC
(31,2),-2.6788 # DEPENDENCYPART_ARC
(31,3),-2.29318 # DEPENDENCYPART_ARC
(31,4),-2.88208 # DEPENDENCYPART_ARC
(31,5),-2.38814 # DEPENDENCYPART_ARC
(31,6),-2.25593 # DEPENDENCYPART_ARC
(31,7),-2.78644 # DEPENDENCYPART_ARC
(31,8),-3.09909 # DEPENDENCYPART_ARC
(31,9),-3.07475 # DEPENDENCYPART_ARC
(31,10),-2.35733 # DEPENDENCYPART_ARC
(31,11),-2.24519 # DEPENDENCYPART_ARC
(31,12),-2.68369 # DEPENDENCYPART_ARC
(31,13),-2.20252 # DEPENDENCYPART_ARC
(31,14),-2.28737 # DEPENDENCYPART_ARC
(31,15),-2.80246 # DEPENDENCYPART_ARC
(31,16),-2.37877 # DEPENDENCYPART_ARC
(31,17),-2.93814 # DEPENDENCYPART_ARC
(31,18),-2.00309 # DEPENDENCYPART_ARC
(31,19),-2.03972 # DEPENDENCYPART_ARC
(31,20),-2.63035 # DEPENDENCYPART_ARC
(31,21),-2.44773 # DEPENDENCYPART_ARC
(31,22),-1.91509 # DEPENDENCYPART_ARC
(31,23),-2.77653 # DEPENDENCYPART_ARC
(31,24),-2.63103 # DEPENDENCYPART_ARC
(31,25),-1.71042 # DEPENDENCYPART_ARC
(31,26),-2.15917 # DEPENDENCYPART_ARC
(31,27),-1.41403 # DEPENDENCYPART_ARC
(31,28),-1.72533 # DEPENDENCYPART_ARC
(31,29),-0.965466 # DEPENDENCYPART_ARC
(31,30),-0.684652 # DEPENDENCYPART_ARC
