# _root_ Tipica è la poltroncina da toilette , con schienale curvo e basso , per poter agevolmente sciogliere e spazzolare i lunghi capelli .
#goldHeads=2,0,4,2,4,5,6,4,8,9,10,10,12,10,17,17,14,17,17,22,22,17,22,
#predictedHeads=2,0,4,2,4,5,6,4,8,9,10,10,12,17,14,17,0,17,17,22,22,19,22,
(23,2),-3.17186 # DEPENDENCYPART_ARC
(23,3),-2.31919 # DEPENDENCYPART_ARC
(23,4),-2.8146 # DEPENDENCYPART_ARC
(23,5),-2.3324 # DEPENDENCYPART_ARC
(23,6),-2.89575 # DEPENDENCYPART_ARC
(23,7),-2.50297 # DEPENDENCYPART_ARC
(23,8),-2.33809 # DEPENDENCYPART_ARC
(23,9),-2.88137 # DEPENDENCYPART_ARC
(23,10),-2.63809 # DEPENDENCYPART_ARC
(23,11),-2.22778 # DEPENDENCYPART_ARC
(23,12),-2.73984 # DEPENDENCYPART_ARC
(23,13),-2.41123 # DEPENDENCYPART_ARC
(23,14),-2.12039 # DEPENDENCYPART_ARC
(23,15),-2.89231 # DEPENDENCYPART_ARC
(23,16),-2.23038 # DEPENDENCYPART_ARC
(23,17),-2.79909 # DEPENDENCYPART_ARC
(23,18),-2.02234 # DEPENDENCYPART_ARC
(23,19),-2.5393 # DEPENDENCYPART_ARC
(23,20),-1.22035 # DEPENDENCYPART_ARC
(23,21),-1.42418 # DEPENDENCYPART_ARC
(23,22),-0.819035 # DEPENDENCYPART_ARC
