# _root_ DI VALERIO RIVA Il mito di Allende , più di 14 anni dopo la sua tragica morte , comincia ad affievolir- si anche nella sinistra cilena ?
#goldHeads=3,1,0,5,19,5,6,7,17,9,12,10,19,17,17,17,13,17,0,19,20,21,24,21,24,25,26,
#predictedHeads=3,3,0,5,3,5,6,7,17,9,12,10,5,17,17,17,13,17,0,19,20,21,24,21,24,25,26,
(23,1),-2.03948 # DEPENDENCYPART_ARC
(23,2),-2.64286 # DEPENDENCYPART_ARC
(23,3),-2.52858 # DEPENDENCYPART_ARC
(23,5),-2.47839 # DEPENDENCYPART_ARC
(23,6),-1.81174 # DEPENDENCYPART_ARC
(23,7),-2.44798 # DEPENDENCYPART_ARC
(23,8),-1.69014 # DEPENDENCYPART_ARC
(23,9),-1.72425 # DEPENDENCYPART_ARC
(23,10),-1.66119 # DEPENDENCYPART_ARC
(23,11),-1.70491 # DEPENDENCYPART_ARC
(23,12),-2.2735 # DEPENDENCYPART_ARC
(23,13),-1.58825 # DEPENDENCYPART_ARC
(23,16),-1.84213 # DEPENDENCYPART_ARC
(23,17),-1.92701 # DEPENDENCYPART_ARC
(23,18),-1.29403 # DEPENDENCYPART_ARC
(23,19),-2.01126 # DEPENDENCYPART_ARC
(23,20),-0.754201 # DEPENDENCYPART_ARC
(23,21),-0.999742 # DEPENDENCYPART_ARC
(23,22),0.465344 # DEPENDENCYPART_ARC
(23,24),-0.825897 # DEPENDENCYPART_ARC
(23,25),-0.564881 # DEPENDENCYPART_ARC
(23,26),-0.836811 # DEPENDENCYPART_ARC
(23,27),-0.741268 # DEPENDENCYPART_ARC
(24,1),-1.47086 # DEPENDENCYPART_ARC
(24,2),-2.38315 # DEPENDENCYPART_ARC
(24,3),-2.32166 # DEPENDENCYPART_ARC
(24,4),-1.15819 # DEPENDENCYPART_ARC
(24,5),-1.97822 # DEPENDENCYPART_ARC
(24,6),-1.19514 # DEPENDENCYPART_ARC
(24,7),-2.17403 # DEPENDENCYPART_ARC
(24,8),-1.32423 # DEPENDENCYPART_ARC
(24,9),-0.830259 # DEPENDENCYPART_ARC
(24,10),-1.13058 # DEPENDENCYPART_ARC
(24,11),-1.19683 # DEPENDENCYPART_ARC
(24,12),-2.08281 # DEPENDENCYPART_ARC
(24,13),-1.06105 # DEPENDENCYPART_ARC
(24,14),-0.84957 # DEPENDENCYPART_ARC
(24,15),-1.3111 # DEPENDENCYPART_ARC
(24,16),-1.29563 # DEPENDENCYPART_ARC
(24,17),-1.46962 # DEPENDENCYPART_ARC
(24,18),-0.995274 # DEPENDENCYPART_ARC
(24,19),-1.55793 # DEPENDENCYPART_ARC
(24,20),-0.29695 # DEPENDENCYPART_ARC
(24,21),-1.01123 # DEPENDENCYPART_ARC
(24,22),-0.114203 # DEPENDENCYPART_ARC
(24,23),2.02265 # DEPENDENCYPART_ARC
(24,25),3.46303 # DEPENDENCYPART_ARC
(24,26),-0.0396047 # DEPENDENCYPART_ARC
(24,27),-0.379424 # DEPENDENCYPART_ARC
(25,1),-3.5699 # DEPENDENCYPART_ARC
(25,2),-3.66416 # DEPENDENCYPART_ARC
(25,3),-4.16289 # DEPENDENCYPART_ARC
(25,4),-4.10194 # DEPENDENCYPART_ARC
(25,5),-4.26721 # DEPENDENCYPART_ARC
(25,6),-3.13435 # DEPENDENCYPART_ARC
(25,7),-3.57413 # DEPENDENCYPART_ARC
(25,8),-3.65712 # DEPENDENCYPART_ARC
(25,9),-2.25294 # DEPENDENCYPART_ARC
(25,10),-2.87892 # DEPENDENCYPART_ARC
(25,11),-2.33981 # DEPENDENCYPART_ARC
(25,12),-3.4821 # DEPENDENCYPART_ARC
(25,13),-2.43112 # DEPENDENCYPART_ARC
(25,14),-1.88308 # DEPENDENCYPART_ARC
(25,15),-1.16169 # DEPENDENCYPART_ARC
(25,16),-1.50473 # DEPENDENCYPART_ARC
(25,17),-3.60453 # DEPENDENCYPART_ARC
(25,18),-3.03624 # DEPENDENCYPART_ARC
(25,19),-2.29975 # DEPENDENCYPART_ARC
(25,20),-1.29257 # DEPENDENCYPART_ARC
(25,21),-2.20289 # DEPENDENCYPART_ARC
(25,22),-0.517745 # DEPENDENCYPART_ARC
(25,23),0.197821 # DEPENDENCYPART_ARC
(25,24),0.602063 # DEPENDENCYPART_ARC
(25,26),3.25131 # DEPENDENCYPART_ARC
(25,27),0.176826 # DEPENDENCYPART_ARC
(26,1),-2.21716 # DEPENDENCYPART_ARC
(26,2),-2.50805 # DEPENDENCYPART_ARC
(26,3),-2.54927 # DEPENDENCYPART_ARC
(26,4),-2.10081 # DEPENDENCYPART_ARC
(26,5),-2.26583 # DEPENDENCYPART_ARC
(26,6),-1.59326 # DEPENDENCYPART_ARC
(26,7),-2.27639 # DEPENDENCYPART_ARC
(26,8),-1.97021 # DEPENDENCYPART_ARC
(26,9),-1.94294 # DEPENDENCYPART_ARC
(26,10),-1.56568 # DEPENDENCYPART_ARC
(26,11),-1.52138 # DEPENDENCYPART_ARC
(26,12),-2.43038 # DEPENDENCYPART_ARC
(26,13),-1.13419 # DEPENDENCYPART_ARC
(26,14),-1.11809 # DEPENDENCYPART_ARC
(26,15),-1.29035 # DEPENDENCYPART_ARC
(26,16),-1.26847 # DEPENDENCYPART_ARC
(26,17),-1.72897 # DEPENDENCYPART_ARC
(26,18),-1.7397 # DEPENDENCYPART_ARC
(26,19),-2.23983 # DEPENDENCYPART_ARC
(26,20),-0.804692 # DEPENDENCYPART_ARC
(26,21),-1.83141 # DEPENDENCYPART_ARC
(26,22),0.230423 # DEPENDENCYPART_ARC
(26,23),-0.171091 # DEPENDENCYPART_ARC
(26,24),-0.373018 # DEPENDENCYPART_ARC
(26,25),0.524316 # DEPENDENCYPART_ARC
(26,27),1.58179 # DEPENDENCYPART_ARC
(27,4),-1.72382 # DEPENDENCYPART_ARC
(27,8),-1.7246 # DEPENDENCYPART_ARC
(27,14),-1.53525 # DEPENDENCYPART_ARC
(27,18),-1.61344 # DEPENDENCYPART_ARC
