# _root_ La top_ten prosegue con 10 chilometri di coda , sempre nel Veronese , fra Peschiera e Sommacampagna e altrettanti nell' innesto tra l' A / 1 e l' A / 4 nel Bolognese .
#goldHeads=2,3,0,3,6,4,6,7,8,11,8,11,12,3,14,14,14,6,6,19,20,21,24,22,24,25,24,29,24,29,30,21,32,33,
#predictedHeads=2,3,0,3,6,4,6,7,8,11,3,11,12,11,14,15,15,11,15,19,20,21,24,22,24,25,24,29,24,29,30,29,32,33,
(17,27),-0.518748 # DEPENDENCYPART_ARC
(17,28),-0.681608 # DEPENDENCYPART_ARC
(17,29),-0.364184 # DEPENDENCYPART_ARC
(17,30),-0.664775 # DEPENDENCYPART_ARC
(17,31),-1.20706 # DEPENDENCYPART_ARC
(17,32),-0.833407 # DEPENDENCYPART_ARC
(17,33),-1.73702 # DEPENDENCYPART_ARC
(17,34),-2.41586 # DEPENDENCYPART_ARC
(18,2),-3.04703 # DEPENDENCYPART_ARC
(18,3),-2.55232 # DEPENDENCYPART_ARC
(18,4),-1.97692 # DEPENDENCYPART_ARC
(18,5),-1.77493 # DEPENDENCYPART_ARC
(18,6),-2.65872 # DEPENDENCYPART_ARC
(18,7),-1.86532 # DEPENDENCYPART_ARC
(18,8),-2.92498 # DEPENDENCYPART_ARC
(18,9),-1.66798 # DEPENDENCYPART_ARC
(18,10),-1.53482 # DEPENDENCYPART_ARC
(18,11),-1.51517 # DEPENDENCYPART_ARC
(18,12),-1.90611 # DEPENDENCYPART_ARC
(18,13),-1.38568 # DEPENDENCYPART_ARC
(18,14),-1.16619 # DEPENDENCYPART_ARC
(18,15),-1.44379 # DEPENDENCYPART_ARC
(18,16),-0.43589 # DEPENDENCYPART_ARC
(18,17),-0.261723 # DEPENDENCYPART_ARC
(18,20),-1.27266 # DEPENDENCYPART_ARC
(18,21),-0.977057 # DEPENDENCYPART_ARC
(18,22),-1.35167 # DEPENDENCYPART_ARC
(18,24),-1.33921 # DEPENDENCYPART_ARC
(18,26),-1.20563 # DEPENDENCYPART_ARC
(18,27),-0.815716 # DEPENDENCYPART_ARC
(18,29),-1.38066 # DEPENDENCYPART_ARC
(18,31),-1.32745 # DEPENDENCYPART_ARC
(18,32),-1.70927 # DEPENDENCYPART_ARC
(18,33),-1.62429 # DEPENDENCYPART_ARC
(18,34),-0.961688 # DEPENDENCYPART_ARC
(19,1),-1.92989 # DEPENDENCYPART_ARC
(19,2),-3.03085 # DEPENDENCYPART_ARC
(19,3),-3.91934 # DEPENDENCYPART_ARC
(19,4),-2.32317 # DEPENDENCYPART_ARC
(19,6),-1.96787 # DEPENDENCYPART_ARC
(19,7),-2.28382 # DEPENDENCYPART_ARC
(19,8),-3.03915 # DEPENDENCYPART_ARC
(19,9),-2.08669 # DEPENDENCYPART_ARC
(19,10),-1.8385 # DEPENDENCYPART_ARC
(19,11),-2.01538 # DEPENDENCYPART_ARC
(19,12),-2.31134 # DEPENDENCYPART_ARC
(19,13),-1.88403 # DEPENDENCYPART_ARC
(19,14),-1.51824 # DEPENDENCYPART_ARC
(19,15),-2.35667 # DEPENDENCYPART_ARC
(19,16),-1.1213 # DEPENDENCYPART_ARC
(19,17),-1.86256 # DEPENDENCYPART_ARC
(19,18),0.0922986 # DEPENDENCYPART_ARC
(19,20),1.48611 # DEPENDENCYPART_ARC
(19,21),-0.123218 # DEPENDENCYPART_ARC
(19,22),-0.490088 # DEPENDENCYPART_ARC
(19,23),-0.942568 # DEPENDENCYPART_ARC
(19,24),-0.491522 # DEPENDENCYPART_ARC
(19,27),-0.472644 # DEPENDENCYPART_ARC
(19,28),-1.26472 # DEPENDENCYPART_ARC
(19,29),-0.749116 # DEPENDENCYPART_ARC
(19,32),-1.11775 # DEPENDENCYPART_ARC
(19,33),-1.29467 # DEPENDENCYPART_ARC
(19,34),-0.935905 # DEPENDENCYPART_ARC
(20,1),-1.96697 # DEPENDENCYPART_ARC
(20,2),-3.30949 # DEPENDENCYPART_ARC
(20,3),-3.0217 # DEPENDENCYPART_ARC
(20,4),-1.88325 # DEPENDENCYPART_ARC
(20,5),-2.09396 # DEPENDENCYPART_ARC
(20,6),-2.69254 # DEPENDENCYPART_ARC
(20,7),-1.73173 # DEPENDENCYPART_ARC
(20,8),-2.89851 # DEPENDENCYPART_ARC
(20,9),-1.96594 # DEPENDENCYPART_ARC
(20,10),-0.839888 # DEPENDENCYPART_ARC
(20,11),-1.71684 # DEPENDENCYPART_ARC
(20,12),-2.31364 # DEPENDENCYPART_ARC
(20,13),-1.68673 # DEPENDENCYPART_ARC
(20,14),-1.28967 # DEPENDENCYPART_ARC
(20,15),-2.53299 # DEPENDENCYPART_ARC
(20,16),-0.919927 # DEPENDENCYPART_ARC
(20,17),-2.0494 # DEPENDENCYPART_ARC
(20,18),-0.30205 # DEPENDENCYPART_ARC
(20,19),-0.0632467 # DEPENDENCYPART_ARC
(20,21),3.42017 # DEPENDENCYPART_ARC
(20,22),-0.276639 # DEPENDENCYPART_ARC
(20,23),-1.22529 # DEPENDENCYPART_ARC
(20,24),-0.735103 # DEPENDENCYPART_ARC
(20,25),-0.301564 # DEPENDENCYPART_ARC
(20,26),-0.745438 # DEPENDENCYPART_ARC
(20,27),-0.104746 # DEPENDENCYPART_ARC
(20,28),-1.55459 # DEPENDENCYPART_ARC
(20,29),-2.46208 # DEPENDENCYPART_ARC
(20,30),-0.536496 # DEPENDENCYPART_ARC
(20,31),-0.974138 # DEPENDENCYPART_ARC
(20,32),-0.0483575 # DEPENDENCYPART_ARC
(20,33),-1.03605 # DEPENDENCYPART_ARC
(20,34),-1.37241 # DEPENDENCYPART_ARC
(21,1),-4.40269 # DEPENDENCYPART_ARC
(21,2),-4.27079 # DEPENDENCYPART_ARC
(21,3),-3.15169 # DEPENDENCYPART_ARC
(21,4),-2.41776 # DEPENDENCYPART_ARC
(21,5),-2.31465 # DEPENDENCYPART_ARC
(21,6),-3.17783 # DEPENDENCYPART_ARC
(21,7),-2.62156 # DEPENDENCYPART_ARC
(21,8),-3.92188 # DEPENDENCYPART_ARC
(21,9),-3.32414 # DEPENDENCYPART_ARC
(21,10),-2.28956 # DEPENDENCYPART_ARC
(21,11),-2.04194 # DEPENDENCYPART_ARC
(21,12),-1.43315 # DEPENDENCYPART_ARC
(21,13),-3.15391 # DEPENDENCYPART_ARC
(21,14),-1.0877 # DEPENDENCYPART_ARC
(21,15),-2.66397 # DEPENDENCYPART_ARC
(21,16),-1.61521 # DEPENDENCYPART_ARC
(21,17),-2.23267 # DEPENDENCYPART_ARC
(21,18),-1.14787 # DEPENDENCYPART_ARC
(21,19),-0.292041 # DEPENDENCYPART_ARC
(21,20),0.808784 # DEPENDENCYPART_ARC
(21,22),1.2194 # DEPENDENCYPART_ARC
(21,23),-0.426965 # DEPENDENCYPART_ARC
(21,24),0.0271592 # DEPENDENCYPART_ARC
(21,25),-0.0283877 # DEPENDENCYPART_ARC
(21,26),-0.246842 # DEPENDENCYPART_ARC
(21,27),0.274798 # DEPENDENCYPART_ARC
(21,28),-0.805867 # DEPENDENCYPART_ARC
(21,29),-0.415948 # DEPENDENCYPART_ARC
(21,30),-0.302694 # DEPENDENCYPART_ARC
(21,31),-0.761548 # DEPENDENCYPART_ARC
(21,32),-0.24699 # DEPENDENCYPART_ARC
(21,33),-1.04374 # DEPENDENCYPART_ARC
(21,34),-1.63394 # DEPENDENCYPART_ARC
(22,1),-2.26629 # DEPENDENCYPART_ARC
(22,2),-2.5921 # DEPENDENCYPART_ARC
(22,3),-2.85516 # DEPENDENCYPART_ARC
(22,4),-2.00405 # DEPENDENCYPART_ARC
(22,5),-2.23435 # DEPENDENCYPART_ARC
(22,6),-2.47396 # DEPENDENCYPART_ARC
(22,7),-1.99147 # DEPENDENCYPART_ARC
(22,8),-2.40905 # DEPENDENCYPART_ARC
(22,9),-2.04159 # DEPENDENCYPART_ARC
(22,10),-1.37214 # DEPENDENCYPART_ARC
(22,11),-1.89403 # DEPENDENCYPART_ARC
(22,12),-2.42933 # DEPENDENCYPART_ARC
(22,13),-1.93116 # DEPENDENCYPART_ARC
(22,14),-1.49047 # DEPENDENCYPART_ARC
(22,15),-2.09559 # DEPENDENCYPART_ARC
(22,16),-1.36284 # DEPENDENCYPART_ARC
(22,17),-1.90211 # DEPENDENCYPART_ARC
(22,18),-1.12783 # DEPENDENCYPART_ARC
(22,19),-1.41772 # DEPENDENCYPART_ARC
(22,20),-0.559437 # DEPENDENCYPART_ARC
(22,21),-0.253101 # DEPENDENCYPART_ARC
(22,23),0.607494 # DEPENDENCYPART_ARC
(22,24),3.02873 # DEPENDENCYPART_ARC
(22,25),0.429622 # DEPENDENCYPART_ARC
(22,26),-0.0810212 # DEPENDENCYPART_ARC
(22,27),0.0685614 # DEPENDENCYPART_ARC
(22,28),-0.835828 # DEPENDENCYPART_ARC
(22,29),-0.0584414 # DEPENDENCYPART_ARC
(22,30),-0.0589929 # DEPENDENCYPART_ARC
(22,31),-0.22146 # DEPENDENCYPART_ARC
(22,32),-0.327219 # DEPENDENCYPART_ARC
(22,33),-0.217601 # DEPENDENCYPART_ARC
(22,34),-0.954988 # DEPENDENCYPART_ARC
(23,2),-3.49423 # DEPENDENCYPART_ARC
(23,3),-4.20283 # DEPENDENCYPART_ARC
(23,4),-2.94341 # DEPENDENCYPART_ARC
(23,5),-2.54137 # DEPENDENCYPART_ARC
(23,6),-3.42412 # DEPENDENCYPART_ARC
(23,7),-3.11603 # DEPENDENCYPART_ARC
(23,8),-3.64417 # DEPENDENCYPART_ARC
(23,9),-2.43084 # DEPENDENCYPART_ARC
(23,11),-3.22221 # DEPENDENCYPART_ARC
(23,13),-2.26262 # DEPENDENCYPART_ARC
(23,14),-2.70963 # DEPENDENCYPART_ARC
(23,20),-2.13158 # DEPENDENCYPART_ARC
(23,21),-2.21313 # DEPENDENCYPART_ARC
(23,22),-0.373384 # DEPENDENCYPART_ARC
(23,24),2.11805 # DEPENDENCYPART_ARC
(23,26),-0.115138 # DEPENDENCYPART_ARC
(23,29),0.356557 # DEPENDENCYPART_ARC
(23,31),-0.513965 # DEPENDENCYPART_ARC
(23,32),-0.98882 # DEPENDENCYPART_ARC
(23,34),-0.396494 # DEPENDENCYPART_ARC
(24,1),-4.10855 # DEPENDENCYPART_ARC
(24,2),-2.78927 # DEPENDENCYPART_ARC
(24,3),-3.19952 # DEPENDENCYPART_ARC
(24,4),-1.89359 # DEPENDENCYPART_ARC
(24,5),-1.95471 # DEPENDENCYPART_ARC
(24,6),-3.33502 # DEPENDENCYPART_ARC
(24,7),-2.17992 # DEPENDENCYPART_ARC
(24,8),-3.77574 # DEPENDENCYPART_ARC
(24,9),-2.93438 # DEPENDENCYPART_ARC
(24,10),-1.75467 # DEPENDENCYPART_ARC
(24,11),-1.93942 # DEPENDENCYPART_ARC
(24,12),-1.82218 # DEPENDENCYPART_ARC
(24,13),-2.80556 # DEPENDENCYPART_ARC
(24,14),-0.602892 # DEPENDENCYPART_ARC
(24,15),-0.730381 # DEPENDENCYPART_ARC
(24,16),-1.33436 # DEPENDENCYPART_ARC
(24,17),-0.722915 # DEPENDENCYPART_ARC
(24,18),-1.2244 # DEPENDENCYPART_ARC
(24,19),-1.31914 # DEPENDENCYPART_ARC
(24,20),-0.366541 # DEPENDENCYPART_ARC
(24,21),-2.06652 # DEPENDENCYPART_ARC
(24,22),0.597135 # DEPENDENCYPART_ARC
(24,23),3.04386 # DEPENDENCYPART_ARC
(24,25),2.04198 # DEPENDENCYPART_ARC
(24,26),0.886347 # DEPENDENCYPART_ARC
(24,27),1.67719 # DEPENDENCYPART_ARC
(24,28),0.644827 # DEPENDENCYPART_ARC
(24,29),1.61253 # DEPENDENCYPART_ARC
(24,30),0.750133 # DEPENDENCYPART_ARC
(24,31),0.114021 # DEPENDENCYPART_ARC
(24,32),0.42664 # DEPENDENCYPART_ARC
(24,33),0.138774 # DEPENDENCYPART_ARC
(24,34),-0.47118 # DEPENDENCYPART_ARC
(25,2),-2.20693 # DEPENDENCYPART_ARC
(25,4),-1.83541 # DEPENDENCYPART_ARC
(25,5),-1.7914 # DEPENDENCYPART_ARC
(25,6),-1.90307 # DEPENDENCYPART_ARC
(25,7),-1.73892 # DEPENDENCYPART_ARC
(25,8),-1.95823 # DEPENDENCYPART_ARC
(25,9),-1.7685 # DEPENDENCYPART_ARC
(25,10),-1.45503 # DEPENDENCYPART_ARC
(25,11),-1.71639 # DEPENDENCYPART_ARC
(25,13),-1.62994 # DEPENDENCYPART_ARC
(25,14),-1.68948 # DEPENDENCYPART_ARC
(25,15),-1.82424 # DEPENDENCYPART_ARC
(25,17),-1.75921 # DEPENDENCYPART_ARC
(25,20),-1.19656 # DEPENDENCYPART_ARC
(25,21),-1.39585 # DEPENDENCYPART_ARC
(25,22),-0.720258 # DEPENDENCYPART_ARC
(25,24),0.0225713 # DEPENDENCYPART_ARC
(25,26),1.79151 # DEPENDENCYPART_ARC
(25,29),0.427858 # DEPENDENCYPART_ARC
(25,30),0.388902 # DEPENDENCYPART_ARC
(25,31),0.499722 # DEPENDENCYPART_ARC
(25,32),0.227104 # DEPENDENCYPART_ARC
(25,34),0.426719 # DEPENDENCYPART_ARC
(26,1),-1.42859 # DEPENDENCYPART_ARC
(26,2),-2.2754 # DEPENDENCYPART_ARC
(26,3),-2.31226 # DEPENDENCYPART_ARC
(26,4),-2.12585 # DEPENDENCYPART_ARC
(26,5),-1.78441 # DEPENDENCYPART_ARC
(26,6),-2.14002 # DEPENDENCYPART_ARC
(26,7),-1.75147 # DEPENDENCYPART_ARC
(26,8),-2.11694 # DEPENDENCYPART_ARC
(26,9),-1.51891 # DEPENDENCYPART_ARC
(26,10),-1.3681 # DEPENDENCYPART_ARC
(26,11),-1.92118 # DEPENDENCYPART_ARC
(26,12),-1.46425 # DEPENDENCYPART_ARC
(26,13),-1.4274 # DEPENDENCYPART_ARC
(26,14),-1.51004 # DEPENDENCYPART_ARC
(26,16),-1.2215 # DEPENDENCYPART_ARC
(26,18),-1.15647 # DEPENDENCYPART_ARC
(26,19),-1.16137 # DEPENDENCYPART_ARC
(26,20),-1.19623 # DEPENDENCYPART_ARC
(26,21),-1.4907 # DEPENDENCYPART_ARC
(26,22),-0.756786 # DEPENDENCYPART_ARC
(26,23),0.185814 # DEPENDENCYPART_ARC
(26,24),-0.733544 # DEPENDENCYPART_ARC
(26,25),0.591323 # DEPENDENCYPART_ARC
(26,27),1.02958 # DEPENDENCYPART_ARC
(26,28),0.0586636 # DEPENDENCYPART_ARC
(26,29),-0.0741068 # DEPENDENCYPART_ARC
(26,30),0.0604549 # DEPENDENCYPART_ARC
(26,31),0.429316 # DEPENDENCYPART_ARC
(26,32),-0.542221 # DEPENDENCYPART_ARC
(26,33),-0.485921 # DEPENDENCYPART_ARC
(26,34),-0.0559656 # DEPENDENCYPART_ARC
(27,2),-3.61036 # DEPENDENCYPART_ARC
(27,3),-2.81477 # DEPENDENCYPART_ARC
(27,4),-2.43683 # DEPENDENCYPART_ARC
(27,5),-2.24377 # DEPENDENCYPART_ARC
(27,6),-3.32309 # DEPENDENCYPART_ARC
(27,7),-2.19039 # DEPENDENCYPART_ARC
(27,8),-3.72426 # DEPENDENCYPART_ARC
(27,9),-1.986 # DEPENDENCYPART_ARC
(27,10),-1.99633 # DEPENDENCYPART_ARC
(27,11),-2.14802 # DEPENDENCYPART_ARC
(27,12),-2.41843 # DEPENDENCYPART_ARC
(27,13),-1.94038 # DEPENDENCYPART_ARC
(27,14),-1.98337 # DEPENDENCYPART_ARC
(27,15),-2.688 # DEPENDENCYPART_ARC
(27,16),-1.60482 # DEPENDENCYPART_ARC
(27,17),-2.58101 # DEPENDENCYPART_ARC
(27,18),-1.45882 # DEPENDENCYPART_ARC
(27,20),-1.71821 # DEPENDENCYPART_ARC
(27,21),-2.25731 # DEPENDENCYPART_ARC
(27,22),-1.49858 # DEPENDENCYPART_ARC
(27,24),-1.53164 # DEPENDENCYPART_ARC
(27,26),-0.0607738 # DEPENDENCYPART_ARC
(27,29),-0.449651 # DEPENDENCYPART_ARC
(27,31),-0.90112 # DEPENDENCYPART_ARC
(27,32),-1.31605 # DEPENDENCYPART_ARC
(27,33),-1.2448 # DEPENDENCYPART_ARC
(27,34),-0.565534 # DEPENDENCYPART_ARC
(28,2),-3.91182 # DEPENDENCYPART_ARC
(28,3),-4.69517 # DEPENDENCYPART_ARC
(28,4),-3.61828 # DEPENDENCYPART_ARC
(28,5),-3.09239 # DEPENDENCYPART_ARC
(28,6),-3.98407 # DEPENDENCYPART_ARC
(28,7),-3.74784 # DEPENDENCYPART_ARC
(28,8),-4.07934 # DEPENDENCYPART_ARC
(28,9),-2.83409 # DEPENDENCYPART_ARC
(28,11),-3.85629 # DEPENDENCYPART_ARC
(28,13),-2.83783 # DEPENDENCYPART_ARC
(28,14),-3.52455 # DEPENDENCYPART_ARC
(28,20),-3.43686 # DEPENDENCYPART_ARC
(28,21),-3.5001 # DEPENDENCYPART_ARC
(28,22),-2.70648 # DEPENDENCYPART_ARC
(28,24),-2.70368 # DEPENDENCYPART_ARC
(28,26),-1.72975 # DEPENDENCYPART_ARC
(28,29),1.89018 # DEPENDENCYPART_ARC
(28,31),-0.265563 # DEPENDENCYPART_ARC
(28,32),-0.782203 # DEPENDENCYPART_ARC
(28,34),-0.307301 # DEPENDENCYPART_ARC
(29,1),-4.55259 # DEPENDENCYPART_ARC
(29,2),-2.67995 # DEPENDENCYPART_ARC
(29,3),-2.9617 # DEPENDENCYPART_ARC
(29,4),-1.84924 # DEPENDENCYPART_ARC
(29,5),-1.80953 # DEPENDENCYPART_ARC
(29,6),-3.37915 # DEPENDENCYPART_ARC
(29,7),-2.25067 # DEPENDENCYPART_ARC
(29,8),-3.70553 # DEPENDENCYPART_ARC
(29,9),-2.92715 # DEPENDENCYPART_ARC
(29,10),-1.54305 # DEPENDENCYPART_ARC
(29,11),-1.92922 # DEPENDENCYPART_ARC
(29,12),-1.82756 # DEPENDENCYPART_ARC
(29,13),-2.84226 # DEPENDENCYPART_ARC
(29,14),-0.538344 # DEPENDENCYPART_ARC
(29,15),-0.803097 # DEPENDENCYPART_ARC
(29,16),-1.24325 # DEPENDENCYPART_ARC
(29,17),-0.760821 # DEPENDENCYPART_ARC
(29,18),-1.31559 # DEPENDENCYPART_ARC
(29,19),-1.66115 # DEPENDENCYPART_ARC
(29,20),-0.850892 # DEPENDENCYPART_ARC
(29,21),-2.88908 # DEPENDENCYPART_ARC
(29,22),-0.31228 # DEPENDENCYPART_ARC
(29,23),-0.134008 # DEPENDENCYPART_ARC
(29,24),-0.0874133 # DEPENDENCYPART_ARC
(29,25),-0.626875 # DEPENDENCYPART_ARC
(29,26),0.406224 # DEPENDENCYPART_ARC
(29,27),0.239463 # DEPENDENCYPART_ARC
(29,28),3.21805 # DEPENDENCYPART_ARC
(29,30),2.00187 # DEPENDENCYPART_ARC
(29,31),0.758231 # DEPENDENCYPART_ARC
(29,32),0.776208 # DEPENDENCYPART_ARC
(29,33),0.847631 # DEPENDENCYPART_ARC
(29,34),-0.103346 # DEPENDENCYPART_ARC
(30,2),-2.18799 # DEPENDENCYPART_ARC
(30,4),-1.85453 # DEPENDENCYPART_ARC
(30,5),-1.89963 # DEPENDENCYPART_ARC
(30,6),-2.05215 # DEPENDENCYPART_ARC
(30,7),-1.9257 # DEPENDENCYPART_ARC
(30,8),-2.1102 # DEPENDENCYPART_ARC
(30,9),-1.80413 # DEPENDENCYPART_ARC
(30,10),-1.48221 # DEPENDENCYPART_ARC
(30,11),-1.67806 # DEPENDENCYPART_ARC
(30,13),-1.75201 # DEPENDENCYPART_ARC
(30,14),-1.77012 # DEPENDENCYPART_ARC
(30,15),-1.97163 # DEPENDENCYPART_ARC
(30,17),-1.85721 # DEPENDENCYPART_ARC
(30,20),-1.55012 # DEPENDENCYPART_ARC
(30,21),-1.77951 # DEPENDENCYPART_ARC
(30,22),-1.47456 # DEPENDENCYPART_ARC
(30,24),-1.70364 # DEPENDENCYPART_ARC
(30,25),-1.34987 # DEPENDENCYPART_ARC
(30,26),-1.20694 # DEPENDENCYPART_ARC
(30,29),0.0093476 # DEPENDENCYPART_ARC
(30,31),1.81644 # DEPENDENCYPART_ARC
(30,32),0.699682 # DEPENDENCYPART_ARC
(30,34),0.562836 # DEPENDENCYPART_ARC
(31,1),-1.24637 # DEPENDENCYPART_ARC
(31,2),-2.18557 # DEPENDENCYPART_ARC
(31,3),-2.09808 # DEPENDENCYPART_ARC
(31,4),-2.04626 # DEPENDENCYPART_ARC
(31,5),-1.5936 # DEPENDENCYPART_ARC
(31,6),-2.11628 # DEPENDENCYPART_ARC
(31,7),-1.83328 # DEPENDENCYPART_ARC
(31,8),-2.128 # DEPENDENCYPART_ARC
(31,9),-1.44356 # DEPENDENCYPART_ARC
(31,10),-1.22193 # DEPENDENCYPART_ARC
(31,11),-1.87942 # DEPENDENCYPART_ARC
(31,12),-1.20977 # DEPENDENCYPART_ARC
(31,13),-1.36125 # DEPENDENCYPART_ARC
(31,14),-1.52517 # DEPENDENCYPART_ARC
(31,16),-1.16985 # DEPENDENCYPART_ARC
(31,18),-1.05544 # DEPENDENCYPART_ARC
(31,19),-1.17246 # DEPENDENCYPART_ARC
(31,20),-1.42808 # DEPENDENCYPART_ARC
(31,21),-1.67565 # DEPENDENCYPART_ARC
(31,22),-1.1147 # DEPENDENCYPART_ARC
(31,23),-0.437912 # DEPENDENCYPART_ARC
(31,24),-1.54685 # DEPENDENCYPART_ARC
(31,25),-1.06805 # DEPENDENCYPART_ARC
(31,26),-0.737406 # DEPENDENCYPART_ARC
(31,27),-0.705781 # DEPENDENCYPART_ARC
(31,28),0.413765 # DEPENDENCYPART_ARC
(31,29),-0.557173 # DEPENDENCYPART_ARC
(31,30),0.773558 # DEPENDENCYPART_ARC
(31,32),0.602344 # DEPENDENCYPART_ARC
(31,33),0.199268 # DEPENDENCYPART_ARC
(31,34),0.0190019 # DEPENDENCYPART_ARC
(32,1),-2.04597 # DEPENDENCYPART_ARC
(32,2),-3.27335 # DEPENDENCYPART_ARC
(32,3),-2.90569 # DEPENDENCYPART_ARC
(32,4),-1.9165 # DEPENDENCYPART_ARC
(32,5),-1.99355 # DEPENDENCYPART_ARC
(32,6),-2.54792 # DEPENDENCYPART_ARC
(32,7),-1.94829 # DEPENDENCYPART_ARC
(32,8),-2.92377 # DEPENDENCYPART_ARC
(32,9),-1.77523 # DEPENDENCYPART_ARC
(32,10),-1.20279 # DEPENDENCYPART_ARC
(32,11),-1.99891 # DEPENDENCYPART_ARC
(32,12),-2.28858 # DEPENDENCYPART_ARC
(32,13),-1.53825 # DEPENDENCYPART_ARC
(32,14),-1.53423 # DEPENDENCYPART_ARC
(32,15),-2.79859 # DEPENDENCYPART_ARC
(32,16),-1.55443 # DEPENDENCYPART_ARC
(32,17),-2.79096 # DEPENDENCYPART_ARC
(32,18),-1.42079 # DEPENDENCYPART_ARC
(32,19),-1.75444 # DEPENDENCYPART_ARC
(32,20),-1.59695 # DEPENDENCYPART_ARC
(32,21),-2.40522 # DEPENDENCYPART_ARC
(32,22),-1.30341 # DEPENDENCYPART_ARC
(32,23),-1.3081 # DEPENDENCYPART_ARC
(32,24),-2.47701 # DEPENDENCYPART_ARC
(32,25),-1.39961 # DEPENDENCYPART_ARC
(32,26),-1.57057 # DEPENDENCYPART_ARC
(32,27),-0.909533 # DEPENDENCYPART_ARC
(32,28),-0.847014 # DEPENDENCYPART_ARC
(32,29),-1.77944 # DEPENDENCYPART_ARC
(32,30),-0.526722 # DEPENDENCYPART_ARC
(32,31),0.213365 # DEPENDENCYPART_ARC
(32,33),2.31758 # DEPENDENCYPART_ARC
(32,34),0.578384 # DEPENDENCYPART_ARC
(33,1),-2.40279 # DEPENDENCYPART_ARC
(33,2),-3.74216 # DEPENDENCYPART_ARC
(33,3),-4.54706 # DEPENDENCYPART_ARC
(33,4),-2.68348 # DEPENDENCYPART_ARC
(33,5),-2.30295 # DEPENDENCYPART_ARC
(33,6),-3.75512 # DEPENDENCYPART_ARC
(33,7),-2.78996 # DEPENDENCYPART_ARC
(33,8),-3.57508 # DEPENDENCYPART_ARC
(33,9),-2.71632 # DEPENDENCYPART_ARC
(33,10),-3.29379 # DEPENDENCYPART_ARC
(33,11),-3.32094 # DEPENDENCYPART_ARC
(33,12),-2.47642 # DEPENDENCYPART_ARC
(33,13),-2.63968 # DEPENDENCYPART_ARC
(33,14),-2.19263 # DEPENDENCYPART_ARC
(33,15),-2.79511 # DEPENDENCYPART_ARC
(33,16),-2.71113 # DEPENDENCYPART_ARC
(33,17),-2.80009 # DEPENDENCYPART_ARC
(33,18),-2.61844 # DEPENDENCYPART_ARC
(33,19),-3.07585 # DEPENDENCYPART_ARC
(33,20),-2.856 # DEPENDENCYPART_ARC
(33,21),-2.90925 # DEPENDENCYPART_ARC
(33,22),-2.05263 # DEPENDENCYPART_ARC
(33,23),-1.74355 # DEPENDENCYPART_ARC
(33,24),-2.43174 # DEPENDENCYPART_ARC
(33,26),-1.82856 # DEPENDENCYPART_ARC
(33,27),-2.00628 # DEPENDENCYPART_ARC
(33,28),-1.37361 # DEPENDENCYPART_ARC
(33,29),-1.97742 # DEPENDENCYPART_ARC
(33,31),-0.693137 # DEPENDENCYPART_ARC
(33,32),-0.417139 # DEPENDENCYPART_ARC
(33,34),2.63185 # DEPENDENCYPART_ARC
(34,1),-1.92739 # DEPENDENCYPART_ARC
(34,9),-1.87764 # DEPENDENCYPART_ARC
(34,13),-1.84568 # DEPENDENCYPART_ARC
(34,23),-1.6044 # DEPENDENCYPART_ARC
(34,28),-1.30731 # DEPENDENCYPART_ARC
