# _root_ I bambini applaudono , le nonne in veste nera si affacciano dai balconi e sorridono , sulle antenne delle auto ci sono le bandiere .
#goldHeads=2,3,0,3,6,11,6,7,8,11,3,11,12,11,11,3,22,17,18,19,22,3,24,22,24,
#predictedHeads=2,3,0,3,6,3,6,7,8,11,6,11,12,11,11,15,15,17,18,19,22,0,24,22,24,
(23,20),-1.40447 # DEPENDENCYPART_ARC
(23,22),-0.698912 # DEPENDENCYPART_ARC
(23,24),1.12074 # DEPENDENCYPART_ARC
(23,25),-0.354485 # DEPENDENCYPART_ARC
(24,1),-3.87317 # DEPENDENCYPART_ARC
(24,2),-2.66791 # DEPENDENCYPART_ARC
(24,3),-3.40337 # DEPENDENCYPART_ARC
(24,4),-3.27799 # DEPENDENCYPART_ARC
(24,5),-2.70582 # DEPENDENCYPART_ARC
(24,6),-1.85706 # DEPENDENCYPART_ARC
(24,7),-1.92688 # DEPENDENCYPART_ARC
(24,8),-2.52957 # DEPENDENCYPART_ARC
(24,9),-2.62956 # DEPENDENCYPART_ARC
(24,10),-1.88651 # DEPENDENCYPART_ARC
(24,11),-2.89469 # DEPENDENCYPART_ARC
(24,12),-0.999348 # DEPENDENCYPART_ARC
(24,13),-1.47385 # DEPENDENCYPART_ARC
(24,14),-1.57999 # DEPENDENCYPART_ARC
(24,15),-2.90492 # DEPENDENCYPART_ARC
(24,16),-2.62632 # DEPENDENCYPART_ARC
(24,17),-0.548588 # DEPENDENCYPART_ARC
(24,18),-0.515227 # DEPENDENCYPART_ARC
(24,19),-0.282702 # DEPENDENCYPART_ARC
(24,20),-0.424767 # DEPENDENCYPART_ARC
(24,21),-0.0842915 # DEPENDENCYPART_ARC
(24,22),-1.33968 # DEPENDENCYPART_ARC
(24,23),3.44892 # DEPENDENCYPART_ARC
(24,25),2.44648 # DEPENDENCYPART_ARC
(25,1),-1.93316 # DEPENDENCYPART_ARC
(25,4),-2.11308 # DEPENDENCYPART_ARC
(25,5),-1.90498 # DEPENDENCYPART_ARC
(25,16),-1.84837 # DEPENDENCYPART_ARC
(25,23),-0.311245 # DEPENDENCYPART_ARC
