# _root_ Alle 10,30 radiografie ( quarto piano ) , poi le analisi del sangue e ciò che il medico ha scelto nel " menu " .
#goldHeads=3,1,0,5,6,3,6,3,11,11,3,11,12,3,3,20,18,20,20,15,20,23,21,23,24,
#predictedHeads=11,3,1,5,6,3,6,7,11,11,0,11,12,13,13,20,18,15,20,15,20,23,21,23,24,
(21,4),-1.16691 # DEPENDENCYPART_ARC
(21,5),-1.70223 # DEPENDENCYPART_ARC
(21,6),-2.37028 # DEPENDENCYPART_ARC
(21,7),-1.73929 # DEPENDENCYPART_ARC
(21,8),-1.58017 # DEPENDENCYPART_ARC
(21,9),-1.12886 # DEPENDENCYPART_ARC
(21,10),-1.70568 # DEPENDENCYPART_ARC
(21,11),-2.72092 # DEPENDENCYPART_ARC
(21,12),-1.48741 # DEPENDENCYPART_ARC
(21,13),-2.13313 # DEPENDENCYPART_ARC
(21,14),-1.12062 # DEPENDENCYPART_ARC
(21,15),-1.40099 # DEPENDENCYPART_ARC
(21,16),-1.42062 # DEPENDENCYPART_ARC
(21,17),-0.793948 # DEPENDENCYPART_ARC
(21,18),-1.13367 # DEPENDENCYPART_ARC
(21,19),-1.12968 # DEPENDENCYPART_ARC
(21,20),-0.493476 # DEPENDENCYPART_ARC
(21,22),1.24183 # DEPENDENCYPART_ARC
(21,23),3.20155 # DEPENDENCYPART_ARC
(21,24),0.330099 # DEPENDENCYPART_ARC
(21,25),0.268192 # DEPENDENCYPART_ARC
(22,1),-2.6077 # DEPENDENCYPART_ARC
(22,2),-2.68727 # DEPENDENCYPART_ARC
(22,3),-2.95957 # DEPENDENCYPART_ARC
(22,4),-2.33615 # DEPENDENCYPART_ARC
(22,5),-2.66904 # DEPENDENCYPART_ARC
(22,6),-3.01715 # DEPENDENCYPART_ARC
(22,7),-2.54997 # DEPENDENCYPART_ARC
(22,8),-2.60607 # DEPENDENCYPART_ARC
(22,9),-2.62905 # DEPENDENCYPART_ARC
(22,10),-2.34981 # DEPENDENCYPART_ARC
(22,11),-2.96176 # DEPENDENCYPART_ARC
(22,12),-2.31916 # DEPENDENCYPART_ARC
(22,13),-2.80746 # DEPENDENCYPART_ARC
(22,14),-2.34925 # DEPENDENCYPART_ARC
(22,15),-2.4007 # DEPENDENCYPART_ARC
(22,16),-2.37753 # DEPENDENCYPART_ARC
(22,17),-1.87395 # DEPENDENCYPART_ARC
(22,18),-2.42029 # DEPENDENCYPART_ARC
(22,19),-2.49093 # DEPENDENCYPART_ARC
(22,20),-1.82643 # DEPENDENCYPART_ARC
(22,21),-0.41722 # DEPENDENCYPART_ARC
(22,23),-0.474418 # DEPENDENCYPART_ARC
(22,24),-0.364897 # DEPENDENCYPART_ARC
(22,25),0.0499385 # DEPENDENCYPART_ARC
(23,1),-1.13171 # DEPENDENCYPART_ARC
(23,2),-1.08519 # DEPENDENCYPART_ARC
(23,3),-2.86012 # DEPENDENCYPART_ARC
(23,4),-1.22749 # DEPENDENCYPART_ARC
(23,5),-0.615844 # DEPENDENCYPART_ARC
(23,6),-3.05538 # DEPENDENCYPART_ARC
(23,7),-1.65017 # DEPENDENCYPART_ARC
(23,8),-2.17294 # DEPENDENCYPART_ARC
(23,9),-0.367142 # DEPENDENCYPART_ARC
(23,10),-1.06974 # DEPENDENCYPART_ARC
(23,11),-1.79057 # DEPENDENCYPART_ARC
(23,12),-0.554056 # DEPENDENCYPART_ARC
(23,13),-2.00055 # DEPENDENCYPART_ARC
(23,14),-0.697386 # DEPENDENCYPART_ARC
(23,15),-0.254175 # DEPENDENCYPART_ARC
(23,16),-0.221273 # DEPENDENCYPART_ARC
(23,17),0.295709 # DEPENDENCYPART_ARC
(23,18),-0.199984 # DEPENDENCYPART_ARC
(23,19),-0.963366 # DEPENDENCYPART_ARC
(23,20),0.244 # DEPENDENCYPART_ARC
(23,21),1.22115 # DEPENDENCYPART_ARC
(23,22),2.49096 # DEPENDENCYPART_ARC
(23,24),2.61263 # DEPENDENCYPART_ARC
(23,25),0.438481 # DEPENDENCYPART_ARC
(24,1),-2.0103 # DEPENDENCYPART_ARC
(24,2),-2.14248 # DEPENDENCYPART_ARC
(24,3),-2.54618 # DEPENDENCYPART_ARC
(24,4),-1.70595 # DEPENDENCYPART_ARC
(24,5),-1.98339 # DEPENDENCYPART_ARC
(24,6),-2.43833 # DEPENDENCYPART_ARC
(24,7),-1.9018 # DEPENDENCYPART_ARC
(24,8),-1.94168 # DEPENDENCYPART_ARC
(24,9),-2.11718 # DEPENDENCYPART_ARC
(24,10),-1.83921 # DEPENDENCYPART_ARC
(24,11),-2.27498 # DEPENDENCYPART_ARC
(24,12),-1.74803 # DEPENDENCYPART_ARC
(24,13),-2.34749 # DEPENDENCYPART_ARC
(24,14),-1.75216 # DEPENDENCYPART_ARC
(24,15),-1.87035 # DEPENDENCYPART_ARC
(24,16),-1.85416 # DEPENDENCYPART_ARC
(24,17),-1.42233 # DEPENDENCYPART_ARC
(24,18),-2.00821 # DEPENDENCYPART_ARC
(24,19),-2.30992 # DEPENDENCYPART_ARC
(24,20),-2.1479 # DEPENDENCYPART_ARC
(24,21),-0.846896 # DEPENDENCYPART_ARC
(24,22),-0.74585 # DEPENDENCYPART_ARC
(24,23),-0.427185 # DEPENDENCYPART_ARC
(24,25),2.62503 # DEPENDENCYPART_ARC
(25,1),-1.52121 # DEPENDENCYPART_ARC
(25,2),-1.75902 # DEPENDENCYPART_ARC
(25,3),-2.07504 # DEPENDENCYPART_ARC
(25,4),-1.53151 # DEPENDENCYPART_ARC
(25,5),-1.63569 # DEPENDENCYPART_ARC
(25,6),-1.89106 # DEPENDENCYPART_ARC
(25,7),-1.54186 # DEPENDENCYPART_ARC
(25,8),-1.59336 # DEPENDENCYPART_ARC
(25,9),-1.71976 # DEPENDENCYPART_ARC
(25,10),-1.42765 # DEPENDENCYPART_ARC
(25,11),-1.95758 # DEPENDENCYPART_ARC
(25,12),-1.2996 # DEPENDENCYPART_ARC
(25,13),-1.81445 # DEPENDENCYPART_ARC
(25,14),-1.3862 # DEPENDENCYPART_ARC
(25,15),-1.485 # DEPENDENCYPART_ARC
(25,16),-1.44115 # DEPENDENCYPART_ARC
(25,17),-1.20091 # DEPENDENCYPART_ARC
(25,18),-1.58729 # DEPENDENCYPART_ARC
(25,19),-1.95764 # DEPENDENCYPART_ARC
(25,20),-1.83538 # DEPENDENCYPART_ARC
(25,21),-0.759071 # DEPENDENCYPART_ARC
(25,22),-0.786811 # DEPENDENCYPART_ARC
(25,23),-0.840549 # DEPENDENCYPART_ARC
(25,24),0.590681 # DEPENDENCYPART_ARC
