# _root_ A casa c' è soltanto la madre , che conferma : " Sì , Gabriella ieri sera è uscita con il suo ragazzo .
#goldHeads=4,1,4,0,7,7,4,7,10,7,10,13,19,13,19,19,16,19,10,19,23,23,20,23,
#predictedHeads=4,1,4,0,4,7,4,7,10,7,10,13,19,13,19,19,19,19,7,19,23,23,20,23,
(22,2),-2.98151 # DEPENDENCYPART_ARC
(22,3),-1.92676 # DEPENDENCYPART_ARC
(22,4),-2.05004 # DEPENDENCYPART_ARC
(22,5),-2.19245 # DEPENDENCYPART_ARC
(22,6),-1.68044 # DEPENDENCYPART_ARC
(22,7),-2.93238 # DEPENDENCYPART_ARC
(22,8),-2.25303 # DEPENDENCYPART_ARC
(22,9),-0.837072 # DEPENDENCYPART_ARC
(22,10),-1.7819 # DEPENDENCYPART_ARC
(22,11),-1.66362 # DEPENDENCYPART_ARC
(22,12),-1.14869 # DEPENDENCYPART_ARC
(22,13),-1.63674 # DEPENDENCYPART_ARC
(22,14),-1.66703 # DEPENDENCYPART_ARC
(22,15),-1.82136 # DEPENDENCYPART_ARC
(22,16),-1.13208 # DEPENDENCYPART_ARC
(22,17),-1.99129 # DEPENDENCYPART_ARC
(22,18),-1.34526 # DEPENDENCYPART_ARC
(22,19),-1.95311 # DEPENDENCYPART_ARC
(22,20),0.225117 # DEPENDENCYPART_ARC
(22,21),1.19599 # DEPENDENCYPART_ARC
(22,23),0.87239 # DEPENDENCYPART_ARC
(22,24),-0.357781 # DEPENDENCYPART_ARC
(23,1),-1.13957 # DEPENDENCYPART_ARC
(23,2),-2.39207 # DEPENDENCYPART_ARC
(23,3),-1.39559 # DEPENDENCYPART_ARC
(23,4),-2.0737 # DEPENDENCYPART_ARC
(23,5),-0.811966 # DEPENDENCYPART_ARC
(23,6),-2.43051 # DEPENDENCYPART_ARC
(23,7),-3.36411 # DEPENDENCYPART_ARC
(23,8),-2.56479 # DEPENDENCYPART_ARC
(23,9),-1.17104 # DEPENDENCYPART_ARC
(23,10),-1.76853 # DEPENDENCYPART_ARC
(23,11),-2.11823 # DEPENDENCYPART_ARC
(23,12),-1.31598 # DEPENDENCYPART_ARC
(23,13),-0.507884 # DEPENDENCYPART_ARC
(23,14),-2.01116 # DEPENDENCYPART_ARC
(23,15),-1.22915 # DEPENDENCYPART_ARC
(23,16),-0.631571 # DEPENDENCYPART_ARC
(23,17),-2.06533 # DEPENDENCYPART_ARC
(23,18),-1.37517 # DEPENDENCYPART_ARC
(23,19),-0.913594 # DEPENDENCYPART_ARC
(23,20),0.456662 # DEPENDENCYPART_ARC
(23,21),3.1256 # DEPENDENCYPART_ARC
(23,22),4.02889 # DEPENDENCYPART_ARC
(23,24),3.03689 # DEPENDENCYPART_ARC
(24,1),-2.53741 # DEPENDENCYPART_ARC
(24,2),-3.02541 # DEPENDENCYPART_ARC
(24,3),-2.79177 # DEPENDENCYPART_ARC
(24,4),-3.15636 # DEPENDENCYPART_ARC
(24,5),-2.61208 # DEPENDENCYPART_ARC
(24,6),-2.36892 # DEPENDENCYPART_ARC
(24,7),-2.9535 # DEPENDENCYPART_ARC
(24,8),-2.53546 # DEPENDENCYPART_ARC
(24,9),-2.57206 # DEPENDENCYPART_ARC
(24,10),-3.13791 # DEPENDENCYPART_ARC
(24,11),-2.35182 # DEPENDENCYPART_ARC
(24,12),-2.47017 # DEPENDENCYPART_ARC
(24,13),-2.6023 # DEPENDENCYPART_ARC
(24,14),-2.3683 # DEPENDENCYPART_ARC
(24,15),-2.63234 # DEPENDENCYPART_ARC
(24,16),-2.35723 # DEPENDENCYPART_ARC
(24,17),-2.51422 # DEPENDENCYPART_ARC
(24,18),-2.8235 # DEPENDENCYPART_ARC
(24,19),-2.70124 # DEPENDENCYPART_ARC
(24,20),-1.62493 # DEPENDENCYPART_ARC
(24,21),-1.25383 # DEPENDENCYPART_ARC
(24,22),-1.45666 # DEPENDENCYPART_ARC
(24,23),-0.851521 # DEPENDENCYPART_ARC
