# _root_ Un orecchino d' oro a forma di croce all' orecchio sinistro , qualche dente in meno , Ante è un omone con il quale nessuno si augurerebbe di scontrar- si anche solo per scherzo .
#goldHeads=2,18,2,3,2,5,6,7,2,9,10,11,14,18,14,15,16,19,0,21,19,27,24,22,27,27,21,27,28,29,32,33,29,33,34,
#predictedHeads=2,19,2,3,2,5,6,7,8,9,10,11,14,19,14,15,16,19,0,21,19,21,24,22,27,27,24,27,28,29,32,33,29,33,34,
(16,35),-1.83982 # DEPENDENCYPART_ARC
(17,1),-1.85355 # DEPENDENCYPART_ARC
(17,12),-1.6062 # DEPENDENCYPART_ARC
(17,20),-1.06665 # DEPENDENCYPART_ARC
(17,23),-1.38336 # DEPENDENCYPART_ARC
(17,35),-1.73556 # DEPENDENCYPART_ARC
(18,1),-3.09515 # DEPENDENCYPART_ARC
(18,2),-4.32542 # DEPENDENCYPART_ARC
(18,3),-2.22316 # DEPENDENCYPART_ARC
(18,4),-3.95475 # DEPENDENCYPART_ARC
(18,5),-2.05227 # DEPENDENCYPART_ARC
(18,6),-3.60049 # DEPENDENCYPART_ARC
(18,7),-2.16201 # DEPENDENCYPART_ARC
(18,8),-3.52677 # DEPENDENCYPART_ARC
(18,9),-1.57188 # DEPENDENCYPART_ARC
(18,10),-3.4864 # DEPENDENCYPART_ARC
(18,11),-2.44949 # DEPENDENCYPART_ARC
(18,12),-2.49462 # DEPENDENCYPART_ARC
(18,13),0.417915 # DEPENDENCYPART_ARC
(18,14),-2.77464 # DEPENDENCYPART_ARC
(18,15),-0.0187861 # DEPENDENCYPART_ARC
(18,16),0.15645 # DEPENDENCYPART_ARC
(18,17),0.352034 # DEPENDENCYPART_ARC
(18,19),-0.363419 # DEPENDENCYPART_ARC
(18,20),-1.22661 # DEPENDENCYPART_ARC
(18,21),-0.762924 # DEPENDENCYPART_ARC
(18,22),-0.716815 # DEPENDENCYPART_ARC
(18,23),-1.6455 # DEPENDENCYPART_ARC
(18,25),-1.41941 # DEPENDENCYPART_ARC
(18,26),-2.32873 # DEPENDENCYPART_ARC
(18,27),-1.15643 # DEPENDENCYPART_ARC
(18,28),-1.82573 # DEPENDENCYPART_ARC
(18,29),-1.6339 # DEPENDENCYPART_ARC
(18,30),-2.82331 # DEPENDENCYPART_ARC
(18,31),-2.47209 # DEPENDENCYPART_ARC
(18,32),-2.18662 # DEPENDENCYPART_ARC
(18,33),-1.95023 # DEPENDENCYPART_ARC
(18,34),-2.70318 # DEPENDENCYPART_ARC
(18,35),-2.97407 # DEPENDENCYPART_ARC
(19,1),-0.868053 # DEPENDENCYPART_ARC
(19,2),1.24438 # DEPENDENCYPART_ARC
(19,3),-0.134269 # DEPENDENCYPART_ARC
(19,4),0.450057 # DEPENDENCYPART_ARC
(19,5),-0.166182 # DEPENDENCYPART_ARC
(19,6),0.413365 # DEPENDENCYPART_ARC
(19,7),-0.61927 # DEPENDENCYPART_ARC
(19,8),0.336512 # DEPENDENCYPART_ARC
(19,9),0.407659 # DEPENDENCYPART_ARC
(19,10),-0.174479 # DEPENDENCYPART_ARC
(19,11),-0.609546 # DEPENDENCYPART_ARC
(19,12),-1.74875 # DEPENDENCYPART_ARC
(19,13),-0.576219 # DEPENDENCYPART_ARC
(19,14),0.830046 # DEPENDENCYPART_ARC
(19,15),1.04561 # DEPENDENCYPART_ARC
(19,16),0.809699 # DEPENDENCYPART_ARC
(19,17),-0.628791 # DEPENDENCYPART_ARC
(19,18),2.51349 # DEPENDENCYPART_ARC
(19,20),-0.120194 # DEPENDENCYPART_ARC
(19,21),2.79053 # DEPENDENCYPART_ARC
(19,22),1.64786 # DEPENDENCYPART_ARC
(19,23),-1.40031 # DEPENDENCYPART_ARC
(19,24),0.542342 # DEPENDENCYPART_ARC
(19,25),-0.223808 # DEPENDENCYPART_ARC
(19,26),-0.197897 # DEPENDENCYPART_ARC
(19,27),0.368974 # DEPENDENCYPART_ARC
(19,28),-0.588723 # DEPENDENCYPART_ARC
(19,29),0.0694402 # DEPENDENCYPART_ARC
(19,30),-0.438913 # DEPENDENCYPART_ARC
(19,31),-1.10523 # DEPENDENCYPART_ARC
(19,32),-0.976905 # DEPENDENCYPART_ARC
(19,33),-0.28371 # DEPENDENCYPART_ARC
(19,34),-1.90847 # DEPENDENCYPART_ARC
(19,35),-1.67824 # DEPENDENCYPART_ARC
(20,3),-2.26024 # DEPENDENCYPART_ARC
(20,5),-2.20018 # DEPENDENCYPART_ARC
(20,7),-2.09894 # DEPENDENCYPART_ARC
(20,9),-2.30413 # DEPENDENCYPART_ARC
(20,12),-1.58642 # DEPENDENCYPART_ARC
(20,15),-1.34076 # DEPENDENCYPART_ARC
(20,17),-0.870407 # DEPENDENCYPART_ARC
(20,22),0.260084 # DEPENDENCYPART_ARC
(20,28),-0.505151 # DEPENDENCYPART_ARC
(20,33),-0.865798 # DEPENDENCYPART_ARC
(20,35),-0.832937 # DEPENDENCYPART_ARC
(21,1),-3.06377 # DEPENDENCYPART_ARC
(21,2),-3.0152 # DEPENDENCYPART_ARC
(21,3),-1.73599 # DEPENDENCYPART_ARC
(21,4),-2.63148 # DEPENDENCYPART_ARC
(21,5),-1.69209 # DEPENDENCYPART_ARC
(21,6),-3.13654 # DEPENDENCYPART_ARC
(21,7),-1.80596 # DEPENDENCYPART_ARC
(21,8),-2.95584 # DEPENDENCYPART_ARC
(21,9),-0.866792 # DEPENDENCYPART_ARC
(21,10),-2.33623 # DEPENDENCYPART_ARC
(21,11),-1.40198 # DEPENDENCYPART_ARC
(21,12),-2.46472 # DEPENDENCYPART_ARC
(21,13),-0.205269 # DEPENDENCYPART_ARC
(21,14),-2.07071 # DEPENDENCYPART_ARC
(21,15),-0.49633 # DEPENDENCYPART_ARC
(21,16),-0.387656 # DEPENDENCYPART_ARC
(21,17),-1.595 # DEPENDENCYPART_ARC
(21,18),-1.09044 # DEPENDENCYPART_ARC
(21,19),-0.482481 # DEPENDENCYPART_ARC
(21,20),3.47952 # DEPENDENCYPART_ARC
(21,22),1.8467 # DEPENDENCYPART_ARC
(21,23),-0.208104 # DEPENDENCYPART_ARC
(21,24),-0.506366 # DEPENDENCYPART_ARC
(21,25),0.42414 # DEPENDENCYPART_ARC
(21,26),-1.9006 # DEPENDENCYPART_ARC
(21,27),0.807261 # DEPENDENCYPART_ARC
(21,28),-0.673563 # DEPENDENCYPART_ARC
(21,29),0.157588 # DEPENDENCYPART_ARC
(21,30),-2.43292 # DEPENDENCYPART_ARC
(21,31),-0.993269 # DEPENDENCYPART_ARC
(21,32),-0.975434 # DEPENDENCYPART_ARC
(21,33),-0.989349 # DEPENDENCYPART_ARC
(21,34),-1.27631 # DEPENDENCYPART_ARC
(21,35),-1.58798 # DEPENDENCYPART_ARC
(22,1),-2.26025 # DEPENDENCYPART_ARC
(22,2),-2.61564 # DEPENDENCYPART_ARC
(22,3),-2.16767 # DEPENDENCYPART_ARC
(22,4),-2.52984 # DEPENDENCYPART_ARC
(22,5),-1.95959 # DEPENDENCYPART_ARC
(22,6),-2.55301 # DEPENDENCYPART_ARC
(22,7),-2.19984 # DEPENDENCYPART_ARC
(22,8),-2.50267 # DEPENDENCYPART_ARC
(22,9),-1.88274 # DEPENDENCYPART_ARC
(22,10),-2.36213 # DEPENDENCYPART_ARC
(22,11),-2.59913 # DEPENDENCYPART_ARC
(22,12),-2.12802 # DEPENDENCYPART_ARC
(22,13),-1.88034 # DEPENDENCYPART_ARC
(22,14),-2.0796 # DEPENDENCYPART_ARC
(22,15),-1.79637 # DEPENDENCYPART_ARC
(22,16),-1.5888 # DEPENDENCYPART_ARC
(22,17),-1.78747 # DEPENDENCYPART_ARC
(22,18),-1.87007 # DEPENDENCYPART_ARC
(22,19),-1.92743 # DEPENDENCYPART_ARC
(22,20),-0.706948 # DEPENDENCYPART_ARC
(22,21),-0.321878 # DEPENDENCYPART_ARC
(22,23),0.270299 # DEPENDENCYPART_ARC
(22,24),1.85048 # DEPENDENCYPART_ARC
(22,25),-0.163344 # DEPENDENCYPART_ARC
(22,26),0.632427 # DEPENDENCYPART_ARC
(22,27),-0.333721 # DEPENDENCYPART_ARC
(22,28),-0.414643 # DEPENDENCYPART_ARC
(22,29),-0.216308 # DEPENDENCYPART_ARC
(22,30),-0.347048 # DEPENDENCYPART_ARC
(22,31),-0.85832 # DEPENDENCYPART_ARC
(22,32),-1.09133 # DEPENDENCYPART_ARC
(22,33),-0.669421 # DEPENDENCYPART_ARC
(22,34),-0.917987 # DEPENDENCYPART_ARC
(22,35),-1.14349 # DEPENDENCYPART_ARC
(23,2),-3.22156 # DEPENDENCYPART_ARC
(23,3),-3.27514 # DEPENDENCYPART_ARC
(23,4),-3.0692 # DEPENDENCYPART_ARC
(23,5),-3.14134 # DEPENDENCYPART_ARC
(23,6),-3.65173 # DEPENDENCYPART_ARC
(23,7),-3.1708 # DEPENDENCYPART_ARC
(23,8),-3.66192 # DEPENDENCYPART_ARC
(23,9),-3.2034 # DEPENDENCYPART_ARC
(23,10),-3.02223 # DEPENDENCYPART_ARC
(23,12),-2.41391 # DEPENDENCYPART_ARC
(23,14),-2.90923 # DEPENDENCYPART_ARC
(23,15),-2.46526 # DEPENDENCYPART_ARC
(23,17),-2.13232 # DEPENDENCYPART_ARC
(23,19),-3.12654 # DEPENDENCYPART_ARC
(23,21),-1.84543 # DEPENDENCYPART_ARC
(23,22),-0.226199 # DEPENDENCYPART_ARC
(23,27),-0.559546 # DEPENDENCYPART_ARC
(23,28),-0.296255 # DEPENDENCYPART_ARC
(23,29),-0.820307 # DEPENDENCYPART_ARC
(23,33),-0.735573 # DEPENDENCYPART_ARC
(23,34),-0.871999 # DEPENDENCYPART_ARC
(23,35),-0.733164 # DEPENDENCYPART_ARC
(24,2),-1.34098 # DEPENDENCYPART_ARC
(24,3),-1.54927 # DEPENDENCYPART_ARC
(24,4),-1.25972 # DEPENDENCYPART_ARC
(24,5),-1.13995 # DEPENDENCYPART_ARC
(24,6),-1.48386 # DEPENDENCYPART_ARC
(24,7),-1.45074 # DEPENDENCYPART_ARC
(24,8),-1.57583 # DEPENDENCYPART_ARC
(24,9),-1.5161 # DEPENDENCYPART_ARC
(24,10),-1.42435 # DEPENDENCYPART_ARC
(24,12),-0.940441 # DEPENDENCYPART_ARC
(24,14),-1.26427 # DEPENDENCYPART_ARC
(24,15),-0.569889 # DEPENDENCYPART_ARC
(24,16),-0.661733 # DEPENDENCYPART_ARC
(24,17),-0.807075 # DEPENDENCYPART_ARC
(24,19),-2.34373 # DEPENDENCYPART_ARC
(24,21),-0.463046 # DEPENDENCYPART_ARC
(24,22),0.518858 # DEPENDENCYPART_ARC
(24,23),2.70845 # DEPENDENCYPART_ARC
(24,27),1.03521 # DEPENDENCYPART_ARC
(24,28),-0.356316 # DEPENDENCYPART_ARC
(24,29),-0.413869 # DEPENDENCYPART_ARC
(24,31),-0.591602 # DEPENDENCYPART_ARC
(24,32),-1.36449 # DEPENDENCYPART_ARC
(24,33),-1.23663 # DEPENDENCYPART_ARC
(24,34),-0.962601 # DEPENDENCYPART_ARC
(24,35),-1.02774 # DEPENDENCYPART_ARC
(25,2),-2.83189 # DEPENDENCYPART_ARC
(25,4),-2.76827 # DEPENDENCYPART_ARC
(25,6),-2.97634 # DEPENDENCYPART_ARC
(25,8),-3.02817 # DEPENDENCYPART_ARC
(25,10),-2.69153 # DEPENDENCYPART_ARC
(25,12),-2.02058 # DEPENDENCYPART_ARC
(25,14),-2.65618 # DEPENDENCYPART_ARC
(25,16),-1.95031 # DEPENDENCYPART_ARC
(25,17),-1.97044 # DEPENDENCYPART_ARC
(25,19),-2.87489 # DEPENDENCYPART_ARC
(25,21),-2.02453 # DEPENDENCYPART_ARC
(25,23),-0.109057 # DEPENDENCYPART_ARC
(25,27),-0.328553 # DEPENDENCYPART_ARC
(25,29),-0.96442 # DEPENDENCYPART_ARC
(25,32),-1.43299 # DEPENDENCYPART_ARC
(25,34),-1.0355 # DEPENDENCYPART_ARC
(25,35),-0.821279 # DEPENDENCYPART_ARC
(26,2),-3.06419 # DEPENDENCYPART_ARC
(26,3),-2.70439 # DEPENDENCYPART_ARC
(26,4),-3.15248 # DEPENDENCYPART_ARC
(26,5),-2.3894 # DEPENDENCYPART_ARC
(26,6),-3.12742 # DEPENDENCYPART_ARC
(26,7),-2.48999 # DEPENDENCYPART_ARC
(26,8),-3.15345 # DEPENDENCYPART_ARC
(26,9),-2.63764 # DEPENDENCYPART_ARC
(26,10),-3.232 # DEPENDENCYPART_ARC
(26,11),-2.7588 # DEPENDENCYPART_ARC
(26,12),-2.10672 # DEPENDENCYPART_ARC
(26,14),-3.06053 # DEPENDENCYPART_ARC
(26,15),-1.86405 # DEPENDENCYPART_ARC
(26,16),-1.88721 # DEPENDENCYPART_ARC
(26,17),-1.9509 # DEPENDENCYPART_ARC
(26,18),-2.01049 # DEPENDENCYPART_ARC
(26,19),-3.5911 # DEPENDENCYPART_ARC
(26,21),-2.70673 # DEPENDENCYPART_ARC
(26,22),-1.11158 # DEPENDENCYPART_ARC
(26,27),-0.508874 # DEPENDENCYPART_ARC
(26,28),-1.15786 # DEPENDENCYPART_ARC
(26,29),-1.34717 # DEPENDENCYPART_ARC
(26,30),-2.29397 # DEPENDENCYPART_ARC
(26,31),-1.32221 # DEPENDENCYPART_ARC
(26,32),-2.10518 # DEPENDENCYPART_ARC
(26,33),-2.20363 # DEPENDENCYPART_ARC
(26,34),-2.04343 # DEPENDENCYPART_ARC
(26,35),-1.56075 # DEPENDENCYPART_ARC
(27,1),-0.967931 # DEPENDENCYPART_ARC
(27,2),-0.531745 # DEPENDENCYPART_ARC
(27,3),-1.02625 # DEPENDENCYPART_ARC
(27,4),-1.02642 # DEPENDENCYPART_ARC
(27,5),-1.12679 # DEPENDENCYPART_ARC
(27,6),-1.07206 # DEPENDENCYPART_ARC
(27,7),-1.98986 # DEPENDENCYPART_ARC
(27,8),-0.6774 # DEPENDENCYPART_ARC
(27,9),-0.469737 # DEPENDENCYPART_ARC
(27,10),-1.35288 # DEPENDENCYPART_ARC
(27,11),-0.766888 # DEPENDENCYPART_ARC
(27,12),-2.25539 # DEPENDENCYPART_ARC
(27,13),-1.19555 # DEPENDENCYPART_ARC
(27,14),-0.542378 # DEPENDENCYPART_ARC
(27,15),0.421863 # DEPENDENCYPART_ARC
(27,16),-0.607417 # DEPENDENCYPART_ARC
(27,17),-1.95098 # DEPENDENCYPART_ARC
(27,18),0.522984 # DEPENDENCYPART_ARC
(27,19),-0.215905 # DEPENDENCYPART_ARC
(27,20),-0.595122 # DEPENDENCYPART_ARC
(27,21),0.0905376 # DEPENDENCYPART_ARC
(27,22),1.11848 # DEPENDENCYPART_ARC
(27,23),-0.426 # DEPENDENCYPART_ARC
(27,24),0.611813 # DEPENDENCYPART_ARC
(27,25),1.01429 # DEPENDENCYPART_ARC
(27,26),4.20168 # DEPENDENCYPART_ARC
(27,28),2.32034 # DEPENDENCYPART_ARC
(27,29),1.31511 # DEPENDENCYPART_ARC
(27,30),-0.274069 # DEPENDENCYPART_ARC
(27,31),-0.167462 # DEPENDENCYPART_ARC
(27,32),-0.775701 # DEPENDENCYPART_ARC
(27,33),0.262949 # DEPENDENCYPART_ARC
(27,34),-1.45552 # DEPENDENCYPART_ARC
(27,35),-0.497154 # DEPENDENCYPART_ARC
(28,1),-2.3578 # DEPENDENCYPART_ARC
(28,2),-2.66369 # DEPENDENCYPART_ARC
(28,3),-2.40166 # DEPENDENCYPART_ARC
(28,4),-2.63355 # DEPENDENCYPART_ARC
(28,5),-2.18822 # DEPENDENCYPART_ARC
(28,6),-2.66889 # DEPENDENCYPART_ARC
(28,7),-2.33022 # DEPENDENCYPART_ARC
(28,8),-2.52815 # DEPENDENCYPART_ARC
(28,9),-1.97081 # DEPENDENCYPART_ARC
(28,10),-2.46223 # DEPENDENCYPART_ARC
(28,11),-2.63912 # DEPENDENCYPART_ARC
(28,12),-2.43282 # DEPENDENCYPART_ARC
(28,13),-2.1263 # DEPENDENCYPART_ARC
(28,14),-2.46078 # DEPENDENCYPART_ARC
(28,15),-2.10412 # DEPENDENCYPART_ARC
(28,16),-2.03546 # DEPENDENCYPART_ARC
(28,17),-2.32001 # DEPENDENCYPART_ARC
(28,18),-2.34136 # DEPENDENCYPART_ARC
(28,19),-2.8181 # DEPENDENCYPART_ARC
(28,20),-2.07384 # DEPENDENCYPART_ARC
(28,21),-2.23267 # DEPENDENCYPART_ARC
(28,22),-1.67376 # DEPENDENCYPART_ARC
(28,23),-1.73122 # DEPENDENCYPART_ARC
(28,24),-1.87862 # DEPENDENCYPART_ARC
(28,25),-1.22216 # DEPENDENCYPART_ARC
(28,26),-1.22738 # DEPENDENCYPART_ARC
(28,27),-0.526084 # DEPENDENCYPART_ARC
(28,29),3.29922 # DEPENDENCYPART_ARC
(28,30),0.893535 # DEPENDENCYPART_ARC
(28,31),0.110113 # DEPENDENCYPART_ARC
(28,32),-0.203847 # DEPENDENCYPART_ARC
(28,33),0.0241511 # DEPENDENCYPART_ARC
(28,34),-0.114391 # DEPENDENCYPART_ARC
(28,35),-0.146246 # DEPENDENCYPART_ARC
(29,1),-1.70179 # DEPENDENCYPART_ARC
(29,2),-2.24914 # DEPENDENCYPART_ARC
(29,3),-2.81695 # DEPENDENCYPART_ARC
(29,4),-2.5659 # DEPENDENCYPART_ARC
(29,5),-2.76419 # DEPENDENCYPART_ARC
(29,6),-3.26177 # DEPENDENCYPART_ARC
(29,7),-3.96805 # DEPENDENCYPART_ARC
(29,8),-3.04199 # DEPENDENCYPART_ARC
(29,9),-2.01111 # DEPENDENCYPART_ARC
(29,10),-2.79238 # DEPENDENCYPART_ARC
(29,11),-2.10003 # DEPENDENCYPART_ARC
(29,12),-3.71348 # DEPENDENCYPART_ARC
(29,13),-2.20293 # DEPENDENCYPART_ARC
(29,14),-2.31621 # DEPENDENCYPART_ARC
(29,15),-1.84799 # DEPENDENCYPART_ARC
(29,16),-2.16175 # DEPENDENCYPART_ARC
(29,17),-3.47981 # DEPENDENCYPART_ARC
(29,18),-1.40779 # DEPENDENCYPART_ARC
(29,19),-2.62033 # DEPENDENCYPART_ARC
(29,20),-1.50557 # DEPENDENCYPART_ARC
(29,21),-1.36698 # DEPENDENCYPART_ARC
(29,22),-0.978969 # DEPENDENCYPART_ARC
(29,23),-1.58068 # DEPENDENCYPART_ARC
(29,24),-0.512943 # DEPENDENCYPART_ARC
(29,25),-1.27622 # DEPENDENCYPART_ARC
(29,26),0.0733189 # DEPENDENCYPART_ARC
(29,27),0.664291 # DEPENDENCYPART_ARC
(29,28),0.0358692 # DEPENDENCYPART_ARC
(29,30),3.28367 # DEPENDENCYPART_ARC
(29,31),0.198434 # DEPENDENCYPART_ARC
(29,32),-0.100761 # DEPENDENCYPART_ARC
(29,33),1.06447 # DEPENDENCYPART_ARC
(29,34),0.0426136 # DEPENDENCYPART_ARC
(29,35),-0.670979 # DEPENDENCYPART_ARC
(30,2),-3.11476 # DEPENDENCYPART_ARC
(30,3),-2.81446 # DEPENDENCYPART_ARC
(30,4),-3.11384 # DEPENDENCYPART_ARC
(30,5),-2.53821 # DEPENDENCYPART_ARC
(30,6),-3.20805 # DEPENDENCYPART_ARC
(30,7),-2.86026 # DEPENDENCYPART_ARC
(30,8),-3.31321 # DEPENDENCYPART_ARC
(30,9),-2.84231 # DEPENDENCYPART_ARC
(30,10),-3.23167 # DEPENDENCYPART_ARC
(30,11),-2.73279 # DEPENDENCYPART_ARC
(30,12),-2.14757 # DEPENDENCYPART_ARC
(30,14),-3.22769 # DEPENDENCYPART_ARC
(30,15),-1.99378 # DEPENDENCYPART_ARC
(30,16),-2.04979 # DEPENDENCYPART_ARC
(30,17),-2.05457 # DEPENDENCYPART_ARC
(30,18),-2.11273 # DEPENDENCYPART_ARC
(30,19),-3.88527 # DEPENDENCYPART_ARC
(30,21),-3.00998 # DEPENDENCYPART_ARC
(30,22),-1.6779 # DEPENDENCYPART_ARC
(30,26),-0.449831 # DEPENDENCYPART_ARC
(30,27),-2.87741 # DEPENDENCYPART_ARC
(30,28),-0.766094 # DEPENDENCYPART_ARC
(30,29),-0.569645 # DEPENDENCYPART_ARC
(30,31),0.190637 # DEPENDENCYPART_ARC
(30,32),-1.08223 # DEPENDENCYPART_ARC
(30,33),-1.2388 # DEPENDENCYPART_ARC
(30,34),-1.00489 # DEPENDENCYPART_ARC
(30,35),-0.680274 # DEPENDENCYPART_ARC
(31,2),-3.02384 # DEPENDENCYPART_ARC
(31,3),-2.23875 # DEPENDENCYPART_ARC
(31,4),-2.95135 # DEPENDENCYPART_ARC
(31,5),-2.18189 # DEPENDENCYPART_ARC
(31,6),-2.88621 # DEPENDENCYPART_ARC
(31,7),-2.16027 # DEPENDENCYPART_ARC
(31,8),-2.83201 # DEPENDENCYPART_ARC
(31,9),-2.19264 # DEPENDENCYPART_ARC
(31,10),-2.709 # DEPENDENCYPART_ARC
(31,11),-2.31422 # DEPENDENCYPART_ARC
(31,12),-1.79587 # DEPENDENCYPART_ARC
(31,14),-2.52045 # DEPENDENCYPART_ARC
(31,15),-2.00075 # DEPENDENCYPART_ARC
(31,16),-1.89505 # DEPENDENCYPART_ARC
(31,17),-1.87314 # DEPENDENCYPART_ARC
(31,18),-2.30896 # DEPENDENCYPART_ARC
(31,19),-2.50819 # DEPENDENCYPART_ARC
(31,21),-2.18346 # DEPENDENCYPART_ARC
(31,22),-1.63098 # DEPENDENCYPART_ARC
(31,24),-1.25443 # DEPENDENCYPART_ARC
(31,26),-1.17511 # DEPENDENCYPART_ARC
(31,27),-2.14046 # DEPENDENCYPART_ARC
(31,28),-0.873494 # DEPENDENCYPART_ARC
(31,29),-1.13653 # DEPENDENCYPART_ARC
(31,30),0.350582 # DEPENDENCYPART_ARC
(31,32),-1.00022 # DEPENDENCYPART_ARC
(31,33),-1.52997 # DEPENDENCYPART_ARC
(31,34),-1.33197 # DEPENDENCYPART_ARC
(31,35),-1.27641 # DEPENDENCYPART_ARC
(32,1),-0.791419 # DEPENDENCYPART_ARC
(32,2),-1.89666 # DEPENDENCYPART_ARC
(32,3),-0.948214 # DEPENDENCYPART_ARC
(32,4),-1.81927 # DEPENDENCYPART_ARC
(32,5),-0.97263 # DEPENDENCYPART_ARC
(32,6),-1.75033 # DEPENDENCYPART_ARC
(32,7),-0.777066 # DEPENDENCYPART_ARC
(32,8),-1.71663 # DEPENDENCYPART_ARC
(32,9),-1.03483 # DEPENDENCYPART_ARC
(32,10),-1.72609 # DEPENDENCYPART_ARC
(32,11),-1.21418 # DEPENDENCYPART_ARC
(32,12),-1.08331 # DEPENDENCYPART_ARC
(32,13),-0.758388 # DEPENDENCYPART_ARC
(32,14),-1.54972 # DEPENDENCYPART_ARC
(32,15),-0.438367 # DEPENDENCYPART_ARC
(32,16),-0.631467 # DEPENDENCYPART_ARC
(32,17),-1.03615 # DEPENDENCYPART_ARC
(32,18),-1.46726 # DEPENDENCYPART_ARC
(32,19),-1.57308 # DEPENDENCYPART_ARC
(32,20),-0.433091 # DEPENDENCYPART_ARC
(32,21),-1.38665 # DEPENDENCYPART_ARC
(32,22),-0.203399 # DEPENDENCYPART_ARC
(32,23),-0.343921 # DEPENDENCYPART_ARC
(32,25),-0.463139 # DEPENDENCYPART_ARC
(32,26),-0.648734 # DEPENDENCYPART_ARC
(32,27),-1.28687 # DEPENDENCYPART_ARC
(32,28),0.19347 # DEPENDENCYPART_ARC
(32,29),-0.759315 # DEPENDENCYPART_ARC
(32,30),0.321661 # DEPENDENCYPART_ARC
(32,31),1.64281 # DEPENDENCYPART_ARC
(32,33),0.0191328 # DEPENDENCYPART_ARC
(32,34),0.179386 # DEPENDENCYPART_ARC
(32,35),-0.212792 # DEPENDENCYPART_ARC
(33,1),-1.57241 # DEPENDENCYPART_ARC
(33,2),-2.30346 # DEPENDENCYPART_ARC
(33,3),-1.18388 # DEPENDENCYPART_ARC
(33,4),-2.1308 # DEPENDENCYPART_ARC
(33,5),-0.786964 # DEPENDENCYPART_ARC
(33,6),-2.10525 # DEPENDENCYPART_ARC
(33,7),-1.22992 # DEPENDENCYPART_ARC
(33,8),-2.07131 # DEPENDENCYPART_ARC
(33,9),-0.980143 # DEPENDENCYPART_ARC
(33,10),-1.98836 # DEPENDENCYPART_ARC
(33,11),-1.94927 # DEPENDENCYPART_ARC
(33,12),-1.70381 # DEPENDENCYPART_ARC
(33,13),-1.29568 # DEPENDENCYPART_ARC
(33,14),-1.77615 # DEPENDENCYPART_ARC
(33,15),-1.26506 # DEPENDENCYPART_ARC
(33,16),-1.15244 # DEPENDENCYPART_ARC
(33,17),-1.58264 # DEPENDENCYPART_ARC
(33,18),-1.79008 # DEPENDENCYPART_ARC
(33,19),-2.03625 # DEPENDENCYPART_ARC
(33,20),-1.22798 # DEPENDENCYPART_ARC
(33,21),-1.61973 # DEPENDENCYPART_ARC
(33,22),-1.07225 # DEPENDENCYPART_ARC
(33,23),-1.18094 # DEPENDENCYPART_ARC
(33,24),-1.30489 # DEPENDENCYPART_ARC
(33,25),-0.983738 # DEPENDENCYPART_ARC
(33,26),-1.21733 # DEPENDENCYPART_ARC
(33,27),-1.81473 # DEPENDENCYPART_ARC
(33,28),-0.537032 # DEPENDENCYPART_ARC
(33,29),-1.45474 # DEPENDENCYPART_ARC
(33,30),-0.571399 # DEPENDENCYPART_ARC
(33,31),0.939302 # DEPENDENCYPART_ARC
(33,32),2.30841 # DEPENDENCYPART_ARC
(33,34),3.91678 # DEPENDENCYPART_ARC
(33,35),-0.100498 # DEPENDENCYPART_ARC
(34,1),-5.89838 # DEPENDENCYPART_ARC
(34,2),-4.62621 # DEPENDENCYPART_ARC
(34,3),-3.48413 # DEPENDENCYPART_ARC
(34,4),-3.94025 # DEPENDENCYPART_ARC
(34,5),-3.23824 # DEPENDENCYPART_ARC
(34,6),-4.41413 # DEPENDENCYPART_ARC
(34,7),-3.71753 # DEPENDENCYPART_ARC
(34,8),-4.31333 # DEPENDENCYPART_ARC
(34,9),-2.58541 # DEPENDENCYPART_ARC
(34,10),-3.63276 # DEPENDENCYPART_ARC
(34,11),-3.6983 # DEPENDENCYPART_ARC
(34,12),-4.12747 # DEPENDENCYPART_ARC
(34,13),-2.54498 # DEPENDENCYPART_ARC
(34,14),-3.70456 # DEPENDENCYPART_ARC
(34,15),-2.13496 # DEPENDENCYPART_ARC
(34,16),-2.58004 # DEPENDENCYPART_ARC
(34,17),-3.72437 # DEPENDENCYPART_ARC
(34,18),-3.67648 # DEPENDENCYPART_ARC
(34,19),-3.5864 # DEPENDENCYPART_ARC
(34,20),-2.23324 # DEPENDENCYPART_ARC
(34,21),-3.44741 # DEPENDENCYPART_ARC
(34,22),-2.13309 # DEPENDENCYPART_ARC
(34,23),-1.82875 # DEPENDENCYPART_ARC
(34,24),-2.36704 # DEPENDENCYPART_ARC
(34,25),-1.31153 # DEPENDENCYPART_ARC
(34,26),-1.9011 # DEPENDENCYPART_ARC
(34,27),-2.96549 # DEPENDENCYPART_ARC
(34,28),-1.83872 # DEPENDENCYPART_ARC
(34,29),-2.58326 # DEPENDENCYPART_ARC
(34,30),-1.14089 # DEPENDENCYPART_ARC
(34,31),-0.580545 # DEPENDENCYPART_ARC
(34,32),-0.132032 # DEPENDENCYPART_ARC
(34,33),0.397056 # DEPENDENCYPART_ARC
(34,35),2.6909 # DEPENDENCYPART_ARC
(35,1),-2.11667 # DEPENDENCYPART_ARC
(35,12),-2.18446 # DEPENDENCYPART_ARC
(35,17),-2.04349 # DEPENDENCYPART_ARC
(35,20),-1.83349 # DEPENDENCYPART_ARC
(35,23),-1.68569 # DEPENDENCYPART_ARC
