# _root_ Ogni medico è subito al_corrente_della diagnosi fatta dal suo collega ; il paziente , sempre preceduto dal suo dossier , è indirizzato da un servizio all' altro .
#goldHeads=2,3,0,3,3,5,6,7,10,8,10,13,22,13,16,13,16,19,17,19,22,0,22,25,23,22,26,27,
#predictedHeads=2,3,0,3,3,5,6,7,10,8,10,13,10,13,16,13,16,19,17,19,22,16,22,25,23,25,26,27,
(18,21),-1.64147 # DEPENDENCYPART_ARC
(18,22),-1.08966 # DEPENDENCYPART_ARC
(18,23),-1.32117 # DEPENDENCYPART_ARC
(18,24),-1.78781 # DEPENDENCYPART_ARC
(18,25),-1.51424 # DEPENDENCYPART_ARC
(18,26),-1.36545 # DEPENDENCYPART_ARC
(18,27),-1.69751 # DEPENDENCYPART_ARC
(18,28),-1.70514 # DEPENDENCYPART_ARC
(19,1),-0.162993 # DEPENDENCYPART_ARC
(19,2),-2.80021 # DEPENDENCYPART_ARC
(19,3),-2.22736 # DEPENDENCYPART_ARC
(19,4),-1.31561 # DEPENDENCYPART_ARC
(19,5),-1.19302 # DEPENDENCYPART_ARC
(19,6),-1.49225 # DEPENDENCYPART_ARC
(19,7),-0.92943 # DEPENDENCYPART_ARC
(19,8),-1.16887 # DEPENDENCYPART_ARC
(19,9),-0.335064 # DEPENDENCYPART_ARC
(19,10),-2.46024 # DEPENDENCYPART_ARC
(19,11),-1.83164 # DEPENDENCYPART_ARC
(19,12),-0.47853 # DEPENDENCYPART_ARC
(19,13),-2.19871 # DEPENDENCYPART_ARC
(19,14),-1.70377 # DEPENDENCYPART_ARC
(19,15),-0.050179 # DEPENDENCYPART_ARC
(19,16),0.0129038 # DEPENDENCYPART_ARC
(19,17),0.869485 # DEPENDENCYPART_ARC
(19,18),3.27809 # DEPENDENCYPART_ARC
(19,20),2.07958 # DEPENDENCYPART_ARC
(19,21),0.0583088 # DEPENDENCYPART_ARC
(19,22),-0.112228 # DEPENDENCYPART_ARC
(19,23),-0.28317 # DEPENDENCYPART_ARC
(19,24),-0.806135 # DEPENDENCYPART_ARC
(19,25),-0.806363 # DEPENDENCYPART_ARC
(19,26),-1.23963 # DEPENDENCYPART_ARC
(19,27),-0.230213 # DEPENDENCYPART_ARC
(19,28),-1.18979 # DEPENDENCYPART_ARC
(20,1),-2.51569 # DEPENDENCYPART_ARC
(20,2),-3.00508 # DEPENDENCYPART_ARC
(20,3),-3.18048 # DEPENDENCYPART_ARC
(20,4),-2.73478 # DEPENDENCYPART_ARC
(20,5),-2.40699 # DEPENDENCYPART_ARC
(20,6),-2.95858 # DEPENDENCYPART_ARC
(20,7),-3.08497 # DEPENDENCYPART_ARC
(20,8),-2.3127 # DEPENDENCYPART_ARC
(20,9),-2.82335 # DEPENDENCYPART_ARC
(20,10),-2.85816 # DEPENDENCYPART_ARC
(20,11),-2.44656 # DEPENDENCYPART_ARC
(20,12),-2.20425 # DEPENDENCYPART_ARC
(20,13),-2.72291 # DEPENDENCYPART_ARC
(20,14),-2.31995 # DEPENDENCYPART_ARC
(20,15),-2.22538 # DEPENDENCYPART_ARC
(20,16),-2.70575 # DEPENDENCYPART_ARC
(20,17),-1.39746 # DEPENDENCYPART_ARC
(20,18),-1.59187 # DEPENDENCYPART_ARC
(20,19),-0.96351 # DEPENDENCYPART_ARC
(20,21),-1.37793 # DEPENDENCYPART_ARC
(20,22),-2.31024 # DEPENDENCYPART_ARC
(20,23),-2.82012 # DEPENDENCYPART_ARC
(20,24),-2.90274 # DEPENDENCYPART_ARC
(20,25),-3.05991 # DEPENDENCYPART_ARC
(20,26),-3.13164 # DEPENDENCYPART_ARC
(20,27),-3.19306 # DEPENDENCYPART_ARC
(20,28),-2.11069 # DEPENDENCYPART_ARC
(21,1),-2.12248 # DEPENDENCYPART_ARC
(21,2),-0.87461 # DEPENDENCYPART_ARC
(21,3),-2.90423 # DEPENDENCYPART_ARC
(21,4),-1.84988 # DEPENDENCYPART_ARC
(21,5),-1.62881 # DEPENDENCYPART_ARC
(21,6),-0.721536 # DEPENDENCYPART_ARC
(21,7),-2.00496 # DEPENDENCYPART_ARC
(21,8),-1.84337 # DEPENDENCYPART_ARC
(21,9),-1.4455 # DEPENDENCYPART_ARC
(21,10),-1.08744 # DEPENDENCYPART_ARC
(21,11),-2.48486 # DEPENDENCYPART_ARC
(21,12),-2.28834 # DEPENDENCYPART_ARC
(21,13),-0.0548035 # DEPENDENCYPART_ARC
(21,14),-2.77142 # DEPENDENCYPART_ARC
(21,15),-0.921955 # DEPENDENCYPART_ARC
(21,16),-0.911462 # DEPENDENCYPART_ARC
(21,17),-0.689431 # DEPENDENCYPART_ARC
(21,18),-0.673244 # DEPENDENCYPART_ARC
(21,19),-0.0523585 # DEPENDENCYPART_ARC
(21,20),-0.105508 # DEPENDENCYPART_ARC
(21,22),1.56935 # DEPENDENCYPART_ARC
(21,23),0.930108 # DEPENDENCYPART_ARC
(21,24),-1.83184 # DEPENDENCYPART_ARC
(21,25),0.237583 # DEPENDENCYPART_ARC
(21,26),-0.308953 # DEPENDENCYPART_ARC
(21,27),-0.304053 # DEPENDENCYPART_ARC
(21,28),-0.989533 # DEPENDENCYPART_ARC
(22,1),-1.5947 # DEPENDENCYPART_ARC
(22,2),0.45459 # DEPENDENCYPART_ARC
(22,3),-0.464826 # DEPENDENCYPART_ARC
(22,4),-0.821941 # DEPENDENCYPART_ARC
(22,5),-0.557006 # DEPENDENCYPART_ARC
(22,6),-0.321186 # DEPENDENCYPART_ARC
(22,7),-0.983022 # DEPENDENCYPART_ARC
(22,8),-1.06985 # DEPENDENCYPART_ARC
(22,9),-0.449796 # DEPENDENCYPART_ARC
(22,10),-0.00678739 # DEPENDENCYPART_ARC
(22,11),-1.66308 # DEPENDENCYPART_ARC
(22,12),-0.401171 # DEPENDENCYPART_ARC
(22,13),1.03455 # DEPENDENCYPART_ARC
(22,14),-1.86002 # DEPENDENCYPART_ARC
(22,15),0.780845 # DEPENDENCYPART_ARC
(22,16),-0.706953 # DEPENDENCYPART_ARC
(22,17),0.396965 # DEPENDENCYPART_ARC
(22,18),-0.00968328 # DEPENDENCYPART_ARC
(22,19),1.56927 # DEPENDENCYPART_ARC
(22,20),-0.595774 # DEPENDENCYPART_ARC
(22,21),4.25247 # DEPENDENCYPART_ARC
(22,23),2.45819 # DEPENDENCYPART_ARC
(22,24),-1.17717 # DEPENDENCYPART_ARC
(22,25),1.33924 # DEPENDENCYPART_ARC
(22,26),0.834994 # DEPENDENCYPART_ARC
(22,27),-0.215198 # DEPENDENCYPART_ARC
(22,28),-0.502461 # DEPENDENCYPART_ARC
(23,1),-2.1002 # DEPENDENCYPART_ARC
(23,2),-2.43758 # DEPENDENCYPART_ARC
(23,3),-2.79418 # DEPENDENCYPART_ARC
(23,4),-1.95545 # DEPENDENCYPART_ARC
(23,5),-2.10749 # DEPENDENCYPART_ARC
(23,6),-2.44113 # DEPENDENCYPART_ARC
(23,7),-2.81229 # DEPENDENCYPART_ARC
(23,8),-2.0846 # DEPENDENCYPART_ARC
(23,9),-2.54235 # DEPENDENCYPART_ARC
(23,10),-2.3276 # DEPENDENCYPART_ARC
(23,11),-2.13941 # DEPENDENCYPART_ARC
(23,12),-2.12446 # DEPENDENCYPART_ARC
(23,13),-2.26833 # DEPENDENCYPART_ARC
(23,14),-2.26682 # DEPENDENCYPART_ARC
(23,15),-1.269 # DEPENDENCYPART_ARC
(23,16),-2.48583 # DEPENDENCYPART_ARC
(23,17),-1.5452 # DEPENDENCYPART_ARC
(23,18),-2.00893 # DEPENDENCYPART_ARC
(23,19),-1.75707 # DEPENDENCYPART_ARC
(23,20),-1.49523 # DEPENDENCYPART_ARC
(23,21),-1.26883 # DEPENDENCYPART_ARC
(23,22),-0.353092 # DEPENDENCYPART_ARC
(23,24),0.881125 # DEPENDENCYPART_ARC
(23,25),3.38819 # DEPENDENCYPART_ARC
(23,26),0.252387 # DEPENDENCYPART_ARC
(23,27),1.23818 # DEPENDENCYPART_ARC
(23,28),-0.199283 # DEPENDENCYPART_ARC
(24,1),-2.84918 # DEPENDENCYPART_ARC
(24,2),-3.63869 # DEPENDENCYPART_ARC
(24,3),-4.19583 # DEPENDENCYPART_ARC
(24,4),-3.24955 # DEPENDENCYPART_ARC
(24,5),-3.56518 # DEPENDENCYPART_ARC
(24,6),-4.03397 # DEPENDENCYPART_ARC
(24,7),-4.40532 # DEPENDENCYPART_ARC
(24,8),-3.46323 # DEPENDENCYPART_ARC
(24,9),-3.19403 # DEPENDENCYPART_ARC
(24,10),-3.67998 # DEPENDENCYPART_ARC
(24,11),-2.68797 # DEPENDENCYPART_ARC
(24,12),-2.69585 # DEPENDENCYPART_ARC
(24,13),-3.61299 # DEPENDENCYPART_ARC
(24,14),-2.96438 # DEPENDENCYPART_ARC
(24,15),-3.02236 # DEPENDENCYPART_ARC
(24,16),-4.10149 # DEPENDENCYPART_ARC
(24,17),-2.9431 # DEPENDENCYPART_ARC
(24,18),-2.83322 # DEPENDENCYPART_ARC
(24,19),-3.12614 # DEPENDENCYPART_ARC
(24,20),-2.51947 # DEPENDENCYPART_ARC
(24,21),-3.26327 # DEPENDENCYPART_ARC
(24,22),-2.76782 # DEPENDENCYPART_ARC
(24,23),-0.83834 # DEPENDENCYPART_ARC
(24,25),1.26274 # DEPENDENCYPART_ARC
(24,26),-0.222682 # DEPENDENCYPART_ARC
(24,27),-0.901049 # DEPENDENCYPART_ARC
(24,28),-0.238592 # DEPENDENCYPART_ARC
(25,1),-1.04673 # DEPENDENCYPART_ARC
(25,2),-3.07677 # DEPENDENCYPART_ARC
(25,3),-2.7044 # DEPENDENCYPART_ARC
(25,4),-1.93042 # DEPENDENCYPART_ARC
(25,5),-1.83401 # DEPENDENCYPART_ARC
(25,6),-2.97335 # DEPENDENCYPART_ARC
(25,7),-1.90216 # DEPENDENCYPART_ARC
(25,8),-1.71379 # DEPENDENCYPART_ARC
(25,9),-1.28297 # DEPENDENCYPART_ARC
(25,10),-3.23637 # DEPENDENCYPART_ARC
(25,11),-2.76877 # DEPENDENCYPART_ARC
(25,12),-1.62389 # DEPENDENCYPART_ARC
(25,13),-3.0067 # DEPENDENCYPART_ARC
(25,14),-2.93628 # DEPENDENCYPART_ARC
(25,15),-1.1117 # DEPENDENCYPART_ARC
(25,16),-1.47864 # DEPENDENCYPART_ARC
(25,17),-0.966525 # DEPENDENCYPART_ARC
(25,18),-0.448005 # DEPENDENCYPART_ARC
(25,19),-1.99161 # DEPENDENCYPART_ARC
(25,20),-2.15631 # DEPENDENCYPART_ARC
(25,21),-1.33729 # DEPENDENCYPART_ARC
(25,22),-0.756009 # DEPENDENCYPART_ARC
(25,23),0.631196 # DEPENDENCYPART_ARC
(25,24),3.30748 # DEPENDENCYPART_ARC
(25,26),0.950577 # DEPENDENCYPART_ARC
(25,27),1.02412 # DEPENDENCYPART_ARC
(25,28),0.473093 # DEPENDENCYPART_ARC
(26,1),-1.37264 # DEPENDENCYPART_ARC
(26,2),-2.63906 # DEPENDENCYPART_ARC
(26,3),-2.91037 # DEPENDENCYPART_ARC
(26,4),-2.12901 # DEPENDENCYPART_ARC
(26,5),-2.21664 # DEPENDENCYPART_ARC
(26,6),-3.15094 # DEPENDENCYPART_ARC
(26,7),-3.126 # DEPENDENCYPART_ARC
(26,8),-2.0201 # DEPENDENCYPART_ARC
(26,9),-2.23715 # DEPENDENCYPART_ARC
(26,10),-2.82353 # DEPENDENCYPART_ARC
(26,11),-1.96803 # DEPENDENCYPART_ARC
(26,12),-1.65878 # DEPENDENCYPART_ARC
(26,13),-2.68389 # DEPENDENCYPART_ARC
(26,14),-2.0272 # DEPENDENCYPART_ARC
(26,15),-1.44912 # DEPENDENCYPART_ARC
(26,16),-2.89172 # DEPENDENCYPART_ARC
(26,17),-1.61299 # DEPENDENCYPART_ARC
(26,18),-1.99701 # DEPENDENCYPART_ARC
(26,19),-2.39075 # DEPENDENCYPART_ARC
(26,20),-1.74646 # DEPENDENCYPART_ARC
(26,21),-2.3536 # DEPENDENCYPART_ARC
(26,22),-2.48377 # DEPENDENCYPART_ARC
(26,23),-0.420985 # DEPENDENCYPART_ARC
(26,24),-0.119345 # DEPENDENCYPART_ARC
(26,25),-0.558918 # DEPENDENCYPART_ARC
(26,27),3.22386 # DEPENDENCYPART_ARC
(26,28),-0.178527 # DEPENDENCYPART_ARC
(27,1),-1.09641 # DEPENDENCYPART_ARC
(27,2),-2.23085 # DEPENDENCYPART_ARC
(27,3),-3.21845 # DEPENDENCYPART_ARC
(27,4),-2.33543 # DEPENDENCYPART_ARC
(27,5),-2.55292 # DEPENDENCYPART_ARC
(27,6),-3.01024 # DEPENDENCYPART_ARC
(27,7),-3.46423 # DEPENDENCYPART_ARC
(27,8),-2.38489 # DEPENDENCYPART_ARC
(27,9),-2.42253 # DEPENDENCYPART_ARC
(27,10),-2.28632 # DEPENDENCYPART_ARC
(27,11),-2.38527 # DEPENDENCYPART_ARC
(27,12),-1.65181 # DEPENDENCYPART_ARC
(27,13),-2.34019 # DEPENDENCYPART_ARC
(27,14),-2.34598 # DEPENDENCYPART_ARC
(27,15),-1.94043 # DEPENDENCYPART_ARC
(27,16),-3.43121 # DEPENDENCYPART_ARC
(27,17),-2.11972 # DEPENDENCYPART_ARC
(27,18),-2.18181 # DEPENDENCYPART_ARC
(27,19),-2.41161 # DEPENDENCYPART_ARC
(27,20),-2.09229 # DEPENDENCYPART_ARC
(27,21),-2.84264 # DEPENDENCYPART_ARC
(27,22),-3.04839 # DEPENDENCYPART_ARC
(27,23),-1.22862 # DEPENDENCYPART_ARC
(27,24),-0.253054 # DEPENDENCYPART_ARC
(27,25),-0.983973 # DEPENDENCYPART_ARC
(27,26),-0.121342 # DEPENDENCYPART_ARC
(27,28),2.65332 # DEPENDENCYPART_ARC
(28,1),-2.44224 # DEPENDENCYPART_ARC
(28,2),-2.80665 # DEPENDENCYPART_ARC
(28,3),-3.1663 # DEPENDENCYPART_ARC
(28,4),-2.68599 # DEPENDENCYPART_ARC
(28,5),-2.44299 # DEPENDENCYPART_ARC
(28,6),-2.90129 # DEPENDENCYPART_ARC
(28,7),-3.10993 # DEPENDENCYPART_ARC
(28,8),-2.27433 # DEPENDENCYPART_ARC
(28,9),-2.63603 # DEPENDENCYPART_ARC
(28,10),-2.79611 # DEPENDENCYPART_ARC
(28,11),-2.42661 # DEPENDENCYPART_ARC
(28,12),-2.23861 # DEPENDENCYPART_ARC
(28,13),-2.81086 # DEPENDENCYPART_ARC
(28,14),-2.46986 # DEPENDENCYPART_ARC
(28,15),-2.44259 # DEPENDENCYPART_ARC
(28,16),-2.87997 # DEPENDENCYPART_ARC
(28,17),-2.15957 # DEPENDENCYPART_ARC
(28,18),-2.51013 # DEPENDENCYPART_ARC
(28,19),-2.53802 # DEPENDENCYPART_ARC
(28,20),-2.20052 # DEPENDENCYPART_ARC
(28,21),-2.74994 # DEPENDENCYPART_ARC
(28,22),-2.68079 # DEPENDENCYPART_ARC
(28,23),-1.64471 # DEPENDENCYPART_ARC
(28,24),-1.61875 # DEPENDENCYPART_ARC
(28,25),-1.75657 # DEPENDENCYPART_ARC
(28,26),-1.03342 # DEPENDENCYPART_ARC
(28,27),-0.346602 # DEPENDENCYPART_ARC
