# _root_ E in fondo , fino_a quella sublime malattia raccontata nel " documentario fiction " di Caro diario , amavo più il guru ( nelle sue supposte antipatie e idiosincrasie ) che il suo cinema .
#goldHeads=19,19,2,3,19,8,8,5,8,9,12,10,12,13,12,17,15,17,0,19,22,19,24,22,27,27,24,27,27,29,22,34,34,31,34,
#predictedHeads=9,9,2,3,19,8,8,5,8,9,12,10,12,13,12,17,15,17,0,19,22,19,24,19,27,27,24,27,27,29,19,34,34,27,34,
(14,27),-1.72593 # DEPENDENCYPART_ARC
(14,28),-1.38113 # DEPENDENCYPART_ARC
(14,29),-1.81162 # DEPENDENCYPART_ARC
(14,30),-0.79461 # DEPENDENCYPART_ARC
(14,31),-1.50168 # DEPENDENCYPART_ARC
(14,32),-1.66752 # DEPENDENCYPART_ARC
(14,33),-2.06346 # DEPENDENCYPART_ARC
(14,34),-1.89182 # DEPENDENCYPART_ARC
(14,35),-1.03576 # DEPENDENCYPART_ARC
(15,1),-0.608178 # DEPENDENCYPART_ARC
(15,2),-1.1323 # DEPENDENCYPART_ARC
(15,3),-1.23276 # DEPENDENCYPART_ARC
(15,4),-1.325 # DEPENDENCYPART_ARC
(15,5),-0.761 # DEPENDENCYPART_ARC
(15,6),-0.830073 # DEPENDENCYPART_ARC
(15,7),-1.33288 # DEPENDENCYPART_ARC
(15,8),-1.08358 # DEPENDENCYPART_ARC
(15,9),-1.44299 # DEPENDENCYPART_ARC
(15,10),-0.374503 # DEPENDENCYPART_ARC
(15,11),-0.83269 # DEPENDENCYPART_ARC
(15,12),-0.380122 # DEPENDENCYPART_ARC
(15,13),-0.146273 # DEPENDENCYPART_ARC
(15,14),0.825043 # DEPENDENCYPART_ARC
(15,16),2.18143 # DEPENDENCYPART_ARC
(15,17),3.24366 # DEPENDENCYPART_ARC
(15,18),0.446807 # DEPENDENCYPART_ARC
(15,19),0.48988 # DEPENDENCYPART_ARC
(15,20),-0.443816 # DEPENDENCYPART_ARC
(15,21),-0.625404 # DEPENDENCYPART_ARC
(15,22),-1.3573 # DEPENDENCYPART_ARC
(15,23),-0.243274 # DEPENDENCYPART_ARC
(15,24),-0.714518 # DEPENDENCYPART_ARC
(15,25),-0.355039 # DEPENDENCYPART_ARC
(15,26),-0.615546 # DEPENDENCYPART_ARC
(15,27),-2.8313 # DEPENDENCYPART_ARC
(15,28),-0.276556 # DEPENDENCYPART_ARC
(15,29),-3.71536 # DEPENDENCYPART_ARC
(15,30),-1.50169 # DEPENDENCYPART_ARC
(15,31),-1.93721 # DEPENDENCYPART_ARC
(15,32),-1.06962 # DEPENDENCYPART_ARC
(15,33),-1.03284 # DEPENDENCYPART_ARC
(15,34),-5.26713 # DEPENDENCYPART_ARC
(15,35),-1.85581 # DEPENDENCYPART_ARC
(16,1),-3.18218 # DEPENDENCYPART_ARC
(16,2),-2.71084 # DEPENDENCYPART_ARC
(16,3),-3.39117 # DEPENDENCYPART_ARC
(16,4),-3.07466 # DEPENDENCYPART_ARC
(16,5),-2.63273 # DEPENDENCYPART_ARC
(16,6),-2.5332 # DEPENDENCYPART_ARC
(16,7),-2.62019 # DEPENDENCYPART_ARC
(16,8),-3.64235 # DEPENDENCYPART_ARC
(16,9),-3.67308 # DEPENDENCYPART_ARC
(16,10),-2.39646 # DEPENDENCYPART_ARC
(16,11),-1.7917 # DEPENDENCYPART_ARC
(16,12),-2.50677 # DEPENDENCYPART_ARC
(16,13),-2.16614 # DEPENDENCYPART_ARC
(16,14),-0.846387 # DEPENDENCYPART_ARC
(16,15),-0.0114325 # DEPENDENCYPART_ARC
(16,17),1.39555 # DEPENDENCYPART_ARC
(16,18),-0.3575 # DEPENDENCYPART_ARC
(16,19),-1.66169 # DEPENDENCYPART_ARC
(16,20),-1.25158 # DEPENDENCYPART_ARC
(16,21),-1.47858 # DEPENDENCYPART_ARC
(16,22),-0.912623 # DEPENDENCYPART_ARC
(16,23),-1.77378 # DEPENDENCYPART_ARC
(16,24),-1.43354 # DEPENDENCYPART_ARC
(16,25),-2.27199 # DEPENDENCYPART_ARC
(16,26),-2.17061 # DEPENDENCYPART_ARC
(16,27),-1.31284 # DEPENDENCYPART_ARC
(16,28),-0.81313 # DEPENDENCYPART_ARC
(16,29),-1.56764 # DEPENDENCYPART_ARC
(16,30),-2.20225 # DEPENDENCYPART_ARC
(16,31),-1.52336 # DEPENDENCYPART_ARC
(16,32),-1.71821 # DEPENDENCYPART_ARC
(16,33),-0.704851 # DEPENDENCYPART_ARC
(16,34),-1.29891 # DEPENDENCYPART_ARC
(16,35),-2.86622 # DEPENDENCYPART_ARC
(17,1),-1.48817 # DEPENDENCYPART_ARC
(17,2),-2.56079 # DEPENDENCYPART_ARC
(17,3),-2.64466 # DEPENDENCYPART_ARC
(17,4),-2.56125 # DEPENDENCYPART_ARC
(17,5),-1.66649 # DEPENDENCYPART_ARC
(17,6),-0.137838 # DEPENDENCYPART_ARC
(17,7),-0.465061 # DEPENDENCYPART_ARC
(17,8),-2.96126 # DEPENDENCYPART_ARC
(17,9),-1.35371 # DEPENDENCYPART_ARC
(17,10),-0.943902 # DEPENDENCYPART_ARC
(17,11),-0.887003 # DEPENDENCYPART_ARC
(17,12),-1.04553 # DEPENDENCYPART_ARC
(17,13),-1.53439 # DEPENDENCYPART_ARC
(17,14),-0.0585786 # DEPENDENCYPART_ARC
(17,15),0.521131 # DEPENDENCYPART_ARC
(17,16),3.94013 # DEPENDENCYPART_ARC
(17,18),2.13477 # DEPENDENCYPART_ARC
(17,19),-0.508579 # DEPENDENCYPART_ARC
(17,20),-0.595871 # DEPENDENCYPART_ARC
(17,21),-0.748325 # DEPENDENCYPART_ARC
(17,22),-0.109371 # DEPENDENCYPART_ARC
(17,23),-1.20226 # DEPENDENCYPART_ARC
(17,24),-0.624157 # DEPENDENCYPART_ARC
(17,25),-1.99554 # DEPENDENCYPART_ARC
(17,26),-1.86493 # DEPENDENCYPART_ARC
(17,27),-0.931662 # DEPENDENCYPART_ARC
(17,28),0.504846 # DEPENDENCYPART_ARC
(17,29),-0.77102 # DEPENDENCYPART_ARC
(17,30),-1.6021 # DEPENDENCYPART_ARC
(17,31),-1.39687 # DEPENDENCYPART_ARC
(17,32),-1.36417 # DEPENDENCYPART_ARC
(17,33),-1.61432 # DEPENDENCYPART_ARC
(17,34),-0.551201 # DEPENDENCYPART_ARC
(17,35),-1.99963 # DEPENDENCYPART_ARC
(18,1),-2.36912 # DEPENDENCYPART_ARC
(18,2),-2.34932 # DEPENDENCYPART_ARC
(18,3),-2.93752 # DEPENDENCYPART_ARC
(18,4),-2.56319 # DEPENDENCYPART_ARC
(18,5),-2.22529 # DEPENDENCYPART_ARC
(18,6),-2.3442 # DEPENDENCYPART_ARC
(18,7),-2.75317 # DEPENDENCYPART_ARC
(18,8),-2.73904 # DEPENDENCYPART_ARC
(18,9),-2.94634 # DEPENDENCYPART_ARC
(18,10),-2.03392 # DEPENDENCYPART_ARC
(18,11),-2.31438 # DEPENDENCYPART_ARC
(18,12),-2.50876 # DEPENDENCYPART_ARC
(18,13),-2.42329 # DEPENDENCYPART_ARC
(18,14),-2.0643 # DEPENDENCYPART_ARC
(18,15),-1.33138 # DEPENDENCYPART_ARC
(18,16),-1.52579 # DEPENDENCYPART_ARC
(18,17),-0.897425 # DEPENDENCYPART_ARC
(18,19),-0.74337 # DEPENDENCYPART_ARC
(18,20),-2.0073 # DEPENDENCYPART_ARC
(18,21),-2.03561 # DEPENDENCYPART_ARC
(18,22),-2.25494 # DEPENDENCYPART_ARC
(18,23),-1.60624 # DEPENDENCYPART_ARC
(18,24),-2.48446 # DEPENDENCYPART_ARC
(18,25),-2.60361 # DEPENDENCYPART_ARC
(18,26),-2.63865 # DEPENDENCYPART_ARC
(18,27),-2.57405 # DEPENDENCYPART_ARC
(18,28),-2.27659 # DEPENDENCYPART_ARC
(18,29),-2.59586 # DEPENDENCYPART_ARC
(18,30),-1.86869 # DEPENDENCYPART_ARC
(18,31),-2.39495 # DEPENDENCYPART_ARC
(18,32),-2.47437 # DEPENDENCYPART_ARC
(18,33),-2.85437 # DEPENDENCYPART_ARC
(18,34),-2.67524 # DEPENDENCYPART_ARC
(18,35),-1.79028 # DEPENDENCYPART_ARC
(19,1),-0.182653 # DEPENDENCYPART_ARC
(19,2),-0.856469 # DEPENDENCYPART_ARC
(19,3),-1.06918 # DEPENDENCYPART_ARC
(19,4),-2.28769 # DEPENDENCYPART_ARC
(19,5),0.495636 # DEPENDENCYPART_ARC
(19,6),-0.998084 # DEPENDENCYPART_ARC
(19,7),-1.01283 # DEPENDENCYPART_ARC
(19,8),-0.832677 # DEPENDENCYPART_ARC
(19,9),-1.25342 # DEPENDENCYPART_ARC
(19,10),-0.142067 # DEPENDENCYPART_ARC
(19,11),-0.698938 # DEPENDENCYPART_ARC
(19,12),-0.365919 # DEPENDENCYPART_ARC
(19,13),-0.432402 # DEPENDENCYPART_ARC
(19,14),-0.605945 # DEPENDENCYPART_ARC
(19,15),0.429258 # DEPENDENCYPART_ARC
(19,16),-0.0761849 # DEPENDENCYPART_ARC
(19,17),-0.100584 # DEPENDENCYPART_ARC
(19,18),0.503514 # DEPENDENCYPART_ARC
(19,20),1.97179 # DEPENDENCYPART_ARC
(19,21),-0.0138977 # DEPENDENCYPART_ARC
(19,22),1.80965 # DEPENDENCYPART_ARC
(19,23),0.116505 # DEPENDENCYPART_ARC
(19,24),0.811199 # DEPENDENCYPART_ARC
(19,25),0.48447 # DEPENDENCYPART_ARC
(19,26),0.283272 # DEPENDENCYPART_ARC
(19,27),1.03513 # DEPENDENCYPART_ARC
(19,28),1.15563 # DEPENDENCYPART_ARC
(19,29),0.109572 # DEPENDENCYPART_ARC
(19,30),-0.0506896 # DEPENDENCYPART_ARC
(19,31),0.406303 # DEPENDENCYPART_ARC
(19,32),-0.969368 # DEPENDENCYPART_ARC
(19,33),-0.91207 # DEPENDENCYPART_ARC
(19,34),-0.998186 # DEPENDENCYPART_ARC
(19,35),-0.829465 # DEPENDENCYPART_ARC
(20,1),-1.73211 # DEPENDENCYPART_ARC
(20,2),-1.78277 # DEPENDENCYPART_ARC
(20,3),-2.60606 # DEPENDENCYPART_ARC
(20,4),-2.01489 # DEPENDENCYPART_ARC
(20,5),-1.66738 # DEPENDENCYPART_ARC
(20,6),-1.7208 # DEPENDENCYPART_ARC
(20,7),-1.8697 # DEPENDENCYPART_ARC
(20,8),-2.44281 # DEPENDENCYPART_ARC
(20,9),-2.63951 # DEPENDENCYPART_ARC
(20,10),-1.48463 # DEPENDENCYPART_ARC
(20,11),-1.50077 # DEPENDENCYPART_ARC
(20,12),-2.30191 # DEPENDENCYPART_ARC
(20,13),-2.1815 # DEPENDENCYPART_ARC
(20,14),-1.34438 # DEPENDENCYPART_ARC
(20,15),-0.974749 # DEPENDENCYPART_ARC
(20,16),-1.47663 # DEPENDENCYPART_ARC
(20,17),-1.50608 # DEPENDENCYPART_ARC
(20,18),-0.697453 # DEPENDENCYPART_ARC
(20,19),-0.328891 # DEPENDENCYPART_ARC
(20,21),0.813063 # DEPENDENCYPART_ARC
(20,22),0.264786 # DEPENDENCYPART_ARC
(20,23),0.217351 # DEPENDENCYPART_ARC
(20,24),0.0239399 # DEPENDENCYPART_ARC
(20,25),-0.383503 # DEPENDENCYPART_ARC
(20,26),-0.709095 # DEPENDENCYPART_ARC
(20,27),-0.756775 # DEPENDENCYPART_ARC
(20,28),-0.176779 # DEPENDENCYPART_ARC
(20,29),-0.928368 # DEPENDENCYPART_ARC
(20,30),-0.722098 # DEPENDENCYPART_ARC
(20,31),0.00708639 # DEPENDENCYPART_ARC
(20,32),-0.486473 # DEPENDENCYPART_ARC
(20,33),-0.914229 # DEPENDENCYPART_ARC
(20,34),-1.18784 # DEPENDENCYPART_ARC
(20,35),-1.21126 # DEPENDENCYPART_ARC
(21,1),-1.89564 # DEPENDENCYPART_ARC
(21,2),-2.20724 # DEPENDENCYPART_ARC
(21,3),-2.25589 # DEPENDENCYPART_ARC
(21,4),-1.71495 # DEPENDENCYPART_ARC
(21,5),-2.13037 # DEPENDENCYPART_ARC
(21,6),-1.76146 # DEPENDENCYPART_ARC
(21,7),-1.97439 # DEPENDENCYPART_ARC
(21,8),-2.50743 # DEPENDENCYPART_ARC
(21,9),-3.02223 # DEPENDENCYPART_ARC
(21,10),-2.27064 # DEPENDENCYPART_ARC
(21,11),-1.04999 # DEPENDENCYPART_ARC
(21,12),-2.08156 # DEPENDENCYPART_ARC
(21,13),-2.26777 # DEPENDENCYPART_ARC
(21,14),-0.967232 # DEPENDENCYPART_ARC
(21,15),-1.50586 # DEPENDENCYPART_ARC
(21,16),-1.49842 # DEPENDENCYPART_ARC
(21,17),-1.70923 # DEPENDENCYPART_ARC
(21,18),-0.904629 # DEPENDENCYPART_ARC
(21,19),-1.38074 # DEPENDENCYPART_ARC
(21,20),-0.000105688 # DEPENDENCYPART_ARC
(21,22),1.33106 # DEPENDENCYPART_ARC
(21,23),-0.347341 # DEPENDENCYPART_ARC
(21,24),-0.111719 # DEPENDENCYPART_ARC
(21,25),-2.05094 # DEPENDENCYPART_ARC
(21,26),-2.14861 # DEPENDENCYPART_ARC
(21,27),-0.9613 # DEPENDENCYPART_ARC
(21,28),-0.523308 # DEPENDENCYPART_ARC
(21,29),-1.01033 # DEPENDENCYPART_ARC
(21,30),-0.765496 # DEPENDENCYPART_ARC
(21,31),-0.593716 # DEPENDENCYPART_ARC
(21,32),-1.61521 # DEPENDENCYPART_ARC
(21,33),-1.91265 # DEPENDENCYPART_ARC
(21,34),-0.642904 # DEPENDENCYPART_ARC
(21,35),-0.92224 # DEPENDENCYPART_ARC
(22,1),-1.89945 # DEPENDENCYPART_ARC
(22,2),-2.47548 # DEPENDENCYPART_ARC
(22,3),-3.12893 # DEPENDENCYPART_ARC
(22,4),-2.87392 # DEPENDENCYPART_ARC
(22,5),-1.54971 # DEPENDENCYPART_ARC
(22,6),-0.147943 # DEPENDENCYPART_ARC
(22,7),-1.70672 # DEPENDENCYPART_ARC
(22,8),-3.38481 # DEPENDENCYPART_ARC
(22,9),-0.861942 # DEPENDENCYPART_ARC
(22,10),-1.25175 # DEPENDENCYPART_ARC
(22,11),-1.46038 # DEPENDENCYPART_ARC
(22,12),-2.29792 # DEPENDENCYPART_ARC
(22,13),-1.74601 # DEPENDENCYPART_ARC
(22,14),-1.2486 # DEPENDENCYPART_ARC
(22,15),-0.623426 # DEPENDENCYPART_ARC
(22,16),-0.680615 # DEPENDENCYPART_ARC
(22,17),-2.18857 # DEPENDENCYPART_ARC
(22,18),-1.74252 # DEPENDENCYPART_ARC
(22,19),-0.653835 # DEPENDENCYPART_ARC
(22,20),1.47783 # DEPENDENCYPART_ARC
(22,21),3.10487 # DEPENDENCYPART_ARC
(22,23),0.54976 # DEPENDENCYPART_ARC
(22,24),0.229259 # DEPENDENCYPART_ARC
(22,25),-0.122728 # DEPENDENCYPART_ARC
(22,26),-0.0896259 # DEPENDENCYPART_ARC
(22,27),0.183753 # DEPENDENCYPART_ARC
(22,28),0.789735 # DEPENDENCYPART_ARC
(22,29),0.43042 # DEPENDENCYPART_ARC
(22,30),-0.524792 # DEPENDENCYPART_ARC
(22,31),-0.578784 # DEPENDENCYPART_ARC
(22,32),-0.729711 # DEPENDENCYPART_ARC
(22,33),-0.773631 # DEPENDENCYPART_ARC
(22,34),-0.181741 # DEPENDENCYPART_ARC
(22,35),-1.34762 # DEPENDENCYPART_ARC
(23,1),-1.98803 # DEPENDENCYPART_ARC
(23,2),-1.95279 # DEPENDENCYPART_ARC
(23,3),-2.41415 # DEPENDENCYPART_ARC
(23,4),-1.98345 # DEPENDENCYPART_ARC
(23,5),-1.83739 # DEPENDENCYPART_ARC
(23,6),-1.92056 # DEPENDENCYPART_ARC
(23,7),-2.25747 # DEPENDENCYPART_ARC
(23,8),-2.36127 # DEPENDENCYPART_ARC
(23,9),-2.64658 # DEPENDENCYPART_ARC
(23,10),-1.72747 # DEPENDENCYPART_ARC
(23,11),-2.07927 # DEPENDENCYPART_ARC
(23,12),-2.33667 # DEPENDENCYPART_ARC
(23,13),-2.27526 # DEPENDENCYPART_ARC
(23,14),-2.00954 # DEPENDENCYPART_ARC
(23,15),-1.62826 # DEPENDENCYPART_ARC
(23,16),-2.01927 # DEPENDENCYPART_ARC
(23,17),-2.11707 # DEPENDENCYPART_ARC
(23,18),-1.68686 # DEPENDENCYPART_ARC
(23,19),-2.10909 # DEPENDENCYPART_ARC
(23,20),-1.12226 # DEPENDENCYPART_ARC
(23,21),-0.289758 # DEPENDENCYPART_ARC
(23,22),-0.412217 # DEPENDENCYPART_ARC
(23,24),-0.944479 # DEPENDENCYPART_ARC
(23,25),-1.23913 # DEPENDENCYPART_ARC
(23,26),-1.59466 # DEPENDENCYPART_ARC
(23,27),-1.70202 # DEPENDENCYPART_ARC
(23,28),-1.78124 # DEPENDENCYPART_ARC
(23,29),-1.9266 # DEPENDENCYPART_ARC
(23,30),-0.989885 # DEPENDENCYPART_ARC
(23,31),-1.76961 # DEPENDENCYPART_ARC
(23,32),-1.95613 # DEPENDENCYPART_ARC
(23,33),-2.15128 # DEPENDENCYPART_ARC
(23,34),-2.07593 # DEPENDENCYPART_ARC
(23,35),-0.954691 # DEPENDENCYPART_ARC
(24,1),-0.581407 # DEPENDENCYPART_ARC
(24,2),-1.13019 # DEPENDENCYPART_ARC
(24,3),-1.9487 # DEPENDENCYPART_ARC
(24,4),-0.980407 # DEPENDENCYPART_ARC
(24,5),-0.603352 # DEPENDENCYPART_ARC
(24,6),-0.618462 # DEPENDENCYPART_ARC
(24,7),-1.58249 # DEPENDENCYPART_ARC
(24,8),-1.71838 # DEPENDENCYPART_ARC
(24,9),-2.10816 # DEPENDENCYPART_ARC
(24,10),-0.95079 # DEPENDENCYPART_ARC
(24,11),-0.829003 # DEPENDENCYPART_ARC
(24,12),-1.75277 # DEPENDENCYPART_ARC
(24,13),-1.82494 # DEPENDENCYPART_ARC
(24,14),-0.794417 # DEPENDENCYPART_ARC
(24,15),-0.45237 # DEPENDENCYPART_ARC
(24,16),-1.56421 # DEPENDENCYPART_ARC
(24,17),-1.51232 # DEPENDENCYPART_ARC
(24,18),-0.766765 # DEPENDENCYPART_ARC
(24,19),-1.66169 # DEPENDENCYPART_ARC
(24,20),-0.200454 # DEPENDENCYPART_ARC
(24,21),-0.232654 # DEPENDENCYPART_ARC
(24,22),-0.498934 # DEPENDENCYPART_ARC
(24,23),1.91572 # DEPENDENCYPART_ARC
(24,25),2.22069 # DEPENDENCYPART_ARC
(24,26),1.40124 # DEPENDENCYPART_ARC
(24,27),1.98761 # DEPENDENCYPART_ARC
(24,28),0.636514 # DEPENDENCYPART_ARC
(24,29),0.757063 # DEPENDENCYPART_ARC
(24,30),-0.132572 # DEPENDENCYPART_ARC
(24,31),-0.66124 # DEPENDENCYPART_ARC
(24,32),-1.3814 # DEPENDENCYPART_ARC
(24,33),-1.94461 # DEPENDENCYPART_ARC
(24,34),-1.46221 # DEPENDENCYPART_ARC
(24,35),-0.546893 # DEPENDENCYPART_ARC
(25,1),-3.14349 # DEPENDENCYPART_ARC
(25,2),-2.82792 # DEPENDENCYPART_ARC
(25,3),-3.48867 # DEPENDENCYPART_ARC
(25,4),-3.00763 # DEPENDENCYPART_ARC
(25,5),-2.62329 # DEPENDENCYPART_ARC
(25,6),-2.16163 # DEPENDENCYPART_ARC
(25,7),-2.456 # DEPENDENCYPART_ARC
(25,8),-3.20024 # DEPENDENCYPART_ARC
(25,9),-3.852 # DEPENDENCYPART_ARC
(25,10),-2.87751 # DEPENDENCYPART_ARC
(25,11),-2.21438 # DEPENDENCYPART_ARC
(25,12),-3.00822 # DEPENDENCYPART_ARC
(25,13),-3.06693 # DEPENDENCYPART_ARC
(25,14),-2.15852 # DEPENDENCYPART_ARC
(25,15),-2.26031 # DEPENDENCYPART_ARC
(25,16),-2.76097 # DEPENDENCYPART_ARC
(25,17),-2.77304 # DEPENDENCYPART_ARC
(25,18),-2.49835 # DEPENDENCYPART_ARC
(25,19),-3.46004 # DEPENDENCYPART_ARC
(25,20),-0.955266 # DEPENDENCYPART_ARC
(25,21),-2.18835 # DEPENDENCYPART_ARC
(25,22),-1.74169 # DEPENDENCYPART_ARC
(25,23),-0.682669 # DEPENDENCYPART_ARC
(25,24),-0.228956 # DEPENDENCYPART_ARC
(25,26),1.84458 # DEPENDENCYPART_ARC
(25,27),0.402749 # DEPENDENCYPART_ARC
(25,28),0.0180016 # DEPENDENCYPART_ARC
(25,29),-0.38924 # DEPENDENCYPART_ARC
(25,30),-0.912308 # DEPENDENCYPART_ARC
(25,31),-0.607211 # DEPENDENCYPART_ARC
(25,32),-1.4443 # DEPENDENCYPART_ARC
(25,33),-1.0414 # DEPENDENCYPART_ARC
(25,34),-0.855418 # DEPENDENCYPART_ARC
(25,35),-1.28223 # DEPENDENCYPART_ARC
(26,1),-2.31966 # DEPENDENCYPART_ARC
(26,2),-1.79456 # DEPENDENCYPART_ARC
(26,3),-2.58046 # DEPENDENCYPART_ARC
(26,4),-2.05203 # DEPENDENCYPART_ARC
(26,5),-1.79198 # DEPENDENCYPART_ARC
(26,6),-1.28562 # DEPENDENCYPART_ARC
(26,7),-1.41143 # DEPENDENCYPART_ARC
(26,8),-2.2798 # DEPENDENCYPART_ARC
(26,9),-2.86773 # DEPENDENCYPART_ARC
(26,10),-1.90579 # DEPENDENCYPART_ARC
(26,11),-1.18757 # DEPENDENCYPART_ARC
(26,12),-2.22621 # DEPENDENCYPART_ARC
(26,13),-2.11075 # DEPENDENCYPART_ARC
(26,14),-1.11821 # DEPENDENCYPART_ARC
(26,15),-1.44241 # DEPENDENCYPART_ARC
(26,16),-1.79519 # DEPENDENCYPART_ARC
(26,17),-1.84939 # DEPENDENCYPART_ARC
(26,18),-1.62244 # DEPENDENCYPART_ARC
(26,19),-2.50839 # DEPENDENCYPART_ARC
(26,20),-0.364272 # DEPENDENCYPART_ARC
(26,21),-1.38634 # DEPENDENCYPART_ARC
(26,22),-1.14742 # DEPENDENCYPART_ARC
(26,23),-0.240419 # DEPENDENCYPART_ARC
(26,24),-0.121537 # DEPENDENCYPART_ARC
(26,25),1.70012 # DEPENDENCYPART_ARC
(26,27),1.10014 # DEPENDENCYPART_ARC
(26,28),0.0177508 # DEPENDENCYPART_ARC
(26,29),-0.187332 # DEPENDENCYPART_ARC
(26,30),-0.741417 # DEPENDENCYPART_ARC
(26,31),-0.60638 # DEPENDENCYPART_ARC
(26,32),-1.29704 # DEPENDENCYPART_ARC
(26,33),-0.796554 # DEPENDENCYPART_ARC
(26,34),-0.8932 # DEPENDENCYPART_ARC
(26,35),-1.243 # DEPENDENCYPART_ARC
(27,1),-1.30334 # DEPENDENCYPART_ARC
(27,2),-2.96524 # DEPENDENCYPART_ARC
(27,3),-2.85579 # DEPENDENCYPART_ARC
(27,4),-2.71414 # DEPENDENCYPART_ARC
(27,5),-1.94155 # DEPENDENCYPART_ARC
(27,6),0.0555364 # DEPENDENCYPART_ARC
(27,7),-1.32722 # DEPENDENCYPART_ARC
(27,8),-2.30188 # DEPENDENCYPART_ARC
(27,9),-1.19899 # DEPENDENCYPART_ARC
(27,10),-1.83264 # DEPENDENCYPART_ARC
(27,11),-1.34135 # DEPENDENCYPART_ARC
(27,12),-2.16919 # DEPENDENCYPART_ARC
(27,13),-2.00489 # DEPENDENCYPART_ARC
(27,14),-1.09041 # DEPENDENCYPART_ARC
(27,15),-1.1218 # DEPENDENCYPART_ARC
(27,16),-0.80806 # DEPENDENCYPART_ARC
(27,17),-2.18522 # DEPENDENCYPART_ARC
(27,18),-1.97736 # DEPENDENCYPART_ARC
(27,19),-1.78865 # DEPENDENCYPART_ARC
(27,20),0.37361 # DEPENDENCYPART_ARC
(27,21),-0.0857988 # DEPENDENCYPART_ARC
(27,22),-0.8739 # DEPENDENCYPART_ARC
(27,23),-0.29865 # DEPENDENCYPART_ARC
(27,24),0.734051 # DEPENDENCYPART_ARC
(27,25),3.49055 # DEPENDENCYPART_ARC
(27,26),4.15234 # DEPENDENCYPART_ARC
(27,28),2.41272 # DEPENDENCYPART_ARC
(27,29),2.76766 # DEPENDENCYPART_ARC
(27,30),0.59583 # DEPENDENCYPART_ARC
(27,31),0.222922 # DEPENDENCYPART_ARC
(27,32),-0.408348 # DEPENDENCYPART_ARC
(27,33),-1.46491 # DEPENDENCYPART_ARC
(27,34),1.25817 # DEPENDENCYPART_ARC
(27,35),-0.213108 # DEPENDENCYPART_ARC
(28,1),-2.05379 # DEPENDENCYPART_ARC
(28,2),-2.45628 # DEPENDENCYPART_ARC
(28,3),-3.8701 # DEPENDENCYPART_ARC
(28,4),-2.46496 # DEPENDENCYPART_ARC
(28,5),-2.49442 # DEPENDENCYPART_ARC
(28,6),-2.28117 # DEPENDENCYPART_ARC
(28,7),-2.71402 # DEPENDENCYPART_ARC
(28,8),-3.51213 # DEPENDENCYPART_ARC
(28,9),-2.86749 # DEPENDENCYPART_ARC
(28,10),-2.30188 # DEPENDENCYPART_ARC
(28,11),-2.45689 # DEPENDENCYPART_ARC
(28,12),-3.3329 # DEPENDENCYPART_ARC
(28,13),-3.25489 # DEPENDENCYPART_ARC
(28,14),-2.52489 # DEPENDENCYPART_ARC
(28,15),-2.11757 # DEPENDENCYPART_ARC
(28,16),-2.51194 # DEPENDENCYPART_ARC
(28,17),-3.01096 # DEPENDENCYPART_ARC
(28,18),-2.25505 # DEPENDENCYPART_ARC
(28,19),-2.72371 # DEPENDENCYPART_ARC
(28,20),-1.83359 # DEPENDENCYPART_ARC
(28,21),-1.79419 # DEPENDENCYPART_ARC
(28,22),-2.55279 # DEPENDENCYPART_ARC
(28,23),-1.32402 # DEPENDENCYPART_ARC
(28,24),-1.50202 # DEPENDENCYPART_ARC
(28,25),-1.66475 # DEPENDENCYPART_ARC
(28,26),-1.33028 # DEPENDENCYPART_ARC
(28,27),-0.670273 # DEPENDENCYPART_ARC
(28,29),0.182822 # DEPENDENCYPART_ARC
(28,30),-0.562748 # DEPENDENCYPART_ARC
(28,31),-0.694495 # DEPENDENCYPART_ARC
(28,32),-1.74943 # DEPENDENCYPART_ARC
(28,33),-1.35699 # DEPENDENCYPART_ARC
(28,34),-1.43891 # DEPENDENCYPART_ARC
(28,35),-1.23724 # DEPENDENCYPART_ARC
(29,1),-3.34829 # DEPENDENCYPART_ARC
(29,2),-4.87516 # DEPENDENCYPART_ARC
(29,3),-4.83847 # DEPENDENCYPART_ARC
(29,4),-4.58455 # DEPENDENCYPART_ARC
(29,5),-3.76034 # DEPENDENCYPART_ARC
(29,6),-2.0835 # DEPENDENCYPART_ARC
(29,7),-3.39053 # DEPENDENCYPART_ARC
(29,8),-4.43238 # DEPENDENCYPART_ARC
(29,9),-3.17511 # DEPENDENCYPART_ARC
(29,10),-3.82747 # DEPENDENCYPART_ARC
(29,11),-3.20297 # DEPENDENCYPART_ARC
(29,12),-4.01808 # DEPENDENCYPART_ARC
(29,13),-4.13313 # DEPENDENCYPART_ARC
(29,14),-3.12398 # DEPENDENCYPART_ARC
(29,15),-3.11306 # DEPENDENCYPART_ARC
(29,16),-2.66843 # DEPENDENCYPART_ARC
(29,17),-4.26573 # DEPENDENCYPART_ARC
(29,18),-3.96793 # DEPENDENCYPART_ARC
(29,19),-3.76113 # DEPENDENCYPART_ARC
(29,20),-1.70477 # DEPENDENCYPART_ARC
(29,21),-2.71035 # DEPENDENCYPART_ARC
(29,22),-3.30472 # DEPENDENCYPART_ARC
(29,23),-2.56278 # DEPENDENCYPART_ARC
(29,24),-1.5268 # DEPENDENCYPART_ARC
(29,25),0.507898 # DEPENDENCYPART_ARC
(29,26),0.532116 # DEPENDENCYPART_ARC
