# _root_ Mare in tempesta vien fuori tutto da una attenta lettura di William Turner : mare , spruzzi d' acqua , fluire d' onde tra gli scogli intarsiati dal soffio furente del vento e della pioggia .
#goldHeads=4,1,2,0,6,4,4,10,10,7,10,13,11,13,0,15,15,17,18,15,15,21,22,23,26,24,26,27,28,29,29,31,31,31,34,35,
#predictedHeads=4,1,2,0,4,4,4,10,10,7,10,13,11,13,13,15,15,17,18,15,17,21,22,21,26,24,26,27,28,29,29,31,31,31,34,35,
(14,13),-0.367109 # DEPENDENCYPART_ARC
(14,15),-0.719784 # DEPENDENCYPART_ARC
(14,16),-0.766224 # DEPENDENCYPART_ARC
(14,17),-1.89588 # DEPENDENCYPART_ARC
(14,18),-2.05052 # DEPENDENCYPART_ARC
(14,19),-2.10106 # DEPENDENCYPART_ARC
(14,20),-0.956311 # DEPENDENCYPART_ARC
(14,21),-1.98906 # DEPENDENCYPART_ARC
(14,22),-2.45674 # DEPENDENCYPART_ARC
(14,23),-2.52413 # DEPENDENCYPART_ARC
(14,24),-2.4509 # DEPENDENCYPART_ARC
(14,25),-2.38356 # DEPENDENCYPART_ARC
(14,26),-2.56801 # DEPENDENCYPART_ARC
(14,27),-2.40363 # DEPENDENCYPART_ARC
(14,28),-2.6755 # DEPENDENCYPART_ARC
(14,29),-2.7453 # DEPENDENCYPART_ARC
(14,30),-2.79518 # DEPENDENCYPART_ARC
(14,31),-2.75793 # DEPENDENCYPART_ARC
(14,32),-2.74418 # DEPENDENCYPART_ARC
(14,33),-2.56696 # DEPENDENCYPART_ARC
(14,34),-2.86208 # DEPENDENCYPART_ARC
(14,35),-2.94128 # DEPENDENCYPART_ARC
(14,36),-2.41511 # DEPENDENCYPART_ARC
(15,1),-3.67566 # DEPENDENCYPART_ARC
(15,2),-2.56426 # DEPENDENCYPART_ARC
(15,3),-3.66147 # DEPENDENCYPART_ARC
(15,4),-3.22067 # DEPENDENCYPART_ARC
(15,5),-1.79419 # DEPENDENCYPART_ARC
(15,6),-1.65564 # DEPENDENCYPART_ARC
(15,7),-2.10258 # DEPENDENCYPART_ARC
(15,8),-1.52929 # DEPENDENCYPART_ARC
(15,9),-0.892015 # DEPENDENCYPART_ARC
(15,10),-3.32691 # DEPENDENCYPART_ARC
(15,11),-1.56349 # DEPENDENCYPART_ARC
(15,12),-1.11995 # DEPENDENCYPART_ARC
(15,13),-2.00525 # DEPENDENCYPART_ARC
(15,14),0.235423 # DEPENDENCYPART_ARC
(15,16),2.17594 # DEPENDENCYPART_ARC
(15,17),1.39973 # DEPENDENCYPART_ARC
(15,18),1.32698 # DEPENDENCYPART_ARC
(15,19),0.982083 # DEPENDENCYPART_ARC
(15,20),1.85361 # DEPENDENCYPART_ARC
(15,21),0.831653 # DEPENDENCYPART_ARC
(15,22),0.0200808 # DEPENDENCYPART_ARC
(15,23),-0.0946114 # DEPENDENCYPART_ARC
(15,24),-0.0765937 # DEPENDENCYPART_ARC
(15,25),-0.485967 # DEPENDENCYPART_ARC
(15,26),-0.425957 # DEPENDENCYPART_ARC
(15,27),-0.32748 # DEPENDENCYPART_ARC
(15,28),-0.873996 # DEPENDENCYPART_ARC
(15,29),-0.0592246 # DEPENDENCYPART_ARC
(15,30),-0.950517 # DEPENDENCYPART_ARC
(15,31),-1.40441 # DEPENDENCYPART_ARC
(15,32),-0.461159 # DEPENDENCYPART_ARC
(15,33),0.307101 # DEPENDENCYPART_ARC
(15,34),-1.61461 # DEPENDENCYPART_ARC
(15,35),-0.74097 # DEPENDENCYPART_ARC
(15,36),-2.82465 # DEPENDENCYPART_ARC
(16,1),-2.89938 # DEPENDENCYPART_ARC
(16,2),-2.3993 # DEPENDENCYPART_ARC
(16,3),-2.77501 # DEPENDENCYPART_ARC
(16,4),-2.99295 # DEPENDENCYPART_ARC
(16,5),-2.57822 # DEPENDENCYPART_ARC
(16,6),-2.34772 # DEPENDENCYPART_ARC
(16,7),-2.06629 # DEPENDENCYPART_ARC
(16,8),-2.11537 # DEPENDENCYPART_ARC
(16,9),-2.49002 # DEPENDENCYPART_ARC
(16,10),-2.52969 # DEPENDENCYPART_ARC
(16,11),-1.80602 # DEPENDENCYPART_ARC
(16,12),-2.2837 # DEPENDENCYPART_ARC
(16,13),-1.99326 # DEPENDENCYPART_ARC
(16,14),-1.26727 # DEPENDENCYPART_ARC
(16,15),-0.923566 # DEPENDENCYPART_ARC
(16,17),-0.868244 # DEPENDENCYPART_ARC
(16,18),-2.01418 # DEPENDENCYPART_ARC
(16,19),-2.0216 # DEPENDENCYPART_ARC
(16,20),-0.935114 # DEPENDENCYPART_ARC
(16,21),-2.02256 # DEPENDENCYPART_ARC
(16,22),-2.54743 # DEPENDENCYPART_ARC
(16,23),-2.62189 # DEPENDENCYPART_ARC
(16,24),-2.60784 # DEPENDENCYPART_ARC
(16,25),-2.53248 # DEPENDENCYPART_ARC
(16,26),-2.68002 # DEPENDENCYPART_ARC
(16,27),-2.49605 # DEPENDENCYPART_ARC
(16,28),-2.86726 # DEPENDENCYPART_ARC
(16,29),-2.86299 # DEPENDENCYPART_ARC
(16,30),-2.92356 # DEPENDENCYPART_ARC
(16,31),-2.95644 # DEPENDENCYPART_ARC
(16,32),-2.86168 # DEPENDENCYPART_ARC
(16,33),-2.60571 # DEPENDENCYPART_ARC
(16,34),-2.96138 # DEPENDENCYPART_ARC
(16,35),-3.08492 # DEPENDENCYPART_ARC
(16,36),-2.19726 # DEPENDENCYPART_ARC
(17,1),-3.11516 # DEPENDENCYPART_ARC
(17,2),-2.37694 # DEPENDENCYPART_ARC
(17,3),-3.40488 # DEPENDENCYPART_ARC
(17,4),-3.44433 # DEPENDENCYPART_ARC
(17,5),-1.3515 # DEPENDENCYPART_ARC
(17,6),-1.94013 # DEPENDENCYPART_ARC
(17,7),-1.71626 # DEPENDENCYPART_ARC
(17,8),-2.23788 # DEPENDENCYPART_ARC
(17,9),-1.24318 # DEPENDENCYPART_ARC
(17,10),-3.19091 # DEPENDENCYPART_ARC
(17,11),-1.55047 # DEPENDENCYPART_ARC
(17,12),-1.35622 # DEPENDENCYPART_ARC
(17,13),-1.9928 # DEPENDENCYPART_ARC
(17,14),-0.994546 # DEPENDENCYPART_ARC
(17,15),-1.16793 # DEPENDENCYPART_ARC
(17,16),0.444724 # DEPENDENCYPART_ARC
(17,18),2.79646 # DEPENDENCYPART_ARC
(17,19),0.90079 # DEPENDENCYPART_ARC
(17,20),0.843673 # DEPENDENCYPART_ARC
(17,21),1.06897 # DEPENDENCYPART_ARC
(17,22),0.347308 # DEPENDENCYPART_ARC
(17,23),0.514214 # DEPENDENCYPART_ARC
(17,24),0.188466 # DEPENDENCYPART_ARC
(17,25),0.0458417 # DEPENDENCYPART_ARC
(17,26),0.0815512 # DEPENDENCYPART_ARC
(17,27),1.06445 # DEPENDENCYPART_ARC
(17,28),-0.548182 # DEPENDENCYPART_ARC
(17,29),-0.910928 # DEPENDENCYPART_ARC
(17,30),-1.83237 # DEPENDENCYPART_ARC
(17,31),-1.02128 # DEPENDENCYPART_ARC
(17,32),-1.33089 # DEPENDENCYPART_ARC
(17,33),-0.618598 # DEPENDENCYPART_ARC
(17,34),-1.23131 # DEPENDENCYPART_ARC
(17,35),-1.44159 # DEPENDENCYPART_ARC
(17,36),-3.54813 # DEPENDENCYPART_ARC
(18,1),-2.26525 # DEPENDENCYPART_ARC
(18,2),-1.76869 # DEPENDENCYPART_ARC
(18,3),-2.18373 # DEPENDENCYPART_ARC
(18,4),-2.38819 # DEPENDENCYPART_ARC
(18,5),-1.3051 # DEPENDENCYPART_ARC
(18,6),-1.63766 # DEPENDENCYPART_ARC
(18,7),-1.23804 # DEPENDENCYPART_ARC
(18,8),-1.61543 # DEPENDENCYPART_ARC
(18,9),-1.96806 # DEPENDENCYPART_ARC
(18,10),-2.02077 # DEPENDENCYPART_ARC
(18,11),-1.06963 # DEPENDENCYPART_ARC
(18,12),-1.7398 # DEPENDENCYPART_ARC
(18,13),-1.55237 # DEPENDENCYPART_ARC
(18,14),-1.26398 # DEPENDENCYPART_ARC
(18,15),-1.11593 # DEPENDENCYPART_ARC
(18,16),-0.687877 # DEPENDENCYPART_ARC
(18,17),-0.161058 # DEPENDENCYPART_ARC
(18,19),4.52424 # DEPENDENCYPART_ARC
(18,20),0.247107 # DEPENDENCYPART_ARC
(18,21),-0.000803611 # DEPENDENCYPART_ARC
(18,22),-0.604205 # DEPENDENCYPART_ARC
(18,23),-0.382734 # DEPENDENCYPART_ARC
(18,24),-1.20388 # DEPENDENCYPART_ARC
(18,25),-1.32292 # DEPENDENCYPART_ARC
(18,26),-2.44609 # DEPENDENCYPART_ARC
(18,27),-1.57154 # DEPENDENCYPART_ARC
(18,28),-1.1503 # DEPENDENCYPART_ARC
(18,29),-2.97573 # DEPENDENCYPART_ARC
(18,30),-1.04541 # DEPENDENCYPART_ARC
(18,31),-1.5683 # DEPENDENCYPART_ARC
(18,32),-3.91198 # DEPENDENCYPART_ARC
(18,33),-0.573368 # DEPENDENCYPART_ARC
(18,34),-0.00423104 # DEPENDENCYPART_ARC
(18,35),-4.525 # DEPENDENCYPART_ARC
(18,36),-1.8608 # DEPENDENCYPART_ARC
(19,1),-4.29864 # DEPENDENCYPART_ARC
(19,2),-3.07497 # DEPENDENCYPART_ARC
(19,3),-3.50815 # DEPENDENCYPART_ARC
(19,4),-2.80314 # DEPENDENCYPART_ARC
(19,5),-2.16073 # DEPENDENCYPART_ARC
(19,6),-1.93952 # DEPENDENCYPART_ARC
(19,7),-2.65776 # DEPENDENCYPART_ARC
(19,8),-2.1351 # DEPENDENCYPART_ARC
(19,9),-0.679409 # DEPENDENCYPART_ARC
(19,10),-3.5465 # DEPENDENCYPART_ARC
(19,11),-2.40488 # DEPENDENCYPART_ARC
(19,12),-2.31261 # DEPENDENCYPART_ARC
(19,13),-3.54291 # DEPENDENCYPART_ARC
(19,14),-2.33231 # DEPENDENCYPART_ARC
(19,15),-3.29037 # DEPENDENCYPART_ARC
(19,16),-2.07906 # DEPENDENCYPART_ARC
(19,17),-1.5987 # DEPENDENCYPART_ARC
(19,18),0.559724 # DEPENDENCYPART_ARC
(19,20),1.59331 # DEPENDENCYPART_ARC
(19,21),-0.239944 # DEPENDENCYPART_ARC
(19,22),-0.44685 # DEPENDENCYPART_ARC
(19,23),-1.19003 # DEPENDENCYPART_ARC
(19,24),-0.886666 # DEPENDENCYPART_ARC
(19,25),-1.99461 # DEPENDENCYPART_ARC
(19,26),-2.15758 # DEPENDENCYPART_ARC
(19,27),-1.89802 # DEPENDENCYPART_ARC
(19,28),-1.58241 # DEPENDENCYPART_ARC
(19,29),-1.55167 # DEPENDENCYPART_ARC
(19,30),-1.52173 # DEPENDENCYPART_ARC
(19,31),-1.74339 # DEPENDENCYPART_ARC
(19,32),-2.03528 # DEPENDENCYPART_ARC
(19,33),-1.30348 # DEPENDENCYPART_ARC
(19,34),-2.2138 # DEPENDENCYPART_ARC
(19,35),-1.79628 # DEPENDENCYPART_ARC
(19,36),-3.62886 # DEPENDENCYPART_ARC
(20,1),-2.84667 # DEPENDENCYPART_ARC
(20,2),-2.38217 # DEPENDENCYPART_ARC
(20,3),-2.8962 # DEPENDENCYPART_ARC
(20,4),-3.11222 # DEPENDENCYPART_ARC
(20,5),-2.63111 # DEPENDENCYPART_ARC
(20,6),-2.53332 # DEPENDENCYPART_ARC
(20,7),-2.16599 # DEPENDENCYPART_ARC
(20,8),-2.21335 # DEPENDENCYPART_ARC
(20,9),-2.71673 # DEPENDENCYPART_ARC
(20,10),-2.70677 # DEPENDENCYPART_ARC
(20,11),-2.07799 # DEPENDENCYPART_ARC
(20,12),-2.65367 # DEPENDENCYPART_ARC
(20,13),-2.60417 # DEPENDENCYPART_ARC
(20,14),-2.18488 # DEPENDENCYPART_ARC
(20,15),-2.46585 # DEPENDENCYPART_ARC
(20,16),-1.98189 # DEPENDENCYPART_ARC
(20,17),-1.9583 # DEPENDENCYPART_ARC
(20,18),-1.20642 # DEPENDENCYPART_ARC
(20,19),-0.925775 # DEPENDENCYPART_ARC
(20,21),-0.897988 # DEPENDENCYPART_ARC
(20,22),-2.21283 # DEPENDENCYPART_ARC
(20,23),-2.19051 # DEPENDENCYPART_ARC
(20,24),-2.40027 # DEPENDENCYPART_ARC
(20,25),-2.41725 # DEPENDENCYPART_ARC
(20,26),-2.57793 # DEPENDENCYPART_ARC
(20,27),-2.37052 # DEPENDENCYPART_ARC
(20,28),-2.75503 # DEPENDENCYPART_ARC
(20,29),-2.78208 # DEPENDENCYPART_ARC
(20,30),-2.87716 # DEPENDENCYPART_ARC
(20,31),-2.84684 # DEPENDENCYPART_ARC
(20,32),-2.82914 # DEPENDENCYPART_ARC
(20,33),-2.58823 # DEPENDENCYPART_ARC
(20,34),-2.87371 # DEPENDENCYPART_ARC
(20,35),-2.94633 # DEPENDENCYPART_ARC
(20,36),-1.95994 # DEPENDENCYPART_ARC
(21,1),-1.17721 # DEPENDENCYPART_ARC
(21,2),-2.12392 # DEPENDENCYPART_ARC
(21,3),-1.75994 # DEPENDENCYPART_ARC
(21,4),-1.37738 # DEPENDENCYPART_ARC
(21,5),-1.31547 # DEPENDENCYPART_ARC
(21,6),-1.87256 # DEPENDENCYPART_ARC
(21,7),-0.858049 # DEPENDENCYPART_ARC
(21,8),-0.892346 # DEPENDENCYPART_ARC
(21,9),-1.09326 # DEPENDENCYPART_ARC
(21,10),-1.49192 # DEPENDENCYPART_ARC
(21,11),-2.3558 # DEPENDENCYPART_ARC
(21,12),-0.942475 # DEPENDENCYPART_ARC
(21,13),-0.713924 # DEPENDENCYPART_ARC
(21,14),-2.06501 # DEPENDENCYPART_ARC
(21,15),-0.834593 # DEPENDENCYPART_ARC
(21,16),-2.2772 # DEPENDENCYPART_ARC
(21,17),-0.305129 # DEPENDENCYPART_ARC
(21,18),0.0199404 # DEPENDENCYPART_ARC
(21,19),-0.627187 # DEPENDENCYPART_ARC
(21,20),-0.437366 # DEPENDENCYPART_ARC
(21,22),3.23973 # DEPENDENCYPART_ARC
(21,23),2.3626 # DEPENDENCYPART_ARC
(21,24),1.60979 # DEPENDENCYPART_ARC
(21,25),0.304574 # DEPENDENCYPART_ARC
(21,26),1.60084 # DEPENDENCYPART_ARC
(21,27),0.805336 # DEPENDENCYPART_ARC
(21,28),1.20359 # DEPENDENCYPART_ARC
(21,29),-0.296548 # DEPENDENCYPART_ARC
(21,30),-0.305111 # DEPENDENCYPART_ARC
(21,31),-0.811829 # DEPENDENCYPART_ARC
(21,32),-0.50724 # DEPENDENCYPART_ARC
(21,33),1.2018 # DEPENDENCYPART_ARC
(21,34),-1.66085 # DEPENDENCYPART_ARC
(21,35),-1.02463 # DEPENDENCYPART_ARC
(21,36),-1.08998 # DEPENDENCYPART_ARC
(22,1),-2.40061 # DEPENDENCYPART_ARC
(22,2),-1.93709 # DEPENDENCYPART_ARC
(22,3),-2.14862 # DEPENDENCYPART_ARC
(22,4),-2.49241 # DEPENDENCYPART_ARC
(22,5),-1.6458 # DEPENDENCYPART_ARC
(22,6),-1.86851 # DEPENDENCYPART_ARC
(22,7),-1.47755 # DEPENDENCYPART_ARC
(22,8),-1.91569 # DEPENDENCYPART_ARC
(22,9),-2.11064 # DEPENDENCYPART_ARC
(22,10),-2.19328 # DEPENDENCYPART_ARC
(22,11),-1.66478 # DEPENDENCYPART_ARC
(22,12),-2.02254 # DEPENDENCYPART_ARC
(22,13),-1.94508 # DEPENDENCYPART_ARC
(22,14),-1.7643 # DEPENDENCYPART_ARC
(22,15),-1.84783 # DEPENDENCYPART_ARC
(22,16),-1.79394 # DEPENDENCYPART_ARC
(22,17),-1.75482 # DEPENDENCYPART_ARC
(22,18),-1.02312 # DEPENDENCYPART_ARC
(22,19),-1.17782 # DEPENDENCYPART_ARC
(22,20),-0.84353 # DEPENDENCYPART_ARC
(22,21),-0.128702 # DEPENDENCYPART_ARC
(22,23),4.33065 # DEPENDENCYPART_ARC
(22,24),-0.336547 # DEPENDENCYPART_ARC
(22,25),-0.797115 # DEPENDENCYPART_ARC
(22,26),-0.15255 # DEPENDENCYPART_ARC
(22,27),-0.706352 # DEPENDENCYPART_ARC
(22,28),-0.707135 # DEPENDENCYPART_ARC
(22,29),-1.67227 # DEPENDENCYPART_ARC
(22,30),-0.72053 # DEPENDENCYPART_ARC
(22,31),-0.881391 # DEPENDENCYPART_ARC
(22,32),-2.5342 # DEPENDENCYPART_ARC
(22,33),-0.0055476 # DEPENDENCYPART_ARC
(22,34),-0.0657045 # DEPENDENCYPART_ARC
(22,35),-3.29498 # DEPENDENCYPART_ARC
(22,36),-1.34171 # DEPENDENCYPART_ARC
(23,1),-4.43635 # DEPENDENCYPART_ARC
(23,2),-3.37176 # DEPENDENCYPART_ARC
(23,3),-3.66316 # DEPENDENCYPART_ARC
(23,4),-3.44063 # DEPENDENCYPART_ARC
(23,5),-2.37922 # DEPENDENCYPART_ARC
(23,6),-2.82838 # DEPENDENCYPART_ARC
(23,7),-2.98953 # DEPENDENCYPART_ARC
(23,8),-3.8689 # DEPENDENCYPART_ARC
(23,9),-2.203 # DEPENDENCYPART_ARC
(23,10),-3.83071 # DEPENDENCYPART_ARC
(23,11),-2.89247 # DEPENDENCYPART_ARC
(23,12),-3.07487 # DEPENDENCYPART_ARC
(23,13),-3.60695 # DEPENDENCYPART_ARC
(23,14),-2.81926 # DEPENDENCYPART_ARC
(23,15),-3.88459 # DEPENDENCYPART_ARC
(23,16),-2.89765 # DEPENDENCYPART_ARC
(23,17),-2.22709 # DEPENDENCYPART_ARC
(23,18),-1.32711 # DEPENDENCYPART_ARC
(23,19),-2.36496 # DEPENDENCYPART_ARC
(23,20),-2.1316 # DEPENDENCYPART_ARC
(23,21),-1.06518 # DEPENDENCYPART_ARC
(23,22),0.836535 # DEPENDENCYPART_ARC
(23,24),0.953265 # DEPENDENCYPART_ARC
(23,25),-0.397578 # DEPENDENCYPART_ARC
(23,26),0.0575594 # DEPENDENCYPART_ARC
(23,27),1.09097 # DEPENDENCYPART_ARC
(23,28),-0.401553 # DEPENDENCYPART_ARC
(23,29),-1.20817 # DEPENDENCYPART_ARC
(23,30),-1.69478 # DEPENDENCYPART_ARC
(23,31),-0.262722 # DEPENDENCYPART_ARC
(23,32),-1.52188 # DEPENDENCYPART_ARC
(23,33),-0.823945 # DEPENDENCYPART_ARC
(23,34),-0.97231 # DEPENDENCYPART_ARC
(23,35),-1.29524 # DEPENDENCYPART_ARC
(23,36),-2.92381 # DEPENDENCYPART_ARC
(24,1),-2.47654 # DEPENDENCYPART_ARC
(24,2),-2.09655 # DEPENDENCYPART_ARC
(24,3),-2.39563 # DEPENDENCYPART_ARC
(24,4),-2.53298 # DEPENDENCYPART_ARC
(24,5),-1.84369 # DEPENDENCYPART_ARC
(24,6),-1.94452 # DEPENDENCYPART_ARC
(24,7),-1.47215 # DEPENDENCYPART_ARC
(24,8),-1.98128 # DEPENDENCYPART_ARC
(24,9),-2.30686 # DEPENDENCYPART_ARC
(24,10),-2.39242 # DEPENDENCYPART_ARC
(24,11),-1.58534 # DEPENDENCYPART_ARC
(24,12),-2.15849 # DEPENDENCYPART_ARC
(24,13),-2.2059 # DEPENDENCYPART_ARC
(24,14),-1.87016 # DEPENDENCYPART_ARC
(24,15),-2.04892 # DEPENDENCYPART_ARC
(24,16),-1.97121 # DEPENDENCYPART_ARC
(24,17),-1.95442 # DEPENDENCYPART_ARC
(24,18),-1.31779 # DEPENDENCYPART_ARC
(24,19),-1.72662 # DEPENDENCYPART_ARC
(24,20),-1.62553 # DEPENDENCYPART_ARC
(24,21),-1.66159 # DEPENDENCYPART_ARC
(24,22),-0.357509 # DEPENDENCYPART_ARC
(24,23),-0.0792956 # DEPENDENCYPART_ARC
(24,25),0.577214 # DEPENDENCYPART_ARC
(24,26),3.16074 # DEPENDENCYPART_ARC
(24,27),0.116537 # DEPENDENCYPART_ARC
(24,28),-0.585648 # DEPENDENCYPART_ARC
(24,29),-0.0465922 # DEPENDENCYPART_ARC
(24,30),-0.228791 # DEPENDENCYPART_ARC
(24,31),-0.724038 # DEPENDENCYPART_ARC
(24,32),-1.52677 # DEPENDENCYPART_ARC
(24,33),0.754917 # DEPENDENCYPART_ARC
(24,34),0.225964 # DEPENDENCYPART_ARC
(24,35),-2.52623 # DEPENDENCYPART_ARC
(24,36),-1.18948 # DEPENDENCYPART_ARC
(25,1),-3.32217 # DEPENDENCYPART_ARC
(25,2),-3.04643 # DEPENDENCYPART_ARC
(25,3),-3.74721 # DEPENDENCYPART_ARC
(25,4),-4.0344 # DEPENDENCYPART_ARC
(25,5),-2.66521 # DEPENDENCYPART_ARC
(25,6),-2.88639 # DEPENDENCYPART_ARC
(25,7),-2.82756 # DEPENDENCYPART_ARC
(25,8),-2.87797 # DEPENDENCYPART_ARC
(25,9),-3.26632 # DEPENDENCYPART_ARC
(25,10),-3.64534 # DEPENDENCYPART_ARC
(25,11),-2.87432 # DEPENDENCYPART_ARC
(25,12),-3.22773 # DEPENDENCYPART_ARC
(25,13),-3.25621 # DEPENDENCYPART_ARC
(25,14),-2.31026 # DEPENDENCYPART_ARC
(25,15),-3.1004 # DEPENDENCYPART_ARC
(25,16),-2.33944 # DEPENDENCYPART_ARC
(25,17),-2.52993 # DEPENDENCYPART_ARC
(25,18),-2.26714 # DEPENDENCYPART_ARC
(25,19),-3.32374 # DEPENDENCYPART_ARC
(25,20),-2.13096 # DEPENDENCYPART_ARC
(25,21),-2.79886 # DEPENDENCYPART_ARC
(25,22),-1.5059 # DEPENDENCYPART_ARC
(25,23),-1.94921 # DEPENDENCYPART_ARC
(25,24),-0.341758 # DEPENDENCYPART_ARC
(25,26),1.17719 # DEPENDENCYPART_ARC
(25,27),0.168513 # DEPENDENCYPART_ARC
(25,28),-0.621005 # DEPENDENCYPART_ARC
(25,29),-0.933989 # DEPENDENCYPART_ARC
(25,30),-1.9766 # DEPENDENCYPART_ARC
(25,31),-0.960806 # DEPENDENCYPART_ARC
(25,32),-1.17792 # DEPENDENCYPART_ARC
(25,33),-0.646465 # DEPENDENCYPART_ARC
(25,34),-0.868467 # DEPENDENCYPART_ARC
(25,35),-1.32979 # DEPENDENCYPART_ARC
(25,36),-0.905532 # DEPENDENCYPART_ARC
(26,1),-3.26885 # DEPENDENCYPART_ARC
(26,2),-2.58616 # DEPENDENCYPART_ARC
(26,3),-3.69414 # DEPENDENCYPART_ARC
(26,4),-3.1567 # DEPENDENCYPART_ARC
(26,5),-1.96809 # DEPENDENCYPART_ARC
(26,6),-1.96737 # DEPENDENCYPART_ARC
(26,7),-2.29239 # DEPENDENCYPART_ARC
(26,8),-4.23355 # DEPENDENCYPART_ARC
(26,9),-2.6223 # DEPENDENCYPART_ARC
(26,10),-3.77939 # DEPENDENCYPART_ARC
(26,11),-2.28224 # DEPENDENCYPART_ARC
(26,12),-2.29106 # DEPENDENCYPART_ARC
(26,13),-2.74478 # DEPENDENCYPART_ARC
(26,14),-2.37677 # DEPENDENCYPART_ARC
(26,15),-2.94111 # DEPENDENCYPART_ARC
(26,16),-2.54711 # DEPENDENCYPART_ARC
(26,17),-1.1777 # DEPENDENCYPART_ARC
(26,18),-0.953487 # DEPENDENCYPART_ARC
(26,19),-2.7385 # DEPENDENCYPART_ARC
(26,20),-2.38466 # DEPENDENCYPART_ARC
(26,21),-1.36561 # DEPENDENCYPART_ARC
(26,22),0.174878 # DEPENDENCYPART_ARC
(26,23),-0.0824992 # DEPENDENCYPART_ARC
(26,24),0.92126 # DEPENDENCYPART_ARC
(26,25),4.15077 # DEPENDENCYPART_ARC
(26,27),3.3378 # DEPENDENCYPART_ARC
(26,28),0.535177 # DEPENDENCYPART_ARC
(26,29),0.333671 # DEPENDENCYPART_ARC
(26,30),-0.335096 # DEPENDENCYPART_ARC
(26,31),0.859101 # DEPENDENCYPART_ARC
(26,32),-0.35309 # DEPENDENCYPART_ARC
(26,33),0.14746 # DEPENDENCYPART_ARC
(26,34),0.101357 # DEPENDENCYPART_ARC
(26,35),-0.387378 # DEPENDENCYPART_ARC
(26,36),-1.56277 # DEPENDENCYPART_ARC
(27,1),-1.84633 # DEPENDENCYPART_ARC
(27,2),-2.24034 # DEPENDENCYPART_ARC
(27,3),-3.19665 # DEPENDENCYPART_ARC
(27,4),-2.09398 # DEPENDENCYPART_ARC
(27,5),-1.25213 # DEPENDENCYPART_ARC
(27,6),-1.99223 # DEPENDENCYPART_ARC
(27,7),-0.349536 # DEPENDENCYPART_ARC
(27,8),-2.09876 # DEPENDENCYPART_ARC
(27,9),-1.92261 # DEPENDENCYPART_ARC
(27,10),-2.12935 # DEPENDENCYPART_ARC
(27,11),-2.34628 # DEPENDENCYPART_ARC
(27,12),-1.71241 # DEPENDENCYPART_ARC
(27,13),-1.83013 # DEPENDENCYPART_ARC
(27,14),-2.12442 # DEPENDENCYPART_ARC
(27,15),-1.44373 # DEPENDENCYPART_ARC
(27,16),-2.56107 # DEPENDENCYPART_ARC
(27,17),0.0428355 # DEPENDENCYPART_ARC
(27,18),-0.293206 # DEPENDENCYPART_ARC
(27,19),-2.19273 # DEPENDENCYPART_ARC
(27,20),-2.14827 # DEPENDENCYPART_ARC
(27,21),0.411151 # DEPENDENCYPART_ARC
(27,22),0.591155 # DEPENDENCYPART_ARC
(27,23),-0.672597 # DEPENDENCYPART_ARC
(27,24),0.982926 # DEPENDENCYPART_ARC
(27,25),1.38351 # DEPENDENCYPART_ARC
(27,26),1.69054 # DEPENDENCYPART_ARC
(27,28),3.03265 # DEPENDENCYPART_ARC
(27,29),1.03355 # DEPENDENCYPART_ARC
(27,30),0.631839 # DEPENDENCYPART_ARC
(27,31),0.503402 # DEPENDENCYPART_ARC
(27,32),-0.383363 # DEPENDENCYPART_ARC
(27,33),1.00628 # DEPENDENCYPART_ARC
(27,34),-0.522369 # DEPENDENCYPART_ARC
(27,35),-1.66531 # DEPENDENCYPART_ARC
(27,36),-0.757508 # DEPENDENCYPART_ARC
(28,1),-3.15466 # DEPENDENCYPART_ARC
(28,2),-2.42998 # DEPENDENCYPART_ARC
(28,3),-3.42923 # DEPENDENCYPART_ARC
(28,4),-3.01809 # DEPENDENCYPART_ARC
(28,5),-2.32584 # DEPENDENCYPART_ARC
(28,6),-2.20076 # DEPENDENCYPART_ARC
(28,7),-1.8132 # DEPENDENCYPART_ARC
(28,8),-2.13575 # DEPENDENCYPART_ARC
(28,9),-2.5529 # DEPENDENCYPART_ARC
(28,10),-3.27294 # DEPENDENCYPART_ARC
(28,11),-1.95513 # DEPENDENCYPART_ARC
(28,12),-3.09205 # DEPENDENCYPART_ARC
(28,13),-3.05914 # DEPENDENCYPART_ARC
(28,14),-2.1381 # DEPENDENCYPART_ARC
(28,15),-2.65748 # DEPENDENCYPART_ARC
(28,16),-2.15162 # DEPENDENCYPART_ARC
(28,17),-2.83639 # DEPENDENCYPART_ARC
(28,18),-1.74442 # DEPENDENCYPART_ARC
(28,19),-2.88373 # DEPENDENCYPART_ARC
(28,20),-2.06168 # DEPENDENCYPART_ARC
(28,21),-2.58579 # DEPENDENCYPART_ARC
(28,22),-1.55184 # DEPENDENCYPART_ARC
(28,23),-2.70696 # DEPENDENCYPART_ARC
(28,24),-1.25778 # DEPENDENCYPART_ARC
(28,25),-0.907144 # DEPENDENCYPART_ARC
(28,26),-1.64257 # DEPENDENCYPART_ARC
(28,27),-0.914156 # DEPENDENCYPART_ARC
(28,29),3.83582 # DEPENDENCYPART_ARC
(28,30),0.777594 # DEPENDENCYPART_ARC
(28,31),0.76362 # DEPENDENCYPART_ARC
(28,32),0.553077 # DEPENDENCYPART_ARC
(28,33),1.53925 # DEPENDENCYPART_ARC
(28,34),1.60392 # DEPENDENCYPART_ARC
