# _root_ DAL NOSTRO INVIATO GOTEBORG ­ Piccola marcia antica , semplice e puntuale come la gente per_bene , come la gente che sa esaltar- la .
#goldHeads=3,1,0,0,4,7,0,7,8,7,10,10,10,15,13,15,16,12,20,18,22,20,22,23,24,
#predictedHeads=0,3,1,3,4,7,0,7,8,7,10,10,12,15,13,15,16,15,20,18,23,20,22,23,24,
(21,3),-2.7506 # DEPENDENCYPART_ARC
(21,4),-1.94915 # DEPENDENCYPART_ARC
(21,5),-2.01661 # DEPENDENCYPART_ARC
(21,6),-1.92062 # DEPENDENCYPART_ARC
(21,7),-2.51637 # DEPENDENCYPART_ARC
(21,8),-1.79091 # DEPENDENCYPART_ARC
(21,9),-1.7926 # DEPENDENCYPART_ARC
(21,10),-1.94873 # DEPENDENCYPART_ARC
(21,11),-1.38665 # DEPENDENCYPART_ARC
(21,12),-1.82405 # DEPENDENCYPART_ARC
(21,13),-1.39565 # DEPENDENCYPART_ARC
(21,14),-0.360954 # DEPENDENCYPART_ARC
(21,15),-2.20595 # DEPENDENCYPART_ARC
(21,16),-1.18761 # DEPENDENCYPART_ARC
(21,17),-1.38476 # DEPENDENCYPART_ARC
(21,18),-0.643238 # DEPENDENCYPART_ARC
(21,19),0.855931 # DEPENDENCYPART_ARC
(21,20),-0.591681 # DEPENDENCYPART_ARC
(21,22),0.716367 # DEPENDENCYPART_ARC
(21,23),-0.409246 # DEPENDENCYPART_ARC
(21,24),-1.45718 # DEPENDENCYPART_ARC
(21,25),-0.846358 # DEPENDENCYPART_ARC
(22,1),-2.92457 # DEPENDENCYPART_ARC
(22,2),-2.12276 # DEPENDENCYPART_ARC
(22,3),-2.54939 # DEPENDENCYPART_ARC
(22,4),-2.90555 # DEPENDENCYPART_ARC
(22,5),-3.29795 # DEPENDENCYPART_ARC
(22,6),-1.90669 # DEPENDENCYPART_ARC
(22,7),-2.28279 # DEPENDENCYPART_ARC
(22,8),-1.97638 # DEPENDENCYPART_ARC
(22,9),-3.23182 # DEPENDENCYPART_ARC
(22,10),-2.11483 # DEPENDENCYPART_ARC
(22,11),-2.23332 # DEPENDENCYPART_ARC
(22,12),-2.04385 # DEPENDENCYPART_ARC
(22,13),-1.49138 # DEPENDENCYPART_ARC
(22,14),-2.0459 # DEPENDENCYPART_ARC
(22,15),-0.819711 # DEPENDENCYPART_ARC
(22,16),-1.38923 # DEPENDENCYPART_ARC
(22,17),-2.73633 # DEPENDENCYPART_ARC
(22,18),-0.464963 # DEPENDENCYPART_ARC
(22,19),-1.27307 # DEPENDENCYPART_ARC
(22,20),0.102206 # DEPENDENCYPART_ARC
(22,21),2.35141 # DEPENDENCYPART_ARC
(22,23),2.30188 # DEPENDENCYPART_ARC
(22,24),0.636728 # DEPENDENCYPART_ARC
(22,25),-0.177816 # DEPENDENCYPART_ARC
(23,1),-2.19897 # DEPENDENCYPART_ARC
(23,2),-0.996115 # DEPENDENCYPART_ARC
(23,3),-1.32954 # DEPENDENCYPART_ARC
(23,4),-1.62653 # DEPENDENCYPART_ARC
(23,5),-2.75763 # DEPENDENCYPART_ARC
(23,6),-0.823227 # DEPENDENCYPART_ARC
(23,7),-1.3515 # DEPENDENCYPART_ARC
(23,8),-0.912052 # DEPENDENCYPART_ARC
(23,9),-2.83959 # DEPENDENCYPART_ARC
(23,10),-0.739301 # DEPENDENCYPART_ARC
(23,11),-1.00346 # DEPENDENCYPART_ARC
(23,12),-0.840592 # DEPENDENCYPART_ARC
(23,13),-0.739755 # DEPENDENCYPART_ARC
(23,14),-0.755248 # DEPENDENCYPART_ARC
(23,15),0.202326 # DEPENDENCYPART_ARC
(23,16),-0.446094 # DEPENDENCYPART_ARC
(23,17),-2.25552 # DEPENDENCYPART_ARC
(23,18),0.19456 # DEPENDENCYPART_ARC
(23,19),-0.3105 # DEPENDENCYPART_ARC
(23,20),0.978388 # DEPENDENCYPART_ARC
(23,21),2.37855 # DEPENDENCYPART_ARC
(23,22),2.3537 # DEPENDENCYPART_ARC
(23,24),3.03069 # DEPENDENCYPART_ARC
(23,25),0.155777 # DEPENDENCYPART_ARC
(24,1),-1.99931 # DEPENDENCYPART_ARC
(24,2),-2.16363 # DEPENDENCYPART_ARC
(24,3),-1.56072 # DEPENDENCYPART_ARC
(24,4),-2.08634 # DEPENDENCYPART_ARC
(24,5),-1.93941 # DEPENDENCYPART_ARC
(24,6),-1.31427 # DEPENDENCYPART_ARC
(24,7),-1.16948 # DEPENDENCYPART_ARC
(24,8),-1.31429 # DEPENDENCYPART_ARC
(24,9),-1.90621 # DEPENDENCYPART_ARC
(24,10),-1.46253 # DEPENDENCYPART_ARC
(24,11),-1.37224 # DEPENDENCYPART_ARC
(24,12),-1.32733 # DEPENDENCYPART_ARC
(24,13),-1.50913 # DEPENDENCYPART_ARC
(24,14),-0.2981 # DEPENDENCYPART_ARC
(24,15),-1.03505 # DEPENDENCYPART_ARC
(24,16),-1.36117 # DEPENDENCYPART_ARC
(24,17),-1.62686 # DEPENDENCYPART_ARC
(24,18),-1.1791 # DEPENDENCYPART_ARC
(24,19),0.119689 # DEPENDENCYPART_ARC
(24,20),-0.684768 # DEPENDENCYPART_ARC
(24,21),-0.402313 # DEPENDENCYPART_ARC
(24,22),-1.09009 # DEPENDENCYPART_ARC
(24,23),-0.0475954 # DEPENDENCYPART_ARC
(24,25),2.65853 # DEPENDENCYPART_ARC
(25,1),-1.89416 # DEPENDENCYPART_ARC
(25,2),-2.33767 # DEPENDENCYPART_ARC
(25,3),-2.41594 # DEPENDENCYPART_ARC
(25,4),-2.42484 # DEPENDENCYPART_ARC
(25,5),-1.97098 # DEPENDENCYPART_ARC
(25,6),-2.15802 # DEPENDENCYPART_ARC
(25,7),-2.29057 # DEPENDENCYPART_ARC
(25,8),-2.23473 # DEPENDENCYPART_ARC
(25,9),-1.99042 # DEPENDENCYPART_ARC
(25,10),-2.22232 # DEPENDENCYPART_ARC
(25,11),-1.82348 # DEPENDENCYPART_ARC
(25,12),-2.09261 # DEPENDENCYPART_ARC
(25,13),-1.69386 # DEPENDENCYPART_ARC
(25,14),-1.80789 # DEPENDENCYPART_ARC
(25,15),-2.1579 # DEPENDENCYPART_ARC
(25,16),-1.9207 # DEPENDENCYPART_ARC
(25,17),-1.8253 # DEPENDENCYPART_ARC
(25,18),-1.47613 # DEPENDENCYPART_ARC
(25,19),-1.54972 # DEPENDENCYPART_ARC
(25,20),-1.86259 # DEPENDENCYPART_ARC
(25,21),-1.4953 # DEPENDENCYPART_ARC
(25,22),-1.81018 # DEPENDENCYPART_ARC
(25,23),-1.14308 # DEPENDENCYPART_ARC
(25,24),0.0721412 # DEPENDENCYPART_ARC
