# _root_ La scultura è del pachistano Hamad Butt : intitolata " Riti di Passaggio " , ha la forma di una scala e nei tubi contiene iodio , che scaldato dalle luci si è trasformato in gas .
#goldHeads=2,3,0,3,7,7,4,7,2,11,9,11,12,13,14,0,18,16,18,21,19,16,25,23,16,25,26,34,34,29,30,34,34,26,34,35,36,
#predictedHeads=2,3,0,3,4,4,6,7,7,11,9,11,12,13,14,0,18,16,18,21,19,19,25,23,0,25,26,29,26,29,30,34,34,26,34,35,36,
(17,23),-0.423797 # DEPENDENCYPART_ARC
(17,24),-0.953319 # DEPENDENCYPART_ARC
(17,25),-0.671373 # DEPENDENCYPART_ARC
(17,26),-1.1778 # DEPENDENCYPART_ARC
(17,27),-0.667691 # DEPENDENCYPART_ARC
(17,29),-1.46584 # DEPENDENCYPART_ARC
(17,30),-0.755451 # DEPENDENCYPART_ARC
(17,31),-1.02572 # DEPENDENCYPART_ARC
(17,33),-0.864762 # DEPENDENCYPART_ARC
(17,34),-1.72184 # DEPENDENCYPART_ARC
(17,35),-1.46045 # DEPENDENCYPART_ARC
(17,36),-0.795991 # DEPENDENCYPART_ARC
(17,37),-1.26502 # DEPENDENCYPART_ARC
(18,1),-3.12595 # DEPENDENCYPART_ARC
(18,2),-3.76704 # DEPENDENCYPART_ARC
(18,3),-2.44423 # DEPENDENCYPART_ARC
(18,4),-1.85983 # DEPENDENCYPART_ARC
(18,5),-1.53687 # DEPENDENCYPART_ARC
(18,6),-3.11349 # DEPENDENCYPART_ARC
(18,7),-3.66077 # DEPENDENCYPART_ARC
(18,8),-2.52903 # DEPENDENCYPART_ARC
(18,9),-0.74575 # DEPENDENCYPART_ARC
(18,10),-1.44865 # DEPENDENCYPART_ARC
(18,11),-2.92357 # DEPENDENCYPART_ARC
(18,12),-1.16682 # DEPENDENCYPART_ARC
(18,13),-2.56703 # DEPENDENCYPART_ARC
(18,14),-0.876202 # DEPENDENCYPART_ARC
(18,15),-1.71281 # DEPENDENCYPART_ARC
(18,16),-0.13451 # DEPENDENCYPART_ARC
(18,17),3.19818 # DEPENDENCYPART_ARC
(18,19),2.36114 # DEPENDENCYPART_ARC
(18,20),0.0848916 # DEPENDENCYPART_ARC
(18,21),0.859328 # DEPENDENCYPART_ARC
(18,22),0.290941 # DEPENDENCYPART_ARC
(18,23),-0.302034 # DEPENDENCYPART_ARC
(18,24),0.144256 # DEPENDENCYPART_ARC
(18,25),0.084364 # DEPENDENCYPART_ARC
(18,26),-0.250921 # DEPENDENCYPART_ARC
(18,27),-0.100109 # DEPENDENCYPART_ARC
(18,28),-1.98024 # DEPENDENCYPART_ARC
(18,29),0.0777881 # DEPENDENCYPART_ARC
(18,30),-1.08619 # DEPENDENCYPART_ARC
(18,31),-0.87129 # DEPENDENCYPART_ARC
(18,32),-2.33587 # DEPENDENCYPART_ARC
(18,33),-0.228283 # DEPENDENCYPART_ARC
(18,34),-1.17056 # DEPENDENCYPART_ARC
(18,35),-1.50864 # DEPENDENCYPART_ARC
(18,36),-1.33943 # DEPENDENCYPART_ARC
(18,37),-3.31904 # DEPENDENCYPART_ARC
(19,1),-2.31688 # DEPENDENCYPART_ARC
(19,2),-2.53796 # DEPENDENCYPART_ARC
(19,3),-3.06128 # DEPENDENCYPART_ARC
(19,4),-2.27432 # DEPENDENCYPART_ARC
(19,5),-2.65234 # DEPENDENCYPART_ARC
(19,6),-2.34854 # DEPENDENCYPART_ARC
(19,7),-2.29289 # DEPENDENCYPART_ARC
(19,8),-2.2579 # DEPENDENCYPART_ARC
(19,9),-2.89322 # DEPENDENCYPART_ARC
(19,10),-2.35436 # DEPENDENCYPART_ARC
(19,11),-2.2669 # DEPENDENCYPART_ARC
(19,12),-1.79571 # DEPENDENCYPART_ARC
(19,13),-2.12763 # DEPENDENCYPART_ARC
(19,14),-2.13365 # DEPENDENCYPART_ARC
(19,15),-1.75265 # DEPENDENCYPART_ARC
(19,16),-2.021 # DEPENDENCYPART_ARC
(19,17),-0.794405 # DEPENDENCYPART_ARC
(19,18),-0.352604 # DEPENDENCYPART_ARC
(19,20),0.602424 # DEPENDENCYPART_ARC
(19,21),3.01704 # DEPENDENCYPART_ARC
(19,22),1.20917 # DEPENDENCYPART_ARC
(19,23),0.651131 # DEPENDENCYPART_ARC
(19,24),0.965991 # DEPENDENCYPART_ARC
(19,25),-0.340555 # DEPENDENCYPART_ARC
(19,26),-1.48323 # DEPENDENCYPART_ARC
(19,27),-0.579121 # DEPENDENCYPART_ARC
(19,28),-2.02149 # DEPENDENCYPART_ARC
(19,29),-1.20987 # DEPENDENCYPART_ARC
(19,30),-1.53515 # DEPENDENCYPART_ARC
(19,31),-2.87376 # DEPENDENCYPART_ARC
(19,32),-1.98985 # DEPENDENCYPART_ARC
(19,33),-2.86093 # DEPENDENCYPART_ARC
(19,34),-2.44917 # DEPENDENCYPART_ARC
(19,35),-2.7232 # DEPENDENCYPART_ARC
(19,36),-4.68277 # DEPENDENCYPART_ARC
(19,37),-1.81648 # DEPENDENCYPART_ARC
(20,4),-3.39337 # DEPENDENCYPART_ARC
(20,8),-2.44594 # DEPENDENCYPART_ARC
(20,10),-2.10104 # DEPENDENCYPART_ARC
(20,12),-2.75632 # DEPENDENCYPART_ARC
(20,14),-1.98289 # DEPENDENCYPART_ARC
(20,15),-2.26064 # DEPENDENCYPART_ARC
(20,19),-0.531275 # DEPENDENCYPART_ARC
(20,23),-0.0970526 # DEPENDENCYPART_ARC
(20,27),-0.591195 # DEPENDENCYPART_ARC
(20,30),-0.628873 # DEPENDENCYPART_ARC
(20,35),-1.48451 # DEPENDENCYPART_ARC
(20,37),-1.2199 # DEPENDENCYPART_ARC
(21,1),-3.64746 # DEPENDENCYPART_ARC
(21,2),-3.65554 # DEPENDENCYPART_ARC
(21,3),-2.23432 # DEPENDENCYPART_ARC
(21,4),-1.72247 # DEPENDENCYPART_ARC
(21,5),-2.08357 # DEPENDENCYPART_ARC
(21,6),-3.08308 # DEPENDENCYPART_ARC
(21,7),-3.62748 # DEPENDENCYPART_ARC
(21,8),-2.5891 # DEPENDENCYPART_ARC
(21,9),-0.584989 # DEPENDENCYPART_ARC
(21,10),-1.74498 # DEPENDENCYPART_ARC
(21,11),-3.02726 # DEPENDENCYPART_ARC
(21,12),-1.37683 # DEPENDENCYPART_ARC
(21,13),-3.03005 # DEPENDENCYPART_ARC
(21,14),-1.41401 # DEPENDENCYPART_ARC
(21,15),-2.56237 # DEPENDENCYPART_ARC
(21,16),-1.27538 # DEPENDENCYPART_ARC
(21,17),0.721635 # DEPENDENCYPART_ARC
(21,18),-1.39094 # DEPENDENCYPART_ARC
(21,19),0.527587 # DEPENDENCYPART_ARC
(21,20),3.49911 # DEPENDENCYPART_ARC
(21,22),0.557572 # DEPENDENCYPART_ARC
(21,23),-0.223843 # DEPENDENCYPART_ARC
(21,24),0.703933 # DEPENDENCYPART_ARC
(21,25),-0.256582 # DEPENDENCYPART_ARC
(21,26),0.111707 # DEPENDENCYPART_ARC
(21,27),-0.160007 # DEPENDENCYPART_ARC
(21,28),-1.94742 # DEPENDENCYPART_ARC
(21,29),-0.26607 # DEPENDENCYPART_ARC
(21,30),-1.11514 # DEPENDENCYPART_ARC
(21,31),-0.590065 # DEPENDENCYPART_ARC
(21,32),-2.49286 # DEPENDENCYPART_ARC
(21,33),-0.876932 # DEPENDENCYPART_ARC
(21,34),-1.81056 # DEPENDENCYPART_ARC
(21,35),-1.53488 # DEPENDENCYPART_ARC
(21,36),-1.1537 # DEPENDENCYPART_ARC
(21,37),-2.93437 # DEPENDENCYPART_ARC
(22,2),-3.5722 # DEPENDENCYPART_ARC
(22,3),-2.77979 # DEPENDENCYPART_ARC
(22,4),-2.30001 # DEPENDENCYPART_ARC
(22,5),-2.46945 # DEPENDENCYPART_ARC
(22,6),-3.34683 # DEPENDENCYPART_ARC
(22,7),-3.23571 # DEPENDENCYPART_ARC
(22,8),-2.00979 # DEPENDENCYPART_ARC
(22,9),-2.75809 # DEPENDENCYPART_ARC
(22,10),-2.10237 # DEPENDENCYPART_ARC
(22,11),-3.01361 # DEPENDENCYPART_ARC
(22,12),-2.03982 # DEPENDENCYPART_ARC
(22,13),-2.71551 # DEPENDENCYPART_ARC
(22,14),-2.08378 # DEPENDENCYPART_ARC
(22,15),-1.76683 # DEPENDENCYPART_ARC
(22,16),-2.5261 # DEPENDENCYPART_ARC
(22,18),-2.05589 # DEPENDENCYPART_ARC
(22,19),-1.03795 # DEPENDENCYPART_ARC
(22,21),-0.573633 # DEPENDENCYPART_ARC
(22,23),-1.08446 # DEPENDENCYPART_ARC
(22,24),-0.810596 # DEPENDENCYPART_ARC
(22,25),-0.357657 # DEPENDENCYPART_ARC
(22,26),-1.54295 # DEPENDENCYPART_ARC
(22,27),-0.845927 # DEPENDENCYPART_ARC
(22,28),-1.95725 # DEPENDENCYPART_ARC
(22,29),-1.78336 # DEPENDENCYPART_ARC
(22,30),-2.37573 # DEPENDENCYPART_ARC
(22,31),-1.99043 # DEPENDENCYPART_ARC
(22,32),-2.2982 # DEPENDENCYPART_ARC
(22,33),-3.07719 # DEPENDENCYPART_ARC
(22,34),-2.87832 # DEPENDENCYPART_ARC
(22,35),-2.636 # DEPENDENCYPART_ARC
(22,36),-1.9555 # DEPENDENCYPART_ARC
(22,37),-1.84734 # DEPENDENCYPART_ARC
(23,1),-3.36765 # DEPENDENCYPART_ARC
(23,2),-4.35423 # DEPENDENCYPART_ARC
(23,3),-4.51927 # DEPENDENCYPART_ARC
(23,4),-2.91424 # DEPENDENCYPART_ARC
(23,5),-3.43391 # DEPENDENCYPART_ARC
(23,6),-4.0301 # DEPENDENCYPART_ARC
(23,7),-4.01535 # DEPENDENCYPART_ARC
(23,8),-2.73096 # DEPENDENCYPART_ARC
(23,9),-4.71385 # DEPENDENCYPART_ARC
(23,10),-2.71418 # DEPENDENCYPART_ARC
(23,11),-3.08427 # DEPENDENCYPART_ARC
(23,12),-2.68683 # DEPENDENCYPART_ARC
(23,13),-3.59952 # DEPENDENCYPART_ARC
(23,14),-2.66489 # DEPENDENCYPART_ARC
(23,15),-2.52398 # DEPENDENCYPART_ARC
(23,16),-4.10547 # DEPENDENCYPART_ARC
(23,17),-2.83723 # DEPENDENCYPART_ARC
(23,18),-3.6478 # DEPENDENCYPART_ARC
(23,19),-1.78534 # DEPENDENCYPART_ARC
(23,20),-2.14842 # DEPENDENCYPART_ARC
(23,21),-2.91052 # DEPENDENCYPART_ARC
(23,22),0.11315 # DEPENDENCYPART_ARC
(23,24),4.01143 # DEPENDENCYPART_ARC
(23,25),-0.0130391 # DEPENDENCYPART_ARC
(23,26),-1.01687 # DEPENDENCYPART_ARC
(23,27),0.0412282 # DEPENDENCYPART_ARC
(23,28),-1.30737 # DEPENDENCYPART_ARC
(23,29),-1.46147 # DEPENDENCYPART_ARC
(23,30),-0.0237806 # DEPENDENCYPART_ARC
(23,31),-2.36779 # DEPENDENCYPART_ARC
(23,32),-1.56785 # DEPENDENCYPART_ARC
(23,33),-3.16729 # DEPENDENCYPART_ARC
(23,34),-2.44409 # DEPENDENCYPART_ARC
(23,35),-1.6455 # DEPENDENCYPART_ARC
(23,36),-4.25108 # DEPENDENCYPART_ARC
(23,37),-1.17622 # DEPENDENCYPART_ARC
(24,1),-6.22124 # DEPENDENCYPART_ARC
(24,2),-4.92497 # DEPENDENCYPART_ARC
(24,3),-4.11091 # DEPENDENCYPART_ARC
(24,4),-2.49065 # DEPENDENCYPART_ARC
(24,5),-2.93146 # DEPENDENCYPART_ARC
(24,6),-3.30206 # DEPENDENCYPART_ARC
(24,7),-3.78063 # DEPENDENCYPART_ARC
(24,8),-3.22391 # DEPENDENCYPART_ARC
(24,9),-2.7881 # DEPENDENCYPART_ARC
(24,10),-2.31782 # DEPENDENCYPART_ARC
(24,11),-2.23022 # DEPENDENCYPART_ARC
(24,12),-2.23452 # DEPENDENCYPART_ARC
(24,13),-3.44791 # DEPENDENCYPART_ARC
(24,14),-2.10531 # DEPENDENCYPART_ARC
(24,15),-3.16412 # DEPENDENCYPART_ARC
(24,16),-3.57403 # DEPENDENCYPART_ARC
(24,17),-2.39449 # DEPENDENCYPART_ARC
(24,18),-3.30563 # DEPENDENCYPART_ARC
(24,19),-0.905348 # DEPENDENCYPART_ARC
(24,20),-1.08861 # DEPENDENCYPART_ARC
(24,21),-2.42149 # DEPENDENCYPART_ARC
(24,22),-0.36119 # DEPENDENCYPART_ARC
(24,23),1.30698 # DEPENDENCYPART_ARC
(24,25),0.486793 # DEPENDENCYPART_ARC
(24,26),0.281133 # DEPENDENCYPART_ARC
(24,27),0.222483 # DEPENDENCYPART_ARC
(24,28),-1.91687 # DEPENDENCYPART_ARC
(24,29),0.0442892 # DEPENDENCYPART_ARC
(24,30),-0.330565 # DEPENDENCYPART_ARC
(24,31),-0.180602 # DEPENDENCYPART_ARC
(24,32),-2.49051 # DEPENDENCYPART_ARC
(24,33),-1.08395 # DEPENDENCYPART_ARC
(24,34),-1.09447 # DEPENDENCYPART_ARC
(24,35),-1.07321 # DEPENDENCYPART_ARC
(24,36),-1.32839 # DEPENDENCYPART_ARC
(24,37),-2.31073 # DEPENDENCYPART_ARC
(25,1),-1.33317 # DEPENDENCYPART_ARC
(25,2),-0.533616 # DEPENDENCYPART_ARC
(25,3),-2.93454 # DEPENDENCYPART_ARC
(25,4),-3.43963 # DEPENDENCYPART_ARC
(25,5),-1.29405 # DEPENDENCYPART_ARC
(25,6),-0.654818 # DEPENDENCYPART_ARC
(25,7),-1.17849 # DEPENDENCYPART_ARC
(25,8),-2.07427 # DEPENDENCYPART_ARC
(25,9),-1.40952 # DEPENDENCYPART_ARC
(25,10),-1.50869 # DEPENDENCYPART_ARC
(25,11),-1.1196 # DEPENDENCYPART_ARC
(25,12),-1.78237 # DEPENDENCYPART_ARC
(25,13),-1.1104 # DEPENDENCYPART_ARC
(25,14),-1.45087 # DEPENDENCYPART_ARC
(25,15),-1.9907 # DEPENDENCYPART_ARC
(25,16),-0.190122 # DEPENDENCYPART_ARC
(25,17),-0.654895 # DEPENDENCYPART_ARC
(25,18),0.92709 # DEPENDENCYPART_ARC
(25,19),-0.513046 # DEPENDENCYPART_ARC
(25,20),-0.394035 # DEPENDENCYPART_ARC
(25,21),1.36076 # DEPENDENCYPART_ARC
(25,22),0.481146 # DEPENDENCYPART_ARC
(25,23),1.36296 # DEPENDENCYPART_ARC
(25,24),0.424948 # DEPENDENCYPART_ARC
(25,26),2.64913 # DEPENDENCYPART_ARC
(25,27),1.03299 # DEPENDENCYPART_ARC
(25,28),-0.337181 # DEPENDENCYPART_ARC
(25,29),0.0441757 # DEPENDENCYPART_ARC
(25,30),-0.158523 # DEPENDENCYPART_ARC
(25,31),-0.877571 # DEPENDENCYPART_ARC
(25,32),-0.964766 # DEPENDENCYPART_ARC
(25,33),0.251406 # DEPENDENCYPART_ARC
(25,34),-0.603309 # DEPENDENCYPART_ARC
(25,35),-0.272307 # DEPENDENCYPART_ARC
(25,36),-1.33746 # DEPENDENCYPART_ARC
(25,37),-1.24291 # DEPENDENCYPART_ARC
(26,1),-5.70104 # DEPENDENCYPART_ARC
(26,2),-4.63755 # DEPENDENCYPART_ARC
(26,3),-3.06067 # DEPENDENCYPART_ARC
(26,4),-2.39248 # DEPENDENCYPART_ARC
(26,5),-1.62468 # DEPENDENCYPART_ARC
(26,6),-3.14156 # DEPENDENCYPART_ARC
(26,7),-3.93757 # DEPENDENCYPART_ARC
(26,8),-2.95569 # DEPENDENCYPART_ARC
(26,9),-1.79772 # DEPENDENCYPART_ARC
(26,10),-2.01452 # DEPENDENCYPART_ARC
(26,11),-2.87122 # DEPENDENCYPART_ARC
(26,12),-2.41296 # DEPENDENCYPART_ARC
(26,13),-2.87492 # DEPENDENCYPART_ARC
(26,14),-1.78446 # DEPENDENCYPART_ARC
(26,15),-2.99573 # DEPENDENCYPART_ARC
(26,16),-2.25737 # DEPENDENCYPART_ARC
(26,17),-2.18504 # DEPENDENCYPART_ARC
(26,18),-3.26905 # DEPENDENCYPART_ARC
(26,19),-1.57611 # DEPENDENCYPART_ARC
(26,20),-1.45104 # DEPENDENCYPART_ARC
(26,21),-2.78952 # DEPENDENCYPART_ARC
(26,22),-1.13907 # DEPENDENCYPART_ARC
(26,23),-0.460658 # DEPENDENCYPART_ARC
(26,24),-0.140869 # DEPENDENCYPART_ARC
(26,25),0.0263941 # DEPENDENCYPART_ARC
(26,27),2.28992 # DEPENDENCYPART_ARC
(26,28),-0.823727 # DEPENDENCYPART_ARC
(26,29),1.99884 # DEPENDENCYPART_ARC
(26,30),-0.217654 # DEPENDENCYPART_ARC
(26,31),-0.661156 # DEPENDENCYPART_ARC
(26,32),-2.14571 # DEPENDENCYPART_ARC
(26,33),0.0128191 # DEPENDENCYPART_ARC
(26,34),0.263457 # DEPENDENCYPART_ARC
(26,35),-0.994714 # DEPENDENCYPART_ARC
(26,36),-0.80333 # DEPENDENCYPART_ARC
(26,37),-1.03862 # DEPENDENCYPART_ARC
(27,1),-1.88412 # DEPENDENCYPART_ARC
(27,8),-1.90183 # DEPENDENCYPART_ARC
(27,10),-2.13469 # DEPENDENCYPART_ARC
(27,14),-1.99599 # DEPENDENCYPART_ARC
(27,15),-1.81553 # DEPENDENCYPART_ARC
(27,17),-1.61138 # DEPENDENCYPART_ARC
(27,20),-1.48887 # DEPENDENCYPART_ARC
(27,37),-0.752335 # DEPENDENCYPART_ARC
(28,1),-1.35368 # DEPENDENCYPART_ARC
(28,2),-3.2705 # DEPENDENCYPART_ARC
(28,3),-3.88248 # DEPENDENCYPART_ARC
(28,4),-3.14278 # DEPENDENCYPART_ARC
(28,8),-2.29446 # DEPENDENCYPART_ARC
(28,9),-3.14695 # DEPENDENCYPART_ARC
(28,10),-1.94204 # DEPENDENCYPART_ARC
(28,11),-3.26728 # DEPENDENCYPART_ARC
(28,12),-2.63301 # DEPENDENCYPART_ARC
(28,13),-3.21746 # DEPENDENCYPART_ARC
(28,14),-1.96888 # DEPENDENCYPART_ARC
(28,15),-1.84321 # DEPENDENCYPART_ARC
(28,16),-3.62302 # DEPENDENCYPART_ARC
(28,17),-1.06618 # DEPENDENCYPART_ARC
(28,18),-3.09358 # DEPENDENCYPART_ARC
(28,19),-2.06705 # DEPENDENCYPART_ARC
(28,21),-3.02693 # DEPENDENCYPART_ARC
(28,22),-1.60325 # DEPENDENCYPART_ARC
(28,23),-2.22517 # DEPENDENCYPART_ARC
(28,24),-2.89026 # DEPENDENCYPART_ARC
(28,25),-2.80587 # DEPENDENCYPART_ARC
(28,26),-2.16717 # DEPENDENCYPART_ARC
(28,27),0.064953 # DEPENDENCYPART_ARC
(28,29),0.56911 # DEPENDENCYPART_ARC
(28,30),-1.58062 # DEPENDENCYPART_ARC
(28,31),-0.748872 # DEPENDENCYPART_ARC
(28,33),-1.11044 # DEPENDENCYPART_ARC
(28,34),-1.42675 # DEPENDENCYPART_ARC
(28,35),-2.07725 # DEPENDENCYPART_ARC
(28,36),-1.67367 # DEPENDENCYPART_ARC
(28,37),-1.31651 # DEPENDENCYPART_ARC
(29,1),-2.65267 # DEPENDENCYPART_ARC
(29,2),-3.12675 # DEPENDENCYPART_ARC
(29,3),-3.67638 # DEPENDENCYPART_ARC
(29,4),-5.93084 # DEPENDENCYPART_ARC
(29,5),-3.09647 # DEPENDENCYPART_ARC
(29,6),-2.92379 # DEPENDENCYPART_ARC
(29,7),-3.09545 # DEPENDENCYPART_ARC
(29,8),-3.8818 # DEPENDENCYPART_ARC
(29,9),-3.03678 # DEPENDENCYPART_ARC
(29,10),-3.0301 # DEPENDENCYPART_ARC
(29,11),-2.50959 # DEPENDENCYPART_ARC
(29,12),-3.96452 # DEPENDENCYPART_ARC
(29,13),-3.17501 # DEPENDENCYPART_ARC
(29,14),-3.11532 # DEPENDENCYPART_ARC
(29,15),-3.69804 # DEPENDENCYPART_ARC
(29,16),-1.67347 # DEPENDENCYPART_ARC
(29,17),-2.2374 # DEPENDENCYPART_ARC
(29,18),-2.08682 # DEPENDENCYPART_ARC
(29,19),-2.68171 # DEPENDENCYPART_ARC
(29,20),-2.0372 # DEPENDENCYPART_ARC
(29,21),-1.6581 # DEPENDENCYPART_ARC
(29,22),-2.01522 # DEPENDENCYPART_ARC
(29,23),-1.5202 # DEPENDENCYPART_ARC
(29,24),-1.55281 # DEPENDENCYPART_ARC
(29,25),-0.249578 # DEPENDENCYPART_ARC
(29,26),-1.4436 # DEPENDENCYPART_ARC
(29,27),-2.14444 # DEPENDENCYPART_ARC
(29,28),2.61783 # DEPENDENCYPART_ARC
(29,30),2.94773 # DEPENDENCYPART_ARC
(29,31),1.16526 # DEPENDENCYPART_ARC
(29,32),-0.856891 # DEPENDENCYPART_ARC
(29,33),0.27639 # DEPENDENCYPART_ARC
(29,34),0.107797 # DEPENDENCYPART_ARC
(29,35),0.332534 # DEPENDENCYPART_ARC
(29,36),-1.32268 # DEPENDENCYPART_ARC
(29,37),-0.67012 # DEPENDENCYPART_ARC
(30,1),-2.57171 # DEPENDENCYPART_ARC
(30,2),-3.32449 # DEPENDENCYPART_ARC
(30,3),-3.91207 # DEPENDENCYPART_ARC
(30,4),-2.58921 # DEPENDENCYPART_ARC
(30,5),-3.24064 # DEPENDENCYPART_ARC
(30,6),-3.58061 # DEPENDENCYPART_ARC
(30,7),-3.59056 # DEPENDENCYPART_ARC
(30,8),-2.29727 # DEPENDENCYPART_ARC
(30,9),-3.77822 # DEPENDENCYPART_ARC
(30,10),-2.25108 # DEPENDENCYPART_ARC
(30,11),-2.92039 # DEPENDENCYPART_ARC
(30,12),-2.20883 # DEPENDENCYPART_ARC
(30,13),-3.26789 # DEPENDENCYPART_ARC
(30,14),-2.29052 # DEPENDENCYPART_ARC
(30,15),-2.14382 # DEPENDENCYPART_ARC
(30,16),-3.60621 # DEPENDENCYPART_ARC
(30,17),-2.31983 # DEPENDENCYPART_ARC
(30,18),-3.00625 # DEPENDENCYPART_ARC
(30,19),-2.0238 # DEPENDENCYPART_ARC
(30,20),-2.28145 # DEPENDENCYPART_ARC
(30,21),-2.84699 # DEPENDENCYPART_ARC
(30,22),-1.40367 # DEPENDENCYPART_ARC
(30,23),-1.60541 # DEPENDENCYPART_ARC
(30,24),-2.44182 # DEPENDENCYPART_ARC
(30,25),-3.18847 # DEPENDENCYPART_ARC
(30,26),-2.56863 # DEPENDENCYPART_ARC
(30,27),-1.37714 # DEPENDENCYPART_ARC
(30,28),-1.41812 # DEPENDENCYPART_ARC
(30,29),-1.32904 # DEPENDENCYPART_ARC
(30,31),4.4831 # DEPENDENCYPART_ARC
(30,32),0.405161 # DEPENDENCYPART_ARC
(30,33),-1.3333 # DEPENDENCYPART_ARC
(30,34),-1.13756 # DEPENDENCYPART_ARC
(30,35),-0.985702 # DEPENDENCYPART_ARC
(30,36),-1.08309 # DEPENDENCYPART_ARC
(30,37),-0.470097 # DEPENDENCYPART_ARC
(31,1),-7.36323 # DEPENDENCYPART_ARC
(31,2),-5.17493 # DEPENDENCYPART_ARC
(31,3),-4.4726 # DEPENDENCYPART_ARC
(31,4),-3.59609 # DEPENDENCYPART_ARC
(31,5),-4.49417 # DEPENDENCYPART_ARC
(31,6),-4.50589 # DEPENDENCYPART_ARC
(31,7),-4.86102 # DEPENDENCYPART_ARC
(31,8),-4.00803 # DEPENDENCYPART_ARC
(31,9),-2.84877 # DEPENDENCYPART_ARC
(31,10),-3.09214 # DEPENDENCYPART_ARC
(31,11),-3.66705 # DEPENDENCYPART_ARC
(31,12),-3.54594 # DEPENDENCYPART_ARC
(31,13),-4.49858 # DEPENDENCYPART_ARC
(31,14),-2.92407 # DEPENDENCYPART_ARC
(31,15),-3.99208 # DEPENDENCYPART_ARC
(31,16),-3.99689 # DEPENDENCYPART_ARC
(31,17),-4.06425 # DEPENDENCYPART_ARC
(31,18),-3.81657 # DEPENDENCYPART_ARC
(31,19),-2.82103 # DEPENDENCYPART_ARC
(31,20),-3.34901 # DEPENDENCYPART_ARC
(31,21),-3.71842 # DEPENDENCYPART_ARC
(31,22),-2.37512 # DEPENDENCYPART_ARC
(31,23),-2.06352 # DEPENDENCYPART_ARC
(31,24),-2.24403 # DEPENDENCYPART_ARC
(31,25),-3.80138 # DEPENDENCYPART_ARC
(31,26),-3.26967 # DEPENDENCYPART_ARC
(31,27),-2.75441 # DEPENDENCYPART_ARC
(31,28),-1.72174 # DEPENDENCYPART_ARC
(31,29),-1.15628 # DEPENDENCYPART_ARC
(31,30),0.502135 # DEPENDENCYPART_ARC
(31,32),-1.56134 # DEPENDENCYPART_ARC
(31,33),-0.0399335 # DEPENDENCYPART_ARC
(31,34),-0.591465 # DEPENDENCYPART_ARC
(31,35),-1.14911 # DEPENDENCYPART_ARC
(31,36),-1.30151 # DEPENDENCYPART_ARC
(31,37),-1.45323 # DEPENDENCYPART_ARC
(32,2),-3.38635 # DEPENDENCYPART_ARC
(32,3),-4.23779 # DEPENDENCYPART_ARC
(32,4),-3.34018 # DEPENDENCYPART_ARC
(32,5),-3.10479 # DEPENDENCYPART_ARC
(32,6),-2.32791 # DEPENDENCYPART_ARC
(32,7),-2.40955 # DEPENDENCYPART_ARC
(32,8),-2.50752 # DEPENDENCYPART_ARC
(32,9),-3.68862 # DEPENDENCYPART_ARC
(32,10),-2.27579 # DEPENDENCYPART_ARC
(32,11),-3.50544 # DEPENDENCYPART_ARC
(32,12),-2.90765 # DEPENDENCYPART_ARC
(32,13),-3.27763 # DEPENDENCYPART_ARC
(32,14),-2.16792 # DEPENDENCYPART_ARC
(32,15),-2.23054 # DEPENDENCYPART_ARC
(32,16),-4.10045 # DEPENDENCYPART_ARC
(32,18),-3.2756 # DEPENDENCYPART_ARC
(32,19),-2.42252 # DEPENDENCYPART_ARC
(32,21),-3.35138 # DEPENDENCYPART_ARC
(32,22),-1.8831 # DEPENDENCYPART_ARC
(32,23),-2.80591 # DEPENDENCYPART_ARC
(32,24),-3.35508 # DEPENDENCYPART_ARC
(32,25),-3.84745 # DEPENDENCYPART_ARC
(32,26),-3.12789 # DEPENDENCYPART_ARC
(32,27),-1.92725 # DEPENDENCYPART_ARC
(32,29),-2.75396 # DEPENDENCYPART_ARC
(32,30),-1.2877 # DEPENDENCYPART_ARC
(32,31),-1.6446 # DEPENDENCYPART_ARC
(32,33),-1.2811 # DEPENDENCYPART_ARC
(32,34),-2.63377 # DEPENDENCYPART_ARC
(32,35),-2.19527 # DEPENDENCYPART_ARC
(32,36),-2.31728 # DEPENDENCYPART_ARC
(32,37),-1.81606 # DEPENDENCYPART_ARC
(33,1),-2.19984 # DEPENDENCYPART_ARC
(33,2),-1.62104 # DEPENDENCYPART_ARC
(33,3),-4.24372 # DEPENDENCYPART_ARC
(33,4),-4.82743 # DEPENDENCYPART_ARC
(33,5),-2.17417 # DEPENDENCYPART_ARC
(33,6),-1.90185 # DEPENDENCYPART_ARC
(33,7),-2.0204 # DEPENDENCYPART_ARC
(33,8),-3.08489 # DEPENDENCYPART_ARC
(33,9),-2.10421 # DEPENDENCYPART_ARC
(33,10),-2.73846 # DEPENDENCYPART_ARC
(33,11),-2.60075 # DEPENDENCYPART_ARC
(33,12),-3.21193 # DEPENDENCYPART_ARC
(33,13),-2.19051 # DEPENDENCYPART_ARC
(33,14),-2.47824 # DEPENDENCYPART_ARC
(33,15),-2.84579 # DEPENDENCYPART_ARC
(33,16),-2.03939 # DEPENDENCYPART_ARC
(33,17),-1.75052 # DEPENDENCYPART_ARC
(33,18),-0.546749 # DEPENDENCYPART_ARC
(33,19),-2.2697 # DEPENDENCYPART_ARC
(33,20),-1.52167 # DEPENDENCYPART_ARC
(33,21),-0.215763 # DEPENDENCYPART_ARC
