# _root_ Forse perché quando vi salutate tra voi , con quel braccio proteso in_avanti , somigliate ai soldati tedeschi del Terzo Reich ... .
#goldHeads=2,3,15,5,3,5,6,7,5,11,9,11,12,13,0,15,16,17,17,21,19,21,22,
#predictedHeads=5,5,15,5,3,5,6,7,5,11,9,11,12,13,0,15,16,17,17,21,19,21,22,
(23,2),-2.56177 # DEPENDENCYPART_ARC
(23,3),-2.44932 # DEPENDENCYPART_ARC
(23,4),-2.57802 # DEPENDENCYPART_ARC
(23,5),-3.14133 # DEPENDENCYPART_ARC
(23,6),-2.34034 # DEPENDENCYPART_ARC
(23,7),-2.57909 # DEPENDENCYPART_ARC
(23,8),-2.55844 # DEPENDENCYPART_ARC
(23,9),-2.38358 # DEPENDENCYPART_ARC
(23,10),-2.32833 # DEPENDENCYPART_ARC
(23,11),-2.74555 # DEPENDENCYPART_ARC
(23,12),-3.1129 # DEPENDENCYPART_ARC
(23,13),-2.53471 # DEPENDENCYPART_ARC
(23,14),-2.39913 # DEPENDENCYPART_ARC
(23,15),-2.94328 # DEPENDENCYPART_ARC
(23,16),-1.95626 # DEPENDENCYPART_ARC
(23,17),-2.48902 # DEPENDENCYPART_ARC
(23,18),-2.33979 # DEPENDENCYPART_ARC
(23,19),-1.69021 # DEPENDENCYPART_ARC
(23,20),-1.61037 # DEPENDENCYPART_ARC
(23,21),-1.76677 # DEPENDENCYPART_ARC
(23,22),-0.25091 # DEPENDENCYPART_ARC
