# _root_ Almeno 200 milioni di lire per gli appartamenti più piccoli , rifiniti in marmo , legno pregiato e forniti di cucine importate .
#goldHeads=3,3,0,3,4,3,8,6,10,8,10,8,12,13,14,14,16,14,14,19,20,21,22,
#predictedHeads=3,3,0,3,4,3,8,6,10,8,10,8,12,13,14,14,16,12,12,19,20,21,22,
(23,3),-2.89213 # DEPENDENCYPART_ARC
(23,4),-2.33834 # DEPENDENCYPART_ARC
(23,5),-2.88945 # DEPENDENCYPART_ARC
(23,6),-2.38253 # DEPENDENCYPART_ARC
(23,7),-2.44302 # DEPENDENCYPART_ARC
(23,8),-2.90674 # DEPENDENCYPART_ARC
(23,9),-2.71472 # DEPENDENCYPART_ARC
(23,10),-2.72214 # DEPENDENCYPART_ARC
(23,11),-2.48809 # DEPENDENCYPART_ARC
(23,12),-3.09951 # DEPENDENCYPART_ARC
(23,13),-2.1484 # DEPENDENCYPART_ARC
(23,14),-2.66299 # DEPENDENCYPART_ARC
(23,15),-2.32699 # DEPENDENCYPART_ARC
(23,16),-2.52566 # DEPENDENCYPART_ARC
(23,17),-2.47667 # DEPENDENCYPART_ARC
(23,18),-2.07279 # DEPENDENCYPART_ARC
(23,19),-2.69602 # DEPENDENCYPART_ARC
(23,20),-1.40987 # DEPENDENCYPART_ARC
(23,21),-1.76616 # DEPENDENCYPART_ARC
(23,22),-0.834025 # DEPENDENCYPART_ARC
