# _root_ Come_se la lontananza da quel giorno , la presenza sulla stessa pista di Mike Marsh e Yuji Nakamura , rammentasse solo un brutto sogno dell' umanità .
#goldHeads=20,3,1,3,6,4,6,9,3,9,12,10,9,13,14,14,14,17,18,0,24,24,24,20,24,25,26,
#predictedHeads=20,3,1,3,6,4,6,9,3,9,12,10,12,13,14,15,18,15,18,0,24,24,24,20,24,25,26,
(19,12),-2.21685 # DEPENDENCYPART_ARC
(19,13),-1.61083 # DEPENDENCYPART_ARC
(19,14),-2.06686 # DEPENDENCYPART_ARC
(19,15),-1.94733 # DEPENDENCYPART_ARC
(19,16),-1.30297 # DEPENDENCYPART_ARC
(19,17),-1.43762 # DEPENDENCYPART_ARC
(19,18),-0.577222 # DEPENDENCYPART_ARC
(19,20),-0.703105 # DEPENDENCYPART_ARC
(19,21),-1.95752 # DEPENDENCYPART_ARC
(19,22),-1.98669 # DEPENDENCYPART_ARC
(19,23),-2.22713 # DEPENDENCYPART_ARC
(19,24),-2.29409 # DEPENDENCYPART_ARC
(19,25),-2.41104 # DEPENDENCYPART_ARC
(19,26),-2.46187 # DEPENDENCYPART_ARC
(19,27),-1.33163 # DEPENDENCYPART_ARC
(20,1),0.96217 # DEPENDENCYPART_ARC
(20,2),-1.37809 # DEPENDENCYPART_ARC
(20,3),0.0427987 # DEPENDENCYPART_ARC
(20,4),-0.615225 # DEPENDENCYPART_ARC
(20,5),-0.520101 # DEPENDENCYPART_ARC
(20,6),0.578782 # DEPENDENCYPART_ARC
(20,7),-2.22962 # DEPENDENCYPART_ARC
(20,8),-1.22131 # DEPENDENCYPART_ARC
(20,9),0.352039 # DEPENDENCYPART_ARC
(20,10),-0.776453 # DEPENDENCYPART_ARC
(20,11),-0.968327 # DEPENDENCYPART_ARC
(20,12),0.0339783 # DEPENDENCYPART_ARC
(20,13),-1.63975 # DEPENDENCYPART_ARC
(20,14),0.626907 # DEPENDENCYPART_ARC
(20,15),0.830213 # DEPENDENCYPART_ARC
(20,16),-0.336811 # DEPENDENCYPART_ARC
(20,17),1.65148 # DEPENDENCYPART_ARC
(20,18),1.20717 # DEPENDENCYPART_ARC
(20,19),0.215339 # DEPENDENCYPART_ARC
(20,21),1.09274 # DEPENDENCYPART_ARC
(20,22),-0.869745 # DEPENDENCYPART_ARC
(20,23),0.585641 # DEPENDENCYPART_ARC
(20,24),1.24929 # DEPENDENCYPART_ARC
(20,25),0.534821 # DEPENDENCYPART_ARC
(20,26),0.0508284 # DEPENDENCYPART_ARC
(20,27),-0.611848 # DEPENDENCYPART_ARC
(21,1),-1.30037 # DEPENDENCYPART_ARC
(21,2),-1.1618 # DEPENDENCYPART_ARC
(21,3),-2.40659 # DEPENDENCYPART_ARC
(21,4),-1.61207 # DEPENDENCYPART_ARC
(21,5),-1.49386 # DEPENDENCYPART_ARC
(21,6),-2.38245 # DEPENDENCYPART_ARC
(21,7),-1.77786 # DEPENDENCYPART_ARC
(21,8),-1.15305 # DEPENDENCYPART_ARC
(21,9),-2.21686 # DEPENDENCYPART_ARC
(21,10),-1.50093 # DEPENDENCYPART_ARC
(21,11),-1.67651 # DEPENDENCYPART_ARC
(21,12),-2.08919 # DEPENDENCYPART_ARC
(21,13),-1.23342 # DEPENDENCYPART_ARC
(21,14),-1.94317 # DEPENDENCYPART_ARC
(21,15),-1.88836 # DEPENDENCYPART_ARC
(21,16),-1.14353 # DEPENDENCYPART_ARC
(21,17),-1.61773 # DEPENDENCYPART_ARC
(21,18),-1.2607 # DEPENDENCYPART_ARC
(21,19),-0.484148 # DEPENDENCYPART_ARC
(21,20),-0.101749 # DEPENDENCYPART_ARC
(21,22),0.444468 # DEPENDENCYPART_ARC
(21,23),0.0466127 # DEPENDENCYPART_ARC
(21,24),-0.299843 # DEPENDENCYPART_ARC
(21,25),-0.572267 # DEPENDENCYPART_ARC
(21,26),-0.502636 # DEPENDENCYPART_ARC
(21,27),-0.424148 # DEPENDENCYPART_ARC
(22,1),-2.02891 # DEPENDENCYPART_ARC
(22,2),-1.79258 # DEPENDENCYPART_ARC
(22,3),-2.588 # DEPENDENCYPART_ARC
(22,4),-2.07761 # DEPENDENCYPART_ARC
(22,5),-1.45474 # DEPENDENCYPART_ARC
(22,6),-2.27563 # DEPENDENCYPART_ARC
(22,7),-1.71159 # DEPENDENCYPART_ARC
(22,8),-1.81755 # DEPENDENCYPART_ARC
(22,9),-2.52169 # DEPENDENCYPART_ARC
(22,10),-2.21282 # DEPENDENCYPART_ARC
(22,11),-2.11141 # DEPENDENCYPART_ARC
(22,12),-2.49974 # DEPENDENCYPART_ARC
(22,13),-1.75596 # DEPENDENCYPART_ARC
(22,14),-2.26388 # DEPENDENCYPART_ARC
(22,15),-2.16981 # DEPENDENCYPART_ARC
(22,16),-1.55521 # DEPENDENCYPART_ARC
(22,17),-2.01428 # DEPENDENCYPART_ARC
(22,18),-1.90367 # DEPENDENCYPART_ARC
(22,19),-0.971499 # DEPENDENCYPART_ARC
(22,20),-1.29257 # DEPENDENCYPART_ARC
(22,21),0.0690628 # DEPENDENCYPART_ARC
(22,23),0.168419 # DEPENDENCYPART_ARC
(22,24),0.255466 # DEPENDENCYPART_ARC
(22,25),0.108893 # DEPENDENCYPART_ARC
(22,26),-0.00266522 # DEPENDENCYPART_ARC
(22,27),-0.250144 # DEPENDENCYPART_ARC
(23,1),-1.92221 # DEPENDENCYPART_ARC
(23,2),-1.58755 # DEPENDENCYPART_ARC
(23,3),-2.95407 # DEPENDENCYPART_ARC
(23,4),-2.0195 # DEPENDENCYPART_ARC
(23,5),-1.14196 # DEPENDENCYPART_ARC
(23,6),-2.37758 # DEPENDENCYPART_ARC
(23,7),-1.95207 # DEPENDENCYPART_ARC
(23,8),-1.44611 # DEPENDENCYPART_ARC
(23,9),-2.83736 # DEPENDENCYPART_ARC
(23,10),-1.97772 # DEPENDENCYPART_ARC
(23,11),-1.68046 # DEPENDENCYPART_ARC
(23,12),-2.6682 # DEPENDENCYPART_ARC
(23,13),-1.34555 # DEPENDENCYPART_ARC
(23,14),-1.94959 # DEPENDENCYPART_ARC
(23,15),-1.90494 # DEPENDENCYPART_ARC
(23,16),-1.25442 # DEPENDENCYPART_ARC
(23,17),-1.72751 # DEPENDENCYPART_ARC
(23,18),-1.5006 # DEPENDENCYPART_ARC
(23,19),-1.2861 # DEPENDENCYPART_ARC
(23,20),-1.13102 # DEPENDENCYPART_ARC
(23,21),0.272873 # DEPENDENCYPART_ARC
(23,22),1.40078 # DEPENDENCYPART_ARC
(23,24),1.19101 # DEPENDENCYPART_ARC
(23,25),0.477738 # DEPENDENCYPART_ARC
(23,26),-0.0234921 # DEPENDENCYPART_ARC
(23,27),-0.251199 # DEPENDENCYPART_ARC
(24,1),-1.23593 # DEPENDENCYPART_ARC
(24,2),-4.17882 # DEPENDENCYPART_ARC
(24,3),-3.44214 # DEPENDENCYPART_ARC
(24,4),-1.91436 # DEPENDENCYPART_ARC
(24,5),0.0922926 # DEPENDENCYPART_ARC
(24,6),-2.62121 # DEPENDENCYPART_ARC
(24,7),-2.74119 # DEPENDENCYPART_ARC
(24,8),-2.8335 # DEPENDENCYPART_ARC
(24,9),-3.03331 # DEPENDENCYPART_ARC
(24,10),-1.69377 # DEPENDENCYPART_ARC
(24,11),0.252521 # DEPENDENCYPART_ARC
(24,12),-2.78493 # DEPENDENCYPART_ARC
(24,13),-1.30351 # DEPENDENCYPART_ARC
(24,14),-1.35644 # DEPENDENCYPART_ARC
(24,15),-1.90263 # DEPENDENCYPART_ARC
(24,16),-0.987501 # DEPENDENCYPART_ARC
(24,17),-1.20984 # DEPENDENCYPART_ARC
(24,18),-1.70244 # DEPENDENCYPART_ARC
(24,19),-1.69037 # DEPENDENCYPART_ARC
(24,20),-1.18795 # DEPENDENCYPART_ARC
(24,21),1.16797 # DEPENDENCYPART_ARC
(24,22),3.00429 # DEPENDENCYPART_ARC
(24,23),4.01223 # DEPENDENCYPART_ARC
(24,25),2.90243 # DEPENDENCYPART_ARC
(24,26),1.18777 # DEPENDENCYPART_ARC
(24,27),0.316234 # DEPENDENCYPART_ARC
(25,1),-1.7949 # DEPENDENCYPART_ARC
(25,2),-1.90224 # DEPENDENCYPART_ARC
(25,3),-2.81798 # DEPENDENCYPART_ARC
(25,4),-1.52655 # DEPENDENCYPART_ARC
(25,5),-1.27718 # DEPENDENCYPART_ARC
(25,6),-2.57293 # DEPENDENCYPART_ARC
(25,7),-2.12135 # DEPENDENCYPART_ARC
(25,8),-1.73841 # DEPENDENCYPART_ARC
(25,9),-2.65805 # DEPENDENCYPART_ARC
(25,10),-2.01145 # DEPENDENCYPART_ARC
(25,11),-2.08651 # DEPENDENCYPART_ARC
(25,12),-2.54911 # DEPENDENCYPART_ARC
(25,13),-1.5747 # DEPENDENCYPART_ARC
(25,14),-2.81651 # DEPENDENCYPART_ARC
(25,15),-2.68538 # DEPENDENCYPART_ARC
(25,16),-1.26431 # DEPENDENCYPART_ARC
(25,17),-2.61343 # DEPENDENCYPART_ARC
(25,18),-2.47748 # DEPENDENCYPART_ARC
(25,19),-1.80372 # DEPENDENCYPART_ARC
(25,20),-2.34995 # DEPENDENCYPART_ARC
(25,21),-0.584477 # DEPENDENCYPART_ARC
(25,22),-0.933446 # DEPENDENCYPART_ARC
(25,23),-1.13845 # DEPENDENCYPART_ARC
(25,24),-0.739733 # DEPENDENCYPART_ARC
(25,26),4.79544 # DEPENDENCYPART_ARC
(25,27),-0.15923 # DEPENDENCYPART_ARC
(26,1),-2.68297 # DEPENDENCYPART_ARC
(26,2),-5.45412 # DEPENDENCYPART_ARC
(26,3),-4.48117 # DEPENDENCYPART_ARC
(26,4),-3.36906 # DEPENDENCYPART_ARC
(26,5),-2.04401 # DEPENDENCYPART_ARC
(26,6),-5.04211 # DEPENDENCYPART_ARC
(26,7),-3.86752 # DEPENDENCYPART_ARC
(26,8),-4.18746 # DEPENDENCYPART_ARC
(26,9),-4.00806 # DEPENDENCYPART_ARC
(26,10),-2.66941 # DEPENDENCYPART_ARC
(26,11),-1.37882 # DEPENDENCYPART_ARC
(26,12),-3.8934 # DEPENDENCYPART_ARC
(26,13),-2.64612 # DEPENDENCYPART_ARC
(26,14),-1.79673 # DEPENDENCYPART_ARC
(26,15),-2.94732 # DEPENDENCYPART_ARC
(26,16),-2.27823 # DEPENDENCYPART_ARC
(26,17),-1.82411 # DEPENDENCYPART_ARC
(26,18),-2.79482 # DEPENDENCYPART_ARC
(26,19),-3.16874 # DEPENDENCYPART_ARC
(26,20),-2.39994 # DEPENDENCYPART_ARC
(26,21),-0.566926 # DEPENDENCYPART_ARC
(26,22),-0.668055 # DEPENDENCYPART_ARC
(26,23),-0.954475 # DEPENDENCYPART_ARC
(26,24),-2.30485 # DEPENDENCYPART_ARC
(26,25),0.912916 # DEPENDENCYPART_ARC
(26,27),2.78276 # DEPENDENCYPART_ARC
(27,1),-2.38782 # DEPENDENCYPART_ARC
(27,2),-2.43855 # DEPENDENCYPART_ARC
(27,3),-2.90531 # DEPENDENCYPART_ARC
(27,4),-2.43506 # DEPENDENCYPART_ARC
(27,5),-2.46979 # DEPENDENCYPART_ARC
(27,6),-2.95998 # DEPENDENCYPART_ARC
(27,7),-2.4499 # DEPENDENCYPART_ARC
(27,8),-2.25457 # DEPENDENCYPART_ARC
(27,9),-2.81526 # DEPENDENCYPART_ARC
(27,10),-2.26107 # DEPENDENCYPART_ARC
(27,11),-2.69966 # DEPENDENCYPART_ARC
(27,12),-2.80432 # DEPENDENCYPART_ARC
(27,13),-2.30432 # DEPENDENCYPART_ARC
(27,14),-2.6716 # DEPENDENCYPART_ARC
(27,15),-2.68758 # DEPENDENCYPART_ARC
(27,16),-2.23808 # DEPENDENCYPART_ARC
(27,17),-2.64856 # DEPENDENCYPART_ARC
(27,18),-2.66627 # DEPENDENCYPART_ARC
(27,19),-2.28094 # DEPENDENCYPART_ARC
(27,20),-2.75271 # DEPENDENCYPART_ARC
(27,21),-2.1792 # DEPENDENCYPART_ARC
(27,22),-1.75255 # DEPENDENCYPART_ARC
(27,23),-2.12259 # DEPENDENCYPART_ARC
(27,24),-1.84297 # DEPENDENCYPART_ARC
(27,25),-1.09975 # DEPENDENCYPART_ARC
(27,26),-0.818931 # DEPENDENCYPART_ARC
