# _root_ Si preferisce disporre i mobili lungo le pareti e , scoperto il valore degli angoli , ci si ingegna a trovare il modo di riempir- li utilmente .
#goldHeads=2,0,2,5,3,3,8,6,2,9,19,13,11,13,14,15,19,19,2,19,20,23,21,23,24,25,25,27,
#predictedHeads=2,3,0,5,3,3,8,6,3,9,5,13,11,13,14,15,19,19,13,19,20,23,21,23,24,25,25,27,
(22,3),-2.93189 # DEPENDENCYPART_ARC
(22,5),-2.88556 # DEPENDENCYPART_ARC
(22,6),-2.78904 # DEPENDENCYPART_ARC
(22,8),-3.42551 # DEPENDENCYPART_ARC
(22,10),-2.08824 # DEPENDENCYPART_ARC
(22,11),-3.61979 # DEPENDENCYPART_ARC
(22,13),-2.75304 # DEPENDENCYPART_ARC
(22,14),-2.44806 # DEPENDENCYPART_ARC
(22,15),-2.50432 # DEPENDENCYPART_ARC
(22,16),-1.97918 # DEPENDENCYPART_ARC
(22,19),-2.688 # DEPENDENCYPART_ARC
(22,20),-1.0627 # DEPENDENCYPART_ARC
(22,21),-0.430809 # DEPENDENCYPART_ARC
(22,23),0.938248 # DEPENDENCYPART_ARC
(22,24),-0.056757 # DEPENDENCYPART_ARC
(22,25),-0.842606 # DEPENDENCYPART_ARC
(22,28),-0.985725 # DEPENDENCYPART_ARC
(23,1),-1.88451 # DEPENDENCYPART_ARC
(23,2),-2.78839 # DEPENDENCYPART_ARC
(23,3),-2.93364 # DEPENDENCYPART_ARC
(23,4),-3.04605 # DEPENDENCYPART_ARC
(23,5),-3.03208 # DEPENDENCYPART_ARC
(23,6),-1.40956 # DEPENDENCYPART_ARC
(23,7),-3.11491 # DEPENDENCYPART_ARC
(23,8),-3.53667 # DEPENDENCYPART_ARC
(23,9),-1.73667 # DEPENDENCYPART_ARC
(23,10),-2.89601 # DEPENDENCYPART_ARC
(23,11),-1.36058 # DEPENDENCYPART_ARC
(23,12),-1.7089 # DEPENDENCYPART_ARC
(23,13),-2.85435 # DEPENDENCYPART_ARC
(23,14),-0.975829 # DEPENDENCYPART_ARC
(23,15),-2.04993 # DEPENDENCYPART_ARC
(23,16),-2.44659 # DEPENDENCYPART_ARC
(23,17),-1.25434 # DEPENDENCYPART_ARC
(23,18),-0.631632 # DEPENDENCYPART_ARC
(23,19),-1.73043 # DEPENDENCYPART_ARC
(23,20),0.0593913 # DEPENDENCYPART_ARC
(23,21),-0.438454 # DEPENDENCYPART_ARC
(23,22),3.17052 # DEPENDENCYPART_ARC
(23,24),2.57529 # DEPENDENCYPART_ARC
(23,25),1.07883 # DEPENDENCYPART_ARC
(23,26),0.00676064 # DEPENDENCYPART_ARC
(23,27),0.116467 # DEPENDENCYPART_ARC
(23,28),-0.0657971 # DEPENDENCYPART_ARC
(24,1),-2.53007 # DEPENDENCYPART_ARC
(24,2),-3.04873 # DEPENDENCYPART_ARC
(24,3),-2.99856 # DEPENDENCYPART_ARC
(24,4),-2.24198 # DEPENDENCYPART_ARC
(24,5),-2.49905 # DEPENDENCYPART_ARC
(24,6),-2.17756 # DEPENDENCYPART_ARC
(24,7),-2.20552 # DEPENDENCYPART_ARC
(24,8),-2.53777 # DEPENDENCYPART_ARC
(24,9),-1.54255 # DEPENDENCYPART_ARC
(24,10),-2.28842 # DEPENDENCYPART_ARC
(24,11),-2.74622 # DEPENDENCYPART_ARC
(24,12),-2.02968 # DEPENDENCYPART_ARC
(24,13),-2.44748 # DEPENDENCYPART_ARC
(24,14),-1.70582 # DEPENDENCYPART_ARC
(24,15),-2.16568 # DEPENDENCYPART_ARC
(24,16),-2.11037 # DEPENDENCYPART_ARC
(24,17),-2.03138 # DEPENDENCYPART_ARC
(24,18),-2.00526 # DEPENDENCYPART_ARC
(24,19),-2.4731 # DEPENDENCYPART_ARC
(24,20),-1.16487 # DEPENDENCYPART_ARC
(24,21),-1.91757 # DEPENDENCYPART_ARC
(24,22),-0.649139 # DEPENDENCYPART_ARC
(24,23),-0.357098 # DEPENDENCYPART_ARC
(24,25),3.16537 # DEPENDENCYPART_ARC
(24,26),0.716181 # DEPENDENCYPART_ARC
(24,27),-0.377314 # DEPENDENCYPART_ARC
(24,28),-0.454778 # DEPENDENCYPART_ARC
(25,1),-4.07468 # DEPENDENCYPART_ARC
(25,2),-2.90483 # DEPENDENCYPART_ARC
(25,3),-3.07095 # DEPENDENCYPART_ARC
(25,4),-2.01695 # DEPENDENCYPART_ARC
(25,5),-2.4104 # DEPENDENCYPART_ARC
(25,6),-2.68638 # DEPENDENCYPART_ARC
(25,7),-1.95493 # DEPENDENCYPART_ARC
(25,8),-2.25962 # DEPENDENCYPART_ARC
(25,9),-2.46483 # DEPENDENCYPART_ARC
(25,10),-3.76151 # DEPENDENCYPART_ARC
(25,11),-2.90391 # DEPENDENCYPART_ARC
(25,12),-1.94359 # DEPENDENCYPART_ARC
(25,13),-1.76037 # DEPENDENCYPART_ARC
(25,14),-2.30218 # DEPENDENCYPART_ARC
(25,15),-2.09505 # DEPENDENCYPART_ARC
(25,16),-3.3644 # DEPENDENCYPART_ARC
(25,17),-0.806172 # DEPENDENCYPART_ARC
(25,18),-0.929563 # DEPENDENCYPART_ARC
(25,19),-1.97958 # DEPENDENCYPART_ARC
(25,20),-0.951884 # DEPENDENCYPART_ARC
(25,21),-1.0431 # DEPENDENCYPART_ARC
(25,22),-0.799769 # DEPENDENCYPART_ARC
(25,23),-0.384643 # DEPENDENCYPART_ARC
(25,24),-0.108072 # DEPENDENCYPART_ARC
(25,26),2.94663 # DEPENDENCYPART_ARC
(25,27),1.45079 # DEPENDENCYPART_ARC
(25,28),-0.358372 # DEPENDENCYPART_ARC
(26,1),-1.49415 # DEPENDENCYPART_ARC
(26,2),-3.82157 # DEPENDENCYPART_ARC
(26,3),-3.02334 # DEPENDENCYPART_ARC
(26,5),-1.97208 # DEPENDENCYPART_ARC
(26,6),-1.98917 # DEPENDENCYPART_ARC
(26,8),-2.45017 # DEPENDENCYPART_ARC
(26,9),-1.66698 # DEPENDENCYPART_ARC
(26,10),-1.93172 # DEPENDENCYPART_ARC
(26,11),-3.41906 # DEPENDENCYPART_ARC
(26,13),-2.18713 # DEPENDENCYPART_ARC
(26,14),-1.96031 # DEPENDENCYPART_ARC
(26,15),-1.98941 # DEPENDENCYPART_ARC
(26,16),-1.67423 # DEPENDENCYPART_ARC
(26,17),-1.88303 # DEPENDENCYPART_ARC
(26,18),-1.24465 # DEPENDENCYPART_ARC
(26,19),-3.48635 # DEPENDENCYPART_ARC
(26,20),-1.36454 # DEPENDENCYPART_ARC
(26,21),-2.47538 # DEPENDENCYPART_ARC
(26,23),-1.42782 # DEPENDENCYPART_ARC
(26,24),-0.528735 # DEPENDENCYPART_ARC
(26,25),-0.422101 # DEPENDENCYPART_ARC
(26,27),-0.264584 # DEPENDENCYPART_ARC
(26,28),-0.176055 # DEPENDENCYPART_ARC
(27,1),-1.81011 # DEPENDENCYPART_ARC
(27,2),-2.51719 # DEPENDENCYPART_ARC
(27,3),-2.48383 # DEPENDENCYPART_ARC
(27,4),-1.35397 # DEPENDENCYPART_ARC
(27,5),-2.46486 # DEPENDENCYPART_ARC
(27,6),-1.22893 # DEPENDENCYPART_ARC
(27,7),-1.29345 # DEPENDENCYPART_ARC
(27,8),-2.21823 # DEPENDENCYPART_ARC
(27,9),-1.53062 # DEPENDENCYPART_ARC
(27,10),-1.67264 # DEPENDENCYPART_ARC
(27,11),-2.42064 # DEPENDENCYPART_ARC
(27,12),-1.2787 # DEPENDENCYPART_ARC
(27,13),-2.23483 # DEPENDENCYPART_ARC
(27,14),-1.0189 # DEPENDENCYPART_ARC
(27,15),-2.05077 # DEPENDENCYPART_ARC
(27,16),-1.58577 # DEPENDENCYPART_ARC
(27,17),-1.55925 # DEPENDENCYPART_ARC
(27,18),-1.49544 # DEPENDENCYPART_ARC
(27,19),-2.15044 # DEPENDENCYPART_ARC
(27,20),-0.811586 # DEPENDENCYPART_ARC
(27,21),-2.05698 # DEPENDENCYPART_ARC
(27,22),-0.713261 # DEPENDENCYPART_ARC
(27,23),-1.50536 # DEPENDENCYPART_ARC
(27,24),0.0279356 # DEPENDENCYPART_ARC
(27,25),-0.736526 # DEPENDENCYPART_ARC
(27,26),0.475751 # DEPENDENCYPART_ARC
(27,28),2.53185 # DEPENDENCYPART_ARC
(28,4),-1.82157 # DEPENDENCYPART_ARC
(28,7),-1.88304 # DEPENDENCYPART_ARC
(28,10),-1.97298 # DEPENDENCYPART_ARC
(28,12),-1.76843 # DEPENDENCYPART_ARC
(28,16),-1.84898 # DEPENDENCYPART_ARC
(28,22),-1.39703 # DEPENDENCYPART_ARC
