# _root_ Lo volle Carlo III di Borbone per la sua Reggia di Caserta e noi , turisti casuali capitati in un giorno qualsiasi , lo ritroviamo intatto e immenso qual era : con i prati rasati di fresco e le peschiere ben pulite .
#goldHeads=2,0,2,3,3,5,2,10,10,7,10,11,2,25,14,14,16,16,18,21,19,21,22,25,2,25,26,26,30,25,30,25,34,32,34,35,36,37,40,37,42,40,42,
#predictedHeads=2,0,4,2,4,5,2,10,10,7,10,11,10,4,14,14,16,16,18,21,19,21,22,25,18,25,26,26,30,25,30,30,34,32,34,35,36,35,40,35,42,40,42,
(13,30),-3.32952 # DEPENDENCYPART_ARC
(13,31),-1.64032 # DEPENDENCYPART_ARC
(13,32),-2.35293 # DEPENDENCYPART_ARC
(13,34),-2.14505 # DEPENDENCYPART_ARC
(13,35),-4.04447 # DEPENDENCYPART_ARC
(13,36),-2.32883 # DEPENDENCYPART_ARC
(13,37),-2.39063 # DEPENDENCYPART_ARC
(13,38),-1.53657 # DEPENDENCYPART_ARC
(13,40),-2.18443 # DEPENDENCYPART_ARC
(13,41),-2.76601 # DEPENDENCYPART_ARC
(13,42),-4.94987 # DEPENDENCYPART_ARC
(13,43),-2.61333 # DEPENDENCYPART_ARC
(14,2),-4.24168 # DEPENDENCYPART_ARC
(14,3),-2.62284 # DEPENDENCYPART_ARC
(14,4),-2.51311 # DEPENDENCYPART_ARC
(14,5),-2.05952 # DEPENDENCYPART_ARC
(14,6),-2.4936 # DEPENDENCYPART_ARC
(14,7),-1.67213 # DEPENDENCYPART_ARC
(14,10),-2.63408 # DEPENDENCYPART_ARC
(14,11),-1.03057 # DEPENDENCYPART_ARC
(14,12),-1.71519 # DEPENDENCYPART_ARC
(14,13),0.106831 # DEPENDENCYPART_ARC
(14,15),2.10605 # DEPENDENCYPART_ARC
(14,16),1.81782 # DEPENDENCYPART_ARC
(14,17),1.26419 # DEPENDENCYPART_ARC
(14,18),0.808838 # DEPENDENCYPART_ARC
(14,19),-0.388408 # DEPENDENCYPART_ARC
(14,21),-0.0789473 # DEPENDENCYPART_ARC
(14,23),-0.0425423 # DEPENDENCYPART_ARC
(14,25),-0.681155 # DEPENDENCYPART_ARC
(14,26),-0.84814 # DEPENDENCYPART_ARC
(14,27),0.379772 # DEPENDENCYPART_ARC
(14,28),-0.878223 # DEPENDENCYPART_ARC
(14,30),-2.31736 # DEPENDENCYPART_ARC
(14,31),-0.890912 # DEPENDENCYPART_ARC
(14,32),-1.40104 # DEPENDENCYPART_ARC
(14,34),-0.213023 # DEPENDENCYPART_ARC
(14,35),-1.57419 # DEPENDENCYPART_ARC
(14,36),-1.52823 # DEPENDENCYPART_ARC
(14,37),-1.40221 # DEPENDENCYPART_ARC
(14,38),-0.287452 # DEPENDENCYPART_ARC
(14,40),-0.967234 # DEPENDENCYPART_ARC
(14,41),-1.49317 # DEPENDENCYPART_ARC
(14,42),-2.30676 # DEPENDENCYPART_ARC
(14,43),-1.84628 # DEPENDENCYPART_ARC
(15,8),-1.45931 # DEPENDENCYPART_ARC
(15,20),-1.4721 # DEPENDENCYPART_ARC
(15,23),-1.16095 # DEPENDENCYPART_ARC
(15,31),-1.80822 # DEPENDENCYPART_ARC
(15,33),-1.97106 # DEPENDENCYPART_ARC
(15,39),-2.21156 # DEPENDENCYPART_ARC
(15,43),-2.5795 # DEPENDENCYPART_ARC
(16,1),-2.66656 # DEPENDENCYPART_ARC
(16,2),-3.44224 # DEPENDENCYPART_ARC
(16,3),-2.15503 # DEPENDENCYPART_ARC
(16,4),-2.7697 # DEPENDENCYPART_ARC
(16,5),-2.06283 # DEPENDENCYPART_ARC
(16,6),-2.25616 # DEPENDENCYPART_ARC
(16,7),-1.25213 # DEPENDENCYPART_ARC
(16,8),-2.00243 # DEPENDENCYPART_ARC
(16,9),-1.28658 # DEPENDENCYPART_ARC
(16,10),-3.17698 # DEPENDENCYPART_ARC
(16,11),-0.931945 # DEPENDENCYPART_ARC
(16,12),-1.46976 # DEPENDENCYPART_ARC
(16,13),-0.604152 # DEPENDENCYPART_ARC
(16,14),-0.0335007 # DEPENDENCYPART_ARC
(16,15),0.386424 # DEPENDENCYPART_ARC
(16,17),3.19149 # DEPENDENCYPART_ARC
(16,18),2.63631 # DEPENDENCYPART_ARC
(16,19),0.457782 # DEPENDENCYPART_ARC
(16,20),-0.482885 # DEPENDENCYPART_ARC
(16,21),-0.599884 # DEPENDENCYPART_ARC
(16,22),-0.0871816 # DEPENDENCYPART_ARC
(16,23),0.122615 # DEPENDENCYPART_ARC
(16,24),-0.426178 # DEPENDENCYPART_ARC
(16,25),-0.307106 # DEPENDENCYPART_ARC
(16,26),-1.35497 # DEPENDENCYPART_ARC
(16,27),-0.0507183 # DEPENDENCYPART_ARC
(16,28),-1.81199 # DEPENDENCYPART_ARC
(16,29),-0.653976 # DEPENDENCYPART_ARC
(16,30),-1.2786 # DEPENDENCYPART_ARC
(16,31),-2.22862 # DEPENDENCYPART_ARC
(16,32),-0.672005 # DEPENDENCYPART_ARC
(16,33),-0.406381 # DEPENDENCYPART_ARC
(16,34),-1.37529 # DEPENDENCYPART_ARC
(16,35),0.135539 # DEPENDENCYPART_ARC
(16,36),-2.12747 # DEPENDENCYPART_ARC
(16,37),-3.00825 # DEPENDENCYPART_ARC
(16,38),-1.22445 # DEPENDENCYPART_ARC
(16,39),-0.626866 # DEPENDENCYPART_ARC
(16,40),-2.07765 # DEPENDENCYPART_ARC
(16,41),-1.75488 # DEPENDENCYPART_ARC
(16,42),-1.52404 # DEPENDENCYPART_ARC
(16,43),-3.71415 # DEPENDENCYPART_ARC
(17,1),-2.64868 # DEPENDENCYPART_ARC
(17,2),-4.16522 # DEPENDENCYPART_ARC
(17,3),-2.27136 # DEPENDENCYPART_ARC
(17,4),-2.13844 # DEPENDENCYPART_ARC
(17,5),-1.26137 # DEPENDENCYPART_ARC
(17,6),-2.1848 # DEPENDENCYPART_ARC
(17,7),-1.00236 # DEPENDENCYPART_ARC
(17,8),-1.39871 # DEPENDENCYPART_ARC
(17,9),-1.72756 # DEPENDENCYPART_ARC
(17,10),-2.45039 # DEPENDENCYPART_ARC
(17,11),-0.77123 # DEPENDENCYPART_ARC
(17,12),-1.56098 # DEPENDENCYPART_ARC
(17,13),-0.864342 # DEPENDENCYPART_ARC
(17,14),-1.30125 # DEPENDENCYPART_ARC
(17,15),-0.239326 # DEPENDENCYPART_ARC
(17,16),0.0756053 # DEPENDENCYPART_ARC
(17,18),1.17434 # DEPENDENCYPART_ARC
(17,19),-0.269714 # DEPENDENCYPART_ARC
(17,20),-1.08673 # DEPENDENCYPART_ARC
(17,21),-0.835283 # DEPENDENCYPART_ARC
(17,22),-0.863013 # DEPENDENCYPART_ARC
(17,23),-0.523551 # DEPENDENCYPART_ARC
(17,24),-1.54315 # DEPENDENCYPART_ARC
(17,25),-1.02999 # DEPENDENCYPART_ARC
(17,26),-1.85204 # DEPENDENCYPART_ARC
(17,27),-0.0570998 # DEPENDENCYPART_ARC
(17,28),-1.12443 # DEPENDENCYPART_ARC
(17,29),-1.86721 # DEPENDENCYPART_ARC
(17,30),-1.89102 # DEPENDENCYPART_ARC
(17,31),-1.21848 # DEPENDENCYPART_ARC
(17,32),-1.4015 # DEPENDENCYPART_ARC
(17,33),-1.46455 # DEPENDENCYPART_ARC
(17,34),-1.44765 # DEPENDENCYPART_ARC
(17,35),-1.12107 # DEPENDENCYPART_ARC
(17,36),-1.51432 # DEPENDENCYPART_ARC
(17,37),-2.19526 # DEPENDENCYPART_ARC
(17,38),-1.07328 # DEPENDENCYPART_ARC
(17,39),-1.62346 # DEPENDENCYPART_ARC
(17,40),-2.04368 # DEPENDENCYPART_ARC
(17,41),-2.09955 # DEPENDENCYPART_ARC
(17,42),-1.25406 # DEPENDENCYPART_ARC
(17,43),-2.71065 # DEPENDENCYPART_ARC
(18,1),-1.64999 # DEPENDENCYPART_ARC
(18,2),-1.50905 # DEPENDENCYPART_ARC
(18,3),-1.47965 # DEPENDENCYPART_ARC
(18,4),-1.47208 # DEPENDENCYPART_ARC
(18,5),-1.62842 # DEPENDENCYPART_ARC
(18,6),-1.58191 # DEPENDENCYPART_ARC
(18,7),-0.43838 # DEPENDENCYPART_ARC
(18,8),-1.43519 # DEPENDENCYPART_ARC
(18,9),-1.62086 # DEPENDENCYPART_ARC
(18,10),-1.879 # DEPENDENCYPART_ARC
(18,11),-1.23008 # DEPENDENCYPART_ARC
(18,12),-1.30764 # DEPENDENCYPART_ARC
(18,13),-0.450402 # DEPENDENCYPART_ARC
(18,14),0.801891 # DEPENDENCYPART_ARC
(18,15),-1.16189 # DEPENDENCYPART_ARC
(18,16),0.73849 # DEPENDENCYPART_ARC
(18,17),0.625386 # DEPENDENCYPART_ARC
(18,19),2.53424 # DEPENDENCYPART_ARC
(18,20),-1.12341 # DEPENDENCYPART_ARC
(18,21),0.646666 # DEPENDENCYPART_ARC
(18,22),-0.81156 # DEPENDENCYPART_ARC
(18,23),0.411572 # DEPENDENCYPART_ARC
(18,24),-0.457326 # DEPENDENCYPART_ARC
(18,25),0.910284 # DEPENDENCYPART_ARC
(18,26),-1.15656 # DEPENDENCYPART_ARC
(18,27),0.349203 # DEPENDENCYPART_ARC
(18,28),-1.28537 # DEPENDENCYPART_ARC
(18,29),-0.978527 # DEPENDENCYPART_ARC
(18,30),-1.2313 # DEPENDENCYPART_ARC
(18,31),-1.13122 # DEPENDENCYPART_ARC
(18,32),-0.391914 # DEPENDENCYPART_ARC
(18,33),-1.70579 # DEPENDENCYPART_ARC
(18,34),-1.35433 # DEPENDENCYPART_ARC
(18,35),0.498699 # DEPENDENCYPART_ARC
(18,36),-1.37426 # DEPENDENCYPART_ARC
(18,37),-2.49783 # DEPENDENCYPART_ARC
(18,38),0.298988 # DEPENDENCYPART_ARC
(18,39),-2.1532 # DEPENDENCYPART_ARC
(18,40),-2.4355 # DEPENDENCYPART_ARC
(18,41),-1.26519 # DEPENDENCYPART_ARC
(18,42),-0.746549 # DEPENDENCYPART_ARC
(18,43),-2.73463 # DEPENDENCYPART_ARC
(19,1),-2.36049 # DEPENDENCYPART_ARC
(19,2),-2.97356 # DEPENDENCYPART_ARC
(19,3),-2.58245 # DEPENDENCYPART_ARC
(19,4),-2.52889 # DEPENDENCYPART_ARC
(19,5),-2.3996 # DEPENDENCYPART_ARC
(19,6),-2.39228 # DEPENDENCYPART_ARC
(19,7),-2.26656 # DEPENDENCYPART_ARC
(19,8),-2.21252 # DEPENDENCYPART_ARC
(19,9),-2.51823 # DEPENDENCYPART_ARC
(19,10),-2.31087 # DEPENDENCYPART_ARC
(19,11),-1.96163 # DEPENDENCYPART_ARC
(19,12),-2.19526 # DEPENDENCYPART_ARC
(19,13),-1.5054 # DEPENDENCYPART_ARC
(19,14),-1.9711 # DEPENDENCYPART_ARC
(19,15),-1.734 # DEPENDENCYPART_ARC
(19,16),-1.53708 # DEPENDENCYPART_ARC
(19,17),-1.36209 # DEPENDENCYPART_ARC
(19,18),-0.484504 # DEPENDENCYPART_ARC
(19,20),0.424931 # DEPENDENCYPART_ARC
(19,21),2.95732 # DEPENDENCYPART_ARC
(19,22),-0.12498 # DEPENDENCYPART_ARC
(19,23),0.104676 # DEPENDENCYPART_ARC
(19,24),-0.0256689 # DEPENDENCYPART_ARC
(19,25),-0.754096 # DEPENDENCYPART_ARC
(19,26),-0.627124 # DEPENDENCYPART_ARC
(19,27),-0.116175 # DEPENDENCYPART_ARC
(19,28),-0.569644 # DEPENDENCYPART_ARC
(19,29),-0.731029 # DEPENDENCYPART_ARC
(19,30),-1.56184 # DEPENDENCYPART_ARC
(19,31),-0.724074 # DEPENDENCYPART_ARC
(19,32),-1.06146 # DEPENDENCYPART_ARC
(19,33),-1.63802 # DEPENDENCYPART_ARC
(19,34),-2.31315 # DEPENDENCYPART_ARC
(19,35),-2.69836 # DEPENDENCYPART_ARC
(19,36),-1.79965 # DEPENDENCYPART_ARC
(19,37),-1.0224 # DEPENDENCYPART_ARC
(19,38),-1.54299 # DEPENDENCYPART_ARC
(19,39),-1.70062 # DEPENDENCYPART_ARC
(19,40),-4.6735 # DEPENDENCYPART_ARC
(19,41),-2.21277 # DEPENDENCYPART_ARC
(19,42),-3.00848 # DEPENDENCYPART_ARC
(19,43),-2.18835 # DEPENDENCYPART_ARC
(20,5),-3.39936 # DEPENDENCYPART_ARC
(20,7),-3.08518 # DEPENDENCYPART_ARC
(20,11),-2.98381 # DEPENDENCYPART_ARC
(20,15),-2.47307 # DEPENDENCYPART_ARC
(20,19),-0.708369 # DEPENDENCYPART_ARC
(20,23),-0.15944 # DEPENDENCYPART_ARC
(20,31),-0.852696 # DEPENDENCYPART_ARC
(20,32),-1.25653 # DEPENDENCYPART_ARC
(20,36),-1.31356 # DEPENDENCYPART_ARC
(20,43),-1.3321 # DEPENDENCYPART_ARC
(21,1),-1.953 # DEPENDENCYPART_ARC
(21,2),-2.3258 # DEPENDENCYPART_ARC
(21,3),-2.41804 # DEPENDENCYPART_ARC
(21,4),-3.06432 # DEPENDENCYPART_ARC
(21,5),-2.0537 # DEPENDENCYPART_ARC
(21,6),-2.59637 # DEPENDENCYPART_ARC
(21,7),-1.40834 # DEPENDENCYPART_ARC
(21,8),-2.29039 # DEPENDENCYPART_ARC
(21,9),-1.03102 # DEPENDENCYPART_ARC
(21,10),-3.46998 # DEPENDENCYPART_ARC
(21,11),-1.38167 # DEPENDENCYPART_ARC
(21,12),-2.28064 # DEPENDENCYPART_ARC
(21,13),-1.47951 # DEPENDENCYPART_ARC
(21,14),-1.16751 # DEPENDENCYPART_ARC
(21,15),-2.3254 # DEPENDENCYPART_ARC
(21,16),-1.47527 # DEPENDENCYPART_ARC
(21,17),-1.08528 # DEPENDENCYPART_ARC
(21,18),-0.0201212 # DEPENDENCYPART_ARC
(21,19),0.674776 # DEPENDENCYPART_ARC
(21,20),3.41996 # DEPENDENCYPART_ARC
(21,22),1.59026 # DEPENDENCYPART_ARC
(21,23),0.451182 # DEPENDENCYPART_ARC
(21,24),0.157433 # DEPENDENCYPART_ARC
(21,25),-0.39462 # DEPENDENCYPART_ARC
(21,26),0.027485 # DEPENDENCYPART_ARC
(21,27),-0.0691952 # DEPENDENCYPART_ARC
(21,28),-0.575249 # DEPENDENCYPART_ARC
(21,29),-0.482412 # DEPENDENCYPART_ARC
(21,30),-0.78566 # DEPENDENCYPART_ARC
(21,31),-1.17398 # DEPENDENCYPART_ARC
(21,32),-0.96429 # DEPENDENCYPART_ARC
(21,33),-1.25332 # DEPENDENCYPART_ARC
(21,34),-1.68387 # DEPENDENCYPART_ARC
(21,35),-0.857461 # DEPENDENCYPART_ARC
(21,36),-2.043 # DEPENDENCYPART_ARC
(21,37),-1.8353 # DEPENDENCYPART_ARC
(21,38),-0.921207 # DEPENDENCYPART_ARC
(21,39),-1.70533 # DEPENDENCYPART_ARC
(21,40),-2.60379 # DEPENDENCYPART_ARC
(21,41),-1.6092 # DEPENDENCYPART_ARC
(21,42),-2.84254 # DEPENDENCYPART_ARC
(21,43),-3.1847 # DEPENDENCYPART_ARC
(22,1),-1.82492 # DEPENDENCYPART_ARC
(22,2),-2.97447 # DEPENDENCYPART_ARC
(22,8),-0.973415 # DEPENDENCYPART_ARC
(22,10),-2.60566 # DEPENDENCYPART_ARC
(22,15),-1.32589 # DEPENDENCYPART_ARC
(22,16),-2.51278 # DEPENDENCYPART_ARC
(22,18),-2.15834 # DEPENDENCYPART_ARC
(22,21),-0.64745 # DEPENDENCYPART_ARC
(22,23),1.13081 # DEPENDENCYPART_ARC
(22,24),0.551743 # DEPENDENCYPART_ARC
(22,25),-0.136106 # DEPENDENCYPART_ARC
(22,30),-0.90265 # DEPENDENCYPART_ARC
(22,31),-0.440715 # DEPENDENCYPART_ARC
(22,33),-1.19176 # DEPENDENCYPART_ARC
(22,34),-0.978325 # DEPENDENCYPART_ARC
(22,35),-1.049 # DEPENDENCYPART_ARC
(22,39),-1.46187 # DEPENDENCYPART_ARC
(22,40),-1.60189 # DEPENDENCYPART_ARC
(22,41),-1.56956 # DEPENDENCYPART_ARC
(22,42),-1.37937 # DEPENDENCYPART_ARC
(22,43),-1.11378 # DEPENDENCYPART_ARC
(23,8),-1.76689 # DEPENDENCYPART_ARC
(23,15),-1.74936 # DEPENDENCYPART_ARC
(23,20),-0.757893 # DEPENDENCYPART_ARC
(23,31),-1.28316 # DEPENDENCYPART_ARC
(23,33),-1.63809 # DEPENDENCYPART_ARC
(23,39),-1.85519 # DEPENDENCYPART_ARC
(23,43),-1.90406 # DEPENDENCYPART_ARC
(24,1),-1.97562 # DEPENDENCYPART_ARC
(24,2),-3.42063 # DEPENDENCYPART_ARC
(24,5),-2.37983 # DEPENDENCYPART_ARC
(24,7),-2.01791 # DEPENDENCYPART_ARC
(24,8),-1.16677 # DEPENDENCYPART_ARC
(24,10),-2.47381 # DEPENDENCYPART_ARC
(24,11),-2.05884 # DEPENDENCYPART_ARC
(24,13),-1.67061 # DEPENDENCYPART_ARC
(24,15),-1.76624 # DEPENDENCYPART_ARC
(24,16),-2.10299 # DEPENDENCYPART_ARC
(24,17),-1.83659 # DEPENDENCYPART_ARC
(24,18),-3.17871 # DEPENDENCYPART_ARC
(24,19),-1.04699 # DEPENDENCYPART_ARC
(24,21),-1.09584 # DEPENDENCYPART_ARC
(24,22),-0.0575001 # DEPENDENCYPART_ARC
(24,23),0.367328 # DEPENDENCYPART_ARC
(24,25),0.346379 # DEPENDENCYPART_ARC
(24,26),0.253029 # DEPENDENCYPART_ARC
(24,27),-0.376995 # DEPENDENCYPART_ARC
(24,28),-0.39674 # DEPENDENCYPART_ARC
(24,29),-0.688972 # DEPENDENCYPART_ARC
(24,30),-1.38788 # DEPENDENCYPART_ARC
(24,31),-1.00117 # DEPENDENCYPART_ARC
(24,32),-1.44939 # DEPENDENCYPART_ARC
(24,33),-1.74157 # DEPENDENCYPART_ARC
(24,34),-1.42769 # DEPENDENCYPART_ARC
(24,35),-1.61158 # DEPENDENCYPART_ARC
(24,36),-1.80771 # DEPENDENCYPART_ARC
(24,37),-1.30133 # DEPENDENCYPART_ARC
(24,38),-1.14791 # DEPENDENCYPART_ARC
(24,39),-2.40057 # DEPENDENCYPART_ARC
(24,40),-1.95706 # DEPENDENCYPART_ARC
(24,41),-2.03916 # DEPENDENCYPART_ARC
(24,42),-2.77171 # DEPENDENCYPART_ARC
(24,43),-1.80268 # DEPENDENCYPART_ARC
(25,1),-2.46803 # DEPENDENCYPART_ARC
(25,2),-4.48025 # DEPENDENCYPART_ARC
(25,3),-2.54115 # DEPENDENCYPART_ARC
(25,4),-2.3062 # DEPENDENCYPART_ARC
(25,5),-2.49935 # DEPENDENCYPART_ARC
(25,6),-2.23529 # DEPENDENCYPART_ARC
(25,7),-0.68404 # DEPENDENCYPART_ARC
(25,8),-1.50152 # DEPENDENCYPART_ARC
(25,9),-1.35628 # DEPENDENCYPART_ARC
(25,10),-2.07668 # DEPENDENCYPART_ARC
(25,11),-2.38864 # DEPENDENCYPART_ARC
(25,12),-2.25179 # DEPENDENCYPART_ARC
(25,13),-0.851857 # DEPENDENCYPART_ARC
(25,14),0.318567 # DEPENDENCYPART_ARC
(25,15),-2.20087 # DEPENDENCYPART_ARC
(25,16),-0.158781 # DEPENDENCYPART_ARC
(25,17),-1.08127 # DEPENDENCYPART_ARC
(25,18),-2.27324 # DEPENDENCYPART_ARC
(25,19),0.450523 # DEPENDENCYPART_ARC
(25,20),-1.04763 # DEPENDENCYPART_ARC
(25,21),-0.907335 # DEPENDENCYPART_ARC
(25,22),-0.738135 # DEPENDENCYPART_ARC
(25,23),-0.829926 # DEPENDENCYPART_ARC
(25,24),2.06405 # DEPENDENCYPART_ARC
(25,26),1.69017 # DEPENDENCYPART_ARC
(25,27),1.29695 # DEPENDENCYPART_ARC
(25,28),-0.132247 # DEPENDENCYPART_ARC
(25,29),-0.380019 # DEPENDENCYPART_ARC
(25,30),-0.168374 # DEPENDENCYPART_ARC
(25,31),-0.0317077 # DEPENDENCYPART_ARC
(25,32),-0.25659 # DEPENDENCYPART_ARC
(25,33),-1.34955 # DEPENDENCYPART_ARC
(25,34),-0.828939 # DEPENDENCYPART_ARC
(25,35),-0.600148 # DEPENDENCYPART_ARC
(25,36),-0.812183 # DEPENDENCYPART_ARC
(25,37),-1.7677 # DEPENDENCYPART_ARC
(25,38),0.757351 # DEPENDENCYPART_ARC
(25,39),-1.45937 # DEPENDENCYPART_ARC
(25,40),-1.03526 # DEPENDENCYPART_ARC
(25,41),-0.712457 # DEPENDENCYPART_ARC
(25,42),-0.560331 # DEPENDENCYPART_ARC
(25,43),-1.45468 # DEPENDENCYPART_ARC
(26,1),-1.91929 # DEPENDENCYPART_ARC
(26,2),-2.8858 # DEPENDENCYPART_ARC
(26,3),-2.58614 # DEPENDENCYPART_ARC
(26,4),-2.55546 # DEPENDENCYPART_ARC
(26,5),-1.77367 # DEPENDENCYPART_ARC
(26,6),-2.3858 # DEPENDENCYPART_ARC
(26,7),-1.37254 # DEPENDENCYPART_ARC
(26,8),-1.30566 # DEPENDENCYPART_ARC
(26,9),-2.00007 # DEPENDENCYPART_ARC
(26,10),-2.69773 # DEPENDENCYPART_ARC
(26,11),-1.43432 # DEPENDENCYPART_ARC
(26,12),-2.28014 # DEPENDENCYPART_ARC
(26,13),-1.68615 # DEPENDENCYPART_ARC
(26,14),-0.951675 # DEPENDENCYPART_ARC
(26,15),-1.80355 # DEPENDENCYPART_ARC
(26,16),-1.93811 # DEPENDENCYPART_ARC
(26,17),-1.36502 # DEPENDENCYPART_ARC
(26,18),-2.92632 # DEPENDENCYPART_ARC
(26,19),-0.668589 # DEPENDENCYPART_ARC
(26,20),-0.907741 # DEPENDENCYPART_ARC
(26,21),-1.5298 # DEPENDENCYPART_ARC
(26,22),-0.584098 # DEPENDENCYPART_ARC
(26,23),-0.865761 # DEPENDENCYPART_ARC
(26,24),-0.197722 # DEPENDENCYPART_ARC
(26,25),0.261886 # DEPENDENCYPART_ARC
(26,27),1.92227 # DEPENDENCYPART_ARC
(26,28),2.52458 # DEPENDENCYPART_ARC
(26,29),-0.112527 # DEPENDENCYPART_ARC
(26,30),-0.349007 # DEPENDENCYPART_ARC
(26,31),0.142761 # DEPENDENCYPART_ARC
(26,32),0.219914 # DEPENDENCYPART_ARC
(26,33),-0.801652 # DEPENDENCYPART_ARC
(26,34),-0.508648 # DEPENDENCYPART_ARC
(26,35),-0.532908 # DEPENDENCYPART_ARC
(26,36),-0.165999 # DEPENDENCYPART_ARC
(26,37),0.180421 # DEPENDENCYPART_ARC
(26,38),-0.274605 # DEPENDENCYPART_ARC
(26,39),-1.16566 # DEPENDENCYPART_ARC
(26,40),-1.0646 # DEPENDENCYPART_ARC
(26,41),-0.880724 # DEPENDENCYPART_ARC
(26,42),-0.812359 # DEPENDENCYPART_ARC
(26,43),-1.22661 # DEPENDENCYPART_ARC
(27,1),-1.50387 # DEPENDENCYPART_ARC
(27,2),-2.93334 # DEPENDENCYPART_ARC
(27,3),-3.47445 # DEPENDENCYPART_ARC
(27,4),-3.45737 # DEPENDENCYPART_ARC
(27,5),-2.43441 # DEPENDENCYPART_ARC
(27,6),-3.26518 # DEPENDENCYPART_ARC
(27,7),-2.26543 # DEPENDENCYPART_ARC
(27,10),-3.02339 # DEPENDENCYPART_ARC
(27,11),-2.25681 # DEPENDENCYPART_ARC
(27,12),-2.92761 # DEPENDENCYPART_ARC
(27,13),-1.78944 # DEPENDENCYPART_ARC
(27,14),-1.49561 # DEPENDENCYPART_ARC
(27,15),-1.98283 # DEPENDENCYPART_ARC
(27,16),-2.73343 # DEPENDENCYPART_ARC
(27,17),-2.42007 # DEPENDENCYPART_ARC
(27,18),-2.70139 # DEPENDENCYPART_ARC
(27,19),-1.925 # DEPENDENCYPART_ARC
(27,21),-2.34097 # DEPENDENCYPART_ARC
(27,23),-1.60276 # DEPENDENCYPART_ARC
(27,24),-0.892573 # DEPENDENCYPART_ARC
(27,25),-1.32974 # DEPENDENCYPART_ARC
(27,26),-0.428412 # DEPENDENCYPART_ARC
(27,28),-0.117347 # DEPENDENCYPART_ARC
(27,29),-1.35324 # DEPENDENCYPART_ARC
(27,30),-0.433149 # DEPENDENCYPART_ARC
(27,31),-1.14744 # DEPENDENCYPART_ARC
(27,32),-1.86944 # DEPENDENCYPART_ARC
(27,34),-1.92464 # DEPENDENCYPART_ARC
(27,35),-2.12845 # DEPENDENCYPART_ARC
(27,36),-2.1397 # DEPENDENCYPART_ARC
(27,37),-2.10347 # DEPENDENCYPART_ARC
(27,38),-1.3251 # DEPENDENCYPART_ARC
(27,40),-2.02835 # DEPENDENCYPART_ARC
(27,41),-2.4193 # DEPENDENCYPART_ARC
(27,42),-3.44019 # DEPENDENCYPART_ARC
(27,43),-1.8399 # DEPENDENCYPART_ARC
(28,1),-2.85573 # DEPENDENCYPART_ARC
(28,2),-3.76445 # DEPENDENCYPART_ARC
(28,3),-3.48625 # DEPENDENCYPART_ARC
(28,4),-3.41123 # DEPENDENCYPART_ARC
(28,5),-2.82488 # DEPENDENCYPART_ARC
(28,6),-3.42473 # DEPENDENCYPART_ARC
(28,7),-2.52733 # DEPENDENCYPART_ARC
(28,8),-2.43724 # DEPENDENCYPART_ARC
(28,9),-2.85139 # DEPENDENCYPART_ARC
(28,10),-3.56669 # DEPENDENCYPART_ARC
(28,11),-2.4123 # DEPENDENCYPART_ARC
(28,12),-3.22262 # DEPENDENCYPART_ARC
(28,13),-2.74755 # DEPENDENCYPART_ARC
(28,14),-2.02429 # DEPENDENCYPART_ARC
(28,15),-2.66881 # DEPENDENCYPART_ARC
(28,16),-2.9251 # DEPENDENCYPART_ARC
(28,17),-2.45781 # DEPENDENCYPART_ARC
(28,18),-3.86463 # DEPENDENCYPART_ARC
(28,19),-1.68481 # DEPENDENCYPART_ARC
(28,20),-2.01684 # DEPENDENCYPART_ARC
(28,21),-2.68882 # DEPENDENCYPART_ARC
(28,22),-1.82462 # DEPENDENCYPART_ARC
(28,23),-2.28436 # DEPENDENCYPART_ARC
(28,24),-1.90347 # DEPENDENCYPART_ARC
(28,25),-2.22199 # DEPENDENCYPART_ARC
(28,26),-1.40977 # DEPENDENCYPART_ARC
(28,27),0.0493813 # DEPENDENCYPART_ARC
(28,29),0.147793 # DEPENDENCYPART_ARC
(28,30),-0.994066 # DEPENDENCYPART_ARC
(28,31),-0.0496031 # DEPENDENCYPART_ARC
(28,32),-0.784607 # DEPENDENCYPART_ARC
(28,33),-1.48531 # DEPENDENCYPART_ARC
(28,34),-1.00896 # DEPENDENCYPART_ARC
(28,35),-1.3585 # DEPENDENCYPART_ARC
(28,36),-1.0437 # DEPENDENCYPART_ARC
(28,37),-0.926316 # DEPENDENCYPART_ARC
(28,38),-0.790714 # DEPENDENCYPART_ARC
(28,39),-1.87717 # DEPENDENCYPART_ARC
(28,40),-1.70986 # DEPENDENCYPART_ARC
(28,41),-1.54408 # DEPENDENCYPART_ARC
(28,42),-1.83728 # DEPENDENCYPART_ARC
(28,43),-1.77644 # DEPENDENCYPART_ARC
(29,2),-3.1732 # DEPENDENCYPART_ARC
(29,5),-2.44648 # DEPENDENCYPART_ARC
(29,7),-2.0164 # DEPENDENCYPART_ARC
(29,8),-0.960771 # DEPENDENCYPART_ARC
(29,10),-2.17548 # DEPENDENCYPART_ARC
(29,11),-2.07197 # DEPENDENCYPART_ARC
(29,13),-1.50197 # DEPENDENCYPART_ARC
(29,15),-1.73383 # DEPENDENCYPART_ARC
(29,16),-1.96138 # DEPENDENCYPART_ARC
(29,18),-3.26993 # DEPENDENCYPART_ARC
(29,19),-1.37061 # DEPENDENCYPART_ARC
(29,21),-1.70243 # DEPENDENCYPART_ARC
