# _root_ " Purtroppo , il programma universitario di Mayo è caro : ogni studente ci costa 30 mila dollari l' anno " , spiega Eugene Mayberry .
#goldHeads=2,9,2,5,9,5,5,7,0,9,10,13,15,15,23,18,16,15,20,15,20,21,0,25,23,25,
#predictedHeads=2,9,2,5,9,5,5,7,0,9,10,13,15,15,9,18,16,15,20,15,20,21,0,25,23,25,
(25,11),-2.30372 # DEPENDENCYPART_ARC
(25,12),0.0108538 # DEPENDENCYPART_ARC
(25,13),-3.10011 # DEPENDENCYPART_ARC
(25,14),-1.43478 # DEPENDENCYPART_ARC
(25,15),-2.69149 # DEPENDENCYPART_ARC
(25,16),-0.685219 # DEPENDENCYPART_ARC
(25,17),-1.39481 # DEPENDENCYPART_ARC
(25,18),-2.42225 # DEPENDENCYPART_ARC
(25,19),-0.807071 # DEPENDENCYPART_ARC
(25,20),-3.08457 # DEPENDENCYPART_ARC
(25,21),-0.372885 # DEPENDENCYPART_ARC
(25,22),-1.2398 # DEPENDENCYPART_ARC
(25,23),-0.76865 # DEPENDENCYPART_ARC
(25,24),3.70616 # DEPENDENCYPART_ARC
(25,26),2.87122 # DEPENDENCYPART_ARC
(26,1),-2.01022 # DEPENDENCYPART_ARC
(26,3),-1.8592 # DEPENDENCYPART_ARC
(26,4),-1.70863 # DEPENDENCYPART_ARC
(26,11),-1.69213 # DEPENDENCYPART_ARC
(26,19),-1.25654 # DEPENDENCYPART_ARC
(26,21),-1.51612 # DEPENDENCYPART_ARC
(26,22),-1.2005 # DEPENDENCYPART_ARC
