# _root_ " La riabilitazione , lo abbiamo dimostrato , può portare un " trapiantato " a correre i 42 chilometri di una maratona .
#goldHeads=2,3,10,3,7,7,10,7,10,0,13,11,10,15,10,15,19,19,16,19,22,20,22,
#predictedHeads=2,3,7,3,7,7,0,7,10,13,10,13,7,13,13,15,19,19,16,19,22,20,22,
(23,3),-2.93666 # DEPENDENCYPART_ARC
(23,4),-2.44172 # DEPENDENCYPART_ARC
(23,5),-2.53125 # DEPENDENCYPART_ARC
(23,6),-3.08147 # DEPENDENCYPART_ARC
(23,7),-3.19498 # DEPENDENCYPART_ARC
(23,8),-2.56887 # DEPENDENCYPART_ARC
(23,9),-3.17497 # DEPENDENCYPART_ARC
(23,10),-2.94957 # DEPENDENCYPART_ARC
(23,11),-2.18525 # DEPENDENCYPART_ARC
(23,12),-2.52668 # DEPENDENCYPART_ARC
(23,13),-3.01398 # DEPENDENCYPART_ARC
(23,14),-2.42458 # DEPENDENCYPART_ARC
(23,15),-2.06965 # DEPENDENCYPART_ARC
(23,16),-2.76744 # DEPENDENCYPART_ARC
(23,17),-1.86597 # DEPENDENCYPART_ARC
(23,18),-1.98788 # DEPENDENCYPART_ARC
(23,19),-2.19429 # DEPENDENCYPART_ARC
(23,20),-1.27495 # DEPENDENCYPART_ARC
(23,21),-0.833924 # DEPENDENCYPART_ARC
(23,22),-0.871117 # DEPENDENCYPART_ARC
