# _root_ La vita di Dian Fossey , che per i suoi studi aveva abbandonato una comoda esistenza , è tuttora avvolta da molti aspetti misteriosi .
#goldHeads=2,20,2,5,3,5,13,13,11,11,8,13,5,16,16,13,16,20,20,0,20,23,21,23,24,
#predictedHeads=2,13,2,5,3,5,13,13,11,11,8,13,0,16,16,13,16,20,20,16,20,23,21,23,24,
(21,4),-2.44132 # DEPENDENCYPART_ARC
(21,5),-2.43948 # DEPENDENCYPART_ARC
(21,6),-2.46224 # DEPENDENCYPART_ARC
(21,7),-2.24804 # DEPENDENCYPART_ARC
(21,8),-1.95257 # DEPENDENCYPART_ARC
(21,9),-2.04973 # DEPENDENCYPART_ARC
(21,10),-2.4572 # DEPENDENCYPART_ARC
(21,11),-2.29389 # DEPENDENCYPART_ARC
(21,12),-2.58541 # DEPENDENCYPART_ARC
(21,13),-2.51268 # DEPENDENCYPART_ARC
(21,14),-1.79466 # DEPENDENCYPART_ARC
(21,15),-2.10979 # DEPENDENCYPART_ARC
(21,16),-1.87317 # DEPENDENCYPART_ARC
(21,17),-1.83745 # DEPENDENCYPART_ARC
(21,18),-1.85786 # DEPENDENCYPART_ARC
(21,19),-0.358425 # DEPENDENCYPART_ARC
(21,20),-0.300736 # DEPENDENCYPART_ARC
(21,22),1.27338 # DEPENDENCYPART_ARC
(21,23),3.11054 # DEPENDENCYPART_ARC
(21,24),0.510255 # DEPENDENCYPART_ARC
(21,25),-0.282838 # DEPENDENCYPART_ARC
(22,1),-2.80146 # DEPENDENCYPART_ARC
(22,2),-3.62246 # DEPENDENCYPART_ARC
(22,3),-2.25748 # DEPENDENCYPART_ARC
(22,4),-3.21932 # DEPENDENCYPART_ARC
(22,5),-3.22194 # DEPENDENCYPART_ARC
(22,6),-2.49332 # DEPENDENCYPART_ARC
(22,7),-2.46742 # DEPENDENCYPART_ARC
(22,8),-2.34366 # DEPENDENCYPART_ARC
(22,9),-1.62208 # DEPENDENCYPART_ARC
(22,10),-2.29112 # DEPENDENCYPART_ARC
(22,11),-2.73785 # DEPENDENCYPART_ARC
(22,12),-3.53176 # DEPENDENCYPART_ARC
(22,13),-3.44174 # DEPENDENCYPART_ARC
(22,14),-2.457 # DEPENDENCYPART_ARC
(22,15),-2.80584 # DEPENDENCYPART_ARC
(22,16),-3.25655 # DEPENDENCYPART_ARC
(22,17),-2.03565 # DEPENDENCYPART_ARC
(22,18),-3.26656 # DEPENDENCYPART_ARC
(22,19),-1.29967 # DEPENDENCYPART_ARC
(22,20),-2.37373 # DEPENDENCYPART_ARC
(22,21),-0.165366 # DEPENDENCYPART_ARC
(22,23),0.541992 # DEPENDENCYPART_ARC
(22,24),-0.126252 # DEPENDENCYPART_ARC
(22,25),-0.389484 # DEPENDENCYPART_ARC
(23,1),-4.4595 # DEPENDENCYPART_ARC
(23,2),-3.31654 # DEPENDENCYPART_ARC
(23,3),-2.09064 # DEPENDENCYPART_ARC
(23,4),-1.50331 # DEPENDENCYPART_ARC
(23,5),-2.241 # DEPENDENCYPART_ARC
(23,6),-2.6878 # DEPENDENCYPART_ARC
(23,7),-1.93625 # DEPENDENCYPART_ARC
(23,8),-1.09502 # DEPENDENCYPART_ARC
(23,9),-0.48324 # DEPENDENCYPART_ARC
(23,10),-0.188743 # DEPENDENCYPART_ARC
(23,11),-0.791304 # DEPENDENCYPART_ARC
(23,12),-2.83108 # DEPENDENCYPART_ARC
(23,13),-1.80452 # DEPENDENCYPART_ARC
(23,14),-1.32159 # DEPENDENCYPART_ARC
(23,15),-1.43565 # DEPENDENCYPART_ARC
(23,16),-2.39902 # DEPENDENCYPART_ARC
(23,17),-1.92789 # DEPENDENCYPART_ARC
(23,18),-1.94164 # DEPENDENCYPART_ARC
(23,19),0.0306149 # DEPENDENCYPART_ARC
(23,20),-1.11955 # DEPENDENCYPART_ARC
(23,21),0.769957 # DEPENDENCYPART_ARC
(23,22),4.16377 # DEPENDENCYPART_ARC
(23,24),3.05617 # DEPENDENCYPART_ARC
(23,25),-0.0367023 # DEPENDENCYPART_ARC
(24,1),-2.01038 # DEPENDENCYPART_ARC
(24,2),-3.27177 # DEPENDENCYPART_ARC
(24,3),-1.87107 # DEPENDENCYPART_ARC
(24,4),-2.47256 # DEPENDENCYPART_ARC
(24,5),-2.3894 # DEPENDENCYPART_ARC
(24,6),-2.05056 # DEPENDENCYPART_ARC
(24,7),-1.02476 # DEPENDENCYPART_ARC
(24,8),-1.29998 # DEPENDENCYPART_ARC
(24,9),-0.987754 # DEPENDENCYPART_ARC
(24,10),-1.51817 # DEPENDENCYPART_ARC
(24,11),-1.82438 # DEPENDENCYPART_ARC
(24,12),-2.50644 # DEPENDENCYPART_ARC
(24,13),-2.82493 # DEPENDENCYPART_ARC
(24,14),-1.5231 # DEPENDENCYPART_ARC
(24,15),-1.75234 # DEPENDENCYPART_ARC
(24,16),-2.46837 # DEPENDENCYPART_ARC
(24,17),-1.53936 # DEPENDENCYPART_ARC
(24,18),-2.2541 # DEPENDENCYPART_ARC
(24,19),-0.507076 # DEPENDENCYPART_ARC
(24,20),-2.39646 # DEPENDENCYPART_ARC
(24,21),0.327233 # DEPENDENCYPART_ARC
(24,22),0.634286 # DEPENDENCYPART_ARC
(24,23),0.700085 # DEPENDENCYPART_ARC
(24,25),2.64486 # DEPENDENCYPART_ARC
(25,1),-2.2631 # DEPENDENCYPART_ARC
(25,2),-2.83101 # DEPENDENCYPART_ARC
(25,3),-2.30884 # DEPENDENCYPART_ARC
(25,4),-2.77524 # DEPENDENCYPART_ARC
(25,5),-2.70021 # DEPENDENCYPART_ARC
(25,6),-2.28787 # DEPENDENCYPART_ARC
(25,7),-2.3774 # DEPENDENCYPART_ARC
(25,8),-2.1615 # DEPENDENCYPART_ARC
(25,9),-2.21904 # DEPENDENCYPART_ARC
(25,10),-2.62455 # DEPENDENCYPART_ARC
(25,11),-2.69772 # DEPENDENCYPART_ARC
(25,12),-2.8185 # DEPENDENCYPART_ARC
(25,13),-2.77966 # DEPENDENCYPART_ARC
(25,14),-1.99561 # DEPENDENCYPART_ARC
(25,15),-2.42141 # DEPENDENCYPART_ARC
(25,16),-2.43052 # DEPENDENCYPART_ARC
(25,17),-2.09302 # DEPENDENCYPART_ARC
(25,18),-2.64244 # DEPENDENCYPART_ARC
(25,19),-2.05686 # DEPENDENCYPART_ARC
(25,20),-2.49215 # DEPENDENCYPART_ARC
(25,21),-1.42302 # DEPENDENCYPART_ARC
(25,22),-1.26871 # DEPENDENCYPART_ARC
(25,23),-1.46701 # DEPENDENCYPART_ARC
(25,24),-0.438871 # DEPENDENCYPART_ARC
