# _root_ E Pietro Pastorini ieri lacrimava la sua gioia con pudore , asciugando- si gli occhi come ci si asciuga il sudore , " perché oggi a me sembra di volare .
#goldHeads=5,3,5,5,0,8,8,5,5,9,10,5,12,15,12,12,19,19,16,21,19,21,24,5,28,28,26,24,28,29,30,
#predictedHeads=5,3,5,5,0,8,8,5,8,9,10,19,12,15,12,5,19,19,16,21,19,21,24,19,28,28,26,24,28,29,30,
(16,26),-0.658675 # DEPENDENCYPART_ARC
(16,27),-0.74292 # DEPENDENCYPART_ARC
(16,28),0.383383 # DEPENDENCYPART_ARC
(16,29),-1.0166 # DEPENDENCYPART_ARC
(16,30),-0.600916 # DEPENDENCYPART_ARC
(16,31),-0.472528 # DEPENDENCYPART_ARC
(17,1),-2.0779 # DEPENDENCYPART_ARC
(17,2),-2.68303 # DEPENDENCYPART_ARC
(17,3),-2.73003 # DEPENDENCYPART_ARC
(17,4),-2.02895 # DEPENDENCYPART_ARC
(17,5),-4.02329 # DEPENDENCYPART_ARC
(17,6),-1.38102 # DEPENDENCYPART_ARC
(17,7),-2.53433 # DEPENDENCYPART_ARC
(17,8),-2.6 # DEPENDENCYPART_ARC
(17,9),-1.91289 # DEPENDENCYPART_ARC
(17,10),-2.70035 # DEPENDENCYPART_ARC
(17,11),-2.0957 # DEPENDENCYPART_ARC
(17,12),-2.6103 # DEPENDENCYPART_ARC
(17,13),-1.38313 # DEPENDENCYPART_ARC
(17,14),-0.758409 # DEPENDENCYPART_ARC
(17,15),-1.82587 # DEPENDENCYPART_ARC
(17,16),0.20113 # DEPENDENCYPART_ARC
(17,18),-0.77924 # DEPENDENCYPART_ARC
(17,19),-0.402412 # DEPENDENCYPART_ARC
(17,20),-1.92521 # DEPENDENCYPART_ARC
(17,21),-1.32691 # DEPENDENCYPART_ARC
(17,22),-1.59656 # DEPENDENCYPART_ARC
(17,23),-1.98295 # DEPENDENCYPART_ARC
(17,24),-1.53403 # DEPENDENCYPART_ARC
(17,25),-2.44731 # DEPENDENCYPART_ARC
(17,26),-2.57052 # DEPENDENCYPART_ARC
(17,27),-2.27268 # DEPENDENCYPART_ARC
(17,28),-2.40437 # DEPENDENCYPART_ARC
(17,29),-2.45911 # DEPENDENCYPART_ARC
(17,30),-2.24718 # DEPENDENCYPART_ARC
(17,31),-2.52114 # DEPENDENCYPART_ARC
(18,1),-1.73951 # DEPENDENCYPART_ARC
(18,2),-2.04096 # DEPENDENCYPART_ARC
(18,3),-2.0705 # DEPENDENCYPART_ARC
(18,4),-1.83739 # DEPENDENCYPART_ARC
(18,5),-3.04976 # DEPENDENCYPART_ARC
(18,6),-0.763406 # DEPENDENCYPART_ARC
(18,7),-1.95538 # DEPENDENCYPART_ARC
(18,8),-2.3647 # DEPENDENCYPART_ARC
(18,9),-1.57216 # DEPENDENCYPART_ARC
(18,10),-2.75623 # DEPENDENCYPART_ARC
(18,11),-1.80497 # DEPENDENCYPART_ARC
(18,12),-2.24898 # DEPENDENCYPART_ARC
(18,13),-0.499401 # DEPENDENCYPART_ARC
(18,14),-1.66326 # DEPENDENCYPART_ARC
(18,15),-2.3643 # DEPENDENCYPART_ARC
(18,16),-0.416037 # DEPENDENCYPART_ARC
(18,17),-0.212605 # DEPENDENCYPART_ARC
(18,19),-0.0780854 # DEPENDENCYPART_ARC
(18,20),-1.41233 # DEPENDENCYPART_ARC
(18,21),-0.935604 # DEPENDENCYPART_ARC
(18,22),-0.681137 # DEPENDENCYPART_ARC
(18,23),-1.35656 # DEPENDENCYPART_ARC
(18,24),-0.964187 # DEPENDENCYPART_ARC
(18,25),-1.93639 # DEPENDENCYPART_ARC
(18,26),-2.26751 # DEPENDENCYPART_ARC
(18,27),-1.89476 # DEPENDENCYPART_ARC
(18,28),-2.68309 # DEPENDENCYPART_ARC
(18,29),-2.24402 # DEPENDENCYPART_ARC
(18,30),-2.63583 # DEPENDENCYPART_ARC
(18,31),-1.87224 # DEPENDENCYPART_ARC
(19,1),-0.312582 # DEPENDENCYPART_ARC
(19,2),-0.443428 # DEPENDENCYPART_ARC
(19,3),-0.455895 # DEPENDENCYPART_ARC
(19,4),-0.13677 # DEPENDENCYPART_ARC
(19,5),-2.18402 # DEPENDENCYPART_ARC
(19,6),-1.13709 # DEPENDENCYPART_ARC
(19,7),-0.29286 # DEPENDENCYPART_ARC
(19,8),-0.221932 # DEPENDENCYPART_ARC
(19,9),-0.225499 # DEPENDENCYPART_ARC
(19,10),-0.860303 # DEPENDENCYPART_ARC
(19,11),-2.10383 # DEPENDENCYPART_ARC
(19,12),1.45225 # DEPENDENCYPART_ARC
(19,13),0.814093 # DEPENDENCYPART_ARC
(19,14),-0.39657 # DEPENDENCYPART_ARC
(19,15),-0.162471 # DEPENDENCYPART_ARC
(19,16),0.452266 # DEPENDENCYPART_ARC
(19,17),1.34699 # DEPENDENCYPART_ARC
(19,18),4.28014 # DEPENDENCYPART_ARC
(19,20),-0.258216 # DEPENDENCYPART_ARC
(19,21),2.47106 # DEPENDENCYPART_ARC
(19,22),0.823159 # DEPENDENCYPART_ARC
(19,23),-0.154006 # DEPENDENCYPART_ARC
(19,24),1.29653 # DEPENDENCYPART_ARC
(19,25),-0.230544 # DEPENDENCYPART_ARC
(19,26),0.455405 # DEPENDENCYPART_ARC
(19,27),-1.11774 # DEPENDENCYPART_ARC
(19,28),1.31794 # DEPENDENCYPART_ARC
(19,29),-0.286598 # DEPENDENCYPART_ARC
(19,30),0.69382 # DEPENDENCYPART_ARC
(19,31),-1.02004 # DEPENDENCYPART_ARC
(20,1),-2.42201 # DEPENDENCYPART_ARC
(20,2),-3.02048 # DEPENDENCYPART_ARC
(20,3),-3.01232 # DEPENDENCYPART_ARC
(20,4),-2.48077 # DEPENDENCYPART_ARC
(20,5),-3.31889 # DEPENDENCYPART_ARC
(20,6),-2.28691 # DEPENDENCYPART_ARC
(20,7),-2.49719 # DEPENDENCYPART_ARC
(20,8),-3.02947 # DEPENDENCYPART_ARC
(20,9),-2.42825 # DEPENDENCYPART_ARC
(20,10),-2.60886 # DEPENDENCYPART_ARC
(20,11),-2.08902 # DEPENDENCYPART_ARC
(20,12),-2.81211 # DEPENDENCYPART_ARC
(20,13),-2.03088 # DEPENDENCYPART_ARC
(20,14),-1.74767 # DEPENDENCYPART_ARC
(20,15),-2.38317 # DEPENDENCYPART_ARC
(20,16),-1.9811 # DEPENDENCYPART_ARC
(20,17),-1.41443 # DEPENDENCYPART_ARC
(20,18),-1.16343 # DEPENDENCYPART_ARC
(20,19),-0.978098 # DEPENDENCYPART_ARC
(20,21),0.957983 # DEPENDENCYPART_ARC
(20,22),-0.453872 # DEPENDENCYPART_ARC
(20,23),-0.660216 # DEPENDENCYPART_ARC
(20,24),-0.611191 # DEPENDENCYPART_ARC
(20,25),-1.12391 # DEPENDENCYPART_ARC
(20,26),-0.817447 # DEPENDENCYPART_ARC
(20,27),-1.88267 # DEPENDENCYPART_ARC
(20,28),-0.962007 # DEPENDENCYPART_ARC
(20,29),-1.04546 # DEPENDENCYPART_ARC
(20,30),-1.27604 # DEPENDENCYPART_ARC
(20,31),-1.23822 # DEPENDENCYPART_ARC
(21,1),-1.87315 # DEPENDENCYPART_ARC
(21,2),-1.70104 # DEPENDENCYPART_ARC
(21,3),-2.37941 # DEPENDENCYPART_ARC
(21,4),-1.55118 # DEPENDENCYPART_ARC
(21,5),-2.48628 # DEPENDENCYPART_ARC
(21,6),-2.35196 # DEPENDENCYPART_ARC
(21,7),-0.933291 # DEPENDENCYPART_ARC
(21,8),-3.05042 # DEPENDENCYPART_ARC
(21,9),-0.793564 # DEPENDENCYPART_ARC
(21,10),-2.33161 # DEPENDENCYPART_ARC
(21,11),-2.53782 # DEPENDENCYPART_ARC
(21,12),-1.55018 # DEPENDENCYPART_ARC
(21,13),-0.532601 # DEPENDENCYPART_ARC
(21,14),-0.306143 # DEPENDENCYPART_ARC
(21,15),-1.69331 # DEPENDENCYPART_ARC
(21,16),-0.741422 # DEPENDENCYPART_ARC
(21,17),-0.407208 # DEPENDENCYPART_ARC
(21,18),0.31308 # DEPENDENCYPART_ARC
(21,19),-0.266714 # DEPENDENCYPART_ARC
(21,20),3.40585 # DEPENDENCYPART_ARC
(21,22),2.42679 # DEPENDENCYPART_ARC
(21,23),-0.152786 # DEPENDENCYPART_ARC
(21,24),0.280558 # DEPENDENCYPART_ARC
(21,25),-0.270519 # DEPENDENCYPART_ARC
(21,26),-0.75851 # DEPENDENCYPART_ARC
(21,27),-0.473246 # DEPENDENCYPART_ARC
(21,28),0.452631 # DEPENDENCYPART_ARC
(21,29),-0.761863 # DEPENDENCYPART_ARC
(21,30),-0.672344 # DEPENDENCYPART_ARC
(21,31),-1.08041 # DEPENDENCYPART_ARC
(22,1),-2.48395 # DEPENDENCYPART_ARC
(22,2),-2.84741 # DEPENDENCYPART_ARC
(22,3),-2.78494 # DEPENDENCYPART_ARC
(22,4),-2.61127 # DEPENDENCYPART_ARC
(22,5),-3.03027 # DEPENDENCYPART_ARC
(22,6),-2.23071 # DEPENDENCYPART_ARC
(22,7),-2.6921 # DEPENDENCYPART_ARC
(22,8),-2.80531 # DEPENDENCYPART_ARC
(22,9),-2.11678 # DEPENDENCYPART_ARC
(22,10),-2.73441 # DEPENDENCYPART_ARC
(22,11),-2.40909 # DEPENDENCYPART_ARC
(22,12),-2.95925 # DEPENDENCYPART_ARC
(22,13),-2.27388 # DEPENDENCYPART_ARC
(22,14),-2.10403 # DEPENDENCYPART_ARC
(22,15),-2.5162 # DEPENDENCYPART_ARC
(22,16),-2.02392 # DEPENDENCYPART_ARC
(22,17),-2.06271 # DEPENDENCYPART_ARC
(22,18),-1.94354 # DEPENDENCYPART_ARC
(22,19),-2.20931 # DEPENDENCYPART_ARC
(22,20),-0.698984 # DEPENDENCYPART_ARC
(22,21),-0.846223 # DEPENDENCYPART_ARC
(22,23),-0.472403 # DEPENDENCYPART_ARC
(22,24),-1.75549 # DEPENDENCYPART_ARC
(22,25),-1.92105 # DEPENDENCYPART_ARC
(22,26),-2.00635 # DEPENDENCYPART_ARC
(22,27),-2.09778 # DEPENDENCYPART_ARC
(22,28),-1.86536 # DEPENDENCYPART_ARC
(22,29),-2.38663 # DEPENDENCYPART_ARC
(22,30),-2.13979 # DEPENDENCYPART_ARC
(22,31),-1.29917 # DEPENDENCYPART_ARC
(23,1),-2.09564 # DEPENDENCYPART_ARC
(23,2),-2.53789 # DEPENDENCYPART_ARC
(23,3),-2.43494 # DEPENDENCYPART_ARC
(23,4),-2.14795 # DEPENDENCYPART_ARC
(23,5),-2.64889 # DEPENDENCYPART_ARC
(23,6),-1.79446 # DEPENDENCYPART_ARC
(23,7),-2.29074 # DEPENDENCYPART_ARC
(23,8),-2.36552 # DEPENDENCYPART_ARC
(23,9),-1.88681 # DEPENDENCYPART_ARC
(23,10),-2.26501 # DEPENDENCYPART_ARC
(23,11),-1.78397 # DEPENDENCYPART_ARC
(23,12),-2.61721 # DEPENDENCYPART_ARC
(23,13),-1.92559 # DEPENDENCYPART_ARC
(23,14),-1.68479 # DEPENDENCYPART_ARC
(23,15),-2.18762 # DEPENDENCYPART_ARC
(23,16),-1.63629 # DEPENDENCYPART_ARC
(23,17),-1.76789 # DEPENDENCYPART_ARC
(23,18),-1.67056 # DEPENDENCYPART_ARC
(23,19),-2.14575 # DEPENDENCYPART_ARC
(23,20),-0.648959 # DEPENDENCYPART_ARC
(23,21),-1.2851 # DEPENDENCYPART_ARC
(23,22),0.354768 # DEPENDENCYPART_ARC
(23,24),-1.08193 # DEPENDENCYPART_ARC
(23,25),-1.75018 # DEPENDENCYPART_ARC
(23,26),-1.95174 # DEPENDENCYPART_ARC
(23,27),-2.03213 # DEPENDENCYPART_ARC
(23,28),-1.87425 # DEPENDENCYPART_ARC
(23,29),-2.4588 # DEPENDENCYPART_ARC
(23,30),-2.19532 # DEPENDENCYPART_ARC
(23,31),-1.04833 # DEPENDENCYPART_ARC
(24,1),-1.21911 # DEPENDENCYPART_ARC
(24,2),-2.18196 # DEPENDENCYPART_ARC
(24,3),-2.11802 # DEPENDENCYPART_ARC
(24,4),-1.13778 # DEPENDENCYPART_ARC
(24,5),-1.91628 # DEPENDENCYPART_ARC
(24,6),-1.19274 # DEPENDENCYPART_ARC
(24,7),-1.62321 # DEPENDENCYPART_ARC
(24,8),-1.86946 # DEPENDENCYPART_ARC
(24,9),-1.37916 # DEPENDENCYPART_ARC
(24,10),-1.82413 # DEPENDENCYPART_ARC
(24,11),-1.24044 # DEPENDENCYPART_ARC
(24,12),-1.87327 # DEPENDENCYPART_ARC
(24,13),-0.80597 # DEPENDENCYPART_ARC
(24,14),-1.07719 # DEPENDENCYPART_ARC
(24,15),-1.60099 # DEPENDENCYPART_ARC
(24,16),-0.812594 # DEPENDENCYPART_ARC
(24,17),-0.590534 # DEPENDENCYPART_ARC
(24,18),-0.698763 # DEPENDENCYPART_ARC
(24,19),-1.58265 # DEPENDENCYPART_ARC
(24,20),-0.528836 # DEPENDENCYPART_ARC
(24,21),-0.738736 # DEPENDENCYPART_ARC
(24,22),-0.0975276 # DEPENDENCYPART_ARC
(24,23),1.32193 # DEPENDENCYPART_ARC
(24,25),0.570972 # DEPENDENCYPART_ARC
(24,26),0.197326 # DEPENDENCYPART_ARC
(24,27),-0.130988 # DEPENDENCYPART_ARC
(24,28),1.99903 # DEPENDENCYPART_ARC
(24,29),-0.437807 # DEPENDENCYPART_ARC
(24,30),1.02237 # DEPENDENCYPART_ARC
(24,31),0.159848 # DEPENDENCYPART_ARC
(25,1),-2.49533 # DEPENDENCYPART_ARC
(25,2),-3.32775 # DEPENDENCYPART_ARC
(25,3),-3.30693 # DEPENDENCYPART_ARC
(25,4),-2.21349 # DEPENDENCYPART_ARC
(25,5),-3.12649 # DEPENDENCYPART_ARC
(25,6),-1.97051 # DEPENDENCYPART_ARC
(25,7),-2.52229 # DEPENDENCYPART_ARC
(25,8),-3.05159 # DEPENDENCYPART_ARC
(25,9),-2.04159 # DEPENDENCYPART_ARC
(25,10),-3.05291 # DEPENDENCYPART_ARC
(25,11),-2.65294 # DEPENDENCYPART_ARC
(25,12),-2.97448 # DEPENDENCYPART_ARC
(25,13),-2.35547 # DEPENDENCYPART_ARC
(25,14),-1.97919 # DEPENDENCYPART_ARC
(25,15),-2.86367 # DEPENDENCYPART_ARC
(25,16),-1.98738 # DEPENDENCYPART_ARC
(25,17),-2.2493 # DEPENDENCYPART_ARC
(25,18),-2.1556 # DEPENDENCYPART_ARC
(25,19),-2.78863 # DEPENDENCYPART_ARC
(25,20),-1.44354 # DEPENDENCYPART_ARC
(25,21),-2.40718 # DEPENDENCYPART_ARC
(25,22),-1.63213 # DEPENDENCYPART_ARC
(25,23),-0.736113 # DEPENDENCYPART_ARC
(25,24),0.0287536 # DEPENDENCYPART_ARC
(25,26),0.807699 # DEPENDENCYPART_ARC
(25,27),0.0136801 # DEPENDENCYPART_ARC
(25,28),0.205456 # DEPENDENCYPART_ARC
(25,29),-0.470733 # DEPENDENCYPART_ARC
(25,30),-0.114304 # DEPENDENCYPART_ARC
(25,31),-0.680935 # DEPENDENCYPART_ARC
(26,1),-2.1495 # DEPENDENCYPART_ARC
(26,2),-2.36387 # DEPENDENCYPART_ARC
(26,3),-2.41362 # DEPENDENCYPART_ARC
(26,4),-1.90417 # DEPENDENCYPART_ARC
(26,5),-2.5087 # DEPENDENCYPART_ARC
(26,6),-1.85463 # DEPENDENCYPART_ARC
(26,7),-2.14841 # DEPENDENCYPART_ARC
(26,8),-2.22986 # DEPENDENCYPART_ARC
(26,9),-1.80751 # DEPENDENCYPART_ARC
(26,10),-2.13752 # DEPENDENCYPART_ARC
(26,11),-2.05653 # DEPENDENCYPART_ARC
(26,12),-2.48522 # DEPENDENCYPART_ARC
(26,13),-1.7175 # DEPENDENCYPART_ARC
(26,14),-1.7433 # DEPENDENCYPART_ARC
(26,15),-2.13556 # DEPENDENCYPART_ARC
(26,16),-1.10252 # DEPENDENCYPART_ARC
(26,17),-1.6572 # DEPENDENCYPART_ARC
(26,18),-1.6171 # DEPENDENCYPART_ARC
(26,19),-2.12006 # DEPENDENCYPART_ARC
(26,20),-1.4549 # DEPENDENCYPART_ARC
(26,21),-1.58922 # DEPENDENCYPART_ARC
(26,22),-1.4218 # DEPENDENCYPART_ARC
(26,23),-0.870677 # DEPENDENCYPART_ARC
(26,24),-0.342625 # DEPENDENCYPART_ARC
(26,25),0.997138 # DEPENDENCYPART_ARC
(26,27),3.43678 # DEPENDENCYPART_ARC
(26,28),0.751062 # DEPENDENCYPART_ARC
(26,29),-0.04665 # DEPENDENCYPART_ARC
(26,30),0.0383464 # DEPENDENCYPART_ARC
(26,31),-0.67139 # DEPENDENCYPART_ARC
(27,1),-2.63568 # DEPENDENCYPART_ARC
(27,2),-2.89778 # DEPENDENCYPART_ARC
(27,3),-2.86041 # DEPENDENCYPART_ARC
(27,4),-2.68685 # DEPENDENCYPART_ARC
(27,5),-4.10347 # DEPENDENCYPART_ARC
(27,6),-1.3713 # DEPENDENCYPART_ARC
(27,7),-2.47043 # DEPENDENCYPART_ARC
(27,8),-2.5775 # DEPENDENCYPART_ARC
(27,9),-2.5001 # DEPENDENCYPART_ARC
(27,10),-2.79121 # DEPENDENCYPART_ARC
(27,11),-2.70735 # DEPENDENCYPART_ARC
(27,12),-3.28023 # DEPENDENCYPART_ARC
(27,13),-2.13602 # DEPENDENCYPART_ARC
(27,14),-2.42824 # DEPENDENCYPART_ARC
(27,15),-3.39279 # DEPENDENCYPART_ARC
(27,16),-2.12428 # DEPENDENCYPART_ARC
(27,17),-2.89698 # DEPENDENCYPART_ARC
(27,18),-1.99605 # DEPENDENCYPART_ARC
(27,19),-3.78965 # DEPENDENCYPART_ARC
(27,20),-1.44701 # DEPENDENCYPART_ARC
(27,21),-2.45234 # DEPENDENCYPART_ARC
(27,22),-2.22977 # DEPENDENCYPART_ARC
(27,23),-1.60185 # DEPENDENCYPART_ARC
(27,24),-1.35513 # DEPENDENCYPART_ARC
(27,25),-0.926902 # DEPENDENCYPART_ARC
(27,26),-0.17372 # DEPENDENCYPART_ARC
(27,28),0.512477 # DEPENDENCYPART_ARC
(27,29),-0.649759 # DEPENDENCYPART_ARC
(27,30),-0.987712 # DEPENDENCYPART_ARC
(27,31),-1.23557 # DEPENDENCYPART_ARC
(28,1),-0.202541 # DEPENDENCYPART_ARC
(28,2),-2.32074 # DEPENDENCYPART_ARC
(28,3),-2.28463 # DEPENDENCYPART_ARC
(28,4),-0.535756 # DEPENDENCYPART_ARC
(28,5),-2.56374 # DEPENDENCYPART_ARC
(28,6),-1.1434 # DEPENDENCYPART_ARC
(28,7),-0.327401 # DEPENDENCYPART_ARC
(28,8),-1.51105 # DEPENDENCYPART_ARC
(28,9),-0.859741 # DEPENDENCYPART_ARC
(28,10),-2.23081 # DEPENDENCYPART_ARC
(28,11),-2.27287 # DEPENDENCYPART_ARC
(28,12),0.274916 # DEPENDENCYPART_ARC
(28,13),-0.074782 # DEPENDENCYPART_ARC
(28,14),-0.786106 # DEPENDENCYPART_ARC
(28,15),-1.43643 # DEPENDENCYPART_ARC
(28,16),0.167276 # DEPENDENCYPART_ARC
(28,17),-0.0299167 # DEPENDENCYPART_ARC
(28,18),1.60671 # DEPENDENCYPART_ARC
(28,19),-0.102526 # DEPENDENCYPART_ARC
(28,20),-0.690653 # DEPENDENCYPART_ARC
(28,21),0.262131 # DEPENDENCYPART_ARC
(28,22),-1.47214 # DEPENDENCYPART_ARC
(28,23),-0.36274 # DEPENDENCYPART_ARC
(28,24),1.08989 # DEPENDENCYPART_ARC
(28,25),1.73038 # DEPENDENCYPART_ARC
(28,26),2.50674 # DEPENDENCYPART_ARC
(28,27),2.73011 # DEPENDENCYPART_ARC
(28,29),2.71748 # DEPENDENCYPART_ARC
(28,30),2.06996 # DEPENDENCYPART_ARC
(28,31),0.705388 # DEPENDENCYPART_ARC
(29,1),-2.73002 # DEPENDENCYPART_ARC
(29,2),-3.01806 # DEPENDENCYPART_ARC
(29,3),-2.94737 # DEPENDENCYPART_ARC
(29,4),-2.84559 # DEPENDENCYPART_ARC
(29,5),-3.31311 # DEPENDENCYPART_ARC
(29,6),-2.78705 # DEPENDENCYPART_ARC
(29,7),-3.07861 # DEPENDENCYPART_ARC
(29,8),-2.99708 # DEPENDENCYPART_ARC
(29,9),-2.61316 # DEPENDENCYPART_ARC
(29,10),-2.74216 # DEPENDENCYPART_ARC
(29,11),-2.9644 # DEPENDENCYPART_ARC
(29,12),-3.17082 # DEPENDENCYPART_ARC
(29,13),-2.62674 # DEPENDENCYPART_ARC
(29,14),-2.57245 # DEPENDENCYPART_ARC
(29,15),-2.79215 # DEPENDENCYPART_ARC
(29,16),-1.73152 # DEPENDENCYPART_ARC
(29,17),-2.54123 # DEPENDENCYPART_ARC
(29,18),-2.58194 # DEPENDENCYPART_ARC
(29,19),-3.07424 # DEPENDENCYPART_ARC
(29,20),-2.39552 # DEPENDENCYPART_ARC
(29,21),-2.53577 # DEPENDENCYPART_ARC
(29,22),-2.60942 # DEPENDENCYPART_ARC
(29,23),-2.5371 # DEPENDENCYPART_ARC
(29,24),-1.86009 # DEPENDENCYPART_ARC
(29,25),-1.71246 # DEPENDENCYPART_ARC
(29,26),-1.31517 # DEPENDENCYPART_ARC
(29,27),-1.44866 # DEPENDENCYPART_ARC
(29,28),-0.796779 # DEPENDENCYPART_ARC
(29,30),3.72731 # DEPENDENCYPART_ARC
(29,31),0.289068 # DEPENDENCYPART_ARC
(30,1),-2.72077 # DEPENDENCYPART_ARC
(30,2),-3.24455 # DEPENDENCYPART_ARC
(30,3),-3.21034 # DEPENDENCYPART_ARC
(30,4),-1.70893 # DEPENDENCYPART_ARC
(30,5),-3.43027 # DEPENDENCYPART_ARC
(30,6),-1.88078 # DEPENDENCYPART_ARC
(30,7),-1.63575 # DEPENDENCYPART_ARC
(30,8),-3.66177 # DEPENDENCYPART_ARC
(30,9),-3.16015 # DEPENDENCYPART_ARC
(30,10),-3.76737 # DEPENDENCYPART_ARC
(30,11),-3.27498 # DEPENDENCYPART_ARC
(30,12),-2.15957 # DEPENDENCYPART_ARC
(30,13),-2.81107 # DEPENDENCYPART_ARC
(30,14),-1.397 # DEPENDENCYPART_ARC
(30,15),-2.14519 # DEPENDENCYPART_ARC
(30,16),-1.19182 # DEPENDENCYPART_ARC
(30,17),-0.930739 # DEPENDENCYPART_ARC
(30,18),-1.36146 # DEPENDENCYPART_ARC
(30,19),-2.17548 # DEPENDENCYPART_ARC
(30,20),-1.3993 # DEPENDENCYPART_ARC
(30,21),-1.40962 # DEPENDENCYPART_ARC
(30,22),-2.7663 # DEPENDENCYPART_ARC
(30,23),-1.84985 # DEPENDENCYPART_ARC
(30,24),-0.422739 # DEPENDENCYPART_ARC
(30,25),-0.31353 # DEPENDENCYPART_ARC
(30,26),-0.00341811 # DEPENDENCYPART_ARC
(30,27),0.802868 # DEPENDENCYPART_ARC
(30,28),0.578323 # DEPENDENCYPART_ARC
(30,29),0.563277 # DEPENDENCYPART_ARC
(30,31),2.11384 # DEPENDENCYPART_ARC
(31,1),-2.53613 # DEPENDENCYPART_ARC
(31,2),-2.97181 # DEPENDENCYPART_ARC
(31,3),-2.9699 # DEPENDENCYPART_ARC
(31,4),-2.79186 # DEPENDENCYPART_ARC
(31,5),-3.27484 # DEPENDENCYPART_ARC
(31,6),-2.51413 # DEPENDENCYPART_ARC
(31,7),-2.88493 # DEPENDENCYPART_ARC
(31,8),-3.05593 # DEPENDENCYPART_ARC
(31,9),-2.54281 # DEPENDENCYPART_ARC
(31,10),-3.04084 # DEPENDENCYPART_ARC
(31,11),-2.58431 # DEPENDENCYPART_ARC
(31,12),-3.1518 # DEPENDENCYPART_ARC
(31,13),-2.59843 # DEPENDENCYPART_ARC
(31,14),-2.401 # DEPENDENCYPART_ARC
(31,15),-2.90107 # DEPENDENCYPART_ARC
(31,16),-2.40072 # DEPENDENCYPART_ARC
(31,17),-2.63224 # DEPENDENCYPART_ARC
(31,18),-2.47442 # DEPENDENCYPART_ARC
(31,19),-3.04105 # DEPENDENCYPART_ARC
(31,20),-2.19644 # DEPENDENCYPART_ARC
(31,21),-2.71451 # DEPENDENCYPART_ARC
(31,22),-2.32853 # DEPENDENCYPART_ARC
(31,23),-2.43983 # DEPENDENCYPART_ARC
(31,24),-2.075 # DEPENDENCYPART_ARC
(31,25),-2.27307 # DEPENDENCYPART_ARC
(31,26),-1.84925 # DEPENDENCYPART_ARC
(31,27),-2.01626 # DEPENDENCYPART_ARC
(31,28),-2.37079 # DEPENDENCYPART_ARC
(31,29),-1.25206 # DEPENDENCYPART_ARC
(31,30),-0.834025 # DEPENDENCYPART_ARC
