# _root_ A sfogliare le pagine del nuovo libro di Ghezzi , che raccoglie i suoi testi critici dal 1974 ( al 2001 ... ) , sotto il titolo Paura e desiderio .
#goldHeads=0,1,4,2,4,7,5,7,8,9,12,5,15,15,12,15,15,17,20,15,20,21,22,23,12,27,25,27,28,29,30,
#predictedHeads=20,1,4,2,4,7,5,7,8,9,12,0,15,15,12,15,12,17,20,17,20,21,22,23,12,27,25,27,28,27,30,
(16,26),-0.744601 # DEPENDENCYPART_ARC
(16,27),-0.444471 # DEPENDENCYPART_ARC
(16,28),-0.666891 # DEPENDENCYPART_ARC
(16,29),0.136048 # DEPENDENCYPART_ARC
(16,30),-0.441758 # DEPENDENCYPART_ARC
(16,31),-0.855809 # DEPENDENCYPART_ARC
(17,1),-1.83635 # DEPENDENCYPART_ARC
(17,2),-2.69452 # DEPENDENCYPART_ARC
(17,3),-2.12783 # DEPENDENCYPART_ARC
(17,4),-2.99428 # DEPENDENCYPART_ARC
(17,5),-1.9898 # DEPENDENCYPART_ARC
(17,6),-2.36399 # DEPENDENCYPART_ARC
(17,7),-2.57631 # DEPENDENCYPART_ARC
(17,8),-1.62973 # DEPENDENCYPART_ARC
(17,9),-2.72375 # DEPENDENCYPART_ARC
(17,10),-1.88025 # DEPENDENCYPART_ARC
(17,11),-1.87064 # DEPENDENCYPART_ARC
(17,12),-2.43631 # DEPENDENCYPART_ARC
(17,13),-1.11074 # DEPENDENCYPART_ARC
(17,14),-1.51192 # DEPENDENCYPART_ARC
(17,15),-1.50544 # DEPENDENCYPART_ARC
(17,16),-0.310568 # DEPENDENCYPART_ARC
(17,18),1.73665 # DEPENDENCYPART_ARC
(17,19),0.653595 # DEPENDENCYPART_ARC
(17,20),0.89125 # DEPENDENCYPART_ARC
(17,21),0.424404 # DEPENDENCYPART_ARC
(17,22),-0.0556516 # DEPENDENCYPART_ARC
(17,23),0.149108 # DEPENDENCYPART_ARC
(17,24),1.31149 # DEPENDENCYPART_ARC
(17,25),-0.21505 # DEPENDENCYPART_ARC
(17,26),-0.965999 # DEPENDENCYPART_ARC
(17,27),-0.769518 # DEPENDENCYPART_ARC
(17,28),-1.58194 # DEPENDENCYPART_ARC
(17,29),0.270486 # DEPENDENCYPART_ARC
(17,30),-2.45055 # DEPENDENCYPART_ARC
(17,31),-0.195198 # DEPENDENCYPART_ARC
(18,1),-2.37921 # DEPENDENCYPART_ARC
(18,2),-2.5676 # DEPENDENCYPART_ARC
(18,3),-1.4926 # DEPENDENCYPART_ARC
(18,4),-2.68658 # DEPENDENCYPART_ARC
(18,5),-1.91716 # DEPENDENCYPART_ARC
(18,6),-1.81256 # DEPENDENCYPART_ARC
(18,7),-2.58294 # DEPENDENCYPART_ARC
(18,8),-1.6962 # DEPENDENCYPART_ARC
(18,9),-2.42781 # DEPENDENCYPART_ARC
(18,10),-1.80694 # DEPENDENCYPART_ARC
(18,11),-1.64981 # DEPENDENCYPART_ARC
(18,12),-2.22805 # DEPENDENCYPART_ARC
(18,13),-0.848571 # DEPENDENCYPART_ARC
(18,14),-1.2306 # DEPENDENCYPART_ARC
(18,15),-1.54556 # DEPENDENCYPART_ARC
(18,16),-0.479565 # DEPENDENCYPART_ARC
(18,17),0.303147 # DEPENDENCYPART_ARC
(18,19),1.48518 # DEPENDENCYPART_ARC
(18,20),0.0452307 # DEPENDENCYPART_ARC
(18,21),0.436871 # DEPENDENCYPART_ARC
(18,22),0.617927 # DEPENDENCYPART_ARC
(18,23),0.0814739 # DEPENDENCYPART_ARC
(18,24),0.604896 # DEPENDENCYPART_ARC
(18,25),-0.793617 # DEPENDENCYPART_ARC
(18,26),-0.383447 # DEPENDENCYPART_ARC
(18,27),-0.515335 # DEPENDENCYPART_ARC
(18,28),-0.428735 # DEPENDENCYPART_ARC
(18,29),-0.244071 # DEPENDENCYPART_ARC
(18,30),-0.502393 # DEPENDENCYPART_ARC
(18,31),-0.431535 # DEPENDENCYPART_ARC
(19,1),-1.85579 # DEPENDENCYPART_ARC
(19,2),-2.62173 # DEPENDENCYPART_ARC
(19,3),-1.81313 # DEPENDENCYPART_ARC
(19,4),-2.36806 # DEPENDENCYPART_ARC
(19,5),-1.89872 # DEPENDENCYPART_ARC
(19,6),-2.17003 # DEPENDENCYPART_ARC
(19,7),-2.25313 # DEPENDENCYPART_ARC
(19,8),-1.83439 # DEPENDENCYPART_ARC
(19,9),-2.24329 # DEPENDENCYPART_ARC
(19,10),-1.92067 # DEPENDENCYPART_ARC
(19,11),-1.86491 # DEPENDENCYPART_ARC
(19,12),-2.3382 # DEPENDENCYPART_ARC
(19,13),-1.40798 # DEPENDENCYPART_ARC
(19,14),-1.83118 # DEPENDENCYPART_ARC
(19,15),-1.73947 # DEPENDENCYPART_ARC
(19,16),-1.38734 # DEPENDENCYPART_ARC
(19,17),-0.694143 # DEPENDENCYPART_ARC
(19,18),0.0253801 # DEPENDENCYPART_ARC
(19,20),-0.85623 # DEPENDENCYPART_ARC
(19,21),-1.08616 # DEPENDENCYPART_ARC
(19,22),-0.402079 # DEPENDENCYPART_ARC
(19,23),-0.514119 # DEPENDENCYPART_ARC
(19,24),-0.664433 # DEPENDENCYPART_ARC
(19,25),-1.9921 # DEPENDENCYPART_ARC
(19,26),-1.75868 # DEPENDENCYPART_ARC
(19,27),-1.88096 # DEPENDENCYPART_ARC
(19,28),-1.92809 # DEPENDENCYPART_ARC
(19,29),-1.63952 # DEPENDENCYPART_ARC
(19,30),-1.94719 # DEPENDENCYPART_ARC
(19,31),-1.00961 # DEPENDENCYPART_ARC
(20,1),-0.45647 # DEPENDENCYPART_ARC
(20,2),-1.28445 # DEPENDENCYPART_ARC
(20,3),-0.68348 # DEPENDENCYPART_ARC
(20,4),-1.73852 # DEPENDENCYPART_ARC
(20,5),-0.747272 # DEPENDENCYPART_ARC
(20,6),-0.97727 # DEPENDENCYPART_ARC
(20,7),-1.25003 # DEPENDENCYPART_ARC
(20,8),-0.418618 # DEPENDENCYPART_ARC
(20,9),-1.51801 # DEPENDENCYPART_ARC
(20,10),-0.736108 # DEPENDENCYPART_ARC
(20,11),-0.592879 # DEPENDENCYPART_ARC
(20,12),-1.24102 # DEPENDENCYPART_ARC
(20,13),-0.0301149 # DEPENDENCYPART_ARC
(20,14),-0.643075 # DEPENDENCYPART_ARC
(20,15),-0.774139 # DEPENDENCYPART_ARC
(20,16),-0.428942 # DEPENDENCYPART_ARC
(20,17),0.507285 # DEPENDENCYPART_ARC
(20,18),0.448456 # DEPENDENCYPART_ARC
(20,19),2.22672 # DEPENDENCYPART_ARC
(20,21),1.5135 # DEPENDENCYPART_ARC
(20,22),0.00828758 # DEPENDENCYPART_ARC
(20,23),-0.194722 # DEPENDENCYPART_ARC
(20,24),0.441105 # DEPENDENCYPART_ARC
(20,25),-0.683912 # DEPENDENCYPART_ARC
(20,26),-1.18137 # DEPENDENCYPART_ARC
(20,27),-0.625935 # DEPENDENCYPART_ARC
(20,28),-1.2844 # DEPENDENCYPART_ARC
(20,29),-0.177046 # DEPENDENCYPART_ARC
(20,30),-2.10431 # DEPENDENCYPART_ARC
(20,31),-0.89214 # DEPENDENCYPART_ARC
(21,1),-2.45585 # DEPENDENCYPART_ARC
(21,2),-2.41366 # DEPENDENCYPART_ARC
(21,3),-1.39195 # DEPENDENCYPART_ARC
(21,4),-2.5915 # DEPENDENCYPART_ARC
(21,5),-2.06492 # DEPENDENCYPART_ARC
(21,6),-1.8237 # DEPENDENCYPART_ARC
(21,7),-2.59543 # DEPENDENCYPART_ARC
(21,8),-1.80811 # DEPENDENCYPART_ARC
(21,9),-2.4616 # DEPENDENCYPART_ARC
(21,10),-1.85605 # DEPENDENCYPART_ARC
(21,11),-1.70616 # DEPENDENCYPART_ARC
(21,12),-2.25934 # DEPENDENCYPART_ARC
(21,13),-1.06824 # DEPENDENCYPART_ARC
(21,14),-1.41149 # DEPENDENCYPART_ARC
(21,15),-2.10686 # DEPENDENCYPART_ARC
(21,16),-1.27298 # DEPENDENCYPART_ARC
(21,17),-1.222 # DEPENDENCYPART_ARC
(21,18),-0.47335 # DEPENDENCYPART_ARC
(21,19),-0.182345 # DEPENDENCYPART_ARC
(21,20),0.4276 # DEPENDENCYPART_ARC
(21,22),1.79327 # DEPENDENCYPART_ARC
(21,23),0.640227 # DEPENDENCYPART_ARC
(21,24),0.595894 # DEPENDENCYPART_ARC
(21,25),-0.446247 # DEPENDENCYPART_ARC
(21,26),-0.306307 # DEPENDENCYPART_ARC
(21,27),-0.333725 # DEPENDENCYPART_ARC
(21,28),-0.328841 # DEPENDENCYPART_ARC
(21,29),0.000857667 # DEPENDENCYPART_ARC
(21,30),-0.389169 # DEPENDENCYPART_ARC
(21,31),-0.153789 # DEPENDENCYPART_ARC
(22,1),-2.18606 # DEPENDENCYPART_ARC
(22,2),-2.86195 # DEPENDENCYPART_ARC
(22,3),-2.00535 # DEPENDENCYPART_ARC
(22,4),-2.58249 # DEPENDENCYPART_ARC
(22,5),-2.07034 # DEPENDENCYPART_ARC
(22,6),-2.52773 # DEPENDENCYPART_ARC
(22,7),-2.57905 # DEPENDENCYPART_ARC
(22,8),-2.11358 # DEPENDENCYPART_ARC
(22,9),-2.48281 # DEPENDENCYPART_ARC
(22,10),-2.16012 # DEPENDENCYPART_ARC
(22,11),-2.24224 # DEPENDENCYPART_ARC
(22,12),-2.70962 # DEPENDENCYPART_ARC
(22,13),-1.78543 # DEPENDENCYPART_ARC
(22,14),-2.29515 # DEPENDENCYPART_ARC
(22,15),-2.21818 # DEPENDENCYPART_ARC
(22,16),-2.18939 # DEPENDENCYPART_ARC
(22,17),-1.5203 # DEPENDENCYPART_ARC
(22,18),-1.68582 # DEPENDENCYPART_ARC
(22,19),-1.25108 # DEPENDENCYPART_ARC
(22,20),-0.909011 # DEPENDENCYPART_ARC
(22,21),-0.189654 # DEPENDENCYPART_ARC
(22,23),1.70569 # DEPENDENCYPART_ARC
(22,24),0.657706 # DEPENDENCYPART_ARC
(22,25),-1.11568 # DEPENDENCYPART_ARC
(22,26),-1.13781 # DEPENDENCYPART_ARC
(22,27),-1.23677 # DEPENDENCYPART_ARC
(22,28),-1.34902 # DEPENDENCYPART_ARC
(22,29),-1.20336 # DEPENDENCYPART_ARC
(22,30),-1.44413 # DEPENDENCYPART_ARC
(22,31),-0.0382908 # DEPENDENCYPART_ARC
(23,1),-2.17152 # DEPENDENCYPART_ARC
(23,2),-2.88596 # DEPENDENCYPART_ARC
(23,3),-2.03774 # DEPENDENCYPART_ARC
(23,4),-2.49391 # DEPENDENCYPART_ARC
(23,5),-2.05271 # DEPENDENCYPART_ARC
(23,6),-2.47692 # DEPENDENCYPART_ARC
(23,7),-2.5434 # DEPENDENCYPART_ARC
(23,8),-2.0584 # DEPENDENCYPART_ARC
(23,9),-2.60672 # DEPENDENCYPART_ARC
(23,10),-2.09504 # DEPENDENCYPART_ARC
(23,11),-2.14299 # DEPENDENCYPART_ARC
(23,12),-2.7362 # DEPENDENCYPART_ARC
(23,13),-1.79423 # DEPENDENCYPART_ARC
(23,14),-2.26998 # DEPENDENCYPART_ARC
(23,15),-2.28541 # DEPENDENCYPART_ARC
(23,16),-2.17121 # DEPENDENCYPART_ARC
(23,17),-1.62192 # DEPENDENCYPART_ARC
(23,18),-1.74328 # DEPENDENCYPART_ARC
(23,19),-1.56989 # DEPENDENCYPART_ARC
(23,20),-1.03478 # DEPENDENCYPART_ARC
(23,21),-1.0463 # DEPENDENCYPART_ARC
(23,22),-0.0438673 # DEPENDENCYPART_ARC
(23,24),1.84129 # DEPENDENCYPART_ARC
(23,25),-0.840498 # DEPENDENCYPART_ARC
(23,26),-0.74546 # DEPENDENCYPART_ARC
(23,27),-0.910052 # DEPENDENCYPART_ARC
(23,28),-1.00201 # DEPENDENCYPART_ARC
(23,29),-0.914159 # DEPENDENCYPART_ARC
(23,30),-1.1777 # DEPENDENCYPART_ARC
(23,31),0.304227 # DEPENDENCYPART_ARC
(24,1),-2.49823 # DEPENDENCYPART_ARC
(24,2),-3.21892 # DEPENDENCYPART_ARC
(24,3),-2.38772 # DEPENDENCYPART_ARC
(24,4),-2.87119 # DEPENDENCYPART_ARC
(24,5),-2.29414 # DEPENDENCYPART_ARC
(24,6),-2.7962 # DEPENDENCYPART_ARC
(24,7),-2.84637 # DEPENDENCYPART_ARC
(24,8),-2.35277 # DEPENDENCYPART_ARC
(24,9),-2.8967 # DEPENDENCYPART_ARC
(24,10),-2.56129 # DEPENDENCYPART_ARC
(24,11),-2.42887 # DEPENDENCYPART_ARC
(24,12),-2.98227 # DEPENDENCYPART_ARC
(24,13),-2.16092 # DEPENDENCYPART_ARC
(24,14),-2.61372 # DEPENDENCYPART_ARC
(24,15),-2.61403 # DEPENDENCYPART_ARC
(24,16),-2.57328 # DEPENDENCYPART_ARC
(24,17),-1.94016 # DEPENDENCYPART_ARC
(24,18),-2.18813 # DEPENDENCYPART_ARC
(24,19),-1.99425 # DEPENDENCYPART_ARC
(24,20),-1.67411 # DEPENDENCYPART_ARC
(24,21),-1.58962 # DEPENDENCYPART_ARC
(24,22),-1.26712 # DEPENDENCYPART_ARC
(24,23),-0.365341 # DEPENDENCYPART_ARC
(24,25),-0.938686 # DEPENDENCYPART_ARC
(24,26),-1.40506 # DEPENDENCYPART_ARC
(24,27),-1.54719 # DEPENDENCYPART_ARC
(24,28),-1.71125 # DEPENDENCYPART_ARC
(24,29),-1.79572 # DEPENDENCYPART_ARC
(24,30),-1.93312 # DEPENDENCYPART_ARC
(24,31),-0.696662 # DEPENDENCYPART_ARC
(25,1),-2.04954 # DEPENDENCYPART_ARC
(25,2),-2.64627 # DEPENDENCYPART_ARC
(25,3),-2.12287 # DEPENDENCYPART_ARC
(25,4),-2.35704 # DEPENDENCYPART_ARC
(25,5),-1.96287 # DEPENDENCYPART_ARC
(25,6),-2.24728 # DEPENDENCYPART_ARC
(25,7),-2.25326 # DEPENDENCYPART_ARC
(25,8),-1.92459 # DEPENDENCYPART_ARC
(25,9),-2.17768 # DEPENDENCYPART_ARC
(25,10),-2.23626 # DEPENDENCYPART_ARC
(25,11),-2.02991 # DEPENDENCYPART_ARC
(25,12),-2.34928 # DEPENDENCYPART_ARC
(25,13),-1.84166 # DEPENDENCYPART_ARC
(25,14),-2.22472 # DEPENDENCYPART_ARC
(25,15),-1.98678 # DEPENDENCYPART_ARC
(25,16),-2.13715 # DEPENDENCYPART_ARC
(25,17),-1.45555 # DEPENDENCYPART_ARC
(25,18),-1.75446 # DEPENDENCYPART_ARC
(25,19),-0.982996 # DEPENDENCYPART_ARC
(25,20),-1.06999 # DEPENDENCYPART_ARC
(25,21),-1.45506 # DEPENDENCYPART_ARC
(25,22),-0.913032 # DEPENDENCYPART_ARC
(25,23),-0.458813 # DEPENDENCYPART_ARC
(25,24),0.480703 # DEPENDENCYPART_ARC
(25,26),0.729725 # DEPENDENCYPART_ARC
(25,27),3.10324 # DEPENDENCYPART_ARC
(25,28),1.09966 # DEPENDENCYPART_ARC
(25,29),0.687666 # DEPENDENCYPART_ARC
(25,30),-0.0633429 # DEPENDENCYPART_ARC
(25,31),-0.534051 # DEPENDENCYPART_ARC
(26,1),-3.42517 # DEPENDENCYPART_ARC
(26,2),-3.52875 # DEPENDENCYPART_ARC
(26,3),-2.8878 # DEPENDENCYPART_ARC
(26,4),-3.79544 # DEPENDENCYPART_ARC
(26,5),-3.5318 # DEPENDENCYPART_ARC
(26,6),-2.86701 # DEPENDENCYPART_ARC
(26,7),-3.17877 # DEPENDENCYPART_ARC
(26,8),-3.09769 # DEPENDENCYPART_ARC
(26,9),-3.41145 # DEPENDENCYPART_ARC
(26,10),-2.71534 # DEPENDENCYPART_ARC
(26,11),-2.83486 # DEPENDENCYPART_ARC
(26,12),-3.76485 # DEPENDENCYPART_ARC
(26,13),-2.28954 # DEPENDENCYPART_ARC
(26,14),-2.69182 # DEPENDENCYPART_ARC
(26,15),-3.17823 # DEPENDENCYPART_ARC
(26,16),-2.68029 # DEPENDENCYPART_ARC
(26,17),-2.81326 # DEPENDENCYPART_ARC
(26,18),-2.51974 # DEPENDENCYPART_ARC
(26,19),-1.77361 # DEPENDENCYPART_ARC
(26,20),-2.63454 # DEPENDENCYPART_ARC
(26,21),-2.25391 # DEPENDENCYPART_ARC
(26,22),-1.83284 # DEPENDENCYPART_ARC
(26,23),-1.46065 # DEPENDENCYPART_ARC
(26,24),-1.22315 # DEPENDENCYPART_ARC
(26,25),-0.584728 # DEPENDENCYPART_ARC
(26,27),0.93668 # DEPENDENCYPART_ARC
(26,28),-0.00191867 # DEPENDENCYPART_ARC
(26,29),-0.405198 # DEPENDENCYPART_ARC
(26,30),-0.512129 # DEPENDENCYPART_ARC
(26,31),-0.832372 # DEPENDENCYPART_ARC
(27,1),-2.59351 # DEPENDENCYPART_ARC
(27,2),-2.67573 # DEPENDENCYPART_ARC
(27,3),-4.04692 # DEPENDENCYPART_ARC
(27,4),-4.02658 # DEPENDENCYPART_ARC
(27,5),-2.37447 # DEPENDENCYPART_ARC
(27,6),-2.20728 # DEPENDENCYPART_ARC
(27,7),-3.49127 # DEPENDENCYPART_ARC
(27,8),-2.83179 # DEPENDENCYPART_ARC
(27,9),-2.95599 # DEPENDENCYPART_ARC
(27,10),-3.2175 # DEPENDENCYPART_ARC
(27,11),-1.81187 # DEPENDENCYPART_ARC
(27,12),-2.59864 # DEPENDENCYPART_ARC
(27,13),-1.3228 # DEPENDENCYPART_ARC
(27,14),-0.874451 # DEPENDENCYPART_ARC
(27,15),-2.51652 # DEPENDENCYPART_ARC
(27,16),-1.91825 # DEPENDENCYPART_ARC
(27,17),-1.18722 # DEPENDENCYPART_ARC
(27,18),-1.37282 # DEPENDENCYPART_ARC
(27,19),-1.83254 # DEPENDENCYPART_ARC
(27,20),-0.547523 # DEPENDENCYPART_ARC
(27,21),-1.18368 # DEPENDENCYPART_ARC
(27,22),-1.72502 # DEPENDENCYPART_ARC
(27,23),-1.66279 # DEPENDENCYPART_ARC
(27,24),-1.7357 # DEPENDENCYPART_ARC
(27,25),0.495355 # DEPENDENCYPART_ARC
(27,26),3.37095 # DEPENDENCYPART_ARC
(27,28),2.38198 # DEPENDENCYPART_ARC
(27,29),1.23866 # DEPENDENCYPART_ARC
(27,30),1.52631 # DEPENDENCYPART_ARC
(27,31),-0.301674 # DEPENDENCYPART_ARC
(28,1),-2.04775 # DEPENDENCYPART_ARC
(28,2),-2.54559 # DEPENDENCYPART_ARC
(28,3),-4.52604 # DEPENDENCYPART_ARC
(28,4),-3.60578 # DEPENDENCYPART_ARC
(28,5),-2.38041 # DEPENDENCYPART_ARC
(28,6),-2.29566 # DEPENDENCYPART_ARC
(28,7),-3.90317 # DEPENDENCYPART_ARC
(28,8),-2.68611 # DEPENDENCYPART_ARC
(28,9),-2.89395 # DEPENDENCYPART_ARC
(28,10),-3.42575 # DEPENDENCYPART_ARC
(28,11),-1.65185 # DEPENDENCYPART_ARC
(28,12),-2.18141 # DEPENDENCYPART_ARC
(28,13),-2.4655 # DEPENDENCYPART_ARC
(28,14),-1.24259 # DEPENDENCYPART_ARC
(28,15),-2.84814 # DEPENDENCYPART_ARC
(28,16),-2.19263 # DEPENDENCYPART_ARC
(28,17),-1.56231 # DEPENDENCYPART_ARC
(28,18),-1.16368 # DEPENDENCYPART_ARC
(28,19),-1.95557 # DEPENDENCYPART_ARC
(28,20),-0.943036 # DEPENDENCYPART_ARC
(28,21),-0.957207 # DEPENDENCYPART_ARC
(28,22),-2.10599 # DEPENDENCYPART_ARC
(28,23),-1.89673 # DEPENDENCYPART_ARC
(28,24),-2.19867 # DEPENDENCYPART_ARC
(28,25),0.193863 # DEPENDENCYPART_ARC
(28,26),1.17065 # DEPENDENCYPART_ARC
(28,27),-0.0197913 # DEPENDENCYPART_ARC
(28,29),1.7175 # DEPENDENCYPART_ARC
(28,30),1.49455 # DEPENDENCYPART_ARC
(28,31),-0.202111 # DEPENDENCYPART_ARC
(29,1),-2.49465 # DEPENDENCYPART_ARC
(29,2),-3.05784 # DEPENDENCYPART_ARC
(29,3),-2.25412 # DEPENDENCYPART_ARC
(29,4),-3.90348 # DEPENDENCYPART_ARC
(29,5),-2.44403 # DEPENDENCYPART_ARC
(29,6),-2.8192 # DEPENDENCYPART_ARC
(29,7),-3.68328 # DEPENDENCYPART_ARC
(29,8),-2.44676 # DEPENDENCYPART_ARC
(29,9),-3.40974 # DEPENDENCYPART_ARC
(29,10),-2.3834 # DEPENDENCYPART_ARC
(29,11),-1.89666 # DEPENDENCYPART_ARC
(29,12),-2.88969 # DEPENDENCYPART_ARC
(29,13),-2.09992 # DEPENDENCYPART_ARC
(29,14),-2.63022 # DEPENDENCYPART_ARC
(29,15),-3.21249 # DEPENDENCYPART_ARC
(29,16),-2.4976 # DEPENDENCYPART_ARC
(29,17),-2.09506 # DEPENDENCYPART_ARC
(29,18),-2.14634 # DEPENDENCYPART_ARC
(29,19),-1.61852 # DEPENDENCYPART_ARC
(29,20),-1.96996 # DEPENDENCYPART_ARC
(29,21),-2.00444 # DEPENDENCYPART_ARC
(29,22),-1.82945 # DEPENDENCYPART_ARC
(29,23),-1.83289 # DEPENDENCYPART_ARC
(29,24),-1.80928 # DEPENDENCYPART_ARC
(29,25),-1.54958 # DEPENDENCYPART_ARC
(29,26),-1.17477 # DEPENDENCYPART_ARC
(29,27),-1.6913 # DEPENDENCYPART_ARC
(29,28),-0.699042 # DEPENDENCYPART_ARC
(29,30),0.201877 # DEPENDENCYPART_ARC
(29,31),-0.733645 # DEPENDENCYPART_ARC
(30,1),-3.28921 # DEPENDENCYPART_ARC
(30,2),-3.51087 # DEPENDENCYPART_ARC
(30,3),-5.89497 # DEPENDENCYPART_ARC
(30,4),-4.75406 # DEPENDENCYPART_ARC
(30,5),-3.34807 # DEPENDENCYPART_ARC
(30,6),-2.46471 # DEPENDENCYPART_ARC
(30,7),-4.44339 # DEPENDENCYPART_ARC
(30,8),-3.91963 # DEPENDENCYPART_ARC
(30,9),-4.00054 # DEPENDENCYPART_ARC
(30,10),-4.22433 # DEPENDENCYPART_ARC
(30,11),-2.53258 # DEPENDENCYPART_ARC
(30,12),-3.43288 # DEPENDENCYPART_ARC
(30,13),-2.81172 # DEPENDENCYPART_ARC
(30,14),-1.45626 # DEPENDENCYPART_ARC
(30,15),-3.47161 # DEPENDENCYPART_ARC
(30,16),-2.58957 # DEPENDENCYPART_ARC
(30,17),-2.3162 # DEPENDENCYPART_ARC
(30,18),-1.99401 # DEPENDENCYPART_ARC
(30,19),-2.90591 # DEPENDENCYPART_ARC
(30,20),-1.75582 # DEPENDENCYPART_ARC
(30,21),-1.85281 # DEPENDENCYPART_ARC
(30,22),-3.06824 # DEPENDENCYPART_ARC
(30,23),-3.04196 # DEPENDENCYPART_ARC
(30,24),-3.42653 # DEPENDENCYPART_ARC
(30,25),-1.39216 # DEPENDENCYPART_ARC
(30,26),-0.761405 # DEPENDENCYPART_ARC
(30,27),-1.74173 # DEPENDENCYPART_ARC
(30,28),-2.52243 # DEPENDENCYPART_ARC
(30,29),-0.111642 # DEPENDENCYPART_ARC
(30,31),2.53128 # DEPENDENCYPART_ARC
(31,1),-2.42657 # DEPENDENCYPART_ARC
(31,2),-3.13432 # DEPENDENCYPART_ARC
(31,3),-2.35594 # DEPENDENCYPART_ARC
(31,4),-2.96341 # DEPENDENCYPART_ARC
(31,5),-2.36896 # DEPENDENCYPART_ARC
(31,6),-2.81318 # DEPENDENCYPART_ARC
(31,7),-2.88912 # DEPENDENCYPART_ARC
(31,8),-2.43239 # DEPENDENCYPART_ARC
(31,9),-2.97802 # DEPENDENCYPART_ARC
(31,10),-2.52257 # DEPENDENCYPART_ARC
(31,11),-2.47816 # DEPENDENCYPART_ARC
(31,12),-2.93722 # DEPENDENCYPART_ARC
(31,13),-2.14449 # DEPENDENCYPART_ARC
(31,14),-2.60918 # DEPENDENCYPART_ARC
(31,15),-2.73395 # DEPENDENCYPART_ARC
(31,16),-2.63893 # DEPENDENCYPART_ARC
(31,17),-2.20949 # DEPENDENCYPART_ARC
(31,18),-2.29528 # DEPENDENCYPART_ARC
(31,19),-2.15322 # DEPENDENCYPART_ARC
(31,20),-2.14516 # DEPENDENCYPART_ARC
(31,21),-2.29642 # DEPENDENCYPART_ARC
(31,22),-2.20125 # DEPENDENCYPART_ARC
(31,23),-2.19004 # DEPENDENCYPART_ARC
(31,24),-2.10252 # DEPENDENCYPART_ARC
(31,25),-1.84203 # DEPENDENCYPART_ARC
(31,26),-1.68049 # DEPENDENCYPART_ARC
(31,27),-2.19623 # DEPENDENCYPART_ARC
(31,28),-1.83197 # DEPENDENCYPART_ARC
(31,29),-1.28764 # DEPENDENCYPART_ARC
(31,30),-0.808258 # DEPENDENCYPART_ARC
